symbol,ivmean10,ivmean10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,ivmean1080,ivmean1080_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,0.2334,26.0,0.2544,37.0,0.2125,16.0,0.2969,52.0,0.2981,56.0,0.2957,41.0
AA,0.4786,72.0,0.4692,70.0,0.4879,73.0,0.4724,73.0,0.4523,72.0,0.4926,75.0
AAL,0.4556,72.0,0.4637,73.0,0.4475,71.0,0.4729,75.0,0.4736,76.0,0.4722,73.0
AAMI,0.4431,,0.3049,,0.5813,,0.389,,0.3049,,0.4731,
AAOI,1.2561,91.0,1.2547,91.0,1.2576,90.0,1.1023,97.0,1.0981,96.0,1.1065,95.0
AAON,0.5772,98.0,0.5381,94.0,0.6163,98.0,0.4944,100.0,0.4906,100.0,0.4982,99.0
AAP,0.4996,92.0,0.5072,92.0,0.4921,90.0,0.5496,97.0,0.5578,98.0,0.5414,95.0
AAPB,0.6455,,0.7528,,0.5382,,0.5223,,0.5228,,0.5218,
AAPD,0.3453,,0.2089,,0.4817,,0.2748,,0.2089,,0.3406,
AAPL,0.2872,50.0,0.2896,51.0,0.2847,49.0,0.2756,28.0,0.2562,24.0,0.2951,35.0
AAPU,0.5597,,0.516,,0.6034,,0.5117,,0.4539,,0.5694,
AAT,0.6162,97.0,0.4308,82.0,0.8016,99.0,0.4745,97.0,0.4308,94.0,0.5182,98.0
AAXJ,0.2166,77.0,0.2331,85.0,0.2,64.0,0.1824,34.0,0.1648,38.0,0.2,33.0
AB,0.2773,42.0,0.2577,44.0,0.2969,44.0,0.2668,42.0,0.1702,16.0,0.3633,68.0
ABAT,1.2123,,1.0021,,1.4225,,1.0456,,1.0021,,1.0892,
ABBV,0.1964,28.0,0.1985,36.0,0.1942,26.0,0.2574,40.0,0.2587,77.0,0.2562,15.0
ABCB,0.3328,50.0,0.3444,57.0,0.3212,51.0,0.3297,59.0,0.3328,68.0,0.3266,60.0
ABCL,1.0146,,0.9428,,1.0864,,0.9957,,0.905,,1.0864,
ABEO,,,1.9533,,,,,,1.4184,,,
ABEV,0.304,,0.2624,,0.3456,,0.2834,,0.1914,,0.3755,
ABG,0.3698,52.0,0.3623,50.0,0.3772,55.0,0.3888,57.0,0.3841,56.0,0.3934,57.0
ABL,0.5032,,0.5237,,0.4827,,0.5571,,0.5237,,0.5905,
ABM,0.4826,87.0,0.4393,83.0,0.526,90.0,0.32,63.0,0.33,71.0,0.31,56.0
ABNB,0.3652,,0.3852,,0.3452,,0.4015,,0.3947,,0.4084,
ABNY,,,,,0.811,,,,,,0.811,
ABR,0.3634,,0.3489,,0.3779,65.0,0.4078,,0.2148,,0.6009,80.0
ABSI,1.1696,,1.135,,1.2041,,1.1696,,1.135,,1.2041,
ABT,0.224,68.0,0.221,68.0,0.2271,68.0,0.2298,55.0,0.2309,64.0,0.2287,34.0
ABUS,0.8913,,0.8917,48.0,0.8909,,1.1968,,1.825,91.0,0.5685,
ACA,0.3504,,0.342,,0.3587,,0.361,,0.362,,0.3601,
ACAD,0.5794,33.0,0.594,38.0,0.5649,31.0,0.4954,13.0,0.494,14.0,0.4969,12.0
