symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,57.0,,,105.0,,0.3221,72.0,0.2792,73.0,0.3169,62.0,0.3437,70.0,0.3705,76.0,0.3238,71.0,0.2982,79.0,0.3232,69.0,0.3354,71.0,0.3476,71.0
AA,92.0,,,25.049999237060547,,0.596,84.0,0.483,84.0,0.6447,91.0,0.6334,91.0,0.6221,90.0,0.558,81.0,0.4794,84.0,0.5474,88.0,0.5508,88.0,0.5541,86.0
AAL,91.0,,,9.319999694824219,,0.4643,73.0,0.4931,86.0,0.7786,95.0,0.7752,95.0,0.7718,95.0,0.6177,91.0,0.4694,84.0,0.5554,86.0,0.552,86.0,0.5486,85.0
AAMI,77.0,,,26.479999542236328,,0.4095,,0.3295,,0.4841,,0.4748,,0.4655,,0.3745,,0.3539,,0.4505,,0.458,,0.4655,
AAOI,57.0,,,11.65999984741211,,1.0064,82.0,0.8456,84.0,1.2781,91.0,1.2656,91.0,1.2532,90.0,1.5126,98.0,1.1881,98.0,1.0077,89.0,1.039,91.0,1.0702,93.0
AAON,56.0,,,82.05999755859375,,0.5029,93.0,0.427,92.0,0.7112,99.0,0.6707,99.0,0.6302,98.0,0.6744,99.0,0.4776,97.0,0.5208,100.0,0.5277,100.0,0.5346,100.0
AAP,57.0,,,32.7400016784668,,0.4358,88.0,0.4881,96.0,0.6341,97.0,0.6312,97.0,0.6282,97.0,0.5814,94.0,0.5149,98.0,0.5497,97.0,0.5862,98.0,0.6228,99.0
AAPB,,,,20.59000015258789,,0.8567,,0.6039,,0.8337,,0.7948,,0.7558,,0.7612,,0.5797,,0.6263,,0.6272,,0.628,
AAPD,,,,17.719999313354492,,0.4158,,0.324,,0.3037,,0.2719,,0.2401,,0.3963,,0.3051,,0.2852,,0.2626,,0.2401,
AAPL,84.0,,,204.60000610351562,,0.4193,84.0,0.3172,79.0,0.4781,90.0,0.465,89.0,0.4519,88.0,0.3852,79.0,0.3067,69.0,0.2835,33.0,0.3041,39.0,0.3247,49.0
AAPU,,,,22.530000686645508,,0.8573,,0.6212,,0.7408,,0.7607,,0.7805,,0.7715,,0.5968,,0.597,,0.6226,,0.6482,
AAT,79.0,,,19.020000457763672,,0.2125,56.0,0.2463,72.0,0.5991,94.0,0.5396,94.0,0.4801,89.0,0.3023,80.0,0.2774,82.0,0.5991,100.0,0.5396,99.0,0.4801,96.0
AAXJ,,,,72.58000183105469,,0.1627,54.0,0.1124,73.0,0.2057,74.0,0.2116,74.0,0.2176,75.0,0.2275,82.0,0.1347,88.0,0.1996,73.0,0.2074,67.0,0.2152,54.0
AB,77.0,,,36.83000183105469,,0.2494,49.0,0.2643,53.0,0.343,77.0,0.374,79.0,0.4051,78.0,0.3541,76.0,0.3021,64.0,0.1884,25.0,0.2924,57.0,0.3965,80.0
ABAT,161.0,,,1.1100000143051147,,0.7712,67.0,0.9228,79.0,1.0266,,1.0616,,1.0966,,1.4186,90.0,1.323,100.0,1.1214,,1.1248,,1.1282,
ABBV,83.0,,,177.0500030517578,,0.334,86.0,0.2572,80.0,0.4217,98.0,0.4188,98.0,0.416,97.0,0.3374,88.0,0.2717,83.0,0.2298,55.0,0.2864,87.0,0.3431,84.0
ABCB,84.0,,,55.5099983215332,,0.2451,49.0,0.2423,40.0,0.3607,63.0,0.3529,55.0,0.3451,59.0,0.3812,87.0,0.2906,62.0,0.3395,70.0,0.3326,61.0,0.3258,59.0
ABCL,56.0,,,2.5299999713897705,,0.2323,2.0,0.5973,57.0,1.0817,93.0,1.007,,0.9322,,0.7352,86.0,0.6757,77.0,0.9635,80.0,0.8037,,0.6439,
ABEO,35.0,,,5.21999979019165,,0.6054,41.0,0.712,48.0,2.5471,95.0,2.5802,93.0,2.6134,92.0,0.495,8.0,0.5506,7.0,1.6553,87.0,1.5949,87.0,1.5346,87.0
ABEV,57.0,,,2.450000047683716,,0.1903,21.0,0.3076,81.0,0.2968,35.0,0.3372,42.0,0.3775,43.0,0.3442,71.0,0.2693,63.0,0.2031,7.0,0.2954,24.0,0.3876,39.0
ABG,84.0,,,219.30999755859375,,0.2959,42.0,0.4147,74.0,0.5455,88.0,0.5108,82.0,0.476,80.0,0.4042,59.0,0.3566,57.0,0.4408,72.0,0.4362,70.0,0.4316,69.0
ABL,168.0,,,8.300000190734863,,0.2481,,0.3042,,0.5341,,0.5366,,0.539,,0.4895,,0.5256,,0.5341,,0.5366,,0.539,
ABM,43.0,,,48.400001525878906,,0.3363,77.0,0.2487,59.0,0.4751,86.0,0.4386,83.0,0.4021,77.0,0.3423,71.0,0.3043,73.0,0.3164,68.0,0.3268,65.0,0.3372,67.0
ABNB,70.0,,,118.27999877929688,,0.3061,32.0,0.345,51.0,0.6904,90.0,0.7204,92.0,0.7505,95.0,0.4736,62.0,0.3506,52.0,0.4216,33.0,0.4269,28.0,0.4322,24.0
ABNY,,,,11.652999877929688,,0.1856,,0.2065,,,,,,0.8261,,0.4011,,0.2487,,,,,,0.8261,
ABOS,163.0,,,1.0199999809265137,,1.4025,,1.3565,,,,,,,,0.7645,,0.8235,,,,,,,
ABR,62.0,,,11.3100004196167,,0.3003,73.0,0.3111,80.0,0.5161,90.0,0.5808,89.0,0.6456,90.0,0.3534,72.0,0.3609,89.0,0.1546,26.0,0.3876,67.0,0.6206,83.0
ABSI,37.0,,,3.190000057220459,,0.3517,,0.7764,,1.3888,,1.2744,,1.16,,1.1243,,1.0197,,1.3033,,1.2706,,1.2378,
ABT,92.0,,,129.83999633789062,,0.2507,78.0,0.2717,89.0,0.2779,86.0,0.2801,87.0,0.2823,86.0,0.2297,72.0,0.2206,81.0,0.2149,52.0,0.2416,65.0,0.2682,72.0
ABUS,169.0,,,3.240000009536743,,0.4877,46.0,0.5085,36.0,0.7811,30.0,,,,,0.4595,24.0,0.4841,19.0,1.0389,59.0,,,,
ACA,56.0,,,78.2699966430664,,0.2961,53.0,0.2973,56.0,0.5557,94.0,0.4858,87.0,0.4159,65.0,0.3676,61.0,0.3241,57.0,0.3856,77.0,0.3799,75.0,0.3742,69.0
ACAD,57.0,,,14.619999885559082,,0.3104,20.0,0.3478,18.0,0.8728,76.0,0.7915,68.0,0.7102,57.0,0.4576,12.0,0.4247,18.0,0.6553,54.0,0.685,62.0,0.7147,71.0
ACB,78.0,,,4.400000095367432,,0.4795,26.0,0.5118,24.0,0.6645,18.0,0.6543,13.0,0.6441,11.0,0.839,48.0,0.6644,41.0,0.5978,15.0,0.7003,12.0,0.8028,15.0
ACCO,63.0,,,3.759999990463257,,0.3751,69.0,0.4001,80.0,,,,,,,0.5027,90.0,0.3924,84.0,,,,,,
ACDC,49.0,,,4.599999904632568,,0.801,,0.8421,,1.0757,,1.0779,,1.08,,0.9239,,0.7855,,0.8162,,0.8331,,0.85,
ACEL,176.0,,,11.170000076293945,,0.2466,31.0,0.2643,36.0,0.3879,22.0,,,,,0.3165,21.0,0.3065,38.0,0.3879,28.0,,,,
ACES,,,,21.829999923706055,,0.3254,50.0,0.243,42.0,0.4843,83.0,0.4608,80.0,0.4373,70.0,0.3379,32.0,0.2761,49.0,0.2804,20.0,0.2988,15.0,0.3172,16.0
ACET,49.0,,,0.6010000109672546,,0.8865,88.0,0.9108,91.0,,,,,,,0.8352,79.0,0.8384,91.0,,,,,,
ACGL,73.0,,,92.51000213623047,,0.3064,88.0,0.2487,83.0,0.4402,96.0,0.3775,93.0,0.3148,86.0,0.2953,88.0,0.2352,82.0,0.2866,86.0,0.2836,85.0,0.2807,83.0
ACHC,56.0,,,21.200000762939453,,0.7492,96.0,0.7438,98.0,0.893,99.0,0.9188,99.0,0.9445,99.0,0.6464,96.0,0.4527,86.0,0.6764,100.0,0.6856,100.0,0.6948,100.0
ACHR,56.0,,,8.050000190734863,,0.6091,,0.5591,,0.7692,,0.7804,,0.7915,,1.1814,,1.0678,,0.7975,,0.7973,,0.7971,
ACHV,44.0,,,2.430000066757202,,1.0708,,0.8692,,,,,,,,0.6694,,0.6876,,,,,,,
ACI,106.0,,,22.40999984741211,,0.6795,83.0,0.4081,59.0,0.1954,5.0,0.2352,4.0,0.2751,6.0,0.2995,15.0,0.2814,20.0,0.2472,8.0,0.2348,1.0,0.2223,1.0
ACIC,56.0,,,11.15999984741211,,0.2166,,0.2805,,0.6058,,0.7514,,0.8969,,0.4731,,0.4258,,0.4707,,0.4722,,0.4738,
ACIU,42.0,,,1.5800000429153442,,0.3995,26.0,0.4734,19.0,,,,,,,0.5399,5.0,0.5965,10.0,,,,,,
ACIW,56.0,,,51.650001525878906,,0.2743,52.0,0.2465,37.0,0.6276,93.0,0.5796,90.0,0.5317,86.0,0.3955,73.0,0.3438,68.0,0.4024,78.0,0.4004,78.0,0.3985,76.0
ACLS,73.0,,,45.939998626708984,,0.3886,35.0,0.4578,49.0,0.7698,93.0,0.7528,92.0,0.7358,90.0,0.5349,53.0,0.4875,53.0,0.5852,79.0,0.5898,80.0,0.5943,81.0
ACLX,56.0,,,63.630001068115234,,0.3038,,0.3966,,0.6512,,0.6249,,0.5986,,0.5744,,0.5836,,0.6868,,0.6725,,0.6582,
ACM,80.0,,,95.19999694824219,,0.2292,45.0,0.2275,48.0,0.3304,59.0,0.3376,60.0,0.3448,62.0,0.2726,38.0,0.2651,54.0,0.2693,21.0,0.2901,38.0,0.3108,53.0
ACMR,57.0,,,19.729999542236328,,0.6899,69.0,0.5704,59.0,0.8963,91.0,0.9022,91.0,0.9081,91.0,0.7755,61.0,0.6084,70.0,0.6834,57.0,0.6898,59.0,0.6962,62.0
ACN,35.0,,,288.1600036621094,,0.2261,59.0,0.228,69.0,0.3164,78.0,0.3192,78.0,0.3219,77.0,0.3039,76.0,0.2416,72.0,0.265,67.0,0.2972,76.0,0.3294,81.0
ACNB,91.0,,,41.65999984741211,,0.2129,,0.2365,,0.3647,,0.3994,,0.434,,0.3979,,0.351,,0.3647,,0.3414,,0.318,
ACNT,351.0,,,12.850000381469727,,0.1768,,0.2618,,,,,,,,0.2593,,0.3209,,,,,,,
ACR,50.0,,,17.5,,0.4893,86.0,0.5603,95.0,0.5598,,,,,,0.3957,64.0,0.3797,67.0,0.3819,,,,,
ACRE,71.0,,,3.7699999809265137,,0.7221,98.0,0.5499,98.0,0.4627,82.0,0.5462,89.0,0.6296,94.0,0.4475,94.0,0.3952,94.0,0.3816,80.0,0.5056,91.0,0.6296,96.0
ACRS,56.0,,,1.190000057220459,,0.6597,65.0,0.686,61.0,,,,,,,1.19,81.0,0.9844,83.0,,,,,,
ACT,79.0,,,35.22999954223633,,0.2611,72.0,0.264,74.0,,,,,0.3271,56.0,0.2358,41.0,0.2202,39.0,,,,,0.3271,57.0
ACTG,42.0,,,2.9800000190734863,,0.3267,37.0,0.3597,31.0,0.5111,28.0,0.4898,22.0,0.4684,18.0,0.4033,28.0,0.3767,19.0,0.5111,30.0,0.4898,21.0,0.4684,16.0
ACVA,64.0,,,14.4399995803833,,0.3012,15.0,0.4209,40.0,0.8325,88.0,0.8163,,0.8001,,0.5397,64.0,0.5133,56.0,0.5905,54.0,0.5982,,0.606,
ACWI,,,,113.44000244140625,,0.2349,85.0,0.1653,85.0,0.2181,91.0,0.2281,90.0,0.2381,90.0,0.2187,80.0,0.167,84.0,0.1372,59.0,0.179,70.0,0.2208,76.0
ACWX,,,,55.7400016784668,,0.134,45.0,0.1161,72.0,0.1773,78.0,0.1856,76.0,0.1938,71.0,0.1987,72.0,0.133,77.0,0.1469,65.0,0.1677,65.0,0.1884,56.0
ACXP,38.0,,,0.3869999945163727,,0.5515,,0.601,,,,,,,,1.2007,,1.0116,,,,,,,
ADAP,162.0,,,0.25999999046325684,,0.6943,57.0,0.9231,75.0,,,,,,,1.1484,91.0,1.0833,91.0,,,,,,
ADBE,43.0,,,351.9599914550781,,0.2229,40.0,0.2639,63.0,0.3359,65.0,0.3421,67.0,0.3483,69.0,0.4127,81.0,0.2726,63.0,0.3607,78.0,0.3687,82.0,0.3766,82.0
ADC,72.0,,,77.22000122070312,,0.2378,74.0,0.2192,70.0,0.2207,45.0,0.2022,25.0,0.1836,13.0,0.2029,56.0,0.2082,64.0,0.242,70.0,0.2272,57.0,0.2125,28.0
ADCT,168.0,,,1.2899999618530273,,0.4902,47.0,0.5963,60.0,,,,,,,1.2602,96.0,1.0217,95.0,,,,,,
ADEA,65.0,,,11.970000267028809,,0.2365,,0.278,,0.7328,,,,,,0.5981,,0.421,,1.0197,,,,,
ADI,64.0,,,183.11000061035156,,0.2496,48.0,0.3157,80.0,0.4807,93.0,0.4975,93.0,0.5143,93.0,0.4668,91.0,0.3713,89.0,0.3204,76.0,0.3588,84.0,0.3971,91.0
ADM,79.0,,,48.119998931884766,,0.2406,59.0,0.2379,69.0,0.3213,82.0,0.3356,84.0,0.3499,86.0,0.3143,75.0,0.2722,82.0,0.2167,30.0,0.287,68.0,0.3573,90.0
ADMA,52.0,,,21.729999542236328,,0.9851,90.0,0.7905,86.0,0.7236,25.0,0.7044,23.0,0.6851,25.0,0.6406,53.0,0.579,37.0,0.5756,12.0,0.5682,9.0,0.5609,8.0
ADNT,86.0,,,12.199999809265137,,0.3698,41.0,0.5152,77.0,0.6555,77.0,0.6837,82.0,0.7119,85.0,0.5338,56.0,0.5,71.0,0.6261,76.0,0.6254,74.0,0.6246,72.0
ADP,85.0,,,293.5400085449219,,0.2852,85.0,0.2461,86.0,0.3331,92.0,0.3495,94.0,0.3658,95.0,0.2231,74.0,0.2023,70.0,0.2508,79.0,0.2487,74.0,0.2466,62.0
ADPT,72.0,,,7.380000114440918,,0.6294,49.0,0.5893,39.0,1.5345,96.0,1.2101,91.0,0.8857,62.0,0.8241,72.0,0.8497,100.0,1.4289,97.0,1.1573,97.0,0.8857,78.0
ADSE,,,,12.770000457763672,,0.5264,,0.7859,,,,,,1.3033,,0.4008,,0.5622,,,,,,1.0972,
ADSK,56.0,,,264.44000244140625,,0.2887,52.0,0.2289,32.0,0.3239,45.0,0.3212,44.0,0.3185,43.0,0.3228,40.0,0.2667,37.0,0.3391,28.0,0.3436,30.0,0.3481,32.0
ADT,56.0,,,7.909999847412109,,0.3152,54.0,0.2639,39.0,0.4461,63.0,0.456,59.0,0.466,57.0,0.3877,41.0,0.2961,39.0,0.3278,36.0,0.3591,39.0,0.3905,43.0
ADTN,168.0,,,7.510000228881836,,0.4154,69.0,0.427,77.0,0.8381,99.0,0.8167,99.0,0.7953,98.0,0.6072,93.0,0.561,97.0,0.5856,98.0,0.5954,98.0,0.6052,97.0
ADUS,59.0,,,98.86000061035156,,0.3552,70.0,0.2897,45.0,0.4389,69.0,0.423,66.0,0.4071,61.0,0.3296,39.0,0.3069,19.0,0.3526,36.0,0.3512,34.0,0.3498,35.0
ADV,48.0,,,1.309999942779541,,0.3826,36.0,0.7141,84.0,,,,,,,0.7371,95.0,0.7265,100.0,,,,,,
ADVM,171.0,,,2.8499999046325684,,0.8805,81.0,1.1082,92.0,3.3571,98.0,,,,,0.778,57.0,0.8445,77.0,3.3571,100.0,,,,
