symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,45.0,,,102.70999908447266,,0.8673,99.0,0.7147,99.0,0.5588,93.0,0.5594,93.0,0.56,93.0,0.3225,71.0,0.2962,79.0,0.3347,73.0,0.358,78.0,0.3812,83.0
AA,80.0,,,24.75,,1.4769,100.0,1.2341,100.0,0.9935,99.0,1.0086,99.0,1.0236,99.0,0.5496,80.0,0.4726,83.0,0.5371,87.0,0.5657,89.0,0.5943,93.0
AAL,79.0,,,9.670000076293945,,1.8571,100.0,1.1901,100.0,0.8522,96.0,0.8387,96.0,0.8252,96.0,0.619,91.0,0.4621,83.0,0.5736,87.0,0.5549,86.0,0.5362,84.0
AAMI,65.0,,,26.18000030517578,,1.0143,,0.8271,,0.4232,,0.6466,,0.8701,,0.3685,,0.3502,,0.3072,,0.3935,,0.4799,
AAOI,45.0,,,11.279999732971191,,2.6015,100.0,2.0781,100.0,1.4173,94.0,1.4366,95.0,1.456,95.0,1.5058,98.0,1.186,97.0,0.9885,88.0,1.034,91.0,1.0796,94.0
AAON,44.0,,,84.16000366210938,,0.9885,99.0,0.8768,100.0,0.6019,97.0,0.682,99.0,0.762,100.0,0.6664,99.0,0.4688,97.0,0.5387,100.0,0.5564,100.0,0.5742,100.0
AAP,45.0,,,32.2599983215332,,0.9899,99.0,0.9615,100.0,0.6084,96.0,0.6139,96.0,0.6194,97.0,0.5866,94.0,0.5102,97.0,0.6112,99.0,0.6053,99.0,0.5993,99.0
AAPB,,,,19.43000030517578,,2.5256,,1.7407,,1.1559,,1.2326,,1.3093,,0.7404,,0.5648,,0.6329,,0.6692,,0.7055,
AAPD,,,,18.329999923706055,,1.3908,,0.9365,,0.766,,0.7363,,0.7065,,0.3868,,0.2968,,0.2432,,0.3276,,0.4119,
AAPL,72.0,,,198.14999389648438,,1.3094,100.0,0.9035,100.0,0.523,94.0,0.5269,94.0,0.5308,94.0,0.3754,76.0,0.299,68.0,0.301,38.0,0.3209,45.0,0.3408,54.0
AAPU,,,,21.309999465942383,,2.5135,,1.7749,,1.0917,,1.087,,1.0823,,0.7512,,0.5817,,0.6151,,0.667,,0.719,
AAT,67.0,,,18.299999237060547,,0.6966,99.0,0.6593,100.0,0.4563,85.0,0.5065,91.0,0.5567,93.0,0.3037,80.0,0.2772,82.0,0.4563,95.0,0.5065,99.0,0.5567,99.0
AAXJ,,,,70.52999877929688,,0.6982,100.0,0.4153,100.0,0.1968,68.0,0.2434,86.0,0.2901,92.0,0.2282,83.0,0.1339,88.0,0.2294,89.0,0.2363,86.0,0.2432,80.0
AB,65.0,,,37.36000061035156,,0.8296,97.0,0.6604,96.0,0.4495,91.0,0.4883,92.0,0.5271,92.0,0.3564,76.0,0.2993,63.0,0.2351,45.0,0.3154,68.0,0.3958,79.0
ABAT,149.0,,,0.9879999756813049,,0.7751,68.0,0.8557,74.0,1.5265,,,,,,1.4094,90.0,1.3093,99.0,0.9988,,,,,
ABBV,71.0,,,175.0500030517578,,0.5657,98.0,0.6841,100.0,0.4875,99.0,0.4891,100.0,0.4907,100.0,0.331,86.0,0.2674,82.0,0.3165,99.0,0.3173,99.0,0.3181,70.0
ABCB,72.0,,,51.40999984741211,,0.9394,98.0,0.6953,99.0,0.3798,69.0,0.4544,79.0,0.5289,91.0,0.3828,88.0,0.2911,63.0,0.3565,77.0,0.3666,77.0,0.3766,82.0
ABCL,44.0,,,2.4000000953674316,,1.3691,99.0,1.0792,98.0,3.4583,100.0,2.4715,,1.4847,,0.7449,89.0,0.6718,76.0,1.908,100.0,1.4384,,0.9689,
ABEO,23.0,,,4.599999904632568,,1.0125,83.0,1.0785,85.0,9.512,100.0,7.7904,100.0,6.0688,98.0,0.4789,7.0,0.5335,7.0,1.5211,85.0,3.795,97.0,6.0688,98.0
ABEV,45.0,,,2.25,,0.6465,97.0,0.4467,98.0,0.2344,12.0,0.3363,42.0,0.4382,68.0,0.342,70.0,0.2622,56.0,0.2255,15.0,0.3106,30.0,0.3957,42.0
ABG,72.0,,,228.27999877929688,,0.8953,96.0,0.8202,96.0,0.5046,83.0,0.5441,86.0,0.5836,91.0,0.4045,59.0,0.3474,56.0,0.4208,68.0,0.4346,69.0,0.4485,74.0
ABL,156.0,,,7.849999904632568,,0.9991,,0.9559,,0.5889,,0.6141,,0.6393,,0.5061,,0.5329,,0.5076,,0.586,,0.6643,
ABM,31.0,,,46.11000061035156,,0.7243,97.0,0.6273,98.0,0.4016,78.0,0.5596,92.0,0.7175,96.0,0.3363,70.0,0.3023,73.0,0.3647,79.0,0.384,84.0,0.4033,86.0
ABNB,58.0,,,114.54000091552734,,1.1654,100.0,0.8359,98.0,0.5311,70.0,0.5314,70.0,0.5316,71.0,0.4695,61.0,0.3426,50.0,0.426,34.0,0.4337,33.0,0.4414,30.0
ABNY,,,,11.303999900817871,,1.0282,,0.516,,,,,,0.9051,,0.3993,,0.2453,,,,,,0.9051,
ABOS,151.0,,,1.1100000143051147,,1.2012,,1.2107,,,,,,,,0.7343,,0.7773,,,,,,,
ABR,50.0,,,10.520000457763672,,0.8387,98.0,0.8424,99.0,0.4699,86.0,0.4908,82.0,0.5117,82.0,0.3477,70.0,0.3565,88.0,0.1892,46.0,0.4246,75.0,0.66,87.0
ABSI,25.0,,,3.0199999809265137,,1.6925,,1.4026,,1.2296,,1.4019,,1.5742,,1.1278,,1.0087,,1.1112,,1.1684,,1.2255,
ABT,80.0,,,126.87999725341797,,0.4289,96.0,0.4415,99.0,0.4216,98.0,0.4376,99.0,0.4537,99.0,0.2272,71.0,0.2149,78.0,0.268,83.0,0.2673,80.0,0.2666,71.0
ABUS,157.0,,,3.140000104904175,,0.9537,87.0,0.9196,87.0,0.7051,20.0,1.159,79.0,1.613,95.0,0.4585,24.0,0.4781,19.0,1.6138,86.0,1.1868,77.0,0.7597,26.0
ACA,44.0,,,77.11000061035156,,0.9092,98.0,0.7153,98.0,0.5475,93.0,0.5222,92.0,0.4969,86.0,0.3646,59.0,0.3189,55.0,0.3929,80.0,0.3922,80.0,0.3916,79.0
ACAD,45.0,,,14.579999923706055,,0.7273,78.0,0.7666,84.0,1.1976,92.0,1.1955,92.0,1.1935,91.0,0.4566,12.0,0.4231,17.0,0.6889,62.0,0.6691,57.0,0.6494,53.0
ACB,66.0,,,4.28000020980835,,0.9022,76.0,0.847,80.0,0.7686,32.0,0.8074,32.0,0.8461,33.0,0.8477,48.0,0.6651,41.0,0.7149,30.0,0.7634,17.0,0.8119,16.0
ACCO,51.0,,,3.6500000953674316,,0.9037,97.0,0.7605,100.0,,,,,,,0.4988,90.0,0.3841,84.0,,,,,,
ACDC,37.0,,,4.739999771118164,,2.5294,,1.8488,,1.0778,,1.1092,,1.1407,,0.9225,,0.7724,,0.8218,,0.8558,,0.8899,
ACEL,164.0,,,10.960000038146973,,0.5968,91.0,0.5873,94.0,0.4044,26.0,0.4064,,0.4083,24.0,0.3144,21.0,0.3026,37.0,0.3895,30.0,0.3989,,0.4083,24.0
ACES,,,,21.670000076293945,,0.8317,100.0,0.6689,100.0,0.4284,70.0,0.4642,81.0,0.5,85.0,0.3353,28.0,0.2728,47.0,0.3028,42.0,0.354,67.0,0.4051,79.0
ACET,37.0,,,0.5370000004768372,,1.7663,98.0,1.3864,99.0,,,,,,,0.8164,79.0,0.8181,91.0,,,,,,
ACGL,61.0,,,92.12999725341797,,0.7417,99.0,0.546,99.0,0.4935,98.0,0.4421,96.0,0.3907,93.0,0.2932,88.0,0.2337,81.0,0.3188,91.0,0.3267,92.0,0.3346,92.0
ACHC,44.0,,,26.149999618530273,,0.7582,96.0,0.7027,97.0,0.9809,99.0,0.8542,99.0,0.7274,96.0,0.6517,96.0,0.45,86.0,0.5959,98.0,0.574,96.0,0.5522,95.0
ACHR,44.0,,,7.03000020980835,,1.3928,,1.3611,,0.8551,,0.8776,,0.9002,,1.1793,,1.0663,,0.8465,,0.7767,,0.7069,
ACHV,32.0,,,2.180000066757202,,1.1868,,1.4315,,,,,,,,0.6222,,0.6603,,,,,,,
ACI,94.0,,,21.190000534057617,,0.3733,48.0,0.4149,60.0,0.3693,30.0,0.3439,19.0,0.3185,11.0,0.2637,14.0,0.2681,18.0,0.2162,5.0,0.2752,4.0,0.3341,9.0
ACIC,44.0,,,11.079999923706055,,0.3622,,0.6703,,0.5852,,0.5954,,0.6057,,0.4785,,0.4326,,0.5091,,0.494,,0.4788,
ACIU,30.0,,,1.559999942779541,,0.6904,67.0,0.9693,89.0,,,,,,,0.5363,5.0,0.6003,10.0,,,,,,
ACIW,44.0,,,51.880001068115234,,0.9641,98.0,0.7978,98.0,0.6239,93.0,0.5689,89.0,0.5138,84.0,0.3962,73.0,0.3417,68.0,0.3837,75.0,0.408,79.0,0.4322,82.0
ACLS,61.0,,,47.04999923706055,,1.4559,98.0,1.1605,97.0,0.6834,87.0,0.7567,92.0,0.83,96.0,0.544,56.0,0.4886,54.0,0.6024,84.0,0.601,83.0,0.5995,82.0
ACLX,44.0,,,59.150001525878906,,1.0211,,1.0391,,0.73,,0.7078,,0.6856,,0.5835,,0.5845,,0.6827,,0.7056,,0.7284,
ACM,68.0,,,93.70999908447266,,0.6703,95.0,0.5759,96.0,0.4299,84.0,0.4606,88.0,0.4914,89.0,0.2686,37.0,0.2615,52.0,0.2826,31.0,0.3111,54.0,0.3396,70.0
ACMR,45.0,,,19.229999542236328,,1.1197,91.0,1.2317,97.0,0.959,93.0,0.951,93.0,0.943,92.0,0.7713,60.0,0.6054,69.0,0.7074,66.0,0.717,69.0,0.7267,71.0
ACN,23.0,,,284.3399963378906,,0.6666,97.0,0.5288,98.0,0.3918,89.0,0.3935,89.0,0.3953,89.0,0.3017,76.0,0.2373,71.0,0.2727,71.0,0.3066,79.0,0.3405,83.0
ACNB,79.0,,,38.45000076293945,,0.5774,,0.6234,,0.6062,,0.5342,,0.4621,,0.4006,,0.3535,,0.3549,,0.3906,,0.4262,
ACNT,339.0,,,12.460000038146973,,0.1268,,0.3324,,,,,,,,0.2723,,0.3302,,,,,,,
ACR,38.0,,,16.59000015258789,,0.8572,99.0,0.8182,100.0,0.787,,,,,,0.3836,61.0,0.3575,55.0,0.4155,,,,,
ACRE,59.0,,,3.559999942779541,,0.7031,98.0,0.8422,99.0,0.3584,67.0,0.545,89.0,0.7317,96.0,0.4206,94.0,0.3765,94.0,0.3584,75.0,0.5199,92.0,0.6814,96.0
ACRS,44.0,,,1.149999976158142,,0.8853,82.0,1.0601,90.0,,,,,,,1.1843,81.0,0.9745,81.0,,,,,,
ACT,67.0,,,35.369998931884766,,0.5788,99.0,0.4746,97.0,0.3628,71.0,,,,,0.2307,40.0,0.2139,37.0,0.3628,91.0,,,,
ACTG,30.0,,,2.9100000858306885,,0.7015,87.0,0.8248,94.0,0.4889,23.0,0.506,26.0,0.5232,32.0,0.4021,28.0,0.383,20.0,0.4889,24.0,0.506,26.0,0.5232,32.0
ACVA,52.0,,,14.270000457763672,,1.131,97.0,1.027,100.0,0.6723,63.0,0.744,,0.8157,,0.5376,63.0,0.5077,56.0,0.6605,84.0,0.6616,,0.6626,
ACWI,,,,111.0999984741211,,0.7585,100.0,0.5337,99.0,0.3009,98.0,0.307,97.0,0.3132,97.0,0.2131,78.0,0.163,83.0,0.1606,77.0,0.1906,78.0,0.2207,76.0
ACWX,,,,53.5099983215332,,0.671,99.0,0.4176,99.0,,,,,0.2994,91.0,0.1976,72.0,0.1313,76.0,,,,,0.2612,91.0
ACXP,26.0,,,0.3540000021457672,,0.9841,,0.8628,,,,,,,,1.1911,,1.0051,,,,,,,
ADAP,150.0,,,0.22200000286102295,,1.6678,98.0,1.9254,99.0,,,,,,,1.1327,91.0,1.065,89.0,,,,,,
ADBE,31.0,,,352.4700012207031,,0.6809,95.0,0.5505,97.0,0.3796,76.0,0.3886,78.0,0.3975,79.0,0.4127,81.0,0.2691,61.0,0.3716,83.0,0.3783,85.0,0.385,85.0
ADC,60.0,,,74.91000366210938,,0.4328,97.0,0.4246,98.0,0.3037,75.0,0.3062,76.0,0.3088,78.0,0.1995,54.0,0.2049,60.0,0.2285,64.0,0.236,65.0,0.2436,57.0
ADCT,156.0,,,1.2200000286102295,,1.1776,91.0,1.0306,91.0,,,,,,,1.2598,96.0,1.0192,95.0,,,,,,
ADEA,53.0,,,11.770000457763672,,1.07,,0.7805,,0.7236,,,,,,0.5984,,0.4182,,0.8036,,,,,
ADI,52.0,,,179.16000366210938,,1.5543,100.0,1.1006,100.0,0.6891,98.0,0.7061,98.0,0.723,98.0,0.4685,91.0,0.3688,89.0,0.3321,79.0,0.3728,87.0,0.4136,92.0
ADM,67.0,,,45.84000015258789,,0.7644,99.0,0.5495,99.0,0.4028,93.0,0.4092,93.0,0.4155,93.0,0.3136,75.0,0.2718,82.0,0.2208,33.0,0.2951,73.0,0.3693,92.0
ADMA,40.0,,,19.399999618530273,,0.8728,85.0,0.8866,90.0,0.6643,18.0,0.6692,18.0,0.6741,23.0,0.6063,40.0,0.5562,32.0,0.589,13.0,0.5958,14.0,0.6025,15.0
