symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,36.0,,,115.98999786376952,,0.2225,46.0,0.2504,64.0,0.3247,64.0,0.3261,64.0,0.2551,38.0,0.2444,60.0,0.293,53.0,0.3315,63.0
AA,71.0,,,30.84000015258789,,0.3792,57.0,0.4335,78.0,0.5904,87.0,0.5595,84.0,0.4442,60.0,0.3785,65.0,0.3934,54.0,0.4745,72.0
AAL,70.0,,,10.59000015258789,,0.3498,49.0,0.4261,78.0,0.6474,90.0,0.6419,90.0,0.4731,78.0,0.3749,68.0,0.4896,78.0,0.5204,81.0
AAMI,56.0,,,26.579999923706055,,0.2356,,0.2551,,0.3354,,0.4826,,0.3129,,0.2992,,0.3354,,0.5132,
AAOI,36.0,,,15.960000038146973,,0.9093,77.0,0.8967,87.0,1.0804,85.0,1.0976,84.0,1.3975,96.0,1.0959,96.0,1.0121,90.0,1.0476,91.0
AAON,35.0,,,82.72000122070312,,0.4162,85.0,0.4537,94.0,0.4939,91.0,0.5695,96.0,0.6321,98.0,0.4229,96.0,0.4967,100.0,0.4995,99.0
AAP,36.0,,,39.31999969482422,,0.5198,93.0,0.4877,96.0,0.4892,91.0,0.5661,95.0,0.5401,94.0,0.4685,96.0,0.552,98.0,0.5393,95.0
AAPB,,,,25.959999084472656,,0.5235,75.0,0.4213,86.0,0.7166,94.0,0.5665,69.0,0.4744,70.0,0.3903,87.0,0.5012,78.0,0.5188,60.0
AAPD,,,,16.920000076293945,,0.2664,71.0,0.2237,76.0,0.2341,,0.3019,,0.2366,67.0,0.1995,73.0,0.2095,,0.3019,
AAPL,63.0,,,223.88999938964844,,0.2503,50.0,0.2427,57.0,0.2787,47.0,0.2794,48.0,0.236,25.0,0.2111,38.0,0.2602,26.0,0.2975,37.0
AAPU,,,,28.489999771118164,,0.509,80.0,0.4441,85.0,0.5391,76.0,0.5271,64.0,0.4952,89.0,0.4066,87.0,0.4371,64.0,0.5442,76.0
AAT,58.0,,,20.399999618530273,,0.159,32.0,0.1914,44.0,0.4602,85.0,0.4327,84.0,0.2592,66.0,0.2309,62.0,0.4602,96.0,0.5257,98.0
AAXJ,,,,74.5,,0.1433,42.0,0.0924,53.0,0.2044,73.0,0.1896,55.0,0.1773,50.0,0.0947,42.0,0.1763,50.0,0.181,14.0
AB,56.0,,,39.0099983215332,,0.0852,2.0,0.1138,1.0,0.2448,37.0,0.2954,44.0,0.3052,61.0,0.2587,38.0,0.2448,50.0,0.3518,63.0
ABAT,140.0,,,1.0199999809265137,,1.4115,93.0,1.0438,87.0,1.1658,,1.0377,,1.4056,90.0,1.3046,100.0,1.1556,,1.0377,
ABBV,62.0,,,205.19000244140625,,0.3107,82.0,0.304,90.0,0.2576,74.0,0.2818,76.0,0.2951,76.0,0.2141,51.0,0.2629,80.0,0.2623,18.0
ABCB,63.0,,,57.779998779296875,,0.1893,28.0,0.2438,41.0,0.3954,73.0,0.2931,38.0,0.3236,67.0,0.2466,23.0,0.3142,57.0,0.3346,64.0
ABCL,35.0,,,2.2200000286102295,,0.6252,63.0,0.6155,63.0,0.8916,77.0,1.185,98.0,0.6875,66.0,0.6293,63.0,0.8785,65.0,0.8789,88.0
ABEO,14.0,,,4.679999828338623,,0.6026,41.0,0.5835,27.0,1.6491,84.0,,,0.4286,4.0,0.4761,4.0,2.5024,96.0,,
ABEV,36.0,,,2.359999895095825,,0.1922,21.0,0.1946,25.0,0.2712,26.0,0.3586,33.0,0.3173,56.0,0.244,48.0,0.1682,1.0,0.3432,22.0
ABG,63.0,,,230.7899932861328,,0.4555,73.0,0.4407,79.0,0.3865,59.0,0.3862,57.0,0.3601,47.0,0.2911,28.0,0.3936,60.0,0.3957,59.0
ABL,147.0,,,7.869999885559082,,0.6652,,0.7682,,0.4369,,0.6077,,0.4689,,0.4944,,0.5179,,0.5722,
ABM,22.0,,,49.20000076293945,,0.2191,47.0,0.2702,67.0,0.2731,47.0,0.3233,57.0,0.2984,59.0,0.2666,64.0,0.2916,59.0,0.3266,62.0
ABNB,49.0,,,122.8000030517578,,0.3116,33.0,0.3235,43.0,0.3705,37.0,0.3851,41.0,0.3983,52.0,0.2843,32.0,0.3938,22.0,0.4043,17.0
ABNY,,,,12.739399909973145,,0.2768,,0.2715,,,,0.8609,,0.3273,,0.2142,,,,0.8609,
ABOS,142.0,,,1.0800000429153442,,0.676,50.0,0.7546,54.0,,,,,0.6907,7.0,0.7308,28.0,,,,
ABR,41.0,,,11.770000457763672,,0.1758,39.0,0.2249,57.0,0.336,66.0,0.3473,56.0,0.294,60.0,0.299,65.0,0.2635,73.0,0.6499,86.0
ABSI,16.0,,,2.4800000190734863,,0.5508,13.0,0.6804,15.0,1.1712,46.0,1.1117,,1.0645,99.0,0.9596,34.0,1.1007,45.0,1.0889,
ABT,71.0,,,131.92999267578125,,0.2635,81.0,0.2386,82.0,0.2576,82.0,0.2864,87.0,0.2073,57.0,0.1901,62.0,0.2431,70.0,0.2274,32.0
ABUS,148.0,,,3.509999990463257,,0.467,43.0,0.5108,36.0,0.6429,14.0,0.5336,3.0,0.4079,13.0,0.4311,15.0,1.4597,82.0,0.5919,5.0
ACA,35.0,,,81.41999816894531,,0.4073,77.0,0.3323,68.0,0.3737,49.0,0.4456,76.0,0.3074,31.0,0.273,28.0,0.3511,52.0,0.3593,59.0
ACAD,36.0,,,16.6200008392334,,0.2434,9.0,0.2667,4.0,0.836,73.0,0.848,73.0,0.4287,6.0,0.3865,9.0,0.5159,18.0,0.5235,17.0
ACB,57.0,,,4.46999979019165,,0.4674,25.0,0.5584,33.0,0.5425,7.0,0.8024,28.0,0.8266,46.0,0.6394,39.0,0.6614,21.0,0.8229,18.0
ACCD,76.0,,,6.989999771118164,,0.0204,1.0,0.0232,1.0,,,,,1.0772,85.0,0.3935,6.0,,,,
ACCO,42.0,,,4.28000020980835,,0.3909,73.0,0.4022,81.0,,,,,0.4512,84.0,0.3413,66.0,,,,
ACDC,28.0,,,8.329999923706055,,0.6174,60.0,0.5822,62.0,0.722,64.0,0.8053,81.0,0.6806,59.0,0.6495,89.0,0.7369,85.0,0.755,84.0
ACEL,155.0,,,10.220000267028809,,0.2424,28.0,0.2126,17.0,0.4969,50.0,0.3399,6.0,0.2842,6.0,0.2705,22.0,0.3483,15.0,0.3399,5.0
