symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,49.0,,,103.12000274658205,,0.7643,98.0,0.6916,99.0,0.4326,86.0,0.448,87.0,0.4635,88.0,0.3255,72.0,0.2969,79.0,0.3225,68.0,0.3425,73.0,0.3624,77.0
AA,84.0,,,24.68000030517578,,1.2154,99.0,1.1581,100.0,0.7737,97.0,0.7766,97.0,0.7794,97.0,0.5491,80.0,0.4743,83.0,0.514,84.0,0.5474,87.0,0.5809,90.0
AAL,83.0,,,9.850000381469728,,1.7416,100.0,1.1222,99.0,0.7452,94.0,0.7452,94.0,0.7453,94.0,0.6201,91.0,0.4642,83.0,0.5295,84.0,0.5296,83.0,0.5296,83.0
AAMI,69.0,,,26.530000686645508,,0.6633,,0.7777,,0.3942,,,,,,0.3682,,0.3488,,0.3276,,,,,
AAOI,49.0,,,11.449999809265137,,2.0582,98.0,1.9435,100.0,1.2348,90.0,1.2223,90.0,1.2098,89.0,1.5034,98.0,1.1876,98.0,1.0014,89.0,1.0394,91.0,1.0774,93.0
AAON,48.0,,,82.08999633789062,,0.8257,99.0,0.8607,100.0,0.6455,98.0,0.6844,99.0,0.7233,100.0,0.667,99.0,0.4711,97.0,0.5501,100.0,0.5462,100.0,0.5424,100.0
AAP,49.0,,,32.38999938964844,,0.9517,99.0,0.9135,100.0,0.57,95.0,0.5334,94.0,0.4969,90.0,0.583,94.0,0.5083,97.0,0.5653,98.0,0.5963,99.0,0.6273,99.0
AAPB,,,,20.200000762939453,,2.0209,,1.7085,,0.9744,,0.984,,0.9936,,0.741,,0.5714,,0.5744,,0.6068,,0.6393,
AAPD,,,,17.959999084472656,,1.1816,,0.9376,,0.5365,,,,,,0.3872,,0.3011,,0.2891,,,,,
AAPL,76.0,,,202.13999938964844,,1.0763,100.0,0.8922,100.0,0.3875,76.0,0.3889,76.0,0.3903,76.0,0.3756,76.0,0.3026,68.0,0.2905,35.0,0.3098,41.0,0.3291,50.0
AAPU,,,,22.13999938964844,,2.0122,,1.7413,,0.7524,,0.7608,,0.7693,,0.7517,,0.5884,,0.57,,0.6089,,0.6478,
AAT,71.0,,,18.90999984741211,,0.656,98.0,0.6357,100.0,0.3616,73.0,0.4117,82.0,0.4619,87.0,0.3032,80.0,0.2752,82.0,0.3616,86.0,0.4117,92.0,0.4619,94.0
AAXJ,,,,71.05000305175781,,0.5937,100.0,0.4017,100.0,0.2144,78.0,0.2274,81.0,0.2403,83.0,0.2258,82.0,0.1331,87.0,0.1946,69.0,0.221,79.0,0.2475,83.0
AB,69.0,,,37.189998626708984,,0.7637,97.0,0.6372,96.0,0.1797,9.0,0.3988,84.0,0.6179,95.0,0.3556,76.0,0.2996,63.0,0.1941,27.0,0.2633,39.0,0.3325,55.0
ABAT,153.0,,,1.059999942779541,,0.7345,64.0,0.8182,71.0,1.1324,,1.2226,,1.3129,,1.4111,90.0,1.3109,100.0,0.9451,,1.129,,1.3129,
ABBV,75.0,,,176.8000030517578,,0.4784,96.0,0.6226,100.0,0.3934,97.0,0.3959,97.0,0.3983,97.0,0.3326,87.0,0.2677,82.0,0.2912,95.0,0.2922,91.0,0.2933,50.0
ABCB,76.0,,,52.40999984741211,,0.6977,97.0,0.6509,98.0,0.3747,67.0,0.3756,63.0,0.3765,70.0,0.3823,87.0,0.2906,62.0,0.3413,71.0,0.3526,72.0,0.364,78.0
ABCL,48.0,,,2.430000066757202,,1.2782,99.0,1.077,98.0,3.7607,100.0,2.3601,,0.9595,,0.7439,89.0,0.673,77.0,2.207,100.0,1.5864,,0.9659,
ABEO,27.0,,,4.920000076293945,,0.8557,73.0,0.9969,80.0,2.2293,92.0,2.171,90.0,2.1126,89.0,0.4861,8.0,0.5387,7.0,1.7431,89.0,1.9278,91.0,2.1126,93.0
ABEV,49.0,,,2.2799999713897705,,0.5719,95.0,0.4363,97.0,0.22,7.0,0.3137,32.0,0.4074,56.0,0.3404,70.0,0.2625,56.0,0.2223,14.0,0.3023,27.0,0.3823,37.0
ABG,76.0,,,222.16000366210935,,0.7415,93.0,0.7696,96.0,0.4631,77.0,0.4561,76.0,0.4491,75.0,0.4051,59.0,0.3498,56.0,0.4142,66.0,0.4176,66.0,0.421,67.0
ABL,160.0,,,8.0,,0.8227,,0.9114,,0.5283,,0.5274,,0.5265,,0.5065,,0.5317,,0.5283,,0.5274,,0.5265,
ABM,35.0,,,47.029998779296875,,0.6289,95.0,0.6079,98.0,0.3214,60.0,0.3965,78.0,0.4716,85.0,0.3364,70.0,0.3027,73.0,0.3202,69.0,0.3244,65.0,0.3287,63.0
ABNB,62.0,,,114.63999938964844,,0.9746,98.0,0.8189,98.0,0.4442,55.0,0.4362,53.0,0.4282,51.0,0.4699,61.0,0.3453,51.0,0.4155,32.0,0.4212,26.0,0.4269,23.0
ABNY,,,,11.402999877929688,,0.6758,,0.4752,,,,,,0.8712,,0.3999,,0.2461,,,,,,0.8712,
ABOS,155.0,,,1.0499999523162842,,1.0835,,1.2123,,,,,,,,0.7365,,0.7819,,,,,,,
ABR,54.0,,,10.84000015258789,,0.8417,98.0,0.8332,99.0,0.3191,62.0,0.3808,67.0,0.4426,75.0,0.3489,71.0,0.359,88.0,0.179,40.0,0.4037,70.0,0.6284,84.0
ABSI,29.0,,,3.119999885559082,,1.436,,1.3808,,1.2797,,1.2626,,1.2456,,1.1278,,1.013,,1.2745,,1.2692,,1.2638,
ABT,84.0,,,126.22000122070312,,0.2647,81.0,0.3803,97.0,0.324,93.0,0.2895,88.0,0.255,79.0,0.2279,71.0,0.215,78.0,0.246,72.0,0.2454,68.0,0.2447,51.0
ABUS,161.0,,,3.1600000858306885,,0.9105,86.0,0.8932,85.0,4.9932,100.0,2.9725,100.0,0.9518,59.0,0.4566,23.0,0.4799,19.0,0.6035,5.0,0.7466,18.0,0.8896,53.0
ACA,48.0,,,77.5,,0.7121,95.0,0.7054,98.0,0.5292,92.0,0.493,89.0,0.4568,79.0,0.3647,59.0,0.3202,56.0,0.379,73.0,0.3767,73.0,0.3744,70.0
ACAD,49.0,,,14.989999771118164,,0.7171,77.0,0.7626,84.0,1.1305,90.0,1.0423,85.0,0.9541,80.0,0.4574,12.0,0.4244,17.0,0.6363,49.0,0.6458,51.0,0.6554,54.0
ACB,70.0,,,4.230000019073486,,0.7461,62.0,0.8145,77.0,1.4705,87.0,1.048,57.0,0.6256,8.0,0.8461,48.0,0.6657,41.0,0.6918,26.0,0.732,14.0,0.7721,11.0
ACCO,55.0,,,3.690000057220459,,0.8683,97.0,0.7529,100.0,,,,,,,0.4993,90.0,0.3854,84.0,,,,,,
ACDC,41.0,,,4.494999885559082,,1.8766,,1.6483,,0.7457,,0.8358,,0.926,,0.9239,,0.7765,,0.8145,,0.8278,,0.8412,
ACEL,168.0,,,11.260000228881836,,0.3475,57.0,0.5408,91.0,0.3932,24.0,,,,,0.3158,21.0,0.3039,37.0,0.3932,31.0,,,,
ACES,,,,21.75,,0.7475,99.0,0.6484,100.0,0.4442,74.0,0.4303,70.0,0.4164,61.0,0.3361,30.0,0.2737,48.0,0.3102,49.0,0.3236,40.0,0.3369,31.0
ACET,41.0,,,0.5920000076293945,,1.8638,98.0,1.3431,99.0,,,,,,,0.8236,79.0,0.8236,91.0,,,,,,
ACGL,65.0,,,92.45999908447266,,0.4438,95.0,0.476,98.0,0.3391,90.0,0.4326,96.0,0.5261,98.0,0.2882,87.0,0.2313,80.0,0.3014,89.0,0.3003,89.0,0.2992,88.0
ACHC,48.0,,,24.729999542236328,,0.8231,96.0,0.7339,98.0,0.675,95.0,0.7113,96.0,0.7475,97.0,0.6544,96.0,0.452,86.0,0.5736,96.0,0.5756,96.0,0.5776,96.0
ACHR,48.0,,,7.119999885559082,,1.1363,,1.2809,,0.7759,,0.7438,,0.7116,,1.1803,,1.0686,,0.8761,,0.7926,,0.7091,
ACHV,36.0,,,2.1600000858306885,,0.992,,1.3449,,,,,,,,0.6221,,0.6641,,,,,,,
ACI,98.0,,,19.940000534057617,,0.5314,71.0,0.4583,68.0,0.2647,8.0,0.257,5.0,0.2492,4.0,0.2877,14.0,0.2767,19.0,0.2869,11.0,0.2728,4.0,0.2588,1.0
ACIC,48.0,,,11.170000076293944,,0.2713,,0.6525,,0.6513,,0.5042,,0.357,,0.4746,,0.4287,,0.4456,,0.4826,,0.5196,
ACIU,34.0,,,1.5099999904632568,,0.5799,56.0,0.934,87.0,,,,,,,0.5347,5.0,0.5993,10.0,,,,,,
ACIW,48.0,,,52.220001220703125,,0.7875,96.0,0.7654,98.0,0.5773,89.0,0.5434,87.0,0.5096,84.0,0.3963,73.0,0.3425,68.0,0.4005,77.0,0.4052,79.0,0.4099,79.0
ACLS,65.0,,,47.16999816894531,,1.1278,95.0,1.092,96.0,0.6804,87.0,0.6749,87.0,0.6695,86.0,0.529,52.0,0.481,51.0,0.5829,78.0,0.59,80.0,0.5972,82.0
ACLX,48.0,,,61.43000030517578,,0.8706,,0.985,,0.6032,,0.7627,,0.9222,,0.5824,,0.5844,,0.632,,0.6517,,0.6713,
ACM,72.0,,,93.95999908447266,,0.5759,93.0,0.5599,95.0,0.4313,84.0,0.389,76.0,0.3466,63.0,0.2687,37.0,0.262,52.0,0.2818,30.0,0.2931,40.0,0.3043,49.0
ACMR,49.0,,,20.5,,1.055,89.0,1.1515,96.0,0.8164,84.0,0.7999,82.0,0.7835,81.0,0.7649,60.0,0.6017,69.0,0.6989,62.0,0.7011,63.0,0.7034,65.0
ACN,27.0,,,288.6600036621094,,0.5465,96.0,0.4918,97.0,0.2866,70.0,0.284,67.0,0.2813,65.0,0.3021,76.0,0.2379,71.0,0.2627,66.0,0.2935,75.0,0.3243,79.0
ACNB,83.0,,,40.099998474121094,,0.3967,,0.5201,,,,,,0.5909,,0.4029,,0.3497,,,,,,0.3788,
ACNT,343.0,,,12.550000190734863,,0.1905,,0.3267,,,,,,,,0.2692,,0.3284,,,,,,,
ACR,42.0,,,17.170000076293945,,0.9375,99.0,0.8234,100.0,0.5431,,,,,,0.3928,62.0,0.3686,62.0,0.4538,,,,,
ACRE,63.0,,,3.660000085830689,,0.7626,98.0,0.8356,99.0,0.7005,95.0,0.6611,94.0,0.6217,94.0,0.4225,94.0,0.3803,94.0,0.4552,89.0,0.5384,93.0,0.6217,96.0
ACRS,48.0,,,1.1200000047683716,,0.9644,86.0,1.0732,90.0,,,,,,,1.1867,81.0,0.9792,82.0,,,,,,
ACT,71.0,,,35.2599983215332,,0.4541,95.0,0.4593,97.0,,,,,0.2738,39.0,0.2312,40.0,0.2153,37.0,,,,,0.2738,21.0
ACTG,34.0,,,3.009999990463257,,0.4827,66.0,0.7627,92.0,0.659,60.0,0.565,42.0,0.4709,18.0,0.4059,30.0,0.3856,21.0,0.659,70.0,0.565,43.0,0.4709,17.0
ACVA,56.0,,,14.300000190734863,,0.8763,94.0,0.9504,98.0,0.7562,80.0,0.7655,,0.7748,,0.5375,63.0,0.5098,56.0,0.6017,59.0,0.6054,,0.6092,
ACWI,,,,112.72000122070312,,0.5896,99.0,0.5194,99.0,0.2211,91.0,0.2234,89.0,0.2257,87.0,0.2134,78.0,0.1635,83.0,0.1439,63.0,0.1804,71.0,0.217,74.0
ACWX,,,,54.40999984741211,,0.5019,97.0,0.4039,99.0,0.22,88.0,0.2256,85.0,0.2312,81.0,0.1969,72.0,0.131,76.0,0.1706,80.0,0.1897,80.0,0.2088,72.0
ACXP,30.0,,,0.3799999952316284,,0.8371,,0.7612,,,,,,,,1.198,,1.0063,,,,,,,
ADAP,154.0,,,0.25,,1.158,90.0,1.5929,99.0,,,,,,,1.1407,91.0,1.0689,89.0,,,,,,
ADBE,35.0,,,350.3800048828125,,0.5508,91.0,0.549,97.0,0.3075,55.0,0.3061,54.0,0.3047,53.0,0.4103,81.0,0.2701,61.0,0.3649,80.0,0.3734,84.0,0.3819,84.0
ADC,64.0,,,77.36000061035156,,0.4069,97.0,0.4069,98.0,0.188,26.0,0.1994,23.0,0.2108,30.0,0.201,55.0,0.2054,60.0,0.1976,45.0,0.2075,40.0,0.2174,33.0
ADCT,160.0,,,1.2100000381469729,,1.0496,88.0,1.028,91.0,,,,,,,1.2598,96.0,1.0202,95.0,,,,,,
ADEA,57.0,,,12.100000381469728,,0.7455,,0.7396,,0.6416,,,,,,0.5991,,0.4198,,0.9027,,,,,
ADI,56.0,,,179.5399932861328,,1.289,100.0,1.0612,100.0,0.3979,85.0,0.4054,86.0,0.4129,86.0,0.4638,91.0,0.3688,89.0,0.3216,76.0,0.3626,85.0,0.4035,91.0
ADM,71.0,,,46.06999969482422,,0.4611,93.0,0.5023,98.0,0.3423,86.0,0.3498,87.0,0.3574,87.0,0.3144,75.0,0.2727,82.0,0.2102,26.0,0.2824,65.0,0.3547,89.0
ADMA,44.0,,,22.149999618530273,,0.7598,81.0,0.9372,92.0,0.5184,7.0,0.6766,19.0,0.8349,49.0,0.6165,42.0,0.5608,32.0,0.5759,12.0,0.5804,11.0,0.5849,12.0
ADNT,78.0,,,10.890000343322754,,1.3308,98.0,1.0197,99.0,0.7555,88.0,1.02,98.0,1.2845,99.0,0.5324,56.0,0.4976,71.0,0.7586,93.0,0.7182,92.0,0.6777,85.0
ADP,77.0,,,298.05999755859375,,0.4639,97.0,0.4431,98.0,0.256,81.0,0.2489,79.0,0.2418,75.0,0.2148,67.0,0.196,65.0,0.2554,82.0,0.2483,73.0,0.2411,56.0
ADPT,64.0,,,7.739999771118164,,0.8318,74.0,1.195,97.0,0.9015,62.0,0.9618,73.0,1.0221,80.0,0.8172,69.0,0.8464,100.0,0.8938,77.0,1.0152,92.0,1.1366,96.0
ADSE,,,,12.220000267028809,,0.7537,,0.9781,,,,,,,,0.419,,0.5771,,,,,,,
ADSK,48.0,,,265.3399963378906,,0.6588,94.0,0.6065,98.0,0.3273,47.0,0.3262,46.0,0.325,45.0,0.3186,39.0,0.2636,36.0,0.3408,31.0,0.3452,32.0,0.3497,33.0
ADT,48.0,,,8.020000457763672,,0.5406,87.0,0.5701,95.0,0.3553,38.0,0.4182,50.0,0.4811,62.0,0.3861,41.0,0.294,38.0,0.3097,32.0,0.3399,35.0,0.3702,39.0
ADTN,160.0,,,7.699999809265137,,1.0058,98.0,0.9446,100.0,0.705,96.0,0.6898,96.0,0.6747,95.0,0.6016,93.0,0.5575,97.0,0.6126,99.0,0.6168,99.0,0.6211,98.0
ADUS,51.0,,,99.23999786376952,,0.4379,83.0,0.4461,86.0,0.627,95.0,0.4806,84.0,0.3341,28.0,0.3244,37.0,0.3031,18.0,0.353,37.0,0.3502,33.0,0.3475,33.0
ADV,40.0,,,1.2300000190734863,,1.4452,100.0,1.1939,99.0,,,,,,,0.7343,94.0,0.7197,100.0,,,,,,
ADVM,163.0,,,3.2300000190734863,,0.8174,75.0,1.3434,98.0,5.4965,100.0,3.3429,100.0,1.1893,78.0,0.7658,57.0,0.8259,73.0,3.5226,100.0,2.2936,100.0,1.0646,78.0
