symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,100.0,,,113.94000244140625,,0.2312,48.0,0.2115,47.0,0.3015,57.0,0.2984,55.0,0.2953,53.0,0.3396,76.0,0.2978,79.0,0.3191,67.0,0.3142,61.0,0.3092,53.0,20270115.0,35.0,609.0
AA,135.0,,,27.8700008392334,,0.3686,54.0,0.3878,69.0,0.5098,78.0,0.5048,76.0,0.4998,75.0,0.5625,82.0,0.4835,84.0,0.4649,74.0,0.4874,75.0,0.5098,78.0,20270115.0,7.0,609.0
AAAU,,,,33.150001525878906,,0.1917,,0.0916,,0.1916,,0.1865,,0.1814,,0.1957,,0.1007,,0.1912,,0.1929,,0.1946,,20251219.0,35.0,217.0
AACT,,,,11.420000076293945,,0.1034,,0.0857,,,,,,,,0.0309,,0.0319,,,,,,,,,,
AAL,134.0,,,11.270000457763672,,0.1379,3.0,0.2672,28.0,0.4359,68.0,0.4326,67.0,0.4293,66.0,0.6218,91.0,0.4726,84.0,0.488,78.0,0.4954,80.0,0.5029,79.0,20271217.0,7.0,945.0
AAMI,120.0,,,30.059999465942383,,0.131,,0.1482,,0.3021,,0.6453,,0.9885,,0.0,,0.0,,0.3021,,0.3389,,0.3757,,20260116.0,35.0,245.0
AAOI,100.0,,,16.260000228881836,,0.9052,77.0,0.819,81.0,0.9107,74.0,0.9156,74.0,0.9205,74.0,1.4014,96.0,1.1504,97.0,0.9673,86.0,0.9818,87.0,0.9962,86.0,20270115.0,7.0,609.0
AAON,99.0,,,94.8499984741211,,0.2505,43.0,0.2704,46.0,0.4272,82.0,0.4269,80.0,0.4266,82.0,0.6313,97.0,0.4662,97.0,0.4667,98.0,0.4617,98.0,0.4567,97.0,20260116.0,35.0,245.0
AAP,100.0,,,52.31999969482422,,0.7742,97.0,0.5975,98.0,0.4802,90.0,0.4618,88.0,0.4433,84.0,0.8674,100.0,0.5348,98.0,0.556,98.0,0.5527,97.0,0.5493,96.0,20270115.0,7.0,609.0
AAPB,,,,19.450000762939453,,0.2037,,0.3605,,0.5892,,0.5648,,0.5404,,0.7926,,0.5969,,0.5172,,0.5756,,0.634,,20260116.0,35.0,245.0
AAPD,,,,17.989999771118164,,0.0925,,0.1854,,0.263,,0.2632,,0.2634,,0.4113,,0.313,,0.2205,,0.2899,,0.3593,,20260116.0,35.0,245.0
AAPL,127.0,,,200.6300048828125,,0.0976,5.0,0.1903,38.0,0.2966,53.0,0.2976,53.0,0.2985,53.0,0.4014,83.0,0.3147,72.0,0.2866,34.0,0.3031,39.0,0.3196,47.0,20271217.0,7.0,945.0
AAPU,,,,21.25,,0.2014,,0.3734,,0.5658,,0.5771,,0.5883,,0.7904,,0.613,,0.4622,,0.5641,,0.6659,,20260116.0,35.0,245.0
AAPW,,,,35.808101654052734,,0.0895,,0.1967,,,,,,0.4926,,0.0,,0.0,,,,,,0.666,,20251219.0,35.0,217.0
