symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,29.0,,,119.9000015258789,34357704178.045166,0.1523,19.0,0.2068,45.0,0.2982,55.0,0.2979,54.0,0.2619,42.0,0.2442,60.0,0.3055,61.0,0.2937,39.0
AA,64.0,,,33.34000015258789,8727045366.661255,0.3568,52.0,0.3577,62.0,0.4973,75.0,0.4958,75.0,0.454,61.0,0.3712,63.0,0.4378,69.0,0.4717,72.0
AAL,63.0,,,11.4399995803833,7568692007.8220215,0.4365,68.0,0.3359,57.0,0.4493,71.0,0.458,73.0,0.4801,80.0,0.3715,66.0,0.4546,73.0,0.4816,76.0
AAMI,49.0,,,26.610000610351562,997656820.8831787,0.2951,,0.2826,,0.2399,,0.4753,,0.3166,,0.3007,,0.2399,,0.4753,
AAOI,29.0,,,19.489999771118164,1093938605.1532745,1.0032,82.0,0.7671,76.0,0.8618,71.0,1.1232,86.0,1.3915,96.0,1.1001,96.0,1.0649,95.0,1.0511,91.0
AAON,28.0,,,81.44999694824219,6862332962.083008,0.4923,92.0,0.3729,84.0,0.5047,92.0,0.4209,81.0,0.6274,97.0,0.4137,96.0,0.4923,100.0,0.4871,99.0
AAP,29.0,,,37.81999969482422,2262887823.740387,0.3282,73.0,0.3543,85.0,0.4994,92.0,0.5058,91.0,0.5405,94.0,0.4618,96.0,0.5712,99.0,0.5337,95.0
AAPB,,,,25.489999771118164,,0.3669,47.0,0.4119,84.0,0.5622,76.0,0.4467,31.0,0.4751,70.0,0.3846,87.0,0.5133,81.0,0.4943,49.0
AAPD,,,,17.100000381469727,,0.1991,47.0,0.2117,72.0,0.2508,,0.3888,,0.2374,67.0,0.1962,73.0,0.1934,,0.3027,
AAPL,56.0,,,221.52999877929688,3361186016945.0,0.1855,28.0,0.2158,48.0,0.2588,41.0,0.2654,43.0,0.2368,25.0,0.2072,35.0,0.2612,27.0,0.2926,34.0
AAPU,,,,27.959999084472656,,0.3608,53.0,0.4242,82.0,0.4847,66.0,0.4922,52.0,0.4963,90.0,0.4009,86.0,0.4051,47.0,0.4946,54.0
AAT,51.0,,,20.31999969482422,1566499337.75354,0.2215,59.0,0.2239,64.0,0.486,88.0,0.3633,73.0,0.2597,66.0,0.2301,62.0,0.486,97.0,0.3547,79.0
AAXJ,,,,75.23999786376953,,0.0844,9.0,0.0629,15.0,0.1626,41.0,0.1645,32.0,0.1893,57.0,0.096,45.0,0.166,39.0,0.1702,6.0
AB,49.0,,,38.349998474121094,4242161781.211853,0.0496,1.0,0.0909,1.0,0.1949,15.0,0.2258,14.0,0.3053,61.0,0.2585,38.0,0.1981,28.0,0.3064,43.0
ABAT,133.0,,,1.0099999904632568,89737489.1526699,0.6999,62.0,0.7393,67.0,1.1178,,1.3162,,1.4018,90.0,1.3121,100.0,1.0845,,1.186,
ABBV,55.0,,,201.3000030517578,356166144061.9668,0.21,57.0,0.2475,76.0,0.2491,69.0,0.2492,63.0,0.2935,76.0,0.2109,47.0,0.2552,74.0,0.2535,14.0
ABCB,56.0,,,58.939998626708984,4084718724.8268127,0.1892,28.0,0.1959,18.0,0.474,85.0,0.3098,47.0,0.3268,68.0,0.2462,23.0,0.3618,79.0,0.2857,36.0
ABCL,28.0,,,2.4200000762939453,753909864.408081,0.7308,77.0,0.5485,44.0,0.9263,81.0,0.8446,76.0,0.6785,65.0,0.6209,61.0,0.8819,66.0,0.8446,81.0
ABEO,7.0,,,4.989999771118164,242669177.86922455,0.2046,2.0,0.484,12.0,2.0677,91.0,,,0.4237,4.0,0.4762,4.0,1.0805,60.0,,
ABEV,29.0,,,2.309999942779541,36942442789.22754,0.2111,28.0,0.2356,50.0,0.246,17.0,0.3716,39.0,0.3211,59.0,0.2441,49.0,0.205,8.0,0.3918,41.0
ABG,56.0,,,237.6199951171875,4761073032.165527,0.2807,38.0,0.2689,32.0,0.3654,51.0,0.3357,36.0,0.3544,45.0,0.2798,23.0,0.373,52.0,0.3777,52.0
ABL,140.0,,,7.210000038146973,710337163.5982819,0.4526,,0.6426,,0.5446,,0.5557,,0.4531,,0.4801,,0.625,,0.5557,
ABM,15.0,,,47.630001068115234,2964081648.4703064,0.1593,26.0,0.2284,52.0,0.3257,61.0,0.3665,70.0,0.2993,60.0,0.2636,62.0,0.3083,65.0,0.2969,50.0
ABNB,42.0,,,128.63999938964844,80699605264.46875,0.2103,11.0,0.2609,24.0,0.3317,25.0,0.3389,27.0,0.3926,49.0,0.279,32.0,0.3937,22.0,0.3994,13.0
