symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
ACIC,37.0,,,10.8100004196167,,0.1816,25.0,0.2992,28.0,0.73,75.0,0.6428,59.0,0.548,42.0,0.4469,33.0,0.5848,53.0,0.5909,34.0
ACIU,23.0,,,1.659999966621399,,0.6566,64.0,0.5906,44.0,,,,,0.5238,3.0,0.5664,2.0,,,,
ACIW,37.0,,,50.18000030517578,,0.6129,93.0,0.3978,81.0,0.6312,93.0,0.6146,93.0,0.3611,68.0,0.295,48.0,0.4492,85.0,0.4418,83.0
ACLS,54.0,,,42.41999816894531,,0.8397,88.0,0.6187,78.0,0.7595,92.0,0.7674,92.0,0.4797,41.0,0.4202,25.0,0.6287,90.0,0.6346,90.0
ACLX,37.0,,,58.59000015258789,,0.9876,98.0,0.7726,92.0,0.6911,39.0,0.5418,21.0,0.5647,57.0,0.5467,56.0,0.7109,59.0,0.6961,56.0
ACM,61.0,,,89.25,,0.3603,77.0,0.286,69.0,0.4069,80.0,0.4584,87.0,0.2374,21.0,0.2291,32.0,0.2886,36.0,0.313,55.0
ACMR,38.0,,,20.299999237060547,,0.658,66.0,0.6849,74.0,0.978,94.0,0.9548,93.0,0.7598,59.0,0.5654,64.0,0.7292,72.0,0.7335,73.0
ACN,16.0,,,285.05999755859375,,0.4735,93.0,0.3035,86.0,0.4766,95.0,0.4936,95.0,0.2799,73.0,0.2096,62.0,0.3142,86.0,0.3063,71.0
ACNB,72.0,,,38.529998779296875,,0.4729,,0.437,,0.3381,,0.4045,,0.3938,,0.3355,,0.3381,,0.4045,
ACNT,332.0,,,12.699999809265137,,0.1664,10.0,0.2441,8.0,,,,,0.2729,1.0,0.3325,1.0,,,,
ACR,31.0,,,19.040000915527344,,0.5945,94.0,0.5005,92.0,0.6209,85.0,,,0.3356,41.0,0.3164,34.0,0.5162,77.0,,
ACRE,52.0,,,4.039999961853027,,0.3033,76.0,0.3948,92.0,0.9443,97.0,0.6081,94.0,0.3888,87.0,0.3281,87.0,0.8431,97.0,0.6081,96.0
ACRS,37.0,,,1.399999976158142,,0.5201,46.0,0.6226,50.0,1.528,87.0,,,1.163,80.0,0.9486,79.0,1.528,89.0,,
ACT,60.0,,,33.25,,0.3634,90.0,0.2522,69.0,0.307,54.0,,,0.2081,32.0,0.1893,25.0,0.307,61.0,,
ACTG,23.0,,,2.950000047683716,,0.7076,88.0,0.5366,71.0,,,0.6451,61.0,0.3936,27.0,0.3467,13.0,,,1.3017,100.0
ACVA,45.0,,,13.3100004196167,,0.7959,91.0,0.7463,92.0,0.8231,87.0,1.0296,89.0,0.5067,49.0,0.4644,53.0,0.6892,90.0,0.7054,77.0
ACWI,,,,106.0,,0.4146,97.0,0.1937,90.0,0.4153,100.0,0.3914,99.0,0.1668,64.0,0.1088,56.0,0.1551,73.0,0.2329,84.0
ACWX,,,,51.220001220703125,,0.3833,95.0,0.1454,85.0,0.206,86.0,0.2044,75.0,0.1617,56.0,0.0914,49.0,0.1737,82.0,0.2044,69.0
ACXP,19.0,,,0.3199999928474426,,0.3276,10.0,0.6676,31.0,,,,,1.1751,85.0,0.9942,82.0,,,,
ADAP,143.0,,,0.257999986410141,,2.5754,100.0,1.9354,100.0,,,,,1.1132,91.0,1.0059,86.0,,,,
ADBE,24.0,,,349.07000732421875,,0.3762,77.0,0.2696,65.0,0.4822,89.0,0.4814,89.0,0.4006,80.0,0.2445,46.0,0.3688,82.0,0.3737,80.0
ADC,53.0,,,74.45999908447266,,0.2135,67.0,0.2081,64.0,0.2775,69.0,0.3361,83.0,0.1812,36.0,0.184,36.0,0.1767,30.0,0.2945,84.0
ADCT,149.0,,,1.1799999475479126,,0.3376,25.0,0.7751,78.0,,,,,1.2593,97.0,1.0067,95.0,,,,
ADEA,46.0,,,11.220000267028809,,0.7173,94.0,0.4421,79.0,0.9673,99.0,,,0.5781,100.0,0.3853,75.0,0.7961,100.0,,
ADI,45.0,,,164.60000610351562,,0.6932,97.0,0.4339,93.0,0.7818,100.0,0.7047,98.0,0.3703,86.0,0.2762,70.0,0.3361,81.0,0.405,91.0
ADM,60.0,,,43.31999969482422,,0.6014,97.0,0.3104,87.0,0.4786,97.0,0.5034,97.0,0.2972,72.0,0.2485,72.0,0.2345,41.0,0.3289,79.0
ADMA,33.0,,,18.010000228881836,,0.639,69.0,0.5996,61.0,0.6265,14.0,0.6895,25.0,0.6424,54.0,0.565,32.0,0.5604,9.0,0.6011,14.0
ADNT,67.0,,,11.609999656677246,,0.6864,83.0,0.678,94.0,1.1077,98.0,0.8886,96.0,0.4511,46.0,0.4411,57.0,0.6302,76.0,0.6536,80.0
ADP,66.0,,,286.1300048828125,,0.4312,96.0,0.2941,93.0,0.395,97.0,0.4041,97.0,0.1899,48.0,0.1674,48.0,0.2223,63.0,0.2904,87.0
ADPT,53.0,,,7.46999979019165,,0.7209,61.0,0.8741,87.0,1.1306,84.0,0.9375,71.0,0.8024,65.0,0.8101,93.0,1.0001,88.0,1.7307,100.0
ADSE,,,,12.010000228881836,,0.8921,,0.7621,,,,1.0535,,0.3875,,0.5422,,,,1.0535,
ADSK,37.0,,,245.5099945068359,,0.3921,74.0,0.2754,54.0,0.5338,90.0,0.5447,90.0,0.2855,23.0,0.2246,9.0,0.3606,54.0,0.3704,54.0
ADT,37.0,,,7.980000019073486,,0.3208,56.0,0.2866,46.0,0.3795,44.0,0.512,70.0,0.3761,37.0,0.2668,31.0,0.3323,37.0,0.512,75.0
ADTN,149.0,,,7.429999828338623,,0.6147,89.0,0.5376,91.0,0.8061,98.0,1.2025,100.0,0.5627,88.0,0.5158,95.0,0.6556,100.0,0.6795,99.0
ADUS,40.0,,,100.30999755859376,,0.1744,13.0,0.3471,67.0,0.414,60.0,0.408,62.0,0.3177,33.0,0.2902,17.0,0.3863,61.0,0.3861,59.0
ADV,29.0,,,1.2999999523162842,,0.7553,86.0,0.7427,87.0,,,,,0.669,83.0,0.668,91.0,,,,
ADVM,152.0,,,3.859999895095825,,1.1869,93.0,1.1343,93.0,3.9217,99.0,2.2473,98.0,0.7439,53.0,0.7739,57.0,2.7463,100.0,1.1034,82.0
AEE,51.0,,,95.79000091552734,,0.3925,97.0,0.3045,96.0,0.3844,97.0,0.3183,93.0,0.2087,76.0,0.1856,64.0,0.2206,82.0,0.2708,91.0
AEG,786.0,,,5.75,,0.6019,88.0,0.2276,76.0,,,0.6193,86.0,0.3233,57.0,0.1604,42.0,,,0.6552,91.0
AEHR,82.0,,,7.260000228881836,,1.2348,86.0,0.8731,70.0,1.4862,98.0,1.4973,98.0,0.9736,60.0,0.7494,45.0,0.7807,20.0,0.9024,65.0
AEIS,52.0,,,79.02999877929688,,0.8505,94.0,0.6223,91.0,0.9029,98.0,0.8533,97.0,0.4692,57.0,0.3757,46.0,0.52,74.0,0.5221,72.0
AEM,51.0,,,99.4800033569336,,0.5874,86.0,0.479,89.0,0.683,97.0,0.5842,93.0,0.3362,31.0,0.2665,24.0,0.3636,33.0,0.3639,28.0
AEO,24.0,,,10.9399995803833,,1.3546,100.0,0.8145,98.0,0.9381,99.0,0.869,98.0,0.5457,84.0,0.4161,75.0,0.5557,93.0,0.5661,88.0
AEP,51.0,,,104.4800033569336,,0.3565,94.0,0.2722,92.0,0.3353,94.0,0.3312,93.0,0.2131,76.0,0.1877,67.0,0.1723,48.0,0.2952,88.0
AER,38.0,,,89.41000366210938,,0.6398,89.0,0.3501,69.0,0.5071,80.0,0.5049,80.0,0.2675,34.0,0.2345,31.0,0.3438,50.0,0.3919,60.0
