symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
ABCL,93.0,,,2.0199999809265137,,0.3837,16.0,0.4095,11.0,0.6105,15.0,0.6634,,0.7163,,0.6895,66.0,0.6651,73.0,0.7456,33.0,0.731,,0.7163,,20260116.0,35.0,245.0
ABEO,72.0,,,6.239999771118164,,0.4401,21.0,0.7167,49.0,0.8787,35.0,0.7654,16.0,0.6521,5.0,0.6338,15.0,0.6622,12.0,0.8383,37.0,0.7452,19.0,0.6521,1.0,20251219.0,35.0,217.0
ABEV,94.0,,,2.440000057220459,,0.1406,7.0,0.1927,24.0,0.2537,19.0,0.3246,37.0,0.3956,52.0,0.3258,60.0,0.2693,63.0,0.2549,25.0,0.4083,61.0,0.5617,83.0,20270115.0,35.0,609.0
ABFL,,,,69.1458969116211,,0.156,,0.0915,,0.1843,,0.1829,,0.1815,,0.0,,0.0,,0.1756,,0.1844,,0.1933,,20251219.0,35.0,217.0
ABG,121.0,,,227.91000366210938,,0.2373,24.0,0.2518,25.0,0.3238,33.0,0.3278,34.0,0.3319,35.0,0.3903,57.0,0.3587,59.0,0.3646,47.0,0.3663,46.0,0.3681,46.0,20260116.0,35.0,245.0
ABL,205.0,,,7.730000019073486,,0.2576,,0.4193,,,,,,0.4923,,0.4193,,0.5006,,,,,,0.4803,,20270115.0,35.0,609.0
ABM,80.0,,,52.650001525878906,,0.2628,61.0,0.1743,25.0,0.4573,85.0,0.4322,82.0,0.4072,78.0,0.3327,70.0,0.3031,73.0,0.2684,49.0,0.2951,53.0,0.3217,61.0,20260116.0,35.0,245.0
ABNB,107.0,,,129.0,,0.2699,24.0,0.2201,11.0,0.2979,13.0,0.3067,15.0,0.3156,19.0,0.4604,59.0,0.3508,52.0,0.3936,22.0,0.4033,20.0,0.413,20.0,20270115.0,7.0,609.0
ABNY,,,,11.550000190734863,,0.4134,,0.2535,,0.213,,0.4629,,0.7128,,0.3804,,0.2584,,0.213,,0.4629,,0.7128,,20260116.0,35.0,245.0
ABOS,200.0,,,1.0199999809265137,,0.2913,,0.547,,,,,,,,0.7087,,0.7928,,,,,,,,20260116.0,35.0,245.0
