symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,37.0,,,109.66999816894533,,0.3703,80.0,0.2697,70.0,0.4082,83.0,0.4045,82.0,0.266,44.0,0.2464,61.0,0.308,62.0,0.3441,69.0
AA,72.0,,,27.329999923706055,,0.7286,92.0,0.4857,84.0,0.7358,96.0,0.75,96.0,0.4743,68.0,0.3822,66.0,0.445,70.0,0.4954,76.0
AAL,71.0,,,9.510000228881836,,0.6597,90.0,0.4221,78.0,0.7296,93.0,0.7278,93.0,0.4974,83.0,0.3761,68.0,0.526,83.0,0.5478,85.0
AAMI,57.0,,,24.25,,0.5958,,0.3485,,0.3412,,0.5204,,0.3367,,0.303,,0.3412,,0.5204,
AAOI,37.0,,,12.829999923706056,,1.3402,92.0,1.0391,92.0,1.2349,90.0,1.2416,90.0,1.4313,96.0,1.1027,96.0,0.944,85.0,1.0698,93.0
AAON,36.0,,,77.4800033569336,,0.5584,95.0,0.4568,94.0,0.5853,96.0,0.6305,99.0,0.6385,98.0,0.4237,96.0,0.521,100.0,0.5177,100.0
AAP,37.0,,,36.619998931884766,,0.6702,96.0,0.5419,98.0,0.5798,96.0,0.6178,97.0,0.5458,94.0,0.4683,96.0,0.5742,99.0,0.564,97.0
AAPB,,,,21.149999618530273,,1.3218,100.0,0.4644,91.0,0.8814,100.0,0.7281,89.0,0.5564,94.0,0.3933,87.0,0.6241,94.0,0.6046,89.0
AAPD,,,,18.5,,0.5854,99.0,0.2319,78.0,0.5631,,0.5744,,0.2686,90.0,0.2002,73.0,0.2666,,0.3692,
AAPL,64.0,,,203.19000244140625,,0.629,96.0,0.2583,62.0,0.4338,86.0,0.4306,85.0,0.2734,43.0,0.2123,38.0,0.2836,32.0,0.3208,47.0
AAPU,,,,23.219999313354492,,1.3191,100.0,0.4881,92.0,0.7848,96.0,0.8481,91.0,0.5732,100.0,0.4097,88.0,0.5417,94.0,0.6515,92.0
AAT,59.0,,,19.3700008392334,,0.3446,87.0,0.2253,64.0,0.6223,95.0,,,0.2688,68.0,0.233,63.0,0.6223,100.0,,
AAXJ,,,,72.77999877929688,,0.1885,66.0,0.0959,57.0,0.2894,95.0,0.1997,64.0,0.1792,52.0,0.0944,42.0,0.1913,65.0,0.1997,33.0
AB,57.0,,,37.900001525878906,,0.2076,36.0,0.1557,6.0,0.2889,60.0,0.2605,28.0,0.3082,62.0,0.2598,39.0,0.2889,71.0,0.3463,61.0
ABAT,141.0,,,1.0099999904632568,,1.3729,92.0,1.0316,86.0,0.9117,,1.3083,,1.404,90.0,1.3024,100.0,1.1864,,1.3083,
ABBV,63.0,,,201.63999938964844,,0.2245,63.0,0.299,89.0,0.3188,90.0,0.2956,81.0,0.296,76.0,0.2175,55.0,0.2673,84.0,0.2731,27.0
ABCB,64.0,,,52.060001373291016,,0.6313,96.0,0.3107,70.0,0.3631,64.0,0.3157,49.0,0.3556,83.0,0.2503,28.0,0.3806,84.0,0.3157,54.0
ABCL,36.0,,,2.0899999141693115,,0.6666,68.0,0.593,57.0,2.6833,100.0,0.9656,92.0,0.6927,68.0,0.6298,63.0,2.4949,100.0,0.883,89.0
ABEO,15.0,,,4.949999809265137,,0.7208,57.0,0.6662,42.0,1.2921,70.0,1.6735,84.0,0.435,4.0,0.4825,4.0,1.2921,78.0,1.6735,89.0
ABEV,37.0,,,2.4200000762939453,,0.2274,34.0,0.2,28.0,0.231,11.0,0.3535,32.0,0.3162,56.0,0.2449,49.0,0.231,16.0,0.7716,93.0
ABG,64.0,,,213.47000122070312,,0.6162,88.0,0.4645,82.0,0.5163,84.0,0.4717,79.0,0.3756,53.0,0.2933,31.0,0.4405,72.0,0.4353,70.0
ABL,148.0,,,7.630000114440918,,0.6818,,0.7403,,0.577,,0.6196,,0.4707,,0.4952,,0.577,,0.6196,
ABM,23.0,,,46.529998779296875,,0.428,87.0,0.3038,75.0,0.321,60.0,0.3505,65.0,0.3087,63.0,0.2693,65.0,0.3518,76.0,0.3709,77.0
ABNB,50.0,,,113.97000122070312,,0.497,71.0,0.36,56.0,0.4487,56.0,0.4158,48.0,0.4121,54.0,0.2868,32.0,0.4109,30.0,0.4217,20.0
ABNY,,,,11.449999809265137,,0.6643,,0.3249,,,,,,0.3604,,0.2183,,,,,
ABOS,143.0,,,0.9879999756813048,,0.791,65.0,0.7412,52.0,,,,,0.6985,11.0,0.7323,28.0,,,,
ABR,42.0,,,11.720000267028809,,0.172,37.0,0.2574,69.0,0.3806,75.0,0.4112,71.0,0.2939,60.0,0.3007,65.0,0.247,70.0,0.5899,77.0
ABSI,17.0,,,2.234999895095825,,0.6693,27.0,0.6926,17.0,1.2131,52.0,1.1302,,1.0741,100.0,0.96,34.0,1.2131,59.0,1.1885,
ABT,72.0,,,131.6300048828125,,0.24,76.0,0.2132,75.0,0.3146,92.0,0.3112,91.0,0.2064,57.0,0.1901,62.0,0.2498,74.0,0.2432,50.0
ABUS,149.0,,,3.509999990463257,,0.4625,42.0,0.5321,41.0,0.579,8.0,0.626,10.0,0.4075,13.0,0.4317,16.0,1.5657,85.0,0.574,3.0
ACA,36.0,,,75.44000244140625,,0.6019,92.0,0.3383,70.0,0.4447,75.0,0.4253,69.0,0.3255,35.0,0.2737,28.0,0.3903,79.0,0.3825,75.0
ACAD,37.0,,,16.1200008392334,,0.2878,16.0,0.2674,4.0,0.9077,79.0,0.9096,77.0,0.4292,6.0,0.3862,9.0,0.532,20.0,0.5423,20.0
ACB,58.0,,,4.289999961853027,,0.5205,31.0,0.5495,32.0,0.6289,14.0,0.6524,12.0,0.8278,47.0,0.6394,39.0,0.8537,55.0,0.9068,33.0
ACCD,77.0,,,7.010000228881836,,0.0253,1.0,0.0268,1.0,,,,,1.0764,85.0,0.3918,6.0,,,,
ACCO,43.0,,,4.019999980926514,,0.5234,88.0,0.414,83.0,0.6035,90.0,,,0.4595,87.0,0.3424,67.0,0.6035,95.0,,
ACDC,29.0,,,6.675000190734863,,1.4961,100.0,0.7624,87.0,0.8511,87.0,0.8522,87.0,0.7502,98.0,0.6592,90.0,0.7812,93.0,0.8169,93.0
ACEL,156.0,,,9.6899995803833,,0.407,74.0,0.2382,26.0,,,,,0.2938,15.0,0.2716,23.0,,,,
ACES,,,,22.6200008392334,,0.3225,48.0,0.2471,44.0,0.7881,100.0,0.4668,78.0,0.2895,11.0,0.2258,17.0,0.3758,82.0,0.4052,79.0
ACET,29.0,,,0.6710000038146973,,0.5913,70.0,0.7948,86.0,,,,,0.7119,73.0,0.7598,84.0,,,,
ACGL,53.0,,,96.27999877929688,,0.1908,61.0,0.1963,65.0,0.2499,70.0,0.2987,83.0,0.265,85.0,0.2145,69.0,0.2736,82.0,0.2766,82.0
ACHC,36.0,,,28.3799991607666,,0.3358,63.0,0.3757,74.0,0.5503,87.0,0.65,94.0,0.6314,96.0,0.4246,83.0,0.57,96.0,0.5968,98.0
ACHR,36.0,,,6.940000057220459,,0.6132,38.0,0.7244,53.0,0.8744,61.0,0.8663,45.0,1.1476,100.0,1.0243,100.0,0.8667,75.0,0.845,46.0
ACHV,24.0,,,2.4200000762939453,,0.531,60.0,0.6337,62.0,,,,,0.5711,51.0,0.5747,21.0,,,,
ACI,86.0,,,22.90999984741211,,0.1397,10.0,0.236,18.0,0.3758,33.0,0.3676,25.0,0.2517,14.0,0.2532,15.0,0.2047,4.0,0.266,1.0
ACIC,36.0,,,11.079999923706056,,0.315,49.0,0.323,34.0,0.5288,39.0,0.4998,17.0,0.5473,42.0,0.4458,32.0,0.5376,32.0,0.6808,61.0
ACIU,22.0,,,1.7699999809265137,,0.6173,60.0,0.5131,27.0,,,,,0.517,3.0,0.5629,2.0,,,,
ACIW,36.0,,,53.459999084472656,,0.5032,88.0,0.3604,74.0,0.5949,90.0,0.3666,56.0,0.3534,63.0,0.2929,47.0,0.3866,75.0,0.3787,71.0
ACLS,53.0,,,44.790000915527344,,0.8464,88.0,0.5554,69.0,0.6949,89.0,0.6284,80.0,0.4752,40.0,0.4148,22.0,0.5571,69.0,0.5583,68.0
ACLX,36.0,,,62.439998626708984,,0.9529,98.0,0.724,88.0,0.6122,27.0,0.5206,18.0,0.5592,57.0,0.5424,52.0,0.6636,41.0,0.6699,44.0
ACM,60.0,,,92.7300033569336,,0.2933,64.0,0.2535,59.0,0.4055,80.0,0.3289,57.0,0.232,17.0,0.2268,31.0,0.2751,25.0,0.3009,46.0
ACMR,37.0,,,22.350000381469727,,0.5549,54.0,0.5828,61.0,0.701,69.0,0.7381,75.0,0.7787,62.0,0.56,63.0,0.5898,47.0,0.6827,57.0
ACN,15.0,,,301.4599914550781,,0.3708,86.0,0.2493,76.0,0.2978,73.0,0.3382,81.0,0.269,71.0,0.2061,60.0,0.2893,78.0,0.2835,54.0
ACNB,71.0,,,38.45000076293945,,0.4753,,0.2995,,0.3274,,,,0.3937,,0.3281,,0.3274,,,
ACNT,331.0,,,12.869999885559082,,0.1468,6.0,0.2448,8.0,,,,,0.2733,1.0,0.3326,1.0,,,,
ACR,30.0,,,20.709999084472656,,0.39,72.0,0.3918,77.0,,,0.3931,28.0,0.3125,28.0,0.3063,28.0,,,0.3931,33.0
ACRE,51.0,,,4.260000228881836,,0.2564,68.0,0.3143,83.0,0.5723,92.0,,,0.3826,85.0,0.3234,85.0,0.4379,88.0,,
ACRS,36.0,,,1.4900000095367432,,0.4428,33.0,0.5979,46.0,,,,,1.1594,80.0,0.9459,79.0,,,,
ACT,59.0,,,34.970001220703125,,0.1956,46.0,0.2081,51.0,0.2761,42.0,,,0.1964,28.0,0.1861,21.0,0.309,62.0,,
ACTG,22.0,,,3.0399999618530273,,0.7048,88.0,0.4467,53.0,0.741,73.0,0.5587,41.0,0.3923,26.0,0.339,12.0,0.5191,32.0,0.4774,19.0
ACVA,44.0,,,13.59000015258789,,0.848,93.0,0.677,87.0,0.7067,71.0,0.5963,42.0,0.5063,49.0,0.4538,52.0,0.601,59.0,0.6396,63.0
ACWI,,,,112.91000366210938,,0.2503,88.0,0.1533,82.0,0.2325,93.0,0.1788,71.0,0.1414,48.0,0.1047,51.0,0.131,53.0,0.2017,62.0
ACWX,,,,54.63999938964844,,0.1447,51.0,0.1021,63.0,0.1487,61.0,0.1953,72.0,0.1337,33.0,0.0878,41.0,0.1487,68.0,0.2046,69.0
ACXP,18.0,,,0.3300000131130218,,0.5158,28.0,0.6357,25.0,,,,,1.1754,85.0,0.9943,82.0,,,,
