symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,50.0,,,102.69999694824219,,0.7636,98.0,0.6326,99.0,0.4286,85.0,0.4372,86.0,0.4457,86.0,0.3214,71.0,0.2969,79.0,0.3283,71.0,0.3442,74.0,0.3601,77.0
AA,85.0,,,25.06999969482422,,1.2174,99.0,1.0687,100.0,0.7723,97.0,0.8061,97.0,0.84,97.0,0.5489,80.0,0.4756,83.0,0.463,74.0,0.4948,77.0,0.5265,81.0
AAL,84.0,,,9.420000076293945,,1.7586,100.0,1.0566,99.0,0.7418,94.0,0.7353,94.0,0.7289,93.0,0.6147,91.0,0.4653,83.0,0.5328,84.0,0.542,85.0,0.5511,85.0
AAMI,70.0,,,26.639999389648438,,0.6706,,0.6747,,0.4093,,0.4512,,0.4932,,0.3677,,0.3491,,0.3042,,0.3987,,0.4932,
AAOI,50.0,,,10.430000305175781,,2.1273,98.0,1.7221,100.0,1.2401,90.0,1.2441,90.0,1.248,90.0,1.5032,98.0,1.1863,97.0,1.0225,90.0,1.0615,94.0,1.1005,95.0
AAON,49.0,,,80.44000244140625,,0.8512,99.0,0.7345,99.0,0.6175,97.0,0.6348,99.0,0.6522,99.0,0.6674,99.0,0.4715,97.0,0.5302,100.0,0.5312,100.0,0.5322,100.0
AAP,50.0,,,30.8799991607666,,0.8816,98.0,0.8624,100.0,0.6152,97.0,0.5922,96.0,0.5692,95.0,0.586,94.0,0.5101,97.0,0.5475,97.0,0.5908,99.0,0.6342,99.0
AAPB,,,,18.649999618530273,,2.0329,,1.5654,,0.986,,0.8964,,0.8067,,0.7487,,0.5758,,0.691,,0.6714,,0.6519,
AAPD,,,,18.649999618530273,,1.1827,,0.8742,,0.5945,,0.501,,0.4075,,0.3906,,0.3029,,0.2692,,0.3384,,0.4075,
AAPL,77.0,,,194.27000427246094,,1.0806,100.0,0.8207,100.0,0.438,86.0,0.4365,86.0,0.435,85.0,0.3794,77.0,0.3046,69.0,0.2931,36.0,0.3155,43.0,0.3379,53.0
AAPU,,,,20.420000076293945,,2.022,,1.5883,,0.7621,,0.8734,,0.9846,,0.7593,,0.5928,,0.5945,,0.6465,,0.6985,
AAT,72.0,,,18.84000015258789,,0.6073,98.0,0.5803,99.0,0.5438,91.0,0.5277,93.0,0.5117,91.0,0.303,80.0,0.2757,82.0,0.5438,99.0,0.5277,99.0,0.5117,97.0
AAXJ,,,,70.01000213623047,,0.5227,99.0,0.3635,100.0,0.2531,89.0,0.2415,85.0,0.2299,80.0,0.2262,82.0,0.1337,88.0,0.2269,88.0,0.2264,82.0,0.2258,66.0
AB,70.0,,,36.95000076293945,,0.6432,95.0,0.5635,95.0,0.1498,4.0,0.5348,94.0,0.9198,99.0,0.3534,76.0,0.2987,63.0,0.1988,28.0,0.2775,49.0,0.3561,65.0
ABAT,154.0,,,1.0700000524520874,,0.7302,63.0,0.7862,69.0,1.0015,,,,,,1.4098,90.0,1.3135,100.0,1.0384,,,,,
ABBV,76.0,,,171.67999267578125,,0.4922,96.0,0.5949,99.0,0.4445,99.0,0.4446,99.0,0.4447,98.0,0.335,88.0,0.2698,82.0,0.2242,52.0,0.287,87.0,0.3498,85.0
