symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,113.0,,,115.5199966430664,,0.3072,69.0,0.2371,60.0,0.2622,41.0,0.3297,65.0,0.3972,81.0,0.3423,77.0,0.2988,79.0,0.3165,66.0,0.3093,57.0,0.302,47.0,20270115.0,35.0,609.0
AA,148.0,,,28.350000381469727,,0.2222,21.0,0.3018,47.0,0.4575,67.0,0.4562,67.0,0.4548,67.0,0.5499,80.0,0.4783,84.0,0.4544,73.0,0.4656,72.0,0.4769,72.0,20270115.0,7.0,609.0
AAAU,,,,33.2599983215332,,0.1541,,0.0881,,0.2192,,0.2278,,0.2363,,0.1957,,0.1023,,0.189,,0.192,,0.1951,,20251219.0,35.0,217.0
AACT,,,,11.300000190734863,,0.0266,,0.0468,,,,,,,,0.032,,0.0337,,,,,,,,,,
AAL,147.0,,,10.579999923706056,,0.6244,88.0,0.4176,77.0,0.4791,75.0,0.4796,75.0,0.48,76.0,0.5976,90.0,0.4675,83.0,0.4975,80.0,0.5008,81.0,0.5042,79.0,20271217.0,7.0,945.0
AAMI,133.0,,,31.440000534057617,,0.1864,,0.194,,0.2867,,0.305,,0.3233,,0.0,,0.0,,0.2867,,0.305,,0.3233,,20260116.0,35.0,245.0
AAOI,113.0,,,19.770000457763672,,1.3532,92.0,1.1226,94.0,0.9889,79.0,0.9897,79.0,0.9905,78.0,1.3624,95.0,1.1318,96.0,0.9913,88.0,1.0014,89.0,1.0116,88.0,20270115.0,7.0,609.0
AAON,112.0,,,71.77999877929688,,1.0067,100.0,0.815,100.0,0.4986,91.0,0.4631,87.0,0.4276,82.0,0.6733,99.0,0.498,97.0,0.4887,99.0,0.4933,99.0,0.4979,99.0,20260116.0,35.0,245.0
AAP,113.0,,,48.54999923706055,,0.3744,82.0,0.3442,83.0,0.4462,86.0,0.4558,87.0,0.4655,87.0,0.865,100.0,0.5285,98.0,0.5258,96.0,0.5238,95.0,0.5219,94.0,20270115.0,7.0,609.0
AAPB,,,,18.530000686645508,,0.3687,,0.3364,,0.4916,,0.5115,,0.5314,,0.7951,,0.601,,0.5197,,0.5651,,0.6104,,20260116.0,35.0,245.0
