symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,65.0,,,108.62999725341797,,0.1898,33.0,0.3063,80.0,0.3467,71.0,0.3532,72.0,0.3598,74.0,0.3246,71.0,0.302,80.0,0.3147,65.0,0.3289,68.0,0.3432,69.0
AA,100.0,,,25.530000686645508,,0.4813,73.0,0.3661,64.0,0.5644,85.0,0.5699,85.0,0.5754,86.0,0.5653,82.0,0.4809,84.0,0.506,82.0,0.5188,82.0,0.5315,82.0
AAL,99.0,,,10.520000457763672,,0.1555,5.0,0.4365,80.0,0.4922,77.0,0.5124,80.0,0.5327,82.0,0.616,91.0,0.4645,83.0,0.5122,82.0,0.5199,83.0,0.5277,83.0
AAMI,85.0,,,27.84000015258789,,0.2874,,0.3707,,0.3432,,0.5279,,0.7126,,0.3777,,0.3588,,0.3737,,0.3417,,0.3097,
AAOI,65.0,,,14.960000038146973,,0.9593,80.0,0.868,85.0,1.7337,98.0,1.7352,98.0,1.7368,98.0,1.5276,99.0,1.1912,98.0,1.0288,91.0,1.0732,95.0,1.1175,96.0
AAON,64.0,,,99.37000274658203,,0.2894,57.0,0.4442,93.0,0.542,94.0,0.5265,93.0,0.511,92.0,0.6674,99.0,0.4796,97.0,0.4961,99.0,0.5004,100.0,0.5047,99.0
AAP,65.0,,,33.40999984741211,,0.1985,36.0,0.4137,92.0,0.5504,94.0,0.5258,93.0,0.5012,91.0,0.5794,94.0,0.5159,98.0,0.5034,95.0,0.5657,98.0,0.628,99.0
AAPB,,,,20.649999618530273,,0.2611,,0.4412,,0.743,,0.7745,,0.806,,0.7598,,0.5835,,0.5663,,0.5847,,0.6031,
AAPD,,,,17.639999389648438,,0.1382,,0.2272,,0.3866,,0.4162,,0.4457,,0.3957,,0.3071,,0.267,,0.3375,,0.408,
AAPL,92.0,,,205.35000610351562,,0.1307,12.0,0.2351,54.0,0.3855,76.0,0.4082,80.0,0.4309,85.0,0.3846,79.0,0.3088,69.0,0.2775,32.0,0.3018,39.0,0.326,49.0
AAPU,,,,22.59000015258789,,0.2608,,0.4531,,0.7445,,0.7508,,0.757,,0.7707,,0.6007,,0.4993,,0.5622,,0.6252,
AAT,87.0,,,19.110000610351562,,0.2567,69.0,0.2994,84.0,0.4283,81.0,0.3847,78.0,0.3411,69.0,0.3054,80.0,0.2823,83.0,0.4283,94.0,0.3847,89.0,0.3411,76.0
AAXJ,,,,76.22000122070312,,0.0889,11.0,0.0816,38.0,0.2116,77.0,0.2102,74.0,0.2089,70.0,0.2275,82.0,0.1348,88.0,0.1997,74.0,0.2126,72.0,0.2256,66.0
AB,85.0,,,41.77000045776367,,0.2573,52.0,0.3114,70.0,0.2307,30.0,0.2976,52.0,0.3645,68.0,0.3603,77.0,0.3057,65.0,0.2307,44.0,0.2486,28.0,0.2666,21.0
ABAT,169.0,,,1.5,,1.9576,97.0,1.6982,97.0,1.1011,,1.0814,,1.0616,,1.4948,91.0,1.381,100.0,0.9731,,1.0848,,1.1965,
ABBV,91.0,,,198.47000122070312,,0.2355,66.0,0.2941,88.0,0.2344,61.0,0.2464,65.0,0.2584,68.0,0.3329,87.0,0.2723,83.0,0.2208,49.0,0.275,72.0,0.3291,75.0
ABCB,92.0,,,60.47999954223633,,0.288,62.0,0.3006,67.0,0.3774,68.0,0.3432,53.0,0.3091,46.0,0.3819,87.0,0.2927,63.0,0.3483,73.0,0.3287,57.0,0.3091,50.0
ABCL,64.0,,,2.4100000858306885,,0.4064,20.0,0.5216,37.0,0.8438,69.0,0.8626,,0.8813,,0.7326,84.0,0.6757,77.0,0.9066,72.0,0.939,,0.9715,
ABEO,43.0,,,6.559999942779541,,1.2816,93.0,1.4046,97.0,1.0977,56.0,1.149,57.0,1.2002,63.0,0.5786,9.0,0.6265,10.0,0.9313,47.0,1.0018,49.0,1.0722,61.0
ABEV,65.0,,,2.490000009536743,,0.1769,16.0,0.2434,55.0,0.3845,68.0,0.3783,55.0,0.3722,40.0,0.3452,72.0,0.2716,65.0,0.3041,44.0,0.341,42.0,0.378,35.0
ABG,92.0,,,222.3300018310547,,0.2804,38.0,0.4606,82.0,0.4158,68.0,0.4065,64.0,0.3973,63.0,0.4041,59.0,0.3616,60.0,0.414,66.0,0.4106,64.0,0.4073,64.0
ABL,176.0,,,8.270000457763672,,0.1419,,0.309,,,,,,0.5048,,0.483,,0.5247,,,,,,0.5386,
ABM,51.0,,,49.689998626708984,,0.137,18.0,0.2081,42.0,0.3153,59.0,0.3178,56.0,0.3204,57.0,0.3413,71.0,0.3064,74.0,0.2896,57.0,0.305,56.0,0.3203,60.0
ABNB,78.0,,,125.26000213623047,,0.3134,33.0,0.2934,34.0,0.7703,96.0,0.7304,93.0,0.6906,90.0,0.4759,63.0,0.3523,53.0,0.4202,33.0,0.4225,27.0,0.4248,22.0
ABNY,,,,11.59000015258789,,0.4444,,0.2616,,,,,,0.6502,,0.4094,,0.2536,,,,,,0.6502,
ABOS,171.0,,,1.0800000429153442,,0.855,,0.9221,,,,,,,,0.7772,,0.828,,,,,,,
ABR,70.0,,,10.739999771118164,,0.3124,76.0,0.338,84.0,0.6116,94.0,0.6842,95.0,0.7567,95.0,0.3585,73.0,0.3665,89.0,0.1399,16.0,0.3926,68.0,0.6452,86.0
ABSI,45.0,,,3.0299999713897705,,0.3999,,0.6096,,1.1276,,1.157,,1.1863,,1.1245,,1.0202,,1.3662,,1.3064,,1.2467,
ABT,100.0,,,132.82000732421875,,0.116,21.0,0.2351,81.0,0.2466,78.0,0.25,78.0,0.2535,79.0,0.2273,71.0,0.2217,81.0,0.2141,52.0,0.2408,65.0,0.2676,72.0
ABUS,177.0,,,3.5899999141693115,,0.2723,12.0,0.3819,13.0,0.7647,28.0,0.7787,26.0,0.7927,32.0,0.4651,25.0,0.4884,19.0,1.0319,57.0,0.9123,48.0,0.7927,33.0
ACA,64.0,,,84.08999633789062,,0.2199,28.0,0.2781,48.0,0.5669,94.0,0.5534,94.0,0.54,91.0,0.3699,62.0,0.3264,57.0,0.3707,68.0,0.3687,68.0,0.3667,64.0
ACAD,65.0,,,14.90999984741211,,0.2026,5.0,0.3271,13.0,0.9639,82.0,0.8036,70.0,0.6434,46.0,0.4562,12.0,0.4271,19.0,0.6261,46.0,0.633,48.0,0.6399,50.0
ACB,86.0,,,4.840000152587891,,0.4937,28.0,0.6409,48.0,0.6478,16.0,0.7209,22.0,0.794,28.0,0.84,48.0,0.663,40.0,0.7362,34.0,0.781,20.0,0.8257,19.0
