symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,34.0,,,116.9800033569336,33351350832.911865,0.1611,23.0,0.2438,62.0,0.3346,68.0,0.3343,67.0,0.2519,37.0,0.2435,60.0,0.3164,66.0,0.3069,51.0
AA,69.0,,,30.5,7937442000.0,0.2938,38.0,0.3938,70.0,0.5481,83.0,0.5522,83.0,0.4432,60.0,0.3757,64.0,0.4364,68.0,0.4823,73.0
AAL,68.0,,,10.550000190734863,7042737196.126587,0.424,65.0,0.3933,73.0,0.6188,89.0,0.6124,88.0,0.4727,78.0,0.373,67.0,0.4634,74.0,0.5145,81.0
AAMI,54.0,,,25.860000610351562,969537970.8831787,0.3391,,0.2524,,0.3041,,0.4216,,0.3193,,0.3017,,0.3074,,0.4216,
AAOI,34.0,,,15.350000381469727,823091580.4550171,1.0505,84.0,0.8327,83.0,1.154,88.0,1.1583,87.0,1.3996,96.0,1.0958,96.0,1.0386,93.0,1.0642,92.0
AAON,33.0,,,78.12999725341797,6375196512.366333,0.4261,86.0,0.3945,88.0,0.4773,89.0,0.49,91.0,0.6285,97.0,0.4177,96.0,0.5143,100.0,0.5113,100.0
AAP,34.0,,,39.209999084472656,2346055796.221161,0.5448,94.0,0.4774,96.0,0.5151,93.0,0.579,95.0,0.5424,94.0,0.4684,96.0,0.5549,98.0,0.5418,95.0
AAPB,,,,25.600000381469727,,0.5657,79.0,0.4606,90.0,0.5138,66.0,0.5463,65.0,0.4815,76.0,0.3913,87.0,0.514,81.0,0.5259,63.0
AAPD,,,,17.059999465942383,,0.2823,75.0,0.2421,81.0,0.2845,,0.286,,0.2401,67.0,0.1998,73.0,0.2388,,0.3004,
AAPL,61.0,,,222.1300048828125,3336859252972.5,0.2743,56.0,0.258,61.0,0.2923,52.0,0.2932,52.0,0.2396,27.0,0.2115,38.0,0.2615,27.0,0.2981,37.0
AAPU,,,,28.059999465942383,,0.5555,84.0,0.4806,92.0,0.5256,74.0,0.5828,78.0,0.502,92.0,0.4079,88.0,0.4639,78.0,0.6074,91.0
AAT,56.0,,,20.139999389648438,1549489059.6020508,0.1631,35.0,0.1849,39.0,0.4302,82.0,0.7778,99.0,0.2585,66.0,0.2298,62.0,0.4302,94.0,0.4944,96.0
AAXJ,,,,74.0,,0.1369,38.0,0.0847,43.0,0.2587,91.0,0.2105,71.0,0.1812,53.0,0.0956,44.0,0.1576,31.0,0.1791,12.0
AB,54.0,,,38.310001373291016,4241032082.0274353,0.0447,1.0,0.0662,1.0,,,0.4345,83.0,0.305,61.0,0.2579,38.0,,,0.3688,70.0
ABAT,138.0,,,1.0299999713897705,88486374.66212082,1.4172,93.0,1.0568,88.0,6.2861,,1.0419,,1.4102,90.0,1.3106,100.0,6.2861,,1.0419,
ABBV,60.0,,,209.52000427246094,370636690453.2578,0.3013,80.0,0.2711,84.0,0.2622,76.0,0.2604,69.0,0.2941,76.0,0.211,47.0,0.2598,78.0,0.2577,15.0
ABCB,61.0,,,57.56999969482422,3976279280.921936,0.243,49.0,0.227,32.0,0.3982,73.0,0.3841,72.0,0.3274,68.0,0.2467,24.0,0.3613,79.0,0.3304,62.0
ABCL,33.0,,,2.2300000190734863,689897353.7407837,0.595,57.0,0.5052,33.0,0.9022,79.0,0.936,89.0,0.6777,65.0,0.6218,61.0,0.8363,57.0,0.8529,83.0
ABEO,12.0,,,4.760000228881836,241720903.62300873,0.284,5.0,0.4337,5.0,2.4821,95.0,,,0.4158,3.0,0.4704,4.0,2.5905,96.0,,
ABEV,34.0,,,2.3299999237060547,36736176051.50391,0.2555,45.0,0.2065,33.0,0.256,19.0,0.3148,14.0,0.3208,57.0,0.244,48.0,0.1976,6.0,0.3761,34.0
ABG,61.0,,,220.83999633789062,4338490064.0563965,0.4654,75.0,0.4041,72.0,0.4093,66.0,0.4083,66.0,0.3598,46.0,0.2879,27.0,0.3944,60.0,0.395,59.0
ABL,145.0,,,7.489999771118164,735449788.5658875,0.5186,,0.7632,,0.6165,,,,0.462,,0.4946,,0.6165,,,
ABM,20.0,,,47.36000061035156,2947279141.983032,0.1745,31.0,0.2319,53.0,0.4399,83.0,0.3847,74.0,0.2968,59.0,0.2639,63.0,0.3314,71.0,0.298,51.0
ABNB,47.0,,,119.45999908447266,74989464312.32959,0.3203,34.0,0.3141,40.0,0.4031,44.0,0.4288,51.0,0.3977,52.0,0.2825,32.0,0.4024,26.0,0.4105,19.0
ABNY,,,,12.42300033569336,,0.2867,,0.2663,,,,,,0.3266,,0.2132,,,,,
ABOS,140.0,,,1.100000023841858,71171431.5425992,0.7588,59.0,0.7723,57.0,,,,,0.6912,7.0,0.7305,28.0,,,,
ABR,39.0,,,11.75,2228587344.0,0.1298,20.0,0.2201,55.0,0.316,61.0,0.3342,52.0,0.2956,60.0,0.2997,65.0,0.2622,73.0,0.621,83.0
ABSI,14.0,,,2.509999990463257,343802208.61372375,0.5413,12.0,0.4686,1.0,1.178,47.0,1.0917,,1.0666,99.0,0.9548,32.0,1.148,52.0,1.1133,
ABT,69.0,,,132.64999389648438,230057537414.55078,0.2554,79.0,0.2313,80.0,0.242,77.0,0.2435,75.0,0.207,57.0,0.1899,62.0,0.2422,70.0,0.2295,35.0
ABUS,146.0,,,3.490000009536743,669221461.8287086,0.5042,48.0,0.4747,28.0,0.6246,12.0,0.5448,4.0,0.4086,14.0,0.4308,15.0,1.9824,93.0,0.5448,2.0
ACA,33.0,,,77.12000274658203,3900621770.918274,0.3358,63.0,0.2493,37.0,0.4499,76.0,0.4025,59.0,0.3023,28.0,0.269,26.0,0.3724,70.0,0.3636,62.0
ACAD,34.0,,,16.610000610351562,2850508644.744873,0.2889,16.0,0.2581,3.0,0.867,76.0,0.8363,72.0,0.4276,6.0,0.3848,9.0,0.5173,18.0,0.5577,23.0
