symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,71.0,,,107.5199966430664,,0.2804,62.0,0.267,70.0,0.3526,72.0,0.3372,68.0,0.3217,63.0,0.3198,70.0,0.3017,80.0,0.3096,63.0,0.3326,69.0,0.3555,75.0
AA,106.0,,,24.399999618530273,,0.35,50.0,0.2919,44.0,0.516,78.0,0.5471,83.0,0.5782,86.0,0.5637,82.0,0.4808,84.0,0.4965,80.0,0.5228,84.0,0.5492,85.0
AAAU,,,,33.31999969482422,,0.3195,,0.0971,,0.2539,,0.2891,,0.3243,,0.1932,,0.0958,,0.1851,,0.1956,,0.2062,
AAL,105.0,,,10.5600004196167,,0.3242,42.0,0.3581,64.0,0.5369,82.0,0.5333,82.0,0.5297,81.0,0.6159,91.0,0.4658,83.0,0.4988,80.0,0.5122,82.0,0.5256,82.0
AAMI,91.0,,,28.8700008392334,,0.3382,,0.3918,,0.3387,,0.3964,,0.454,,0.0,,0.0,,0.3588,,0.4064,,0.454,
AAOI,71.0,,,13.979999542236328,,0.963,80.0,0.6653,64.0,1.698,98.0,1.6972,98.0,1.6964,98.0,1.5236,99.0,1.1912,98.0,0.8629,76.0,0.9524,85.0,1.042,90.0
AAON,70.0,,,95.70999908447266,,0.4246,86.0,0.3958,88.0,0.462,87.0,0.4442,84.0,0.4263,82.0,0.6692,99.0,0.4814,97.0,0.483,99.0,0.4916,99.0,0.5001,99.0
AAP,71.0,,,31.36000061035156,,0.3723,81.0,0.3565,85.0,0.7354,98.0,0.7108,98.0,0.6863,98.0,0.5813,94.0,0.5151,98.0,0.531,96.0,0.5833,98.0,0.6355,99.0
AAPB,,,,18.84000015258789,,0.5786,,0.4815,,0.7847,,0.7558,,0.7269,,0.7699,,0.5873,,0.6336,,0.6374,,0.6412,
AAPD,,,,18.450000762939453,,0.2749,,0.237,,0.2652,,0.3814,,0.4977,,0.3988,,0.3087,,0.2291,,0.2981,,0.3671,
AAPL,98.0,,,196.25,,0.291,60.0,0.2516,60.0,0.3563,68.0,0.3578,68.0,0.3593,68.0,0.3897,80.0,0.3106,70.0,0.3063,39.0,0.3052,40.0,0.304,41.0
AAPU,,,,20.61000061035156,,0.5812,,0.4944,,0.6202,,0.6206,,0.621,,0.768,,0.6044,,0.5391,,0.5829,,0.6266,
AAPW,,,,35.76150131225586,,0.3813,,0.1973,,,,,,0.4535,,0.0,,0.0,,,,,,0.6611,
AAPX,,,,17.709999084472656,,0.5763,,0.4401,,0.8026,,0.7268,,0.6509,,0.8026,,0.5783,,0.4051,,0.8544,,1.3038,
AAPY,,,,20.945199966430664,,0.2145,,0.1239,,0.1658,,0.2992,,0.4326,,0.3357,,0.1953,,0.1658,,0.2992,,0.4326,
AAT,93.0,,,19.020000457763672,,0.2197,57.0,0.2778,81.0,0.7554,98.0,,,,,0.2999,79.0,0.2805,83.0,0.7554,100.0,,,,
AAXJ,,,,75.77999877929688,,0.2224,80.0,0.0644,16.0,0.1945,67.0,0.1974,66.0,0.2002,64.0,0.2307,83.0,0.1346,88.0,0.178,52.0,0.1985,57.0,0.2189,57.0
AB,91.0,,,41.06999969482422,,0.3414,73.0,0.2673,54.0,0.2028,17.0,0.2662,36.0,0.3297,57.0,0.3618,77.0,0.3066,66.0,0.1563,12.0,0.2374,23.0,0.3185,49.0
ABAT,175.0,,,1.340000033378601,,2.1192,98.0,1.8144,97.0,1.606,,1.3949,,1.1838,,1.5008,91.0,1.3929,100.0,0.98,,1.0819,,1.1838,
ABBV,97.0,,,188.08999633789065,,0.3632,90.0,0.2829,86.0,0.3604,95.0,0.3571,95.0,0.3538,93.0,0.3392,88.0,0.2751,83.0,0.2287,55.0,0.2843,85.0,0.3399,82.0
ABCB,98.0,,,59.43000030517578,,0.278,60.0,0.2958,65.0,0.343,57.0,0.3338,50.0,0.3246,53.0,0.3817,87.0,0.2927,63.0,0.3447,72.0,0.3299,59.0,0.3151,53.0
ABCL,70.0,,,2.009999990463257,,0.6448,65.0,0.6604,73.0,0.8625,72.0,0.7633,,0.6641,,0.744,89.0,0.6787,78.0,0.8625,61.0,0.8359,,0.8093,
ABEO,49.0,,,5.264999866485596,,1.71,98.0,1.4234,97.0,0.9793,45.0,1.5034,78.0,2.0276,88.0,0.6115,11.0,0.6368,11.0,0.9363,48.0,0.7725,23.0,0.6087,1.0
ABEV,71.0,,,2.5,,0.2021,25.0,0.2419,54.0,0.4395,83.0,0.4492,80.0,0.4588,74.0,0.3292,62.0,0.271,64.0,0.2282,15.0,0.2958,24.0,0.3635,28.0
ABFL,,,,66.13999938964844,,0.1213,,0.1218,,0.1944,,0.2142,,0.2339,,0.0,,0.0,,0.1894,,0.2098,,0.2302,
ABG,98.0,,,217.83999633789065,,0.2777,37.0,0.3963,70.0,0.3642,51.0,0.3864,57.0,0.4086,66.0,0.399,57.0,0.3595,59.0,0.4037,63.0,0.4046,63.0,0.4055,63.0
ABL,182.0,,,8.25,,0.0859,,0.3037,,,,,,0.5615,,0.4826,,0.5229,,,,,,0.5615,
ABM,57.0,,,49.849998474121094,,0.0813,3.0,0.1949,36.0,0.4696,86.0,0.3731,70.0,0.2766,44.0,0.3385,71.0,0.306,74.0,0.3458,74.0,0.3536,72.0,0.3614,74.0
ABNB,84.0,,,123.12000274658205,,0.3151,34.0,0.326,44.0,0.3919,42.0,0.3936,42.0,0.3953,43.0,0.477,63.0,0.3559,53.0,0.4071,28.0,0.4116,22.0,0.4161,20.0
ABNY,,,,11.627900123596191,,0.3907,,0.2992,,,,,,0.6499,,0.3837,,0.2577,,,,,,0.6499,
ABOS,177.0,,,0.9962999820709229,,0.6993,,0.8316,,,,,,,,0.7741,,0.8299,,,,,,,
ABR,76.0,,,10.4399995803833,,0.407,86.0,0.4808,94.0,0.2675,45.0,0.466,79.0,0.6644,91.0,0.3656,77.0,0.3746,91.0,0.1657,32.0,0.4314,77.0,0.6972,91.0
ABSI,51.0,,,2.6600000858306885,,0.5647,,0.5917,,1.14,,1.1428,,1.1457,,1.1263,,1.0204,,1.6352,,1.3605,,1.0858,
ABT,106.0,,,133.9499969482422,,0.0858,8.0,0.2295,80.0,0.2084,61.0,0.2128,63.0,0.2171,64.0,0.2178,66.0,0.2232,82.0,0.2144,52.0,0.246,68.0,0.2775,80.0
ABUS,183.0,,,3.2899999618530273,,0.5027,48.0,0.542,43.0,2.4241,99.0,1.7078,95.0,0.9914,63.0,0.4673,26.0,0.4949,20.0,3.3043,100.0,2.1478,99.0,0.9914,65.0
