symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,28.0,,,120.51000213623047,34774003722.34424,0.1719,27.0,0.2127,48.0,0.2393,28.0,0.2273,23.0,0.2629,42.0,0.2448,60.0,0.3017,59.0,0.2899,35.0
AA,63.0,,,33.709999084472656,8727012843.30371,0.436,67.0,0.359,62.0,0.4775,71.0,0.4856,73.0,0.4547,61.0,0.3707,63.0,0.4261,66.0,0.4692,71.0
AAL,62.0,,,11.510000228881836,7568699910.507202,0.489,77.0,0.3865,72.0,0.4482,71.0,0.4349,68.0,0.4801,80.0,0.3714,66.0,0.468,75.0,0.4923,78.0
AAMI,48.0,,,26.649999618530273,999156455.6980133,0.2929,,0.2958,,0.2403,,,,0.3169,,0.3004,,0.2403,,,
AAOI,28.0,,,21.770000457763672,1119565813.5414124,0.7994,70.0,0.7722,77.0,1.0095,81.0,1.0041,80.0,1.3833,96.0,1.096,96.0,1.0315,91.0,1.0526,91.0
AAON,27.0,,,84.0999984741211,6862332469.092407,0.4471,88.0,0.369,83.0,0.4552,87.0,0.4165,79.0,0.6259,97.0,0.4124,96.0,0.4999,100.0,0.4912,99.0
AAP,28.0,,,37.540000915527344,2308961574.3110657,0.3275,73.0,0.3573,86.0,0.4994,92.0,0.4696,88.0,0.5423,94.0,0.4625,96.0,0.5646,98.0,0.5391,95.0
AAPB,,,,26.040000915527344,,0.3019,33.0,0.4242,86.0,0.431,44.0,0.5576,68.0,0.4744,70.0,0.3839,87.0,0.4534,65.0,0.5239,62.0
AAPD,,,,16.93000030517578,,0.1692,32.0,0.2172,73.0,0.2476,,0.2684,,0.237,67.0,0.1958,73.0,0.2165,,0.2684,
AAPL,55.0,,,223.75,3532430792960.0,0.1562,19.0,0.2215,50.0,0.2436,35.0,0.2417,35.0,0.2365,25.0,0.2068,34.0,0.2565,25.0,0.2914,33.0
AAPU,,,,28.59000015258789,,0.2953,39.0,0.4366,85.0,0.4414,57.0,0.4544,43.0,0.4956,89.0,0.4002,85.0,0.4294,59.0,0.5257,70.0
AAT,50.0,,,20.260000228881836,1566499165.6970978,0.2332,62.0,0.2418,71.0,0.496,88.0,0.8218,99.0,0.2599,66.0,0.2302,62.0,0.496,97.0,0.4975,97.0
AAXJ,,,,75.83000183105469,,0.1377,39.0,0.0765,31.0,0.2082,75.0,0.1857,52.0,0.1898,59.0,0.0959,44.0,0.1518,25.0,0.1857,19.0
AB,48.0,,,38.380001068115234,4242141518.058777,0.0792,2.0,0.1153,1.0,0.3351,75.0,0.2089,9.0,0.3054,61.0,0.2586,38.0,0.1832,22.0,0.352,64.0
ABAT,132.0,,,1.059999942779541,89737475.15583038,0.9793,80.0,0.9295,80.0,1.0425,,1.2798,,1.4039,90.0,1.3137,100.0,1.0598,,1.1874,
ABBV,54.0,,,201.33999633789062,356166420278.9219,0.2442,68.0,0.2393,73.0,0.2701,79.0,0.2721,74.0,0.294,76.0,0.2096,45.0,0.2588,77.0,0.2579,15.0
ABCB,55.0,,,59.13999938964844,4084716961.843872,0.1863,27.0,0.1852,13.0,0.4871,86.0,0.2843,33.0,0.3277,69.0,0.2461,23.0,0.3301,66.0,0.3111,51.0
ABCL,27.0,,,2.5299999713897705,771789161.5123062,0.6839,71.0,0.5589,47.0,0.9479,84.0,0.9044,85.0,0.6771,65.0,0.6203,61.0,0.9574,79.0,0.9101,93.0
ABEO,6.0,,,5.0,222571500.0,0.2111,2.0,0.4842,12.0,1.5522,81.0,1.5957,83.0,0.4259,4.0,0.4768,4.0,1.1104,63.0,1.1535,70.0
ABEV,28.0,,,2.3299999237060547,36934691746.76367,0.2322,36.0,0.2404,53.0,0.2797,28.0,0.3622,35.0,0.3209,57.0,0.2448,49.0,0.1942,5.0,0.3625,28.0
ABG,55.0,,,242.35000610351562,4761062809.906006,0.2457,27.0,0.2648,30.0,0.3403,40.0,0.3214,31.0,0.3534,44.0,0.2793,23.0,0.3743,52.0,0.3679,46.0
ABL,139.0,,,7.349999904632568,710337036.3832626,0.4455,,0.632,,0.5559,,0.5188,,0.4525,,0.4774,,0.5436,,0.5188,
ABM,14.0,,,47.529998779296875,2957858366.0339355,0.1982,40.0,0.2655,66.0,0.3683,72.0,0.2569,34.0,0.2997,60.0,0.2636,62.0,0.2968,61.0,0.2917,48.0
ABNB,41.0,,,129.8800048828125,80662365633.44531,0.2602,22.0,0.2742,28.0,0.3224,22.0,0.3383,27.0,0.3925,49.0,0.2785,32.0,0.3926,22.0,0.3983,12.0
ABNY,,,,13.199999809265137,,0.189,,0.1441,,,,0.6038,,0.3219,,0.2073,,,,0.8155,
ABOS,134.0,,,1.190000057220459,71494965.43779373,0.5991,36.0,0.9635,85.0,,,,,0.6814,3.0,0.7201,20.0,,,,
ABR,33.0,,,12.100000381469727,2293010475.4904175,0.1194,16.0,0.1888,41.0,0.2919,54.0,0.293,35.0,0.2967,60.0,0.2984,65.0,0.1656,32.0,0.5932,78.0
ABSI,8.0,,,3.069999933242798,390915371.4995384,0.4429,5.0,0.6019,7.0,1.001,28.0,1.014,,1.0629,99.0,0.956,32.0,1.2982,66.0,1.1482,
ABT,63.0,,,125.5999984741211,217830589353.6377,0.1418,36.0,0.1891,64.0,0.2156,65.0,0.1969,51.0,0.2006,54.0,0.1862,59.0,0.2459,72.0,0.2255,30.0
ABUS,140.0,,,3.369999885559082,643447558.1493378,0.3509,23.0,0.3037,4.0,0.5202,4.0,0.727,22.0,0.4001,12.0,0.4219,13.0,1.7825,90.0,0.5679,2.0
ACA,27.0,,,82.37999725341797,4018166746.032715,0.2714,46.0,0.2179,21.0,0.3868,54.0,0.3842,52.0,0.2962,27.0,0.2666,24.0,0.3572,57.0,0.3525,51.0
ACAD,28.0,,,17.110000610351562,2873761482.5134277,0.2539,11.0,0.3007,8.0,0.5542,30.0,0.545,27.0,0.4298,7.0,0.3867,9.0,0.4893,13.0,0.5022,13.0
ACB,49.0,,,4.519999980926514,248076130.95316887,0.4194,19.0,0.6565,51.0,0.4911,5.0,0.5957,6.0,0.8312,47.0,0.6375,38.0,0.771,41.0,0.7628,10.0
ACCD,68.0,,,6.989999771118164,570934793.3052063,0.0305,2.0,0.0265,1.0,,,,,1.0796,85.0,0.4044,7.0,,,,
ACCO,34.0,,,4.380000114440918,406818790.6293869,0.4288,79.0,0.2979,51.0,,,,,0.4461,83.0,0.3317,62.0,,,,
ACDC,20.0,,,8.0,1281424000.0,0.522,36.0,0.5753,60.0,0.7211,64.0,0.6878,54.0,0.6774,57.0,0.6474,89.0,0.7579,89.0,0.7263,75.0
ACEL,147.0,,,10.119999885559082,875479166.0997391,0.2129,20.0,0.2096,16.0,,,0.2957,2.0,0.2798,5.0,0.2681,20.0,,,0.3352,4.0
ACES,,,,24.100000381469727,,0.1956,8.0,0.1769,6.0,0.4191,68.0,0.4386,71.0,0.2874,11.0,0.2222,14.0,0.291,28.0,0.3451,38.0
ACET,20.0,,,0.8849999904632568,75599616.14533997,1.1513,95.0,0.8024,87.0,,,,,0.7006,72.0,0.751,82.0,,,,
ACGL,44.0,,,94.58000183105469,35535219967.95654,0.2758,83.0,0.2229,75.0,0.1777,25.0,0.2088,45.0,0.2634,85.0,0.2132,68.0,0.2381,63.0,0.2517,67.0
ACHC,27.0,,,28.809999465942383,2688903628.395172,0.237,33.0,0.3102,51.0,0.5106,83.0,0.5953,91.0,0.6793,96.0,0.4619,87.0,0.5598,95.0,0.5622,96.0
ACHR,27.0,,,8.789999961853027,4768311419.946411,0.5035,24.0,0.538,19.0,0.7973,39.0,0.7568,21.0,1.1456,100.0,1.0204,100.0,0.8598,72.0,0.8734,56.0
ACHV,15.0,,,2.859999895095825,99199382.3613882,0.7148,81.0,0.7185,78.0,0.9569,28.0,,,0.5698,51.0,0.5656,21.0,0.9569,28.0,,
ACI,77.0,,,20.809999465942383,12131023041.635376,0.3213,38.0,0.2309,17.0,0.2109,5.0,0.2147,3.0,0.2457,14.0,0.2482,15.0,0.2021,4.0,0.3242,7.0
