symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,30.0,,,118.97000122070312,34183770372.50586,0.1431,16.0,0.2057,44.0,0.2887,52.0,0.3049,57.0,0.2511,37.0,0.2415,59.0,0.3078,62.0,0.2899,35.0
AA,65.0,,,31.979999542236328,8631242232.29187,0.4066,62.0,0.3317,55.0,0.4587,67.0,0.4875,73.0,0.44,59.0,0.3705,63.0,0.4244,65.0,0.4755,72.0
AAL,64.0,,,11.140000343322754,7522663635.360352,0.4469,70.0,0.3313,56.0,0.466,74.0,0.4628,73.0,0.4713,78.0,0.3692,66.0,0.4648,74.0,0.4928,78.0
AAMI,50.0,,,26.639999389648438,998781529.1168213,0.2976,,0.2664,,0.247,,0.5016,,0.3165,,0.3004,,0.247,,0.5016,
AAOI,30.0,,,17.780000686645508,979368665.8222198,1.1114,86.0,0.7936,79.0,1.0111,82.0,1.0157,81.0,1.3968,96.0,1.0989,96.0,1.0245,91.0,1.0508,91.0
AAON,29.0,,,80.23999786376953,6646102495.06073,0.4443,88.0,0.3636,82.0,0.4323,83.0,0.4127,79.0,0.6277,97.0,0.4139,96.0,0.5105,100.0,0.4762,99.0
AAP,30.0,,,40.369998931884766,2415462183.0913544,0.5084,93.0,0.4887,96.0,0.491,91.0,0.5291,93.0,0.5481,94.0,0.469,96.0,0.5767,99.0,0.5397,95.0
AAPB,,,,26.06999969482422,,0.3447,41.0,0.414,84.0,0.4531,51.0,0.5206,57.0,0.476,72.0,0.3853,87.0,0.4765,71.0,0.5159,57.0
AAPD,,,,16.920000076293945,,0.1834,40.0,0.2161,73.0,0.2531,,0.2831,,0.2377,67.0,0.1966,73.0,0.2187,,0.2831,
AAPL,57.0,,,223.85000610351562,3362697284135.625,0.1699,23.0,0.2188,49.0,0.258,40.0,0.2539,39.0,0.2372,25.0,0.2076,35.0,0.2611,27.0,0.291,33.0
AAPU,,,,28.610000610351562,,0.3374,48.0,0.4293,83.0,0.4749,65.0,0.4995,54.0,0.4973,90.0,0.4017,86.0,0.4133,51.0,0.5338,73.0
