symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,105.0,,,120.5199966430664,,0.2334,49.0,0.2133,48.0,0.279,48.0,0.2915,52.0,0.3041,56.0,0.3402,76.0,0.2979,79.0,0.3139,65.0,0.3054,57.0,0.2968,42.0,20270115.0,35.0,609.0
AA,140.0,,,28.76000022888184,,0.2691,32.0,0.3735,66.0,0.4924,74.0,0.4792,72.0,0.4661,69.0,0.5516,80.0,0.4774,83.0,0.4664,75.0,0.4857,75.0,0.505,77.0,20270115.0,7.0,609.0
AAAU,,,,32.8849983215332,,0.2061,,0.1005,,0.1958,,0.1929,,0.19,,0.1961,,0.1012,,0.1774,,0.1884,,0.1993,,20251219.0,35.0,217.0
AACT,,,,11.359999656677246,,0.0743,,0.0766,,,,,,,,0.0315,,0.0327,,,,,,,,,,
AAL,139.0,,,11.84000015258789,,0.2957,34.0,0.2539,23.0,0.3997,56.0,0.404,57.0,0.4084,59.0,0.5831,88.0,0.4624,83.0,0.4745,76.0,0.4836,77.0,0.4928,78.0,20271217.0,7.0,945.0
AAMI,125.0,,,31.450000762939453,,0.1857,,0.2283,,0.2919,,0.3313,,0.3707,,0.0,,0.0,,0.2919,,0.3313,,0.3707,,20260116.0,35.0,245.0
AAOI,105.0,,,16.440000534057617,,0.6575,59.0,0.6889,67.0,0.8556,70.0,0.8446,70.0,0.8335,68.0,1.3458,95.0,1.123,96.0,0.9684,86.0,0.98,87.0,0.9917,85.0,20270115.0,7.0,609.0
AAON,104.0,,,78.55999755859375,,1.0876,100.0,0.7443,100.0,0.4923,91.0,0.4902,90.0,0.4881,90.0,0.6757,99.0,0.4918,97.0,0.4653,98.0,0.4626,98.0,0.4598,97.0,20260116.0,35.0,245.0
AAP,105.0,,,53.25,,0.3206,72.0,0.3697,87.0,0.4296,83.0,0.4422,85.0,0.4547,86.0,0.8636,100.0,0.5315,98.0,0.5736,99.0,0.5508,97.0,0.5279,94.0,20270115.0,7.0,609.0
AAPB,,,,19.82999992370605,,0.3393,,0.3595,,0.501,,0.5022,,0.5034,,0.7935,,0.5989,,0.4939,,0.5526,,0.6113,,20260116.0,35.0,245.0
AAPD,,,,17.81999969482422,,0.1557,,0.185,,0.2253,,,,,,0.4115,,0.314,,0.2269,,,,,,20260116.0,35.0,245.0
AAPL,132.0,,,202.6699981689453,,0.1638,21.0,0.1892,38.0,0.2593,41.0,0.2569,40.0,0.2545,39.0,0.4018,83.0,0.3156,72.0,0.2838,33.0,0.3032,39.0,0.3227,48.0,20271217.0,7.0,945.0
AAPU,,,,21.670000076293945,,0.3366,,0.3726,,0.5233,,0.5242,,0.525,,0.7913,,0.6149,,0.4576,,0.5448,,0.632,,20260116.0,35.0,245.0
AAPW,,,,35.99599838256836,,0.2321,,0.1931,,,,,,0.5233,,0.0,,0.0,,,,,,0.6216,,20251219.0,35.0,217.0
AAPX,,,,18.649999618530277,,0.3128,,0.3267,,0.5604,,0.5584,,0.5564,,0.8253,,0.5929,,0.5544,,0.5611,,0.5678,,20251219.0,35.0,217.0
