symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,83.0,,,113.4800033569336,,0.5582,94.0,0.2913,76.0,0.3808,79.0,0.3834,79.0,0.386,79.0,0.3363,75.0,0.3034,80.0,0.296,55.0,0.3166,62.0,0.3373,66.0,20270115.0,35.0,609.0
AA,118.0,,,28.790000915527344,,0.5513,81.0,0.3308,55.0,0.4827,73.0,0.4736,71.0,0.4645,68.0,0.5651,82.0,0.4783,84.0,0.5031,82.0,0.4843,75.0,0.4655,71.0,20270115.0,7.0,609.0
AAAU,,,,32.540000915527344,,0.2744,,0.0918,,0.2132,,0.239,,0.2648,,0.1941,,0.0982,,0.1684,,0.1872,,0.2061,,20251219.0,35.0,217.0
AAL,117.0,,,11.649999618530273,,0.5042,78.0,0.3969,74.0,0.4896,77.0,0.4947,77.0,0.4998,78.0,0.6207,91.0,0.4719,84.0,0.5091,81.0,0.5046,81.0,0.5,78.0,20271217.0,7.0,945.0
AAMI,103.0,,,30.110000610351562,,0.1759,,0.1911,,0.3403,,0.4236,,0.5068,,0.0,,0.0,,0.3403,,0.3559,,0.3715,,20260116.0,35.0,245.0
AAOI,83.0,,,18.959999084472656,,1.5025,94.0,1.2922,97.0,0.975,78.0,0.9814,78.0,0.9877,78.0,1.4239,96.0,1.1654,97.0,0.9759,87.0,0.9849,87.0,0.9939,86.0,20270115.0,7.0,609.0
AAON,82.0,,,104.52999877929688,,0.3097,63.0,0.2653,44.0,0.3109,36.0,0.3258,39.0,0.3407,48.0,0.6324,97.0,0.4685,97.0,0.4709,99.0,0.4671,99.0,0.4634,98.0,20260116.0,35.0,245.0
AAP,83.0,,,34.15999984741211,,0.6021,95.0,0.3824,89.0,0.9749,100.0,0.9718,100.0,0.9686,100.0,0.5734,94.0,0.5034,97.0,0.524,96.0,0.563,98.0,0.602,99.0,20270115.0,7.0,609.0
AAPB,,,,20.850000381469727,,0.7469,,0.3338,,0.4482,,0.529,,0.6098,,0.7851,,0.5908,,0.4966,,0.6214,,0.7462,,20260116.0,35.0,245.0
AAPD,,,,17.450000762939453,,0.4147,,0.1728,,0.2328,,,,,,0.4078,,0.3102,,0.2328,,,,,,20260116.0,35.0,245.0
AAPL,110.0,,,206.86000061035156,,0.3874,80.0,0.1785,33.0,0.2484,37.0,0.2494,37.0,0.2504,38.0,0.3979,82.0,0.312,71.0,0.2759,31.0,0.2947,36.0,0.3135,45.0,20271217.0,7.0,945.0
AAPU,,,,22.780000686645508,,0.7549,,0.3483,,0.5803,,0.5472,,0.5141,,0.7835,,0.6075,,0.4488,,0.5154,,0.5821,,20260116.0,35.0,245.0
AAPW,,,,37.68429946899414,,0.4098,,0.1758,,,,,,0.5341,,0.0,,0.0,,,,,,0.6678,,20251219.0,35.0,217.0
AAPX,,,,19.6299991607666,,0.7905,,0.285,,0.5426,,0.5523,,0.562,,0.8194,,0.5834,,0.5149,,0.862,,1.2091,,20251219.0,35.0,217.0
AAPY,,,,21.975000381469727,,0.3172,,0.068,,,,,,0.4493,,0.3415,,0.1965,,,,,,0.4236,,20260116.0,35.0,245.0
AAT,105.0,,,19.8700008392334,,0.1415,24.0,0.1863,40.0,0.6747,97.0,0.5055,91.0,0.3364,68.0,0.3001,79.0,0.2776,82.0,0.6747,100.0,0.5386,99.0,0.4026,87.0,20260116.0,35.0,245.0
AAXJ,,,,78.61000061035156,,0.1593,52.0,0.0733,26.0,0.1642,43.0,0.1793,50.0,0.1944,59.0,0.224,81.0,0.1337,88.0,0.1711,45.0,0.1905,45.0,0.2099,47.0,20251219.0,35.0,217.0
AB,103.0,,,40.58000183105469,,0.2097,37.0,0.1955,23.0,0.2006,17.0,0.2044,10.0,0.2082,8.0,0.3503,76.0,0.3033,64.0,0.146,8.0,0.2312,20.0,0.3164,48.0,20260116.0,35.0,245.0
ABAT,187.0,,,1.3899999856948853,,1.136,86.0,1.2345,92.0,1.2114,,1.1975,,1.1836,,1.51,91.0,1.4142,100.0,0.991,,1.0873,,1.1836,,20251219.0,35.0,217.0
ABBV,109.0,,,184.85000610351562,,0.465,96.0,0.3846,96.0,0.3001,86.0,0.3002,85.0,0.3003,82.0,0.2937,76.0,0.2849,86.0,0.2222,50.0,0.279,79.0,0.3357,80.0,20270115.0,7.0,609.0
ABCB,110.0,,,62.84000015258789,,0.2666,57.0,0.1492,4.0,0.2901,39.0,0.3157,44.0,0.3414,57.0,0.3377,74.0,0.2866,57.0,0.2736,37.0,0.2891,40.0,0.3045,47.0,20260116.0,35.0,245.0
ABCL,82.0,,,2.0899999141693115,,0.2532,3.0,0.642,68.0,0.6853,31.0,0.711,,0.7367,,0.6993,71.0,0.6677,75.0,1.0091,84.0,0.8886,,0.7681,,20260116.0,35.0,245.0
ABEO,61.0,,,6.420000076293945,,0.7472,61.0,0.7891,57.0,0.8501,31.0,0.9964,43.0,1.1426,57.0,0.6339,15.0,0.6531,12.0,0.7088,21.0,0.6448,1.0,0.5809,1.0,20251219.0,35.0,217.0
ABEV,83.0,,,2.5199999809265137,,0.1012,2.0,0.1643,9.0,0.2864,31.0,0.3083,30.0,0.3301,21.0,0.3267,61.0,0.2702,64.0,0.2849,37.0,0.3318,39.0,0.3788,35.0,20270115.0,35.0,609.0
ABFL,,,,69.05000305175781,,0.1877,,0.0594,,0.1323,,0.1562,,0.18,,0.0,,0.0,,0.1499,,0.1756,,0.2013,,20251219.0,35.0,217.0
ABG,110.0,,,231.7100067138672,,0.3447,53.0,0.2102,11.0,0.3196,31.0,0.3296,34.0,0.3395,38.0,0.3928,57.0,0.3592,59.0,0.3664,48.0,0.37,48.0,0.3737,49.0,20260116.0,35.0,245.0
ABL,194.0,,,8.760000228881836,,0.3419,,0.4059,,0.4408,,0.4786,,0.5165,,0.4676,,0.5102,,0.508,,0.5122,,0.5165,,20270115.0,35.0,609.0
ABM,69.0,,,52.470001220703125,,0.135,17.0,0.151,14.0,0.3756,73.0,0.3578,66.0,0.3401,62.0,0.3294,69.0,0.3035,73.0,0.2762,52.0,0.3067,57.0,0.3373,67.0,20260116.0,35.0,245.0
ABNB,96.0,,,132.1300048828125,,0.3665,47.0,0.2255,13.0,0.3007,13.0,0.2974,12.0,0.294,12.0,0.4603,59.0,0.3531,53.0,0.3892,20.0,0.3962,18.0,0.4031,16.0,20270115.0,7.0,609.0
ABNY,,,,12.390000343322754,,0.2537,,0.1512,,,,,,0.7402,,0.3712,,0.2541,,,,,,0.7402,,20260116.0,35.0,245.0
ABOS,189.0,,,1.059999942779541,,0.7529,,0.6735,,,,,,,,0.728,,0.7979,,,,,,,,20260116.0,35.0,245.0
ABR,88.0,,,10.010000228881836,,0.4636,90.0,0.2892,76.0,0.3061,57.0,0.3111,47.0,0.3161,44.0,0.376,80.0,0.374,90.0,0.2097,57.0,0.4091,72.0,0.6085,81.0,20270115.0,7.0,609.0
ABSI,63.0,,,2.7899999618530273,,0.5529,,1.072,,0.9058,,1.1252,,1.3445,,1.0839,,1.0249,,1.119,,1.066,,1.0131,,20251121.0,35.0,189.0
ABT,118.0,,,135.1999969482422,,0.2977,87.0,0.2062,72.0,0.2136,64.0,0.2109,62.0,0.2082,57.0,0.2245,70.0,0.2224,82.0,0.2126,50.0,0.238,63.0,0.2635,68.0,20270115.0,7.0,609.0
ABUS,195.0,,,3.2100000381469727,,0.433,36.0,0.4684,28.0,2.2436,99.0,1.5569,93.0,0.8702,45.0,0.471,26.0,0.494,20.0,1.1098,66.0,1.0132,59.0,0.9165,57.0,20270115.0,35.0,609.0
ACA,82.0,,,87.3499984741211,,0.309,56.0,0.1808,5.0,0.2992,21.0,0.2991,17.0,0.2989,21.0,0.3797,66.0,0.3277,59.0,0.3346,37.0,0.3298,28.0,0.325,25.0,20251219.0,35.0,217.0
ACAD,83.0,,,21.690000534057617,,1.4116,96.0,1.212,96.0,0.4986,19.0,0.499,17.0,0.4995,18.0,0.5793,33.0,0.5168,43.0,0.5488,24.0,0.5505,22.0,0.5522,21.0,20251219.0,35.0,217.0
ACB,104.0,,,5.340000152587891,,0.4392,21.0,0.3944,8.0,0.8028,35.0,0.8152,33.0,0.8277,31.0,0.7892,42.0,0.6278,37.0,0.6914,26.0,0.7486,16.0,0.8059,16.0,20270115.0,35.0,609.0
ACCO,89.0,,,3.7799999713897705,,0.3177,52.0,0.2369,22.0,,,,,,,0.4868,89.0,0.3888,84.0,,,,,,,20251219.0,35.0,217.0
ACDC,75.0,,,6.489999771118164,,0.9197,,1.0195,,0.7447,,0.7449,,0.7451,,0.9792,,0.8334,,0.7357,,0.7618,,0.788,,20251121.0,35.0,189.0
ACEL,202.0,,,11.34000015258789,,0.2452,28.0,0.1709,3.0,0.2872,3.0,0.3082,,0.3292,6.0,0.3341,28.0,0.3117,38.0,0.3383,12.0,0.3338,,0.3292,4.0,20260116.0,35.0,245.0
ACES,,,,26.15999984741211,,0.3458,56.0,0.1927,12.0,0.3178,27.0,0.2912,12.0,0.2646,8.0,0.3373,31.0,0.2753,49.0,0.2147,3.0,0.2562,6.0,0.2978,9.0,20251219.0,35.0,217.0
