symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,42.0,,,98.2249984741211,,0.5068,91.0,0.5317,96.0,0.7115,98.0,0.7255,98.0,0.2852,56.0,0.2704,71.0,0.3596,80.0,0.3987,86.0
AA,77.0,,,21.850000381469727,,0.8856,97.0,0.9426,99.0,1.2473,100.0,1.3137,100.0,0.5013,74.0,0.4299,78.0,0.528,86.0,0.5577,87.0
AAL,76.0,,,9.154999732971191,,0.7852,94.0,0.851,98.0,1.1282,98.0,1.032,97.0,0.4973,83.0,0.4126,79.0,0.5701,87.0,0.5803,88.0
AAMI,62.0,,,23.34000015258789,,0.667,,0.635,,0.5684,,0.6953,,0.3436,,0.3287,,0.329,,0.424,
AAOI,42.0,,,10.529999732971191,,1.6258,95.0,1.6407,99.0,1.7775,98.0,1.7461,98.0,1.4426,96.0,1.1448,97.0,1.0276,91.0,1.1183,96.0
AAON,41.0,,,73.01000213623047,,0.582,95.0,0.7482,100.0,0.8136,100.0,0.8479,100.0,0.6413,98.0,0.4487,97.0,0.5848,100.0,0.5985,100.0
AAP,42.0,,,29.947099685668945,,0.6029,95.0,0.7005,99.0,0.9236,99.0,0.8959,99.0,0.5676,94.0,0.4849,96.0,0.6336,100.0,0.6153,99.0
AAPB,,,,15.020000457763672,,1.4572,100.0,1.2806,100.0,1.6202,100.0,1.2533,99.0,0.6168,100.0,0.4866,100.0,0.8339,100.0,0.7974,99.0
AAPD,,,,21.540000915527344,,0.6523,100.0,0.6163,100.0,0.9986,,0.7897,,0.2948,91.0,0.243,92.0,0.3972,,0.3804,
AAPL,69.0,,,172.91000366210938,,0.7017,98.0,0.6529,99.0,0.7981,100.0,0.7661,100.0,0.3032,54.0,0.2568,57.0,0.3184,43.0,0.3588,61.0
AAPU,,,,16.6299991607666,,1.4547,100.0,1.312,100.0,1.5078,100.0,1.5884,98.0,0.6316,100.0,0.5039,100.0,0.7086,99.0,0.8352,93.0
AAT,64.0,,,17.117300033569336,,0.4224,93.0,0.4699,98.0,0.6468,96.0,,,0.2817,74.0,0.2533,72.0,0.6468,100.0,,
AAXJ,,,,65.31500244140625,,0.3621,96.0,0.2973,100.0,0.3931,99.0,0.3933,98.0,0.1965,65.0,0.1153,72.0,0.3104,99.0,0.2989,97.0
