symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,41.0,,,99.29000091552734,,0.4884,90.0,0.4275,93.0,0.586,94.0,0.6017,95.0,0.2797,52.0,0.2588,67.0,0.3543,79.0,0.3857,84.0
AA,76.0,,,22.56999969482422,,0.8361,96.0,0.7757,98.0,1.0615,99.0,1.0126,99.0,0.491,72.0,0.4095,73.0,0.5203,85.0,0.4924,75.0
AAL,75.0,,,9.069999694824219,,0.7349,94.0,0.7487,97.0,1.0376,98.0,1.0231,97.0,0.4907,82.0,0.4009,76.0,0.5343,84.0,0.5614,86.0
AAMI,61.0,,,23.34000015258789,,0.6634,,0.5489,,0.4272,,1.7075,,0.3444,,0.3185,,0.4314,,0.6693,
AAOI,41.0,,,10.699999809265137,,1.6275,95.0,1.4641,98.0,1.7778,98.0,1.7911,99.0,1.4481,97.0,1.1336,97.0,1.0123,90.0,1.1201,96.0
AAON,40.0,,,73.0,,0.5885,95.0,0.676,99.0,0.8274,100.0,0.7959,100.0,0.6411,98.0,0.4416,96.0,0.5848,100.0,0.6163,100.0
AAP,41.0,,,30.309999465942383,,0.5612,94.0,0.5935,98.0,0.812,99.0,0.8757,99.0,0.5597,94.0,0.4751,96.0,0.6245,100.0,0.6118,99.0
AAPB,,,,15.170000076293945,,1.4409,100.0,0.9828,100.0,1.3572,100.0,1.604,99.0,0.6038,97.0,0.4441,100.0,0.74,100.0,0.7711,99.0
AAPD,,,,21.579999923706055,,0.6426,100.0,0.4705,100.0,0.7502,,0.4406,,0.289,90.0,0.2228,90.0,0.3188,,0.4233,
AAPL,68.0,,,172.4199981689453,,0.6911,98.0,0.5066,97.0,0.7081,99.0,0.7048,99.0,0.2963,51.0,0.2364,49.0,0.3029,39.0,0.3394,54.0
AAPU,,,,16.59000015258789,,1.436,100.0,1.0193,100.0,1.415,100.0,1.4844,97.0,0.6187,100.0,0.462,100.0,0.5427,94.0,0.7721,93.0
AAT,63.0,,,17.290000915527344,,0.3908,91.0,0.3878,95.0,0.6455,96.0,,,0.2754,71.0,0.2444,66.0,0.6455,100.0,,
AAXJ,,,,65.0,,0.3617,96.0,0.2284,99.0,0.3577,98.0,0.3716,98.0,0.2014,69.0,0.1062,61.0,0.2696,97.0,0.2846,95.0
AB,61.0,,,33.0,,0.4392,86.0,0.3856,85.0,0.3346,75.0,0.5359,92.0,0.3262,68.0,0.2722,46.0,0.2479,52.0,0.4592,90.0
ABAT,145.0,,,0.9240000247955322,,0.8517,73.0,0.9289,80.0,2.2368,,,,1.4041,90.0,1.3058,100.0,2.2368,,,
ABBV,67.0,,,175.6699981689453,,0.4971,97.0,0.4422,98.0,0.4887,100.0,0.4788,99.0,0.3151,82.0,0.2323,68.0,0.3005,97.0,0.2977,54.0
ABCB,68.0,,,50.689998626708984,,0.6353,96.0,0.4786,94.0,0.4156,77.0,0.5014,89.0,0.3556,83.0,0.2653,39.0,0.3613,79.0,0.3894,85.0
ABCL,40.0,,,1.9299999475479126,,0.6712,69.0,0.7388,85.0,1.1599,95.0,1.2851,99.0,0.6889,66.0,0.639,64.0,3.0438,100.0,0.8665,86.0
ABEO,19.0,,,4.320000171661377,,0.8874,75.0,0.8613,67.0,1.9941,90.0,2.8334,93.0,0.452,5.0,0.4987,5.0,2.5084,96.0,2.8334,94.0
ABEV,41.0,,,2.1500000953674316,,0.4527,88.0,0.2907,76.0,0.3379,51.0,0.6383,96.0,0.326,60.0,0.2494,50.0,0.2244,14.0,0.3998,43.0
ABG,68.0,,,210.85000610351562,,0.5941,87.0,0.6741,95.0,0.7108,99.0,0.6897,98.0,0.3721,51.0,0.3179,43.0,0.4769,80.0,0.4819,80.0
ABL,152.0,,,6.639999866485596,,0.8305,,0.8322,,0.7802,,0.7607,,0.4807,,0.5046,,0.8595,,0.7607,
ABM,27.0,,,42.2400016784668,,0.4569,89.0,0.4185,92.0,0.6013,94.0,0.7087,96.0,0.3136,65.0,0.2774,68.0,0.4218,91.0,0.4575,93.0
ABNB,54.0,,,105.69000244140625,,0.5828,79.0,0.5381,86.0,0.7675,96.0,0.696,91.0,0.4192,55.0,0.3029,36.0,0.4294,34.0,0.4522,39.0
ABNY,,,,10.666999816894531,,0.7122,,0.392,,,,,,0.3706,,0.2251,,,,,
ABOS,147.0,,,0.9739999771118164,,0.8535,72.0,0.8412,71.0,,,,,0.7072,12.0,0.7425,30.0,,,,
ABR,46.0,,,10.149999618530273,,0.4173,87.0,0.4869,95.0,0.6784,96.0,0.7034,93.0,0.3116,64.0,0.3157,70.0,0.2098,57.0,0.6152,82.0
ABSI,21.0,,,2.2699999809265137,,0.8268,53.0,1.0526,74.0,1.2678,57.0,1.2975,,1.0744,100.0,0.9792,45.0,1.1365,50.0,1.227,
ABT,76.0,,,123.94999694824219,,0.3591,93.0,0.3265,95.0,0.6166,100.0,0.5822,100.0,0.2219,69.0,0.202,70.0,0.27,84.0,0.2785,80.0
ABUS,153.0,,,2.880000114440918,,0.815,80.0,0.6335,57.0,0.7372,24.0,0.7799,28.0,0.4342,19.0,0.4416,18.0,4.9177,100.0,0.6327,10.0
ACA,40.0,,,70.66000366210938,,0.6095,92.0,0.5092,93.0,0.4862,85.0,0.6784,98.0,0.3282,36.0,0.2897,42.0,0.4052,85.0,0.407,85.0
ACAD,41.0,,,14.100000381469727,,0.38,33.0,0.425,37.0,1.1205,89.0,1.1099,88.0,0.4378,9.0,0.3928,10.0,0.6393,50.0,0.6382,49.0
ACB,62.0,,,3.880000114440918,,0.5043,28.0,0.6799,56.0,0.7368,26.0,0.741,22.0,0.8322,47.0,0.6499,39.0,1.0422,85.0,1.3352,89.0
ACCD,81.0,,,7.019999980926514,,0.0313,2.0,0.0267,1.0,,,,,1.0737,85.0,0.3857,6.0,,,,
ACCO,47.0,,,3.5299999713897705,,0.4471,81.0,0.5006,93.0,,,,,0.466,87.0,0.3506,71.0,,,,
ACDC,33.0,,,4.309999942779541,,1.9501,100.0,1.2164,100.0,1.8072,100.0,1.5161,100.0,0.8516,100.0,0.6963,100.0,0.9839,100.0,1.1141,100.0
ACEL,160.0,,,9.979999542236328,,0.4405,78.0,0.4599,82.0,0.4616,41.0,,,0.2959,16.0,0.2873,31.0,0.6008,81.0,,
ACES,,,,20.200000762939453,,0.401,71.0,0.4108,95.0,1.3156,100.0,1.1801,100.0,0.2974,13.0,0.24,27.0,0.5116,98.0,0.5081,95.0
ACET,33.0,,,0.6000000238418579,,0.4762,57.0,0.939,92.0,,,,,0.7153,73.0,0.7725,86.0,,,,
ACGL,57.0,,,86.41999816894531,,0.5667,98.0,0.4202,96.0,0.3913,94.0,0.571,99.0,0.2836,87.0,0.2195,74.0,0.3339,92.0,0.3441,93.0
ACHC,40.0,,,27.1200008392334,,0.2705,44.0,0.4395,85.0,0.7065,96.0,0.6028,91.0,0.634,96.0,0.4294,84.0,0.5819,97.0,0.6315,99.0
ACHR,40.0,,,6.400000095367432,,0.9959,75.0,1.145,92.0,1.1378,90.0,1.3004,93.0,1.1609,100.0,1.0462,100.0,0.8692,75.0,0.8696,55.0
ACHV,28.0,,,1.9800000190734863,,0.6956,78.0,1.022,95.0,,,,,0.5877,56.0,0.607,35.0,,,,
ACI,90.0,,,20.940000534057617,,0.4164,56.0,0.3278,40.0,0.6658,84.0,0.5912,76.0,0.2616,14.0,0.2593,16.0,0.3208,16.0,0.335,9.0
ACIC,40.0,,,10.539999961853027,,0.194,27.0,0.4053,56.0,0.7424,77.0,0.7163,71.0,0.4953,24.0,0.427,22.0,0.5867,54.0,0.5956,37.0
ACIU,26.0,,,1.5099999904632568,,0.6241,60.0,0.668,61.0,,,,,0.5262,3.0,0.5705,3.0,,,,
ACIW,40.0,,,48.0,,0.6051,92.0,0.5555,93.0,0.8066,98.0,0.5403,87.0,0.3582,67.0,0.3083,56.0,0.399,77.0,0.466,86.0
ACLS,57.0,,,42.68000030517578,,1.0149,93.0,0.8445,93.0,0.8563,96.0,0.974,99.0,0.4879,43.0,0.4424,35.0,0.6296,90.0,0.6326,90.0
ACLX,40.0,,,53.599998474121094,,0.9885,98.0,0.8394,96.0,0.6102,26.0,0.6103,31.0,0.5653,57.0,0.5529,59.0,0.728,62.0,0.7145,61.0
ACM,64.0,,,87.19000244140625,,0.3632,77.0,0.3907,87.0,0.5186,92.0,0.4402,85.0,0.2381,22.0,0.2372,36.0,0.2894,36.0,0.3263,62.0
ACMR,41.0,,,18.329999923706055,,0.6557,66.0,0.8776,89.0,1.1376,98.0,1.0966,97.0,0.7578,59.0,0.571,65.0,0.7717,81.0,0.7451,76.0
ACN,19.0,,,281.3900146484375,,0.4781,93.0,0.3746,93.0,0.5316,96.0,0.5177,96.0,0.2792,73.0,0.216,64.0,0.3173,87.0,0.3083,72.0
ACNB,75.0,,,38.54999923706055,,0.4665,,0.5284,,0.3688,,0.5703,,0.3937,,0.3427,,0.3367,,0.4091,
ACNT,335.0,,,12.609999656677246,,0.1719,12.0,0.3221,26.0,,,,,0.2721,1.0,0.3352,1.0,,,,
ACR,34.0,,,17.760000228881836,,0.5672,92.0,0.5116,93.0,,,,,0.3356,41.0,0.3188,35.0,,,,
ACRE,55.0,,,3.5899999141693115,,0.3147,78.0,0.5357,98.0,0.9959,97.0,1.0261,98.0,0.3962,90.0,0.3389,89.0,0.9959,98.0,0.6909,96.0
ACRS,40.0,,,1.2300000190734863,,0.5248,47.0,0.7072,64.0,,,,,1.1643,80.0,0.9513,79.0,,,,
ACT,63.0,,,31.90999984741211,,0.3786,91.0,0.3142,86.0,0.3354,63.0,,,0.2124,32.0,0.1948,30.0,0.3354,79.0,,
ACTG,26.0,,,2.940000057220459,,0.7256,88.0,0.6821,88.0,,,0.6313,57.0,0.3945,27.0,0.361,15.0,,,0.5215,31.0
ACVA,48.0,,,12.819999694824219,,0.7857,90.0,0.8065,95.0,0.9077,93.0,0.9433,87.0,0.5059,49.0,0.4765,54.0,0.7353,97.0,0.699,77.0
ACWI,,,,103.58999633789062,,0.4053,96.0,0.3201,97.0,0.4696,100.0,0.4653,100.0,0.1671,64.0,0.1246,67.0,0.1499,69.0,0.2356,85.0
ACWX,,,,49.47999954223633,,0.3713,95.0,0.232,96.0,0.2751,93.0,0.2425,83.0,0.1656,56.0,0.1012,57.0,0.2751,97.0,0.2425,86.0
ACXP,22.0,,,0.3050000071525574,,0.5281,31.0,0.74,43.0,,,,,1.1765,86.0,0.9967,82.0,,,,
ADAP,146.0,,,0.22599999606609344,,2.5474,100.0,1.9495,100.0,,,,,1.1121,91.0,1.0089,86.0,,,,
ADBE,27.0,,,340.0,,0.3627,75.0,0.3766,88.0,0.599,95.0,0.5266,91.0,0.3982,80.0,0.2511,49.0,0.3782,85.0,0.379,83.0
ADC,56.0,,,70.68000030517578,,0.3142,89.0,0.2707,86.0,0.4179,90.0,0.537,96.0,0.1907,46.0,0.1889,41.0,0.2147,57.0,0.298,85.0
ADCT,152.0,,,1.100000023841858,,0.393,33.0,0.8516,83.0,,,,,1.2589,96.0,1.0137,95.0,,,,
ADEA,49.0,,,11.369999885559082,,0.7401,94.0,0.6192,95.0,0.9414,99.0,,,0.5776,100.0,0.3988,87.0,1.041,100.0,,
ADI,48.0,,,166.08999633789062,,0.8204,99.0,0.6719,98.0,0.7726,99.0,0.7606,99.0,0.3752,87.0,0.3024,81.0,0.3367,81.0,0.4167,92.0
ADM,63.0,,,41.790000915527344,,0.5454,96.0,0.3636,94.0,0.4637,96.0,0.5612,98.0,0.2973,72.0,0.2533,74.0,0.2281,37.0,0.3854,94.0
ADMA,36.0,,,17.860000610351562,,0.6195,67.0,0.7609,83.0,0.8014,36.0,0.8953,59.0,0.6431,54.0,0.5761,35.0,0.6099,16.0,0.6305,21.0
ADNT,70.0,,,10.34000015258789,,0.4925,63.0,0.6891,94.0,0.9233,97.0,0.869,95.0,0.4567,46.0,0.4494,59.0,0.6784,88.0,0.5916,66.0
ADP,69.0,,,276.760009765625,,0.4145,95.0,0.3533,96.0,0.4597,98.0,0.4698,98.0,0.1909,49.0,0.174,53.0,0.2241,64.0,0.2962,89.0
ADPT,56.0,,,7.664999961853027,,0.7697,67.0,1.0938,96.0,1.0573,79.0,1.1865,91.0,0.8027,65.0,0.8235,96.0,0.8805,75.0,0.9199,82.0
ADSE,,,,11.15999984741211,,0.7419,,0.8712,,,,1.0775,,0.3907,,0.554,,,,1.0775,
ADSK,40.0,,,238.83999633789062,,0.3899,74.0,0.4127,88.0,0.588,94.0,0.5418,90.0,0.285,23.0,0.2364,20.0,0.3677,59.0,0.379,61.0
ADT,40.0,,,7.539999961853027,,0.3376,59.0,0.4124,79.0,0.7158,94.0,0.462,57.0,0.378,39.0,0.2759,34.0,0.4067,61.0,0.4488,55.0
