symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,59.0,,,106.27999877929688,,0.2793,62.0,0.2941,77.0,0.3574,74.0,0.358,73.0,0.3586,73.0,0.3245,71.0,0.2993,80.0,0.3106,63.0,0.3328,69.0,0.3551,75.0
AA,94.0,,,25.709999084472656,,0.6996,91.0,0.4766,83.0,0.5971,88.0,0.5586,84.0,0.52,78.0,0.5651,82.0,0.4809,84.0,0.4684,75.0,0.5124,81.0,0.5564,87.0
AAL,93.0,,,9.75,,0.4849,76.0,0.4811,85.0,0.5275,81.0,0.528,81.0,0.5286,81.0,0.6199,91.0,0.4649,83.0,0.5084,81.0,0.5229,83.0,0.5374,84.0
AAMI,79.0,,,26.93000030517578,,0.4081,,0.3424,,0.3468,,0.4142,,0.4816,,0.3734,,0.3531,,0.3272,,0.4044,,0.4816,
AAOI,59.0,,,12.5600004196167,,1.1524,88.0,0.8314,83.0,1.3547,93.0,1.3623,93.0,1.3699,93.0,1.5177,98.0,1.1913,98.0,1.0429,93.0,1.052,92.0,1.0612,92.0
AAON,58.0,,,87.94000244140625,,0.5617,95.0,0.4267,92.0,0.606,97.0,0.6258,99.0,0.6455,99.0,0.6787,100.0,0.4794,97.0,0.5205,100.0,0.5182,100.0,0.5158,100.0
AAP,59.0,,,32.880001068115234,,0.4085,85.0,0.4877,96.0,0.4874,90.0,0.5052,92.0,0.5231,93.0,0.5803,94.0,0.5147,98.0,0.5351,97.0,0.5811,98.0,0.627,99.0
AAPB,,,,21.5,,0.8361,,0.4981,,0.7494,,0.7564,,0.7634,,0.761,,0.5793,,0.5753,,0.6152,,0.6551,
AAPD,,,,17.309999465942383,,0.4065,,0.2528,,0.6961,,,,,,0.3961,,0.305,,0.2897,,,,,
AAPL,86.0,,,209.27999877929688,,0.4115,83.0,0.2619,63.0,0.4048,80.0,0.4098,81.0,0.4148,82.0,0.3851,79.0,0.3067,69.0,0.2729,31.0,0.2951,36.0,0.3173,46.0
AAPU,,,,23.540000915527344,,0.837,,0.5138,,0.6269,,0.6891,,0.7514,,0.7715,,0.5964,,0.5303,,0.5486,,0.567,
AAT,81.0,,,18.68000030517578,,0.1884,46.0,0.2391,70.0,0.3502,72.0,0.3792,77.0,0.4081,80.0,0.3027,80.0,0.278,82.0,0.3502,85.0,0.3792,88.0,0.4081,88.0
AAXJ,,,,73.12000274658203,,0.1705,57.0,0.1128,74.0,0.1739,50.0,0.1854,57.0,0.1969,62.0,0.2279,82.0,0.1348,88.0,0.1854,60.0,0.1996,59.0,0.2137,52.0
AB,79.0,,,37.63999938964844,,0.2793,57.0,0.2886,62.0,0.2501,40.0,0.3022,55.0,0.3542,65.0,0.355,76.0,0.3032,64.0,0.2592,57.0,0.2666,41.0,0.274,25.0
ABAT,163.0,,,1.149999976158142,,0.9289,77.0,0.9629,81.0,1.1196,,1.1882,,1.2568,,1.4241,90.0,1.3263,100.0,0.8663,,1.0616,,1.2568,
ABBV,85.0,,,186.05999755859375,,0.3503,88.0,0.3053,90.0,0.2345,61.0,0.2375,60.0,0.2405,59.0,0.3411,89.0,0.2756,83.0,0.2144,44.0,0.2722,66.0,0.33,76.0
ABCB,86.0,,,56.02000045776367,,0.2992,66.0,0.2264,31.0,0.3268,53.0,0.3352,51.0,0.3435,59.0,0.3831,88.0,0.2905,62.0,0.3268,64.0,0.331,60.0,0.3353,64.0
ABCL,58.0,,,2.569999933242798,,0.2767,5.0,0.5312,40.0,0.9999,88.0,0.927,,0.8541,,0.7347,86.0,0.6734,77.0,1.6329,99.0,1.2567,,0.8805,
ABEO,37.0,,,5.329999923706055,,0.495,27.0,0.6509,39.0,2.6048,95.0,2.6769,93.0,2.7491,93.0,0.4922,8.0,0.5507,7.0,1.5001,84.0,1.8,89.0,2.1,92.0
