symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,62.0,,,106.87000274658203,,0.273,60.0,0.2954,77.0,0.3819,79.0,0.403,82.0,0.4242,84.0,0.3246,71.0,0.3,80.0,0.3134,64.0,0.3303,68.0,0.3471,71.0
AA,97.0,,,25.559999465942383,,0.6988,91.0,0.4644,81.0,0.5786,86.0,0.5652,85.0,0.5518,83.0,0.5645,82.0,0.4812,84.0,0.494,80.0,0.5248,84.0,0.5556,86.0
AAL,96.0,,,9.850000381469727,,0.3802,56.0,0.4232,78.0,0.5308,81.0,0.524,81.0,0.5172,80.0,0.6186,91.0,0.4635,83.0,0.5384,84.0,0.5345,84.0,0.5306,83.0
AAMI,82.0,,,26.90999984741211,,0.4082,,0.3462,,0.3394,,0.4122,,0.4851,,0.3732,,0.3531,,0.3185,,0.4018,,0.4851,
AAOI,62.0,,,13.069999694824219,,0.8802,75.0,0.8109,80.0,1.7354,98.0,1.7293,98.0,1.7232,98.0,1.5189,98.0,1.1919,98.0,1.0133,90.0,1.043,91.0,1.0726,93.0
AAON,61.0,,,88.79000091552734,,0.5215,93.0,0.4254,92.0,0.5901,96.0,0.61,99.0,0.63,98.0,0.6755,99.0,0.48,97.0,0.5213,100.0,0.5192,100.0,0.517,100.0
AAP,62.0,,,32.630001068115234,,0.2382,49.0,0.453,94.0,0.5323,93.0,0.5541,94.0,0.576,95.0,0.5801,94.0,0.5152,98.0,0.5007,95.0,0.5649,98.0,0.6291,99.0
AAPB,,,,21.700000762939453,,0.5662,,0.4137,,0.7173,,0.7491,,0.7809,,0.7611,,0.5797,,0.5805,,0.5972,,0.6138,
AAPD,,,,17.25,,0.2786,,0.2201,,0.6356,,,,,,0.3962,,0.3052,,0.6356,,,,,
AAPL,89.0,,,210.13999938964844,,0.2722,56.0,0.2238,50.0,0.4081,81.0,0.4062,80.0,0.4043,79.0,0.3851,79.0,0.3068,69.0,0.2734,31.0,0.2938,35.0,0.3142,45.0
AAPU,,,,23.75,,0.5612,,0.431,,0.7653,,0.7736,,0.7818,,0.7716,,0.5968,,0.497,,0.5681,,0.6392,
AAT,84.0,,,19.010000228881836,,0.2196,57.0,0.2357,69.0,0.5269,90.0,0.489,90.0,0.4512,86.0,0.304,80.0,0.2783,82.0,0.5269,98.0,0.489,98.0,0.4512,93.0
AAXJ,,,,73.2300033569336,,0.1134,24.0,0.1016,64.0,0.152,32.0,0.1839,56.0,0.2158,74.0,0.2279,82.0,0.1347,88.0,0.1858,61.0,0.2068,66.0,0.2278,68.0
AB,82.0,,,38.66999816894531,,0.3087,66.0,0.2914,63.0,0.2449,37.0,0.3233,64.0,0.4017,78.0,0.3571,77.0,0.3036,65.0,0.2449,50.0,0.2512,30.0,0.2574,18.0
ABAT,166.0,,,1.149999976158142,,0.9316,77.0,0.8675,75.0,1.4803,,1.3764,,1.2726,,1.424,90.0,1.3263,100.0,1.0625,,1.1675,,1.2726,
ABBV,88.0,,,192.33999633789062,,0.2662,74.0,0.2867,87.0,0.2379,64.0,0.2546,70.0,0.2712,74.0,0.3441,89.0,0.2764,83.0,0.2218,50.0,0.2743,70.0,0.3268,73.0
ABCB,89.0,,,56.959999084472656,,0.3022,67.0,0.2309,34.0,0.4077,75.0,0.4526,79.0,0.4974,88.0,0.3818,87.0,0.2893,61.0,0.2887,46.0,0.3149,51.0,0.3411,68.0
