symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,24.0,,,120.75,34426188216.0,0.286,64.0,0.227,55.0,0.2603,40.0,0.2599,39.0,0.2629,42.0,0.2441,60.0,0.2965,55.0,0.2953,40.0
AA,59.0,,,33.95000076293945,9019564602.69165,0.5189,78.0,0.4082,73.0,0.44,64.0,0.4498,65.0,0.4661,64.0,0.3698,63.0,0.4598,73.0,0.4986,76.0
AAL,58.0,,,11.390000343322754,7489790865.760803,0.4422,69.0,0.3974,74.0,0.4058,59.0,0.4543,72.0,0.4755,79.0,0.369,66.0,0.447,71.0,0.4616,70.0
AAMI,44.0,,,25.530000686645508,974038457.1973801,0.249,,0.2925,,0.2945,,0.728,,0.3125,,0.2995,,0.2945,,0.4855,
AAOI,24.0,,,20.43000030517578,1026603429.335022,2.2511,99.0,0.9943,91.0,1.0901,85.0,1.0795,84.0,1.3893,96.0,1.1035,96.0,1.0722,95.0,1.0914,94.0
AAON,23.0,,,79.6500015258789,6499224750.907593,0.5154,93.0,0.401,89.0,0.5557,95.0,0.4446,85.0,0.624,97.0,0.4125,96.0,0.5141,100.0,0.4876,99.0
AAP,24.0,,,37.459999084472656,2250607982.9948425,0.237,49.0,0.3743,88.0,0.5149,93.0,0.4977,91.0,0.5395,94.0,0.4619,96.0,0.5592,98.0,0.5473,96.0
AAPB,,,,24.760000228881836,,0.5719,80.0,0.5042,95.0,0.4153,39.0,0.5443,64.0,0.4723,68.0,0.3842,87.0,0.4565,66.0,0.5675,77.0
AAPD,,,,17.479999542236328,,0.2786,74.0,0.256,85.0,0.2918,,0.3346,,0.2355,66.0,0.1959,73.0,0.2392,,0.3143,
AAPL,51.0,,,218.27000427246094,3445915907358.8906,0.2953,61.0,0.2617,63.0,0.2543,39.0,0.2586,41.0,0.2354,25.0,0.2068,34.0,0.2618,27.0,0.2968,36.0
AAPU,,,,27.459999084472656,,0.5802,86.0,0.5221,95.0,0.5635,81.0,0.5242,63.0,0.4941,88.0,0.4005,86.0,0.4574,74.0,0.5602,83.0
AAT,46.0,,,20.25,1565725950.0,0.321,84.0,0.2861,82.0,0.4039,79.0,0.516,91.0,0.2591,66.0,0.2296,62.0,0.4039,92.0,0.4955,97.0
AAXJ,,,,75.7699966430664,,0.1765,61.0,0.0835,41.0,0.2214,81.0,0.1789,45.0,0.1972,66.0,0.0969,45.0,0.1606,34.0,0.1903,23.0
AB,44.0,,,38.029998779296875,4203455765.0756836,0.1285,10.0,0.1444,4.0,0.2003,16.0,0.2611,28.0,0.3055,61.0,0.2591,38.0,0.2021,30.0,0.3764,73.0
ABAT,128.0,,,1.0299999713897705,87619007.56621361,1.0183,82.0,0.9869,83.0,0.8677,,1.2716,,1.4201,90.0,1.3208,100.0,0.9638,,1.0009,
ABBV,50.0,,,210.00999450683594,370741147162.80273,0.1134,14.0,0.179,39.0,0.2051,41.0,0.1832,19.0,0.2887,75.0,0.2058,40.0,0.2547,73.0,0.2632,18.0
ABCB,51.0,,,57.779998779296875,3990783623.687744,0.2453,49.0,0.2133,25.0,0.3819,69.0,0.3743,69.0,0.3269,68.0,0.2467,24.0,0.3509,75.0,0.3363,65.0
ABCL,23.0,,,2.440000057220459,727090737.0510101,0.6367,64.0,0.5357,41.0,1.0342,91.0,0.8503,77.0,0.6741,65.0,0.6189,60.0,0.984,82.0,0.803,71.0
ABEO,2.0,,,5.150000095367432,224506529.15740013,0.3676,12.0,0.5084,15.0,1.3184,72.0,1.2042,64.0,0.4269,4.0,0.479,4.0,1.3184,78.0,0.9695,47.0
ABEV,24.0,,,2.359999895095825,37679287382.40088,0.1829,18.0,0.2255,44.0,0.2191,7.0,0.3538,32.0,0.3185,57.0,0.2433,48.0,0.2191,12.0,0.3708,32.0
ABG,51.0,,,233.75999450683594,4592308596.084595,0.4719,76.0,0.3632,63.0,0.353,45.0,0.3697,51.0,0.3508,43.0,0.2791,23.0,0.3816,56.0,0.3942,59.0
