symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,44.0,,,99.94999694824219,,0.8469,99.0,0.7052,99.0,0.7604,99.0,0.7437,99.0,0.7271,98.0,0.32,70.0,0.294,78.0,0.3462,77.0,0.3673,81.0,0.3884,85.0
AA,79.0,,,23.75,,1.4428,100.0,1.2379,100.0,1.1738,100.0,1.2016,100.0,1.2294,100.0,0.5501,80.0,0.4714,83.0,0.5246,85.0,0.5622,89.0,0.5999,93.0
AAL,78.0,,,9.510000228881836,,1.8658,100.0,1.1952,100.0,1.0285,98.0,1.0343,97.0,1.0401,97.0,0.6185,91.0,0.4612,83.0,0.5497,86.0,0.552,86.0,0.5544,85.0
AAMI,64.0,,,25.75,,1.0094,,0.8162,,0.4429,,0.6772,,0.9115,,0.3775,,0.3506,,0.3207,,0.3906,,0.4606,
AAOI,44.0,,,11.720000267028809,,2.6792,100.0,2.0959,100.0,1.5688,97.0,1.5756,97.0,1.5823,97.0,1.5086,98.0,1.1852,97.0,0.9818,87.0,1.0166,90.0,1.0515,91.0
AAON,43.0,,,80.41999816894531,,0.9858,99.0,0.8742,100.0,0.6399,98.0,0.7116,100.0,0.7832,100.0,0.665,99.0,0.4654,97.0,0.5652,100.0,0.5678,100.0,0.5704,100.0
AAP,44.0,,,32.16999816894531,,0.9967,99.0,0.9431,100.0,0.7148,98.0,0.771,99.0,0.8273,99.0,0.5868,94.0,0.5076,97.0,0.6452,100.0,0.6206,100.0,0.5961,98.0
AAPB,,,,18.049999237060547,,2.4259,,1.682,,1.1759,,1.348,,1.52,,0.7323,,0.5542,,0.6709,,0.7128,,0.7547,
AAPD,,,,19.079999923706055,,1.3503,,0.9051,,1.1679,,1.1766,,1.1853,,0.3824,,0.291,,0.5396,,0.5052,,0.4708,
AAPL,71.0,,,190.4199981689453,,1.2596,100.0,0.8702,100.0,0.6471,99.0,0.6294,98.0,0.6116,98.0,0.3708,73.0,0.293,67.0,0.3027,39.0,0.3246,46.0,0.3464,56.0
AAPU,,,,19.75,,2.4082,,1.7121,,1.1875,,1.2125,,1.2375,,0.7424,,0.5704,,0.6766,,0.6818,,0.687,
AAT,66.0,,,17.950000762939453,,0.6905,99.0,0.6386,100.0,0.4864,87.0,0.4598,87.0,0.4332,84.0,0.3027,80.0,0.2738,82.0,0.4864,97.0,0.4598,97.0,0.4332,92.0
