symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
ADCT,180.0,,,1.4199999570846558,,0.6479,65.0,0.6416,65.0,,,,,,,1.2628,97.0,1.0234,95.0,,,,,,
ADEA,77.0,,,12.350000381469728,,0.2368,,0.2396,,0.806,,0.6728,,0.5395,,0.5972,,0.4217,,0.5061,,0.5228,,0.5395,
ADI,76.0,,,197.72000122070312,,0.1877,26.0,0.2604,63.0,0.4113,87.0,0.3948,84.0,0.3782,80.0,0.4729,91.0,0.3732,89.0,0.3086,71.0,0.3482,81.0,0.3879,89.0
ADM,91.0,,,47.5,,0.0836,4.0,0.1632,27.0,0.4124,94.0,0.426,95.0,0.4396,95.0,0.3133,75.0,0.2716,82.0,0.1697,7.0,0.2398,27.0,0.31,68.0
ADMA,64.0,,,23.709999084472656,,0.7711,82.0,0.5398,49.0,0.9392,60.0,0.953,68.0,0.9668,71.0,0.612,41.0,0.5809,37.0,0.5647,10.0,0.573,9.0,0.5813,11.0
ADNT,98.0,,,12.869999885559082,,0.2785,23.0,0.3476,41.0,0.8057,91.0,0.8289,93.0,0.8521,94.0,0.5344,56.0,0.5018,71.0,0.623,74.0,0.6265,74.0,0.6301,74.0
ADP,97.0,,,303.9599914550781,,0.1604,48.0,0.2158,79.0,0.2,61.0,0.1996,59.0,0.1992,57.0,0.2243,74.0,0.2065,73.0,0.2422,74.0,0.2402,67.0,0.2381,54.0
ADPT,84.0,,,10.029999732971191,,1.8134,99.0,0.8066,79.0,0.8021,47.0,0.9269,67.0,1.0517,82.0,0.906,87.0,0.8613,100.0,0.762,60.0,0.6968,43.0,0.6315,15.0
ADSE,,,,13.479999542236328,,0.3766,,0.5304,,,,,,1.3792,,0.4116,,0.5632,,,,,,1.1333,
ADSK,68.0,,,280.07000732421875,,0.1528,10.0,0.1706,7.0,0.2791,26.0,0.2822,27.0,0.2852,28.0,0.3256,41.0,0.268,38.0,0.3199,9.0,0.3223,8.0,0.3246,9.0
ADT,68.0,,,8.130000114440918,,0.1202,5.0,0.1983,14.0,0.3209,28.0,0.4149,49.0,0.5089,70.0,0.2918,26.0,0.2757,34.0,0.349,41.0,0.3481,37.0,0.3473,34.0
ADTN,180.0,,,7.900000095367432,,0.1741,13.0,0.3074,43.0,0.9369,100.0,0.973,100.0,1.0091,100.0,0.6018,93.0,0.5608,97.0,0.5816,98.0,0.5934,98.0,0.6053,97.0
ADUS,71.0,,,104.37000274658205,,0.1554,8.0,0.2795,40.0,0.5422,90.0,0.4853,85.0,0.4284,70.0,0.3285,38.0,0.3101,21.0,0.3718,50.0,0.3692,48.0,0.3665,46.0
ADV,60.0,,,1.3300000429153442,,0.4133,43.0,0.5415,54.0,,,,,,,0.7362,95.0,0.7331,100.0,,,,,,
ADVM,183.0,,,3.5899999141693115,,0.7123,64.0,0.9437,85.0,1.3446,81.0,,,,,0.7994,65.0,0.8689,77.0,2.9395,100.0,,,,
AEE,82.0,,,99.5500030517578,,0.1327,38.0,0.2055,80.0,0.1871,55.0,0.1794,40.0,0.1716,28.0,0.2121,79.0,0.21,83.0,0.1742,51.0,0.2037,64.0,0.2333,72.0
AEG,817.0,,,6.650000095367432,,0.1776,21.0,0.1749,55.0,,,,,,,0.3574,63.0,0.2151,69.0,,,,,,
AEHR,113.0,,,8.260000228881836,,0.5398,,0.534,,0.8313,,0.8278,,0.8242,,0.973,,0.7567,,0.7492,,0.8046,,0.8599,
AEIS,83.0,,,110.04000091552734,,0.7058,89.0,0.4507,70.0,0.4906,63.0,0.4936,63.0,0.4966,62.0,0.5832,79.0,0.4485,67.0,0.4619,61.0,0.4606,59.0,0.4592,57.0
AEM,82.0,,,114.3000030517578,,0.3717,53.0,0.25,27.0,0.3645,41.0,0.3654,41.0,0.3663,41.0,0.363,37.0,0.2953,35.0,0.3559,28.0,0.3536,26.0,0.3512,21.0
AEO,55.0,,,11.109999656677246,,0.3528,50.0,0.3466,56.0,0.5344,78.0,0.5192,75.0,0.5039,72.0,0.6073,92.0,0.4867,84.0,0.4413,72.0,0.5097,85.0,0.5781,90.0
AEP,82.0,,,107.44000244140624,,0.1015,18.0,0.1681,56.0,0.2535,88.0,0.2864,91.0,0.3193,93.0,0.2176,78.0,0.2046,74.0,0.2118,73.0,0.2133,65.0,0.2148,41.0
AER,69.0,,,107.62999725341795,,0.0895,6.0,0.2307,39.0,0.264,30.0,0.2655,30.0,0.267,30.0,0.3086,47.0,0.2744,47.0,0.3167,43.0,0.3062,38.0,0.2957,33.0
AES,67.0,,,10.260000228881836,,0.3206,65.0,0.3188,70.0,0.4521,84.0,0.4519,83.0,0.4517,83.0,0.4648,87.0,0.4045,87.0,0.3277,60.0,0.396,76.0,0.4642,84.0
AESI,71.0,,,14.06999969482422,,0.5115,,0.35,,0.5532,,0.6577,,0.7622,,0.5613,,0.4816,,0.4449,,0.5204,,0.596,
AETH,,,,27.69219970703125,,0.2915,,0.1269,,0.5948,,0.6699,,0.745,,0.4877,,0.2149,,0.6228,,0.6986,,0.7743,
AEVA,48.0,,,7.789999961853027,,0.5381,19.0,0.6456,28.0,1.2456,,1.2307,,1.2158,,0.9715,86.0,0.8713,74.0,0.7947,,0.8746,,0.9546,
AEYE,55.0,,,12.010000228881836,,0.8213,,1.1955,,0.8117,,0.8324,,0.8531,,0.9355,,0.8487,,0.8816,,0.8782,,0.8747,
AFCG,54.0,,,5.71999979019165,,0.5575,,0.4521,,,,,,0.6259,,0.5238,,0.4579,,,,,,0.6259,
AFG,91.0,,,129.11000061035156,,0.246,73.0,0.2194,74.0,0.3256,84.0,0.2802,74.0,0.2349,57.0,0.2694,75.0,0.2273,72.0,0.2141,57.0,0.2318,62.0,0.2494,66.0
AFK,,,,18.15999984741211,,0.095,,0.2583,,,,,,,,0.2581,,0.2254,,,,,,,
AFL,90.0,,,105.75,,0.3397,85.0,0.2122,70.0,0.169,30.0,0.1976,46.0,0.2261,57.0,0.2598,71.0,0.2242,70.0,0.2297,61.0,0.2305,55.0,0.2314,43.0
AFMD,173.0,,,0.8252999782562256,,1.5175,97.0,1.1218,92.0,,,,,,,1.011,84.0,0.9563,88.0,,,,,,
AFRM,89.0,,,52.09000015258789,,0.3459,4.0,0.5093,12.0,1.1297,81.0,1.1311,81.0,1.1325,81.0,0.8953,50.0,0.7258,49.0,0.7353,34.0,0.7432,35.0,0.7511,35.0
AFYA,54.0,,,18.950000762939453,,0.25,19.0,0.2605,9.0,0.4822,21.0,,,,,0.3617,30.0,0.3026,11.0,0.4236,15.0,,,,
AG,75.0,,,6.03000020980835,,0.4259,32.0,0.3797,28.0,0.6803,83.0,0.6846,83.0,0.6889,84.0,0.6197,61.0,0.5222,64.0,0.5791,41.0,0.5894,47.0,0.5996,52.0
AGCO,89.0,,,95.9000015258789,,0.6051,95.0,0.3673,85.0,0.3866,81.0,0.4029,83.0,0.4192,84.0,0.4849,91.0,0.4037,91.0,0.3555,72.0,0.3514,65.0,0.3474,55.0
AGEN,56.0,,,3.0899999141693115,,1.2022,93.0,1.0825,91.0,1.3872,90.0,1.3404,91.0,1.2936,91.0,1.0617,89.0,1.0397,92.0,0.989,71.0,1.3042,87.0,1.6195,95.0
AGG,,,,97.77999877929688,,0.0605,85.0,0.0389,79.0,0.0699,89.0,0.0636,80.0,0.0572,57.0,0.0566,79.0,0.0446,82.0,0.0508,80.0,0.0784,90.0,0.106,92.0
AGGY,,,,42.91999816894531,,0.0388,,0.0322,,,,,,,,0.065,,0.0464,,,,,,,
AGI,76.0,,,25.700000762939453,,0.7423,89.0,0.4443,70.0,0.4174,28.0,0.4232,28.0,0.4291,32.0,0.4164,34.0,0.3409,30.0,0.403,20.0,0.3991,16.0,0.3952,13.0
AGIO,82.0,,,29.969999313354492,,0.3658,30.0,0.6118,77.0,0.8074,87.0,0.6462,62.0,0.4851,21.0,0.6486,70.0,0.5942,73.0,0.7505,92.0,0.74,91.0,0.7294,89.0
AGL,70.0,,,4.119999885559082,,0.9796,94.0,0.7637,88.0,1.0539,94.0,1.0938,97.0,1.1338,99.0,1.1885,100.0,0.9538,100.0,0.7047,80.0,0.7415,82.0,0.7783,85.0
AGM,74.0,,,176.77999877929688,,0.1785,18.0,0.1653,6.0,0.4535,75.0,0.4387,73.0,0.4239,68.0,0.3214,46.0,0.2736,35.0,0.292,28.0,0.3134,34.0,0.3347,39.0
AGNC,99.0,,,8.760000228881836,,0.179,57.0,0.1835,64.0,0.2546,77.0,0.2571,75.0,0.2596,70.0,0.247,69.0,0.2489,75.0,0.1656,44.0,0.3335,84.0,0.5014,94.0
AGNG,,,,31.6200008392334,,0.1769,,0.2252,,0.1509,,,,,,0.1782,,0.1555,,0.1509,,,,,
AGO,68.0,,,89.63999938964844,,0.2229,42.0,0.1922,34.0,0.392,64.0,0.4156,67.0,0.4393,69.0,0.2953,54.0,0.2325,43.0,0.3156,52.0,0.3124,47.0,0.3091,41.0
AGQ,,,,39.130001068115234,,0.3423,27.0,0.2949,39.0,0.5533,57.0,0.6429,75.0,0.7325,87.0,0.6028,63.0,0.342,46.0,0.5543,47.0,0.5857,48.0,0.6171,48.0
AGRO,54.0,,,8.5,,0.9217,99.0,0.627,98.0,,,,,0.3429,19.0,0.399,74.0,0.3066,41.0,,,,,0.3429,22.0
AGS,61.0,,,12.170000076293944,,0.0384,6.0,0.0514,8.0,,,,,,,0.0561,6.0,0.0615,5.0,,,,,,
AGX,152.0,,,165.3800048828125,,0.2269,36.0,0.4738,91.0,0.6176,90.0,0.6126,91.0,0.6075,88.0,0.7616,100.0,0.6547,100.0,0.6632,100.0,0.6557,100.0,0.6482,99.0
AGYS,105.0,,,76.02999877929688,,0.1544,7.0,0.2756,21.0,0.7293,91.0,0.639,87.0,0.5487,79.0,0.5664,78.0,0.4321,55.0,0.571,87.0,0.5652,87.0,0.5595,86.0
AGZ,,,,109.0250015258789,,0.0395,,0.024,,,,,,0.1078,,0.0341,,0.0323,,,,,,0.1078,
AHCO,70.0,,,8.699999809265137,,0.4194,48.0,0.5362,70.0,1.0876,99.0,1.0376,100.0,0.9877,99.0,0.5998,51.0,0.5142,44.0,0.5031,21.0,0.5035,16.0,0.504,17.0
AHH,76.0,,,6.889999866485596,,0.1896,43.0,0.2236,59.0,0.3386,61.0,,,,,0.3263,89.0,0.3014,87.0,0.3358,69.0,,,,
AHR,68.0,,,32.40999984741211,,0.203,35.0,0.2558,93.0,0.3369,,0.3566,,0.3764,,0.3178,62.0,0.3409,100.0,0.3084,,0.341,,0.3737,
AI,69.0,,,21.979999542236328,,0.3305,56.0,0.3341,57.0,0.5916,59.0,0.5889,57.0,0.5862,63.0,0.7238,81.0,0.6632,82.0,0.6719,71.0,0.6764,61.0,0.6808,68.0
AIA,,,,74.58000183105469,,0.2511,71.0,0.0774,20.0,0.2708,77.0,0.2682,63.0,0.2656,50.0,0.2985,82.0,0.1655,89.0,0.2064,87.0,0.2336,67.0,0.2607,46.0
AIBU,,,,29.719999313354492,,0.3506,,0.4269,,0.5876,,0.5848,,0.582,,0.7496,,0.5068,,0.5901,,0.6018,,0.6135,
AIEQ,,,,38.22549819946289,,0.136,,0.1156,,0.247,,0.2607,,0.2744,,0.3025,,0.213,,0.2248,,0.2509,,0.277,
AIFU,,,,0.1234999969601631,,1.897,,4.1877,,,,,,,,1.3467,,1.6526,,,,,,,
AIG,84.0,,,83.05000305175781,,0.2616,61.0,0.2919,73.0,0.2354,48.0,0.2391,48.0,0.2428,48.0,0.2615,49.0,0.2491,61.0,0.2664,52.0,0.266,48.0,0.2657,36.0
AIN,69.0,,,63.84000015258789,,0.3943,80.0,0.5601,97.0,0.5153,85.0,0.4352,74.0,0.355,51.0,0.3887,75.0,0.3448,77.0,0.2901,44.0,0.3101,51.0,0.33,61.0
AIOT,85.0,,,5.079999923706055,,0.2385,,0.357,,0.701,,0.8609,,1.0208,,0.8391,,0.7427,,0.701,,0.702,,0.7029,
AIP,77.0,,,6.820000171661377,,0.2837,,0.4961,,0.6254,,,,,,0.7309,,0.6506,,0.6254,,,,,
AIPI,,,,40.869998931884766,,0.0919,,0.128,,0.2935,,0.3052,,0.317,,0.3068,,0.2429,,0.098,,0.3813,,0.6646,
AIQ,,,,38.099998474121094,,0.1654,26.0,0.1667,47.0,0.2666,63.0,0.267,,0.2673,,0.3221,66.0,0.2372,71.0,0.2849,70.0,0.2902,,0.2956,
AIR,119.0,,,57.040000915527344,,0.2219,25.0,0.2524,32.0,0.3107,22.0,0.3214,24.0,0.3322,28.0,0.4689,76.0,0.3596,65.0,0.3094,21.0,0.3266,30.0,0.3438,37.0
AIRG,273.0,,,4.190000057220459,,0.713,82.0,0.7757,90.0,0.8064,82.0,,,,,0.7202,83.0,0.713,88.0,0.8064,92.0,,,,
AIRJ,,,,4.599999904632568,,1.0856,,0.8707,,0.9272,,,,,,0.868,,0.9837,,0.9272,,,,,
AIRR,,,,73.04000091552734,,0.2088,,0.2075,,0.2745,,0.2878,,0.301,,0.327,,0.2607,,0.269,,0.274,,0.279,
AIRS,53.0,,,2.430000066757202,,2.3945,,1.7546,,,,,,1.3613,,1.1264,,1.0975,,,,,,1.1597,
AISP,67.0,,,4.074999809265137,,0.5742,,0.695,,1.1412,,3.3221,,5.503,,1.3292,,1.3287,,0.5281,,1.7838,,3.0395,
AIT,97.0,,,224.11000061035156,,0.3968,86.0,0.384,91.0,0.3758,79.0,0.3642,76.0,0.3527,70.0,0.4215,89.0,0.3257,85.0,0.3336,75.0,0.3308,72.0,0.3279,67.0
AIV,71.0,,,8.0600004196167,,0.2471,62.0,0.2496,66.0,0.3199,60.0,0.4394,77.0,0.5588,89.0,0.2943,65.0,0.2862,69.0,0.3237,63.0,0.3335,62.0,0.3433,62.0
AIVC,,,,44.851200103759766,,0.1273,,0.0749,,0.2859,,0.291,,0.296,,0.4065,,0.2087,,0.2853,,0.2917,,0.2981,
AIVI,,,,46.630001068115234,,0.0811,,0.0406,,0.1308,,,,,,0.1847,,0.0861,,0.1165,,,,,
AIVL,,,,107.12000274658205,,0.1015,,0.0887,,0.1447,,0.141,,0.1374,,0.1928,,0.1198,,0.1418,,0.1559,,0.17,
