symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,104.0,,,116.73999786376952,,0.2131,42.0,0.1879,34.0,0.2903,53.0,0.2622,40.0,0.2341,26.0,0.3388,76.0,0.2975,79.0,0.3073,62.0,0.3051,57.0,0.3028,48.0,20270115.0,35.0,609.0
AA,139.0,,,28.559999465942383,,0.3696,55.0,0.3791,67.0,0.4968,75.0,0.4886,73.0,0.4805,72.0,0.5518,80.0,0.48,84.0,0.4737,76.0,0.4906,76.0,0.5074,78.0,20270115.0,7.0,609.0
AAAU,,,,32.86000061035156,,0.2117,,0.0992,,0.2106,,0.2096,,0.2085,,0.1964,,0.1011,,0.1813,,0.1914,,0.2015,,20251219.0,35.0,217.0
AACT,,,,11.399999618530272,,0.1058,,0.0881,,,,,,,,0.0311,,0.0322,,,,,,,,,,
AAL,138.0,,,11.760000228881836,,0.2961,34.0,0.2541,23.0,0.415,61.0,0.413,60.0,0.4109,60.0,0.583,88.0,0.4627,83.0,0.4848,78.0,0.4915,79.0,0.4982,78.0,20271217.0,7.0,945.0
AAMI,124.0,,,31.209999084472656,,0.187,,0.2255,,0.2707,,0.3034,,0.336,,0.0,,0.0,,0.2707,,0.3194,,0.368,,20260116.0,35.0,245.0
AAOI,104.0,,,16.8700008392334,,0.8918,76.0,0.7388,73.0,0.8821,72.0,0.8822,73.0,0.8824,72.0,1.3488,95.0,1.126,96.0,0.9327,83.0,0.9607,85.0,0.9887,85.0,20270115.0,7.0,609.0
AAON,103.0,,,93.95999908447266,,0.287,56.0,0.2787,50.0,0.4581,87.0,0.4639,87.0,0.4697,88.0,0.6328,97.0,0.4673,97.0,0.4498,97.0,0.4502,95.0,0.4507,97.0,20260116.0,35.0,245.0
AAP,104.0,,,52.09999847412109,,0.3454,77.0,0.3607,86.0,0.4606,88.0,0.4586,87.0,0.4565,86.0,0.8663,100.0,0.5348,98.0,0.5449,97.0,0.5305,96.0,0.5161,94.0,20270115.0,7.0,609.0
AAPB,,,,19.57999992370605,,0.3338,,0.3835,,0.6179,,0.5906,,0.5633,,0.7949,,0.5994,,0.5236,,0.569,,0.6143,,20260116.0,35.0,245.0
AAPD,,,,17.93000030517578,,0.1533,,0.1949,,0.1629,,,,,,0.4123,,0.3142,,0.2183,,,,,,20260116.0,35.0,245.0
AAPL,131.0,,,201.4499969482422,,0.1621,21.0,0.2001,42.0,0.2822,48.0,0.2809,48.0,0.2796,48.0,0.4025,83.0,0.3158,72.0,0.2866,34.0,0.3034,39.0,0.3203,47.0,20271217.0,7.0,945.0
AAPU,,,,21.420000076293945,,0.3322,,0.3959,,0.5577,,0.5578,,0.5578,,0.7927,,0.6154,,0.4583,,0.5412,,0.6242,,20260116.0,35.0,245.0
AAPW,,,,35.86000061035156,,0.1926,,0.1599,,,,,,0.5402,,0.0,,0.0,,,,,,0.6631,,20251219.0,35.0,217.0
AAPX,,,,18.459999084472656,,0.2622,,0.3057,,0.3434,,0.6102,,0.877,,0.8265,,0.592,,0.4569,,0.538,,0.6191,,20251219.0,35.0,217.0
AAPY,,,,21.29560089111328,,0.1594,,0.1296,,0.132,,0.2528,,0.3736,,0.3468,,0.1997,,0.132,,0.2572,,0.3824,,20260116.0,35.0,245.0
AAT,126.0,,,20.190000534057617,,0.294,79.0,0.203,52.0,,,,,0.5129,91.0,0.3113,81.0,0.2782,82.0,,,,,0.4753,95.0,20260116.0,35.0,245.0
AAXJ,,,,80.91999816894531,,0.14,40.0,0.0664,18.0,0.1398,22.0,0.1592,31.0,0.1785,45.0,0.2259,82.0,0.1333,87.0,0.1456,19.0,0.162,12.0,0.1785,12.0,20251219.0,35.0,217.0
AB,124.0,,,40.720001220703125,,0.1722,22.0,0.1663,10.0,0.2226,26.0,0.2275,18.0,0.2324,17.0,0.3491,75.0,0.3026,64.0,0.1693,16.0,0.2418,25.0,0.3143,47.0,20260116.0,35.0,245.0
ABAT,208.0,,,1.4500000476837158,,0.6028,54.0,0.6272,55.0,1.1949,,1.1945,,1.1941,,1.4835,90.0,1.3876,100.0,0.9446,,1.0694,,1.1941,,20251219.0,35.0,217.0
ABBV,130.0,,,189.1600036621093,,0.0793,4.0,0.1694,32.0,0.2667,77.0,0.2669,76.0,0.267,71.0,0.2872,74.0,0.2826,85.0,0.2214,50.0,0.2768,75.0,0.3322,77.0,20270115.0,7.0,609.0
ABCB,131.0,,,62.400001525878906,,0.197,31.0,0.1564,5.0,0.2962,42.0,0.2872,34.0,0.2783,30.0,0.3369,74.0,0.2841,55.0,0.3002,52.0,0.2866,39.0,0.273,25.0,20260116.0,35.0,245.0
ABCL,103.0,,,2.509999990463257,,0.5566,48.0,0.6057,61.0,0.8859,75.0,0.8272,,0.7685,,0.7039,73.0,0.6723,76.0,0.9122,73.0,0.848,,0.7837,,20260116.0,35.0,245.0
ABEO,82.0,,,6.539999961853027,,0.3494,10.0,0.4776,11.0,1.5102,79.0,1.3032,67.0,1.0961,53.0,0.6362,16.0,0.6663,13.0,1.0676,57.0,1.0819,57.0,1.0961,64.0,20251219.0,35.0,217.0
ABEV,104.0,,,2.4800000190734863,,0.1911,21.0,0.1893,22.0,0.2661,23.0,0.3287,38.0,0.3913,50.0,0.3071,52.0,0.2594,55.0,0.2233,14.0,0.305,28.0,0.3868,39.0,20270115.0,35.0,609.0
ABFL,,,,70.2688980102539,,0.0562,,0.0831,,0.1105,,0.149,,0.1874,,0.0,,0.0,,0.1394,,0.1682,,0.197,,20251219.0,35.0,217.0
ABG,131.0,,,237.47999572753903,,0.2261,22.0,0.2183,14.0,0.3357,38.0,0.3328,36.0,0.3299,34.0,0.3919,57.0,0.3581,57.0,0.3538,42.0,0.3535,41.0,0.3532,40.0,20260116.0,35.0,245.0
ABL,215.0,,,6.179999828338623,,1.5547,,1.6266,,1.0844,,1.2029,,1.3214,,0.5518,,0.6276,,0.4926,,0.6738,,0.8549,,20270115.0,35.0,609.0
ABM,90.0,,,48.25,,0.6493,96.0,0.5338,97.0,0.2317,23.0,0.2383,23.0,0.2449,26.0,0.3608,74.0,0.3258,79.0,0.2879,57.0,0.2854,48.0,0.2828,46.0,20260116.0,35.0,245.0
ABNB,117.0,,,139.00999450683594,,0.2321,15.0,0.2751,28.0,0.2957,12.0,0.2935,12.0,0.2913,11.0,0.4633,59.0,0.3516,53.0,0.3891,20.0,0.3984,19.0,0.4077,18.0,20270115.0,7.0,609.0
ABNY,,,,12.29889965057373,,0.1763,,0.2286,,,,,,0.6715,,0.3824,,0.2579,,,,,,0.7206,,20260116.0,35.0,245.0
ABOS,210.0,,,1.2699999809265137,,0.7877,,0.6903,,,,,,,,0.7304,,0.7993,,,,,,,,20260116.0,35.0,245.0
ABR,109.0,,,10.420000076293944,,0.3759,84.0,0.3276,82.0,0.2776,49.0,0.292,40.0,0.3064,41.0,0.4206,89.0,0.403,94.0,0.2062,56.0,0.396,69.0,0.5859,76.0,20270115.0,7.0,609.0
ABSI,84.0,,,2.970000028610229,,0.5275,,0.5601,,0.9871,,1.1308,,1.2744,,1.062,,1.0137,,1.0743,,1.0778,,1.0813,,20251121.0,35.0,189.0
ABT,139.0,,,133.39999389648438,,0.0722,4.0,0.1707,54.0,0.1918,51.0,0.1908,48.0,0.1898,46.0,0.2245,70.0,0.2232,82.0,0.2125,50.0,0.2401,65.0,0.2678,72.0,20270115.0,7.0,609.0
ABUS,216.0,,,3.509999990463257,,0.2864,13.0,0.3138,5.0,0.7217,22.0,,,,,0.4616,24.0,0.4894,19.0,1.0922,64.0,,,,,20270115.0,35.0,609.0
ACA,103.0,,,89.94000244140625,,0.1257,3.0,0.1907,9.0,0.3749,49.0,0.358,39.0,0.341,33.0,0.3789,66.0,0.3268,59.0,0.3367,39.0,0.3285,26.0,0.3203,22.0,20251219.0,35.0,217.0
ACAD,104.0,,,22.299999237060547,,0.3687,31.0,0.3951,30.0,0.4607,13.0,0.5391,25.0,0.6175,41.0,0.5719,31.0,0.5182,43.0,0.524,19.0,0.5483,22.0,0.5726,27.0,20251219.0,35.0,217.0
ACB,125.0,,,5.820000171661377,,0.5816,41.0,0.4344,12.0,1.4065,86.0,1.2888,79.0,1.1712,70.0,0.7969,42.0,0.6382,38.0,0.6057,15.0,0.735,15.0,0.8642,25.0,20270115.0,35.0,609.0
ACCO,110.0,,,3.809999942779541,,0.3624,65.0,0.3241,61.0,,,,,,,0.4873,89.0,0.3861,84.0,,,,,,,20251219.0,35.0,217.0
ACDC,96.0,,,8.729999542236328,,0.799,,0.8757,,0.5923,,0.6809,,0.7695,,0.9751,,0.8533,,0.6603,,0.7992,,0.9382,,20251121.0,35.0,189.0
ACEL,223.0,,,11.4399995803833,,0.1452,5.0,0.1646,2.0,0.3172,7.0,,,,,0.3293,28.0,0.3012,37.0,0.3603,19.0,,,,,20260116.0,35.0,245.0
ACES,,,,25.21999931335449,,0.28,34.0,0.1958,12.0,0.2983,20.0,0.3293,24.0,0.3602,37.0,0.3422,36.0,0.2763,49.0,0.2371,6.0,0.2708,8.0,0.3045,11.0,20251219.0,35.0,217.0
ACET,96.0,,,0.7688000202178955,,0.5085,61.0,0.7837,85.0,,,,,,,1.0183,86.0,0.8862,92.0,,,,,,,20260116.0,35.0,245.0
ACGL,120.0,,,92.3499984741211,,0.2582,80.0,0.2879,89.0,0.2332,62.0,0.2392,63.0,0.2452,65.0,0.2819,87.0,0.245,85.0,0.2346,61.0,0.2379,61.0,0.2412,62.0,20251219.0,35.0,217.0
