symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,43.0,,,107.05000305175781,,0.777,98.0,0.6446,99.0,0.5182,91.0,0.5605,93.0,0.3062,65.0,0.2853,77.0,0.3175,66.0,0.371,80.0
AA,78.0,,,25.860000610351562,,1.4002,100.0,1.1977,100.0,0.9695,98.0,0.9647,98.0,0.5387,78.0,0.4655,82.0,0.4874,78.0,0.543,84.0
AAL,77.0,,,11.119999885559082,,1.581,100.0,1.123,99.0,0.7426,94.0,0.7264,93.0,0.5775,87.0,0.45,82.0,0.5058,81.0,0.5382,84.0
AAMI,63.0,,,26.09000015258789,,1.0142,,0.8059,,0.4231,,1.7109,,0.3773,,0.3486,,0.3325,,0.4767,
AAOI,43.0,,,13.869999885559082,,2.514,99.0,2.0343,100.0,1.5515,96.0,1.3509,93.0,1.4904,97.0,1.1796,97.0,1.0747,95.0,1.1362,97.0
AAON,42.0,,,82.22000122070312,,0.9718,99.0,0.8568,100.0,0.7699,100.0,0.8141,100.0,0.6644,99.0,0.4625,97.0,0.5257,100.0,0.5306,100.0
AAP,43.0,,,33.470001220703125,,1.0009,99.0,0.9255,100.0,0.5265,93.0,0.5469,94.0,0.5855,94.0,0.5057,97.0,0.5582,98.0,0.5775,97.0
AAPB,,,,19.700000762939453,,2.4343,,1.6243,,0.9718,,1.3572,,0.7223,,0.5436,,0.5562,,0.7478,
AAPD,,,,18.299999237060547,,1.3432,,0.8855,,0.9018,,0.9239,,0.3779,,0.2872,,0.3008,,0.3385,
AAPL,70.0,,,198.85000610351562,,1.2595,100.0,0.8443,100.0,0.4821,91.0,0.5206,93.0,0.3659,70.0,0.2883,66.0,0.2874,34.0,0.3292,50.0
AAPU,,,,21.479999542236328,,2.421,,1.652,,1.0392,,1.2004,,0.7336,,0.5595,,0.5444,,0.5603,
AAT,65.0,,,18.530000686645508,,0.684,99.0,0.6138,100.0,,,0.5719,94.0,0.2999,79.0,0.2703,81.0,,,0.648,100.0
AAXJ,,,,69.63999938964844,,0.6428,100.0,0.4001,100.0,0.2824,94.0,0.2715,90.0,0.2207,80.0,0.1318,86.0,0.2364,92.0,0.2438,81.0
AB,63.0,,,35.900001525878906,,0.7721,97.0,0.6193,96.0,0.4258,90.0,0.454,85.0,0.351,76.0,0.2953,63.0,0.1874,24.0,0.3793,74.0
ABAT,147.0,,,0.9959999918937683,,0.7412,64.0,0.8757,76.0,1.1842,,,,1.4086,90.0,1.3097,99.0,1.1594,,,
ABBV,69.0,,,179.83999633789062,,0.547,98.0,0.6286,100.0,0.4409,99.0,0.4872,99.0,0.3279,86.0,0.2568,80.0,0.303,98.0,0.2993,55.0
ABCB,70.0,,,54.900001525878906,,0.8647,98.0,0.6543,98.0,0.3945,72.0,0.441,82.0,0.3733,86.0,0.2861,57.0,0.33,66.0,0.3632,78.0
ABCL,42.0,,,2.1700000762939453,,1.1061,96.0,1.0074,98.0,0.9832,87.0,0.9533,,0.7126,76.0,0.6586,70.0,0.8219,52.0,0.9508,
ABEO,21.0,,,4.369999885559082,,0.9012,76.0,1.0334,83.0,3.1867,97.0,2.3792,91.0,0.455,6.0,0.5194,6.0,2.4322,96.0,2.3792,93.0
ABEV,43.0,,,2.299999952316284,,0.6486,98.0,0.438,98.0,0.2875,32.0,0.3908,49.0,0.3423,70.0,0.2612,56.0,0.4077,76.0,0.4021,45.0
ABG,70.0,,,233.2100067138672,,0.8579,96.0,0.8107,96.0,0.4874,81.0,0.5347,86.0,0.3993,57.0,0.3427,55.0,0.4065,64.0,0.4196,67.0
ABL,154.0,,,7.099999904632568,,0.9075,,0.9197,,0.6585,,,,0.4947,,0.528,,0.4504,,,
