percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.051827,0.1094489999999999,0.119961,0.125601,0.074588,0.079327,0.092761,0.097361,0.15776,0.16382,0.15938,0.16214,0.1628,0.15776,0.16382,0.15792,0.16382,0.1596199999999999,0.16382,0.15938,0.063322,0.094861,0.099961,0.1058,0.072922,0.076561,0.0833,0.089922
1,0.0613099999999999,0.112544,0.122554,0.133844,0.081666,0.0894659999999999,0.097922,0.1025219999999999,0.16508,0.173,0.16846,0.17264,0.17276,0.16508,0.173,0.1649199999999999,0.173,0.16604,0.173,0.16674,0.068522,0.0974,0.1016,0.1084219999999999,0.0758,0.0797219999999999,0.0848,0.093498
2,0.067532,0.116883,0.128983,0.1381659999999999,0.087266,0.093,0.100883,0.110298,0.17116,0.1794,0.1731599999999999,0.1779,0.1798,0.17116,0.1794,0.17128,0.1794,0.17228,0.1794,0.17256,0.071366,0.0988,0.1039829999999999,0.1097829999999999,0.077683,0.081383,0.088883,0.0973
3,0.073444,0.120188,0.134088,0.143744,0.0916,0.096,0.1024,0.1128,0.1758,0.1831,0.17746,0.1831,0.1841,0.1758,0.1831,0.17596,0.1831,0.17662,0.1831,0.1768,0.0737,0.1013,0.1048439999999999,0.1116,0.080044,0.083344,0.091188,0.0979
4,0.078905,0.12558,0.139905,0.14831,0.094315,0.099305,0.1049099999999999,0.1153,0.1789,0.1864,0.182,0.1862,0.187,0.1793,0.1864,0.18,0.1864,0.1804,0.1864,0.1804,0.0756,0.1025,0.107405,0.112305,0.0824,0.08521,0.093605,0.0986
5,0.0823,0.1337,0.142266,0.15,0.0982,0.1017,0.111728,0.118264,0.18122,0.1891,0.18422,0.1889,0.1891,0.18122,0.1891,0.1821,0.1891,0.18226,0.1891,0.1829,0.076932,0.1035,0.1088659999999999,0.113,0.0843,0.0874,0.096066,0.0995
6,0.085454,0.136254,0.143527,0.1517,0.100327,0.1039,0.1165,0.1213,0.18354,0.1921199999999999,0.18654,0.19122,0.1921199999999999,0.1835,0.1921199999999999,0.1839,0.1921199999999999,0.18376,0.1921199999999999,0.18502,0.0788,0.1044,0.1103,0.113827,0.0860269999999999,0.0889,0.0973,0.1003
7,0.089088,0.138288,0.145,0.1527,0.1022,0.105588,0.119264,0.125376,0.1854,0.19488,0.18888,0.1933,0.1949,0.1854,0.19488,0.18558,0.19488,0.1857,0.19488,0.187,0.080188,0.105488,0.111388,0.1146,0.0873,0.089988,0.097888,0.1009
8,0.0917,0.140049,0.146749,0.1536489999999999,0.1035,0.107698,0.1217979999999999,0.129,0.18808,0.19712,0.1913,0.19498,0.1965,0.18808,0.19712,0.188,0.19712,0.18862,0.19712,0.1893,0.0817489999999999,0.1066,0.1134959999999999,0.1151,0.0885489999999999,0.091249,0.0992,0.1016489999999999
9,0.09351,0.14121,0.14841,0.1551,0.10502,0.10996,0.12352,0.13221,0.1908,0.2014,0.1934,0.1974,0.1998,0.1908,0.2014,0.1909,0.2014,0.1918,0.2014,0.1922,0.0831099999999999,0.1079,0.1146,0.1156,0.0897,0.0936,0.1002,0.10271
10,0.0960839999999999,0.1427,0.150371,0.1556,0.107371,0.1125,0.125613,0.1365,0.19264,0.20336,0.19586,0.1999,0.20276,0.19264,0.20336,0.1928,0.20336,0.19322,0.20336,0.1938,0.0844,0.109071,0.1153,0.116,0.0903709999999999,0.095271,0.101171,0.1042
11,0.098132,0.146164,0.152232,0.1567,0.1086,0.1157,0.1282,0.1398,0.19432,0.20604,0.1978,0.20162,0.20494,0.19432,0.20604,0.19482,0.20604,0.1949,0.20604,0.19564,0.085232,0.110896,0.116,0.1168,0.091632,0.096232,0.102132,0.105332
12,0.100393,0.1481,0.1532,0.1582,0.1106,0.119579,0.130693,0.142693,0.1969,0.2076,0.1993,0.20328,0.2071,0.1969,0.2076,0.1974,0.2076,0.19708,0.2076,0.19722,0.0868,0.112593,0.116793,0.1172,0.0928,0.097193,0.103386,0.1062
13,0.102062,0.149662,0.1542,0.1612,0.112608,0.122754,0.1334,0.1448,0.1999,0.20904,0.2008,0.20578,0.20852,0.1999,0.20904,0.19994,0.20904,0.19934,0.20904,0.19954,0.0884,0.1138,0.1172,0.117954,0.0941,0.0979,0.1041,0.107454
14,0.1035,0.1528,0.1555,0.1621,0.115,0.12523,0.1361,0.148915,0.2015,0.212,0.2024,0.2075,0.2104,0.2015,0.212,0.2014,0.212,0.2007,0.212,0.2007,0.0895,0.1161,0.1175,0.119,0.095,0.0989,0.1051,0.1089
15,0.105,0.154628,0.1581,0.162676,0.1175519999999999,0.128752,0.1383,0.1505,0.20388,0.21352,0.204,0.2087,0.2124,0.20388,0.21352,0.20362,0.21352,0.20276,0.21352,0.20272,0.0905,0.1174,0.1181,0.1207,0.0958,0.0998,0.1059,0.1105
16,0.1064,0.156137,0.159837,0.1635,0.119937,0.1314739999999999,0.140837,0.151974,0.20654,0.21562,0.2057,0.21012,0.21484,0.20642,0.21562,0.20642,0.21562,0.20542,0.21562,0.205,0.0911,0.1185,0.1186,0.1223,0.0968,0.1009,0.1064369999999999,0.111937
17,0.107698,0.1573,0.1616,0.165098,0.122198,0.1333,0.1423,0.153398,0.2083,0.2168,0.2074,0.21208,0.21648,0.2083,0.2168,0.2083,0.2168,0.2073,0.2168,0.20638,0.0917,0.119198,0.1189,0.1234,0.097798,0.101698,0.1072,0.114496
18,0.109459,0.1585,0.1629,0.166359,0.1247,0.135559,0.144077,0.1549,0.21,0.2186,0.2087,0.21344,0.218,0.21,0.2186,0.21,0.2186,0.2087,0.2186,0.2081,0.092559,0.1199,0.119459,0.1248,0.0986,0.102559,0.108059,0.1156
19,0.1108,0.1601,0.1642,0.1678,0.12752,0.1375,0.14678,0.15704,0.2122,0.2202,0.2104,0.2155,0.2195,0.2122,0.2202,0.2127,0.2202,0.2109,0.2202,0.2097,0.0938,0.1211,0.1211,0.1257,0.09992,0.1033,0.109,0.1164
20,0.1126809999999999,0.1613619999999999,0.165081,0.169481,0.1297,0.1389,0.1496,0.159162,0.2139599999999999,0.2218,0.21206,0.21692,0.2208,0.2139599999999999,0.2218,0.214,0.2218,0.2131,0.2218,0.21148,0.0945,0.122681,0.122,0.126981,0.1012,0.1040809999999999,0.1102809999999999,0.117881
21,0.1145419999999999,0.1625,0.166042,0.172142,0.1309,0.1402,0.151142,0.160942,0.2156,0.2231,0.2135,0.2184,0.2222,0.21544,0.2231,0.21544,0.2231,0.21492,0.2231,0.21392,0.0955,0.1233,0.1231,0.1283419999999999,0.102842,0.1058419999999999,0.1115,0.119084
22,0.115803,0.1634,0.168303,0.1746,0.1332,0.1423,0.153303,0.162103,0.21688,0.22458,0.215,0.22036,0.2235,0.2168,0.22458,0.21688,0.22458,0.21648,0.22458,0.21556,0.0964,0.123803,0.1254,0.1293,0.103503,0.1069,0.112803,0.120703
23,0.1180639999999999,0.1650279999999999,0.1701639999999999,0.1756,0.134764,0.1434639999999999,0.156128,0.162764,0.21874,0.2257,0.21644,0.22188,0.22494,0.2188,0.2257,0.21898,0.2257,0.21824,0.2257,0.2166,0.0971,0.1244,0.1271,0.1303,0.1047,0.108264,0.114564,0.1225639999999999
24,0.1206,0.167425,0.1717,0.1767,0.1374,0.145325,0.1579,0.1636,0.2206,0.2272,0.2184,0.2231,0.2262,0.2206,0.2272,0.2208,0.2272,0.2201,0.2272,0.2192,0.098425,0.1248,0.128,0.131125,0.1058,0.10975,0.1176,0.12375
25,0.1226,0.168886,0.1724,0.179158,0.1398,0.146786,0.1588,0.1647,0.2222,0.22858,0.22026,0.2247,0.2273,0.2222,0.22858,0.2223,0.22858,0.22186,0.22858,0.2212,0.0995,0.1251,0.1286,0.131886,0.1069,0.1112,0.1188,0.1244
26,0.125094,0.1704,0.173947,0.182547,0.142547,0.1486,0.160294,0.1662,0.2235,0.23002,0.22184,0.2257,0.229,0.2235,0.23002,0.22382,0.23002,0.2232,0.23002,0.22262,0.1004,0.125647,0.129347,0.1322,0.1082,0.1125,0.1201,0.125647
27,0.1264,0.171608,0.179,0.1834,0.1448,0.150308,0.1621,0.1683,0.22566,0.231,0.22306,0.2273,0.2304,0.22566,0.231,0.22586,0.231,0.22526,0.231,0.22398,0.101508,0.126108,0.1303,0.1326,0.1093,0.113608,0.121816,0.1262
28,0.1277,0.175007,0.1814069999999999,0.1842,0.147038,0.1522,0.163369,0.169469,0.2283,0.2321,0.22488,0.2284,0.2315,0.2283,0.2321,0.22834,0.2321,0.2282,0.2321,0.22574,0.1025,0.127,0.1315,0.1328,0.110469,0.115,0.123269,0.127
29,0.1293,0.17783,0.18383,0.18653,0.1493,0.1534,0.1648,0.17043,0.2305,0.2334,0.2267,0.2297,0.2327,0.2305,0.2334,0.2308,0.2334,0.2305,0.2334,0.228,0.10373,0.1286,0.1325,0.13343,0.11163,0.1159,0.124,0.1281
30,0.1311,0.1801819999999999,0.1869,0.190191,0.150991,0.1549,0.1661909999999999,0.171591,0.23306,0.2346,0.22802,0.2308,0.234,0.23306,0.2346,0.23316,0.2346,0.23296,0.2346,0.23012,0.1048909999999999,0.1301,0.1338,0.134,0.112591,0.1169,0.124691,0.1287
31,0.1334,0.1838,0.1881519999999999,0.192552,0.1521,0.1571,0.1677519999999999,0.173352,0.23552,0.23612,0.22984,0.2318,0.2352,0.23564,0.23612,0.23592,0.23612,0.2349,0.23612,0.2323,0.106052,0.131156,0.135952,0.1343,0.1137519999999999,0.1188,0.1256,0.1295
