percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.035917,0.0,0.0,0.0,0.0489,0.0539,0.055146,0.0,0.13442,0.13456,0.13929,0.14006,0.13485,0.13485,0.13456,0.13571,0.13456,0.13683,0.13456,0.13788,0.0687,0.0,0.0,0.0,0.0764,0.0794,0.081048,0.0
1,0.041678,0.0618,0.0,0.0,0.05649,0.0606479999999999,0.063546,0.0639,0.1449,0.14322,0.15226,0.15248,0.144,0.14656,0.14322,0.14732,0.14322,0.14524,0.14322,0.15096,0.07589,0.084964,0.0,0.0,0.080456,0.083876,0.085448,0.086312
2,0.046,0.068558,0.068192,0.0,0.0605,0.0633109999999999,0.0661,0.067106,0.15339,0.15109,0.15639,0.159,0.15315,0.1535899999999999,0.15109,0.15425,0.15109,0.15324,0.15109,0.15477,0.0805,0.092646,0.0906,0.0,0.0847,0.086914,0.09066,0.0919
3,0.049356,0.0773,0.0792,0.075608,0.063256,0.0664,0.0683,0.070908,0.1576199999999999,0.15632,0.1625,0.1635,0.15932,0.1577,0.15632,0.1579,0.15632,0.15944,0.15632,0.16006,0.0827,0.100428,0.103,0.103684,0.0874,0.0912,0.096284,0.094712
4,0.05219,0.0801,0.0815,0.0841,0.0659,0.069585,0.0717,0.07622,0.1627,0.1629,0.1659,0.1681,0.1647,0.1632,0.1629,0.1637,0.1629,0.1634,0.1629,0.1654999999999999,0.0854,0.1026099999999999,0.1063,0.1071,0.0899,0.09489,0.0975,0.09963
5,0.055934,0.0821,0.085184,0.0880119999999999,0.067834,0.073,0.0750899999999999,0.08,0.1667,0.1661399999999999,0.17062,0.17156,0.16848,0.1670999999999999,0.1661399999999999,0.1667,0.1661399999999999,0.16646,0.1661399999999999,0.16858,0.087434,0.1066279999999999,0.1079,0.1091,0.0922,0.097028,0.100088,0.1026
6,0.0587,0.084567,0.087648,0.0898,0.0698,0.0755,0.078861,0.083214,0.17021,0.1703,0.17342,0.17491,0.17282,0.17034,0.1703,0.16984,0.1703,0.16984,0.1703,0.1718,0.089173,0.109374,0.110755,0.110871,0.0949,0.099266,0.1026,0.1055
7,0.0611,0.0878,0.0899,0.092716,0.072,0.077696,0.0826,0.085216,0.1734,0.1747,0.1761,0.17782,0.1763,0.17348,0.1747,0.1734,0.1747,0.17324,0.1747,0.1747,0.091312,0.1117,0.1129,0.1129,0.0976,0.1012,0.104592,0.110348
8,0.0632,0.089729,0.092276,0.0946,0.0738,0.0795,0.0857,0.088518,0.1761,0.17848,0.1784,0.1806,0.1796,0.1761,0.17848,0.17604,0.17848,0.1758,0.17848,0.17657,0.093051,0.1136,0.1154,0.1148769999999999,0.0995,0.1034,0.1079,0.112527
9,0.065,0.0913,0.0947,0.09712,0.07619,0.08107,0.0886,0.0908,0.179,0.1823,0.1805,0.184,0.1831,0.179,0.1823,0.179,0.1823,0.1786,0.1823,0.179,0.09479,0.1155,0.1169,0.118,0.10169,0.1046,0.10954,0.114
10,0.067729,0.093891,0.0972,0.098472,0.078529,0.083507,0.090706,0.0933,0.1809,0.1859,0.18353,0.1865,0.18626,0.18129,0.1859,0.18099,0.1859,0.18113,0.1859,0.18173,0.0963,0.1166,0.1176,0.1196,0.1032,0.106118,0.111,0.115066
11,0.0691,0.096,0.0987,0.100924,0.080568,0.0848,0.0922,0.094724,0.1844,0.18892,0.1855,0.18796,0.1885,0.18466,0.18892,0.1846,0.18892,0.18466,0.18892,0.18488,0.097468,0.1177,0.1189,0.1214,0.1049,0.107456,0.1122,0.1165
12,0.0712,0.099553,0.1012,0.104976,0.0822,0.087062,0.0941,0.0962,0.18689,0.19108,0.18799,0.1898,0.19078,0.18749,0.19108,0.18759,0.19108,0.18759,0.19108,0.18749,0.0994,0.119066,0.120045,0.1236,0.1063,0.1089,0.1135,0.117439
13,0.0734,0.101534,0.104796,0.1073,0.084,0.0891,0.0962,0.0982,0.18912,0.1937,0.18984,0.19192,0.19362,0.18932,0.1937,0.18942,0.1937,0.18922,0.1937,0.1895,0.1007,0.12,0.1212,0.124542,0.1073,0.11,0.114836,0.1186
14,0.0748,0.1051,0.1078,0.1083,0.085385,0.0907,0.0977,0.1006,0.19135,0.19565,0.1914,0.19445,0.1954,0.192,0.19565,0.192,0.19565,0.19075,0.19565,0.1911999999999999,0.1021,0.12103,0.122375,0.1265,0.1086,0.1114,0.1161,0.1194
15,0.076148,0.1077,0.109224,0.109432,0.0865,0.0922919999999999,0.0992,0.1027,0.1944,0.1982,0.19388,0.19668,0.19828,0.19488,0.1982,0.19458,0.1982,0.1934,0.1982,0.1939,0.1034,0.1218,0.1238,0.127548,0.1097,0.1127,0.1173,0.120348
16,0.0773,0.1092,0.1118,0.112284,0.088526,0.094329,0.100291,0.104934,0.19761,0.20001,0.19602,0.1987,0.1996,0.19811,0.20001,0.19761,0.20001,0.19602,0.20001,0.19582,0.105263,0.1226,0.1254,0.128401,0.1111,0.1139,0.118708,0.1215509999999999
17,0.078802,0.1112,0.1143,0.1145,0.0907,0.0967659999999999,0.1011,0.106836,0.19924,0.2016,0.1986399999999999,0.19954,0.201,0.1996,0.2016,0.1992,0.2016,0.1986399999999999,0.2016,0.19844,0.1069,0.1236,0.1279,0.1294,0.1123,0.115,0.1202639999999999,0.1226
