percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.079985,0.180655,0.18157,0.0,0.103955,0.1347,0.16047,0.167155,0.192456,0.1894,0.193852,0.193676,0.192076,0.192456,0.1894,0.19188,0.1894,0.193852,0.1894,0.193852,0.2442,0.270744,0.258386,0.262716,0.2679,0.244544,0.270744,0.245043,0.270744,0.2501,0.270744,0.254458,0.12348,0.186725,0.188455,0.0,0.151585,0.160435,0.17587,0.178085
1,0.09559,0.188,0.18644,0.19107,0.13674,0.1549499999999999,0.16935,0.17812,0.199856,0.19576,0.20176,0.200756,0.198352,0.199652,0.19576,0.199856,0.19576,0.202312,0.19576,0.202,0.256072,0.2824859999999999,0.272858,0.278344,0.281186,0.2561859999999999,0.2824859999999999,0.256472,0.2824859999999999,0.257586,0.2824859999999999,0.264572,0.13652,0.20201,0.2010499999999999,0.20097,0.16508,0.17554,0.1880099999999999,0.19012
2,0.10541,0.1915,0.1909,0.1936,0.150665,0.1685,0.179355,0.1867,0.207068,0.2028,0.207584,0.206128,0.205584,0.207068,0.2028,0.207068,0.2028,0.208528,0.2028,0.20874,0.265361,0.293087,0.278506,0.2857,0.290616,0.265361,0.293087,0.264958,0.293087,0.266216,0.293087,0.274387,0.148375,0.208755,0.211065,0.21481,0.1787,0.191875,0.20151,0.20702
3,0.1158,0.19422,0.197,0.19702,0.16582,0.1748,0.19194,0.19874,0.213128,0.2069,0.213124,0.212216,0.209512,0.2138,0.2069,0.2138,0.2069,0.214004,0.2069,0.213412,0.273272,0.29936,0.285472,0.291244,0.295872,0.273172,0.29936,0.2733,0.29936,0.272772,0.29936,0.279544,0.1615,0.21844,0.2196,0.2201,0.1879,0.20308,0.20784,0.21678
4,0.125475,0.20045,0.202225,0.203575,0.1737749999999999,0.178925,0.197425,0.206,0.21698,0.21134,0.2162,0.21642,0.21388,0.21716,0.21134,0.21716,0.21134,0.21698,0.21134,0.21628,0.27756,0.305515,0.290215,0.29713,0.301815,0.27793,0.305515,0.2782,0.305515,0.27722,0.305515,0.28463,0.179725,0.222125,0.222,0.2254499999999999,0.1986,0.2118,0.2181249999999999,0.223075
5,0.13491,0.21001,0.20916,0.21016,0.1801,0.18783,0.2072,0.21231,0.222056,0.213856,0.221056,0.2193,0.217156,0.222424,0.213856,0.222424,0.213856,0.2218,0.213856,0.221412,0.283848,0.3103,0.295932,0.302558,0.30748,0.2846,0.3103,0.284332,0.3103,0.2832,0.3103,0.289274,0.18871,0.22932,0.2263,0.23429,0.20731,0.21701,0.22341,0.23101
6,0.141475,0.2226,0.227525,0.224185,0.1851,0.197395,0.217,0.216795,0.22646,0.216532,0.224832,0.222464,0.219864,0.226896,0.216532,0.2268,0.216532,0.2263,0.216532,0.2257,0.290602,0.315402,0.301501,0.305907,0.311104,0.2906,0.315402,0.290303,0.315402,0.288502,0.315402,0.2935,0.196685,0.23839,0.24189,0.239085,0.215395,0.22247,0.228395,0.235785
7,0.14768,0.23296,0.2363,0.2373,0.1882,0.209,0.22058,0.22332,0.2301,0.221116,0.2288,0.226316,0.224108,0.231,0.221116,0.231,0.221116,0.2301,0.221116,0.229216,0.295144,0.321276,0.305776,0.312144,0.316688,0.294144,0.321276,0.294464,0.321276,0.293088,0.321276,0.297888,0.2039,0.2514,0.2542,0.2524,0.22378,0.22992,0.2342,0.2403
8,0.155825,0.2421249999999999,0.24483,0.24389,0.193065,0.213065,0.224595,0.232065,0.2359679999999999,0.224984,0.232036,0.229436,0.227884,0.236368,0.224984,0.236484,0.224984,0.235752,0.224984,0.233384,0.299074,0.326474,0.311087,0.316787,0.321974,0.298374,0.326474,0.2989,0.326474,0.296574,0.326474,0.3029,0.21123,0.26969,0.2693,0.26393,0.2291649999999999,0.23416,0.245925,0.251225
9,0.1619499999999999,0.24695,0.25225,0.24855,0.1974,0.218,0.2293,0.2389,0.23936,0.22842,0.2358,0.23356,0.231,0.23986,0.22842,0.23972,0.22842,0.23952,0.22842,0.2377,0.30383,0.3307,0.31516,0.322,0.3277,0.30352,0.3307,0.30305,0.3307,0.30109,0.3307,0.3075,0.2175,0.281,0.27455,0.27185,0.2334,0.2397,0.2574499999999999,0.27
