percentiles,hv10,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv20,phv30,phv60,phv90
0,0.079858,0.121655,0.1352,0.161372,0.184003,0.226456,0.257352,0.261519,0.259552,0.25913,0.227215,0.257352,0.228026,0.257352,0.2477299999999999,0.257352,0.26283,0.239571,0.262063,0.266763,0.261441,0.261952,0.240641,0.262063,0.239756,0.262063,0.252715,0.262063,0.2697,0.229908,0.265363,0.2676,0.265315,0.263967,0.2308629999999999,0.265363,0.2323,0.265363,0.252,0.265363,0.267652,0.152854,0.1618,0.164845,0.180125,0.19732
1,0.092232,0.1318,0.1424879999999999,0.171744,0.1902,0.241426,0.2646,0.269152,0.266152,0.266126,0.2418259999999999,0.2646,0.242752,0.2646,0.256704,0.2646,0.2688,0.249126,0.2712,0.274904,0.2734,0.271904,0.249126,0.2712,0.250452,0.2712,0.262156,0.2712,0.273526,0.243326,0.269626,0.273126,0.271552,0.271078,0.2436,0.269626,0.2457,0.269626,0.2591259999999999,0.269626,0.272526,0.160572,0.1742,0.1836,0.1886,0.203396
2,0.10521,0.139853,0.153592,0.185716,0.195309,0.248467,0.268589,0.2731,0.271189,0.270089,0.2501339999999999,0.268589,0.251789,0.268589,0.263578,0.268589,0.274034,0.2554,0.2749,0.278089,0.277,0.2758,0.255667,0.2749,0.2576449999999999,0.2749,0.268678,0.2749,0.277067,0.251167,0.274289,0.276578,0.276256,0.275223,0.2511779999999999,0.274289,0.252056,0.274289,0.267378,0.274289,0.275678,0.166777,0.183912,0.18864,0.2055,0.2108719999999999
3,0.111792,0.145424,0.170272,0.199872,0.197736,0.25456,0.2747,0.27746,0.275704,0.275652,0.2572,0.2747,0.259616,0.2747,0.270408,0.2747,0.2782,0.261504,0.277852,0.279704,0.278804,0.278052,0.262016,0.277852,0.263804,0.277852,0.273552,0.277852,0.2798,0.262752,0.278908,0.280004,0.2795,0.279504,0.263208,0.278908,0.264504,0.278908,0.273304,0.278908,0.279404,0.1728,0.1886719999999999,0.19292,0.2115,0.215016
4,0.11959,0.151765,0.17976,0.2044,0.20195,0.2626,0.28073,0.2799149999999999,0.2799,0.279875,0.263115,0.28073,0.266615,0.28073,0.2749149999999999,0.28073,0.281045,0.26803,0.2819149999999999,0.2823299999999999,0.2824149999999999,0.2819149999999999,0.268715,0.2819149999999999,0.268715,0.2819149999999999,0.27803,0.2819149999999999,0.2825,0.2687,0.282,0.28223,0.283045,0.28303,0.269215,0.282,0.271545,0.282,0.279515,0.282,0.28213,0.1782899999999999,0.1941,0.199375,0.216175,0.21772
5,0.1273,0.1588,0.184528,0.206244,0.206918,0.2665679999999999,0.2854779999999999,0.2839779999999999,0.284412,0.2854779999999999,0.269012,0.2854779999999999,0.2704,0.2854779999999999,0.280636,0.2854779999999999,0.2853,0.2726,0.286856,0.285,0.286156,0.2869779999999999,0.273656,0.286856,0.275456,0.286856,0.283412,0.286856,0.286334,0.275034,0.2854779999999999,0.284834,0.285178,0.285356,0.2752,0.2854779999999999,0.2771,0.2854779999999999,0.283778,0.2854779999999999,0.2853,0.183508,0.1965,0.205,0.2198,0.222
6,0.131748,0.167157,0.1925,0.209168,0.2135,0.2702819999999999,0.290182,0.287764,0.288441,0.2894,0.271505,0.290182,0.276046,0.290182,0.2862,0.290182,0.288464,0.280846,0.290123,0.288541,0.289,0.290623,0.282041,0.290123,0.283041,0.290123,0.2913,0.290123,0.290023,0.279523,0.287982,0.287441,0.287164,0.288182,0.279864,0.287982,0.281082,0.287982,0.2884,0.287982,0.2884,0.189513,0.200256,0.2093,0.22375,0.226
7,0.1371639999999999,0.176432,0.195208,0.212992,0.2169,0.276304,0.296604,0.291804,0.2923,0.295012,0.276804,0.296604,0.279704,0.296604,0.289332,0.296604,0.292408,0.285312,0.294904,0.292204,0.291404,0.2947,0.286612,0.294904,0.287312,0.294904,0.295712,0.294904,0.293316,0.284316,0.2904,0.289908,0.2899,0.291116,0.285004,0.2904,0.285208,0.2904,0.2911,0.2904,0.291708,0.1935,0.206216,0.21248,0.2301,0.229932
8,0.1443,0.183408,0.1988879999999999,0.216564,0.219954,0.279467,0.298167,0.294767,0.295667,0.297467,0.280967,0.298167,0.283767,0.298167,0.293635,0.298167,0.2960009999999999,0.290367,0.2982,0.296167,0.296601,0.2975669999999999,0.2908349999999999,0.2982,0.292067,0.2982,0.298467,0.2982,0.297035,0.288467,0.293267,0.2919,0.292868,0.293167,0.2896,0.293267,0.290334,0.293267,0.295035,0.293267,0.2949009999999999,0.198031,0.209836,0.216215,0.234325,0.2351
9,0.1487399999999999,0.19083,0.20288,0.2190399999999999,0.22192,0.28373,0.302,0.29922,0.29883,0.30016,0.28516,0.302,0.28783,0.302,0.29666,0.302,0.2988,0.2947,0.302,0.29913,0.29896,0.30043,0.29516,0.302,0.29536,0.302,0.30183,0.302,0.30216,0.29213,0.2976,0.2957,0.2957,0.29695,0.29276,0.2976,0.29363,0.2976,0.2980299999999999,0.2976,0.29812,0.2018,0.21256,0.2208,0.2355,0.2447399999999999
10,0.1527379999999999,0.194661,0.205784,0.2210639999999999,0.2253,0.287872,0.304993,0.3027,0.301486,0.302593,0.288393,0.304993,0.2911,0.304993,0.299679,0.304993,0.301979,0.298193,0.305186,0.302593,0.302258,0.302993,0.2991,0.305186,0.300293,0.305186,0.305379,0.305186,0.304979,0.2945859999999999,0.302965,0.298293,0.298465,0.3012,0.295786,0.302965,0.2972,0.302965,0.301886,0.302965,0.301279,0.204949,0.2159,0.2258949999999999,0.238,0.248788
11,0.1596,0.198848,0.209368,0.2222879999999999,0.229608,0.291612,0.308256,0.305324,0.305224,0.305512,0.292512,0.308256,0.293712,0.308256,0.301956,0.308256,0.306756,0.301456,0.307412,0.305812,0.305,0.305656,0.301756,0.307412,0.303412,0.307412,0.3078,0.307412,0.3077,0.2972,0.308868,0.302956,0.30358,0.306812,0.300156,0.308868,0.301656,0.308868,0.305512,0.308868,0.305356,0.207908,0.218348,0.23262,0.2401,0.251696
12,0.163662,0.205326,0.215888,0.2263,0.2423779999999999,0.296219,0.311519,0.308714,0.3097,0.3096,0.2963,0.311519,0.298019,0.311519,0.3035,0.311519,0.3097379999999999,0.304619,0.310919,0.309038,0.307819,0.308457,0.3047,0.310919,0.306819,0.310919,0.3097189999999999,0.310919,0.3107,0.301738,0.3132189999999999,0.310857,0.30749,0.3108,0.302919,0.3132189999999999,0.305119,0.3132189999999999,0.309019,0.3132189999999999,0.311,0.211334,0.222176,0.23817,0.243075,0.2533
