percentiles,hv10,hv120,hv150,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv20,phv30,phv60,phv90
0,0.039104,0.197232,0.2129,0.053914,0.055998,0.141326,0.1790419999999999,0.1589799999999999,0.2078559999999999,0.23314,0.2279199999999999,0.22612,0.17572,0.224908,0.1918919999999999,0.2301,0.2001079999999999,0.208572,0.2239639999999999,0.207286,0.221994,0.249681,0.250126,0.253226,0.210939,0.251204,0.216026,0.2490129999999999,0.234897,0.221994,0.2470709999999999,0.207671,0.20051,0.239652,0.234643,0.237044,0.215684,0.247736,0.2164839999999999,0.233407,0.239062,0.20051,0.243771,0.0525119999999999,0.1872849999999999,0.192812,0.060962,0.065498,0.156058,0.191358
1,0.072832,0.2176,0.22082,0.098412,0.12194,0.162364,0.19034,0.223308,0.243376,0.254696,0.256488,0.259908,0.229516,0.256548,0.232644,0.256432,0.248128,0.243376,0.252108,0.229468,0.244726,0.2614519999999999,0.262426,0.267142,0.231326,0.267626,0.237484,0.264584,0.250752,0.244726,0.257426,0.22892,0.222242,0.259384,0.257442,0.2609,0.2330259999999999,0.264484,0.2364099999999999,0.256662,0.2523519999999999,0.222468,0.2581,0.108764,0.202644,0.218364,0.1344199999999999,0.142196,0.176958,0.194116
2,0.0922,0.222508,0.2257,0.1336419999999999,0.1378279999999999,0.190056,0.203068,0.243532,0.2533,0.265516,0.266016,0.266048,0.245064,0.2686,0.248316,0.264148,0.257312,0.2533,0.261064,0.2419559999999999,0.2529,0.267004,0.268626,0.2728,0.246726,0.272613,0.248752,0.268213,0.259539,0.252913,0.263513,0.240517,0.237178,0.268326,0.267126,0.267852,0.243217,0.269113,0.247117,0.2652,0.259652,0.237178,0.264639,0.138938,0.227022,0.22754,0.151606,0.16064,0.191274,0.199948
3,0.1105,0.229128,0.2287,0.1452959999999999,0.16274,0.20132,0.232668,0.252816,0.259476,0.27532,0.274628,0.2748,0.255876,0.2735,0.259564,0.268988,0.2686199999999999,0.259476,0.271104,0.254336,0.258152,0.275484,0.276872,0.278084,0.256704,0.276,0.259,0.272584,0.269408,0.258152,0.272684,0.253,0.2509,0.2734,0.2735,0.273368,0.256488,0.272584,0.263188,0.268168,0.269684,0.250984,0.271584,0.157232,0.233448,0.232892,0.1743,0.176256,0.2014,0.211924
4,0.12558,0.2325,0.2294,0.15902,0.17721,0.21368,0.23927,0.26398,0.26538,0.2845,0.28188,0.2821,0.26818,0.27872,0.27404,0.2737,0.27852,0.26538,0.27972,0.26791,0.2629,0.283655,0.2819549999999999,0.28131,0.26773,0.27941,0.27262,0.275,0.282925,0.2629,0.281555,0.264095,0.255705,0.279955,0.27891,0.278665,0.26851,0.27541,0.2738549999999999,0.271265,0.280475,0.255705,0.28101,0.1780199999999999,0.23667,0.2353,0.18918,0.19386,0.215495,0.23006
5,0.1413,0.243024,0.23739,0.171212,0.1842879999999999,0.2252,0.2408,0.279664,0.271132,0.292132,0.290056,0.289264,0.279864,0.283132,0.287248,0.2779,0.290628,0.271132,0.289528,0.279078,0.2677259999999999,0.289652,0.287978,0.285408,0.280386,0.2819,0.286526,0.2778,0.294726,0.2677259999999999,0.291478,0.276964,0.261108,0.28613,0.2843259999999999,0.283526,0.280282,0.279126,0.2827599999999999,0.2741,0.292626,0.261108,0.290652,0.187112,0.24741,0.241496,0.196536,0.210448,0.235118,0.2372119999999999
6,0.151368,0.2494,0.2461,0.18007,0.197348,0.236346,0.2431,0.29192,0.276624,0.304508,0.300912,0.2964,0.293404,0.286612,0.301004,0.282116,0.308044,0.276624,0.3028,0.291297,0.274485,0.302,0.295176,0.290791,0.294297,0.2852,0.300497,0.2804,0.304188,0.274485,0.301373,0.288197,0.269367,0.296597,0.292391,0.288973,0.291685,0.282797,0.297697,0.2769,0.3031,0.269367,0.299197,0.192928,0.254459,0.250148,0.206014,0.220416,0.242783,0.24533
7,0.159,0.2558,0.2556,0.189832,0.204536,0.2575,0.245556,0.30168,0.28628,0.3124599999999999,0.308104,0.3020759999999999,0.3043079999999999,0.290356,0.3133599999999999,0.2859759999999999,0.322104,0.28628,0.3146759999999999,0.302768,0.280836,0.311072,0.304136,0.2974,0.305036,0.287804,0.31194,0.2828,0.318036,0.280836,0.31514,0.300368,0.2767,0.307672,0.3008,0.293868,0.304036,0.28604,0.309224,0.279,0.31566,0.2767,0.309116,0.198512,0.257592,0.265,0.213464,0.232984,0.2501,0.252364
8,0.163818,0.261024,0.2643299999999999,0.197518,0.211256,0.263712,0.2576,0.3081,0.294788,0.320096,0.313744,0.305296,0.314492,0.295496,0.321192,0.291096,0.333984,0.294788,0.3254,0.309278,0.2872119999999999,0.316639,0.3097729999999999,0.3022,0.314517,0.291556,0.321751,0.2870169999999999,0.331934,0.2872119999999999,0.3239559999999999,0.308039,0.284539,0.315917,0.308456,0.299878,0.313373,0.291056,0.320051,0.2843779999999999,0.327517,0.284539,0.320851,0.205536,0.2604,0.2676,0.2257,0.236873,0.256511,0.261622
9,0.1745199999999999,0.26422,0.2975,0.20324,0.22962,0.2682799999999999,0.2677,0.31506,0.30588,0.32784,0.3212,0.3132,0.32192,0.3021399999999999,0.33,0.29732,0.33952,0.30594,0.33908,0.31571,0.29365,0.32512,0.31537,0.30741,0.32051,0.2961399999999999,0.32881,0.29112,0.33931,0.29365,0.33491,0.315,0.29451,0.32213,0.31329,0.30651,0.31958,0.29451,0.3282,0.29121,0.33611,0.29451,0.33171,0.21158,0.26529,0.2692,0.23292,0.2406,0.26227,0.2645
10,0.1808439999999999,0.273532,0.299765,0.209344,0.242036,0.27659,0.2809,0.32136,0.320852,0.3403759999999999,0.329452,0.322076,0.328092,0.3114479999999999,0.335576,0.30968,0.348568,0.320852,0.35336,0.321005,0.302448,0.334929,0.324096,0.315043,0.327843,0.301681,0.3361,0.297743,0.3481,0.302367,0.347067,0.321372,0.308882,0.3326,0.326172,0.316167,0.327024,0.299062,0.334443,0.300906,0.3453099999999999,0.309543,0.342143,0.2198439999999999,0.271707,0.273928,0.2413219999999999,0.244378,0.2662,0.269828
11,0.188772,0.317524,0.31306,0.224624,0.25454,0.281836,0.2853199999999999,0.328064,0.340728,0.3818,0.378712,0.3705759999999999,0.333164,0.351616,0.340628,0.340392,0.355592,0.340728,0.366612,0.328416,0.3201079999999999,0.3638639999999999,0.3508639999999999,0.3433199999999998,0.333352,0.3210359999999999,0.341408,0.3177839999999999,0.353252,0.3247759999999999,0.363964,0.3276,0.3334599999999999,0.368268,0.3495879999999999,0.3505679999999999,0.3331,0.344336,0.339908,0.3361599999999999,0.3517,0.3334599999999999,0.3613,0.2265,0.2756,0.277,0.2475,0.257704,0.270788,0.276088
12,0.1942,0.323772,0.324795,0.236556,0.265348,0.2879,0.295541,0.3347,0.372,0.3904,0.391636,0.388,0.339008,0.383336,0.34918,0.381044,0.365172,0.372944,0.3842,0.334669,0.372669,0.387723,0.389223,0.385415,0.338515,0.381969,0.346923,0.380815,0.359438,0.373323,0.381646,0.3354459999999999,0.372745,0.38523,0.384999,0.382699,0.3395,0.381446,0.3450459999999999,0.380846,0.359769,0.374346,0.378984,0.236534,0.278662,0.279408,0.252926,0.266935,0.274127,0.280624
13,0.200156,0.330112,0.32772,0.243912,0.271004,0.2934,0.305592,0.341016,0.4047240000000003,0.397408,0.400008,0.404416,0.3486,0.4047560000000003,0.358332,0.4068000000000005,0.375608,0.4054680000000004,0.388624,0.342694,0.4116820000000014,0.395764,0.396488,0.3997560000000001,0.345788,0.4030680000000001,0.358182,0.4111140000000001,0.3722,0.4103800000000009,0.386382,0.343782,0.420380000000002,0.393628,0.395458,0.4002540000000002,0.344276,0.4037640000000003,0.354894,0.4117180000000005,0.371564,0.4193640000000019,0.385246,0.247056,0.2858,0.28244,0.258028,0.2739,0.277706,0.283412
14,0.21031,0.33424,0.335025,0.25523,0.27681,0.29687,0.3378,0.35014,0.4381799999999999,0.40498,0.40754,0.41372,0.35746,0.4204799999999999,0.36616,0.4264,0.38058,0.4381799999999999,0.3953399999999999,0.34852,0.44022,0.40253,0.40385,0.4127,0.3573599999999999,0.42133,0.3654799999999999,0.4280299999999999,0.37783,0.44022,0.394325,0.34779,0.44023,0.4008299999999999,0.402455,0.411425,0.3532249999999999,0.421765,0.363365,0.4287,0.3794099999999999,0.44023,0.39303,0.25433,0.2882,0.29124,0.2648,0.283785,0.2802,0.2857099999999999
15,0.21856,0.337052,0.34344,0.267496,0.2833,0.302948,0.345948,0.356152,0.4454,0.413308,0.415452,0.4181,0.365204,0.4258,0.379264,0.430804,0.39396,0.4454,0.403256,0.356644,0.4467359999999999,0.4129359999999999,0.414744,0.4183,0.3655359999999999,0.4260359999999999,0.37666,0.431572,0.392744,0.4467359999999999,0.402544,0.356108,0.4454,0.41198,0.414072,0.417708,0.3636,0.4250359999999999,0.373628,0.430836,0.393704,0.4454,0.400636,0.260632,0.2898,0.292256,0.2728959999999999,0.287924,0.290056,0.289356
16,0.2248,0.344012,0.385865,0.2738,0.287232,0.307,0.350669,0.3631959999999999,0.450072,0.417372,0.421024,0.422748,0.373208,0.429072,0.386548,0.435524,0.402596,0.450072,0.4085,0.3651,0.451,0.416614,0.422242,0.424321,0.373614,0.429807,0.384256,0.434414,0.403756,0.451,0.4084,0.364914,0.4516,0.416777,0.423314,0.426135,0.372935,0.429414,0.383607,0.4346069999999999,0.404121,0.4516,0.407807,0.266768,0.292529,0.299216,0.282968,0.292981,0.294543,0.2925
17,0.230336,0.350744,0.39234,0.280036,0.295384,0.314532,0.352526,0.3695,0.453996,0.423292,0.428884,0.429192,0.3816839999999999,0.433884,0.392496,0.439496,0.411596,0.453996,0.4124,0.372156,0.455746,0.425378,0.429856,0.4315779999999999,0.38189,0.434434,0.3926779999999999,0.43829,0.4128779999999999,0.455746,0.412112,0.371946,0.455212,0.42489,0.432778,0.433702,0.37969,0.4360799999999999,0.3926,0.438,0.4118779999999999,0.455212,0.413956,0.273072,0.298698,0.302264,0.2894,0.295882,0.2983,0.30302
18,0.2367,0.36764,0.39677,0.2844379999999999,0.301624,0.3318819999999999,0.355166,0.377868,0.459068,0.434568,0.439812,0.442856,0.387836,0.447336,0.397436,0.44664,0.416772,0.459068,0.417244,0.3785,0.459549,0.4337,0.443437,0.444639,0.387347,0.446894,0.398147,0.449098,0.418092,0.459549,0.4184879999999999,0.3776,0.458396,0.435941,0.441747,0.444392,0.387443,0.446849,0.398949,0.448243,0.419947,0.458396,0.421949,0.27709,0.305403,0.3048,0.294828,0.301681,0.3029,0.311102
19,0.24408,0.3946,0.4027,0.2915,0.30996,0.33668,0.35846,0.38484,0.46312,0.44412,0.45228,0.45422,0.39288,0.45438,0.40324,0.45364,0.42338,0.46304,0.42798,0.3835,0.46424,0.44142,0.45164,0.45434,0.3921,0.45438,0.40298,0.45384,0.4245,0.46424,0.42894,0.38328,0.468,0.4404,0.44988,0.45394,0.39326,0.45518,0.4049,0.45566,0.42734,0.468,0.42984,0.28084,0.3083,0.3057,0.29994,0.3045799999999999,0.30768,0.31362
20,0.24961,0.411056,0.4083,0.2978519999999999,0.317058,0.341652,0.3623,0.3893359999999999,0.46696,0.449984,0.456736,0.458824,0.398,0.460824,0.409836,0.460524,0.42996,0.467824,0.438612,0.3900639999999999,0.473582,0.4496549999999999,0.4583549999999999,0.4608819999999999,0.397791,0.461491,0.4090189999999999,0.461973,0.430391,0.473491,0.436291,0.389555,0.4751,0.4482819999999999,0.457391,0.4593819999999999,0.3987,0.4608819999999999,0.408682,0.4630189999999999,0.432373,0.4751,0.437591,0.285984,0.312277,0.3070719999999999,0.30391,0.3069,0.314631,0.315318
21,0.255144,0.415588,0.41026,0.30522,0.3215,0.34648,0.3719699999999999,0.394052,0.4712719999999999,0.4568839999999999,0.4629,0.4636,0.403284,0.466268,0.414352,0.467036,0.4362,0.4714,0.445052,0.393562,0.4766,0.4568,0.462362,0.463862,0.405062,0.46801,0.413724,0.4698859999999999,0.437458,0.4766,0.442934,0.394748,0.478262,0.455662,0.4621,0.46382,0.402786,0.467286,0.414662,0.470686,0.438224,0.478262,0.442858,0.29112,0.318728,0.3164079999999999,0.307244,0.309434,0.3186759999999999,0.321452
22,0.261368,0.420168,0.414445,0.310292,0.32797,0.353652,0.401233,0.398,0.473812,0.461368,0.466112,0.4677,0.407968,0.46948,0.417756,0.47088,0.443612,0.474456,0.452368,0.398299,0.480233,0.460733,0.4658,0.467533,0.409199,0.4713,0.4174,0.474533,0.4442,0.480233,0.451333,0.399166,0.481499,0.4605,0.465499,0.467833,0.408866,0.473298,0.419133,0.476033,0.443364,0.481766,0.452599,0.295192,0.325455,0.3281,0.31063,0.3113,0.321717,0.325934
23,0.26814,0.422264,0.416,0.315696,0.333304,0.362644,0.412236,0.4024,0.476556,0.4654839999999999,0.4689399999999999,0.4693,0.412228,0.472728,0.4215279999999999,0.4733279999999999,0.4478,0.476956,0.4581,0.402212,0.482612,0.464304,0.469404,0.471404,0.4147,0.475412,0.4218159999999999,0.4782,0.448108,0.4829,0.458308,0.402016,0.485208,0.465804,0.469504,0.471804,0.413904,0.4779,0.424404,0.4804,0.449712,0.485204,0.457808,0.2992439999999999,0.328576,0.3302839999999999,0.315,0.3165759999999999,0.325096,0.330692
24,0.2758,0.4245,0.4194,0.3192,0.33945,0.375,0.429875,0.4069,0.4786,0.4692,0.4729,0.4733,0.4164,0.4762,0.4273,0.4777,0.4543,0.4794,0.4625,0.409075,0.4849,0.470175,0.4739,0.474875,0.4184,0.4786,0.428175,0.480575,0.455325,0.48505,0.462725,0.40705,0.4872,0.470125,0.472875,0.475175,0.4176499999999999,0.48075,0.43035,0.48385,0.456325,0.487175,0.464525,0.30465,0.3364,0.3355,0.31855,0.320475,0.32855,0.3335
25,0.285004,0.427772,0.4228,0.326356,0.344496,0.3816279999999999,0.4403,0.410444,0.480972,0.472,0.47556,0.477244,0.420772,0.478772,0.429872,0.480072,0.461016,0.481272,0.465872,0.412276,0.486546,0.473346,0.476792,0.4791,0.422792,0.481876,0.432446,0.483946,0.461846,0.486646,0.467346,0.4115,0.489646,0.472846,0.477846,0.479568,0.424192,0.4837,0.436,0.486246,0.462846,0.489746,0.4678,0.308956,0.340748,0.3445319999999999,0.322504,0.32704,0.331008,0.3367
26,0.289224,0.431688,0.423905,0.334162,0.3487,0.3842,0.443878,0.413684,0.482344,0.475544,0.4784,0.4795,0.425188,0.481588,0.4353,0.483144,0.4655,0.482532,0.468932,0.4163,0.4881169999999999,0.477,0.4800169999999999,0.482017,0.426917,0.4848,0.438085,0.4864,0.4669169999999999,0.488317,0.4718,0.4150169999999999,0.492717,0.4771850000000001,0.481368,0.482717,0.429,0.486151,0.440551,0.489168,0.4669360000000001,0.4928,0.4722,0.313308,0.343799,0.346896,0.326508,0.332719,0.334866,0.340766
