percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.051864,0.106945,0.115916,0.116587,0.074929,0.081477,0.096529,0.1024,0.13696,0.137436,0.141372,0.139264,0.138692,0.137436,0.137436,0.137736,0.137436,0.142924,0.137436,0.142912,0.094358,0.117429,0.123329,0.122303,0.100358,0.1062,0.1136,0.115429
1,0.061916,0.114732,0.118658,0.1213279999999999,0.083158,0.089948,0.100216,0.1067,0.143872,0.14464,0.147988,0.147864,0.14822,0.143872,0.14464,0.14422,0.14464,0.149116,0.14464,0.1519,0.102132,0.122332,0.128458,0.1313,0.106658,0.110116,0.118458,0.1189
2,0.068361,0.117635,0.120987,0.128087,0.087787,0.097435,0.105409,0.1093,0.147944,0.151708,0.154636,0.1539,0.1558719999999999,0.147944,0.151708,0.14838,0.151708,0.153824,0.151708,0.1581719999999999,0.1056,0.127874,0.1321,0.1352,0.111887,0.113887,0.120474,0.122774
3,0.0729,0.1206,0.127216,0.1303,0.0914,0.1037,0.112632,0.1179,0.153396,0.16094,0.161036,0.162244,0.162644,0.153396,0.16094,0.153548,0.16094,0.157796,0.16094,0.162248,0.108764,0.1287,0.134248,0.1379,0.116,0.119512,0.1233,0.12698
4,0.07969,0.122445,0.130845,0.131735,0.095445,0.108445,0.117445,0.121945,0.15592,0.16636,0.1646,0.16692,0.16802,0.15592,0.16636,0.15662,0.16636,0.1628,0.16636,0.16554,0.11359,0.130045,0.138545,0.1388,0.11979,0.123,0.12509,0.12959
5,0.0838,0.128374,0.131874,0.133148,0.1,0.1125,0.1218,0.128174,0.159716,0.1697,0.168104,0.170272,0.1702,0.159872,0.1697,0.160144,0.1697,0.164944,0.1697,0.1692,0.115474,0.135174,0.140448,0.141,0.122548,0.126496,0.130074,0.1305
6,0.087903,0.133712,0.134003,0.133906,0.1035089999999999,0.118221,0.124703,0.131012,0.163452,0.1729,0.1723,0.1732,0.173568,0.163768,0.1729,0.164052,0.1729,0.1688,0.1729,0.172352,0.1175,0.144312,0.143612,0.143624,0.124306,0.1291,0.133809,0.133903
7,0.090632,0.137764,0.136932,0.136664,0.107932,0.122364,0.12766,0.13526,0.1659,0.176196,0.1755,0.1765,0.1775,0.167068,0.176196,0.16768,0.176196,0.171392,0.176196,0.175388,0.1197,0.147432,0.147632,0.1471,0.127832,0.1311959999999999,0.1370279999999999,0.14242
8,0.092861,0.140961,0.1412,0.1409,0.1128879999999999,0.1244219999999999,0.132822,0.138,0.1703,0.1817399999999999,0.177916,0.1815,0.1823239999999999,0.1703,0.1817399999999999,0.170808,0.1817399999999999,0.175,0.1817399999999999,0.1770399999999999,0.1217,0.1487,0.149961,0.149822,0.1307,0.1344659999999999,0.139422,0.1472
9,0.09606,0.14428,0.14628,0.1442,0.11719,0.1262,0.1352,0.1409,0.1735199999999999,0.1844,0.1805199999999999,0.1838,0.1846,0.17362,0.1844,0.17462,0.1844,0.1775199999999999,0.1844,0.18116,0.12415,0.15089,0.1513,0.1517,0.1325,0.1376,0.145,0.14959
10,0.098938,0.146419,0.147919,0.1472,0.1200379999999999,0.1275,0.1368,0.1425759999999999,0.1763,0.1877,0.182864,0.1855,0.1877,0.176496,0.1877,0.177096,0.1877,0.179664,0.1877,0.182864,0.1259,0.152119,0.152219,0.1526,0.134319,0.1405,0.146619,0.1512
11,0.101996,0.1477,0.149248,0.149644,0.1224,0.128696,0.139244,0.1451,0.1792,0.190288,0.184588,0.1874,0.190288,0.179288,0.190288,0.179932,0.190288,0.181944,0.190288,0.1844,0.1274,0.153,0.1532,0.153448,0.1358,0.1421,0.148,0.151748
12,0.1047,0.149,0.150377,0.1511,0.1248,0.1309,0.1419,0.1469,0.1811,0.192856,0.1866,0.189012,0.192056,0.181456,0.192856,0.1817,0.192856,0.1835,0.192856,0.186724,0.1297,0.153777,0.154,0.155054,0.137877,0.143977,0.148977,0.153554
13,0.108024,0.1509,0.151206,0.152306,0.126918,0.1336,0.143818,0.147806,0.1829,0.195268,0.1884,0.1904,0.1936,0.183068,0.195268,0.1831,0.195268,0.185168,0.195268,0.1893,0.1308,0.1545,0.1544,0.1559,0.1387179999999999,0.145306,0.150206,0.154106
14,0.1109349999999999,0.152,0.152335,0.1535349999999999,0.1297,0.1358349999999999,0.1458,0.1491,0.1850399999999999,0.19688,0.19,0.1921,0.195,0.1857,0.19688,0.18578,0.19688,0.18778,0.19688,0.1921,0.1325,0.1551,0.155435,0.156435,0.140735,0.146635,0.151335,0.1552
15,0.1131,0.1529,0.154028,0.1547639999999999,0.131,0.1374,0.1469,0.1504,0.187652,0.1986919999999999,0.192792,0.1938,0.196492,0.188192,0.1986919999999999,0.18936,0.1986919999999999,0.190384,0.1986919999999999,0.193884,0.133992,0.155664,0.1571,0.1574,0.1426,0.1476,0.152692,0.1561
16,0.115079,0.1536,0.155493,0.156393,0.132793,0.138786,0.1487929999999999,0.1511,0.190408,0.200208,0.194404,0.196604,0.198208,0.191104,0.200208,0.1919,0.200208,0.192516,0.200208,0.1954,0.1359,0.1564,0.158293,0.1582,0.144293,0.148393,0.1538,0.1568
17,0.1172,0.153922,0.1576439999999999,0.1573,0.1353,0.1410219999999999,0.15,0.1518,0.1931159999999999,0.201432,0.1968,0.1985,0.2004,0.1934159999999999,0.201432,0.193716,0.201432,0.1942,0.201432,0.1968,0.1378,0.1574,0.159,0.159,0.1454,0.1496,0.1556,0.157422
