percentiles,hv10,hv20,hv30,hv60,phv10,phv20,phv30,phv60
24,0.2032,0.23065,0.24395,0.26,0.1755,0.175075,0.1736,0.170025
25,0.206,0.2327,0.248706,0.266524,0.177992,0.177614,0.176132,0.17259
26,0.208534,0.235752,0.252374,0.271644,0.181072,0.181506,0.179,0.178953
27,0.210776,0.238864,0.255868,0.275216,0.185176,0.185484,0.184372,0.188656
28,0.213218,0.242504,0.2588,0.2805,0.190018,0.1912859999999999,0.191184,0.196131
29,0.21618,0.2465,0.26159,0.284,0.19506,0.1989,0.19768,0.2036899999999999
30,0.2188079999999999,0.248934,0.266122,0.2889,0.198,0.204127,0.2029,0.2112149999999999
31,0.2235,0.2517319999999999,0.2693,0.293268,0.2008,0.2074,0.21286,0.2191039999999999
32,0.226,0.255254,0.270723,0.2984,0.203886,0.2119349999999999,0.221656,0.226945
33,0.228228,0.2594,0.2724,0.3005,0.206128,0.216482,0.226064,0.234242
34,0.23104,0.26353,0.27507,0.3034799999999999,0.2102099999999999,0.22143,0.2303599999999999,0.240165
35,0.235724,0.268168,0.276916,0.3065319999999999,0.2143479999999999,0.2256079999999999,0.234704,0.2449
36,0.2391,0.2699,0.280841,0.3108,0.218,0.2320289999999999,0.24014,0.2478049999999999
37,0.243292,0.273188,0.285678,0.3136,0.220892,0.2357,0.24398,0.253464
38,0.2483,0.275582,0.288209,0.317044,0.2252,0.240063,0.248444,0.261263
39,0.2531,0.2801,0.29084,0.319,0.22938,0.24464,0.25408,0.26644
40,0.257688,0.283116,0.292771,0.323,0.2331659999999999,0.2473979999999999,0.2565,0.2703
41,0.2605,0.286296,0.295904,0.326304,0.238892,0.250814,0.260644,0.2727
42,0.2642,0.289734,0.2993,0.3285,0.2439479999999999,0.254977,0.266076,0.2754
43,0.267348,0.293844,0.3017,0.332212,0.249044,0.259416,0.269908,0.2792
44,0.27066,0.29691,0.3041,0.33716,0.25287,0.26382,0.27258,0.28187
45,0.274532,0.2997,0.307326,0.3394,0.2567319999999999,0.268276,0.277472,0.28459
46,0.2781,0.3019,0.310228,0.342364,0.2602,0.2723649999999999,0.2819,0.286744
47,0.2822,0.305024,0.315588,0.3452,0.2626,0.2766,0.28578,0.289124
48,0.2849,0.3082,0.319057,0.347776,0.265274,0.2807,0.288568,0.295037
49,0.2873,0.3117,0.32375,0.3506,0.2685,0.2851,0.2919,0.29745
50,0.290342,0.314638,0.327505,0.3525,0.271742,0.288389,0.294132,0.299963
51,0.293384,0.316476,0.329912,0.3544,0.274184,0.291056,0.296464,0.302252
52,0.295826,0.319814,0.333129,0.356536,0.277726,0.2941,0.299492,0.3063120000000001
53,0.2999,0.321752,0.335922,0.35884,0.280668,0.296518,0.302428,0.309506
54,0.30281,0.32466,0.338505,0.36046,0.28333,0.29929,0.30506,0.313115
55,0.305652,0.328828,0.3419,0.361872,0.2862,0.302984,0.3077,0.3147
56,0.309676,0.331264,0.3444,0.364384,0.291094,0.3078,0.309624,0.3174
57,0.315644,0.333904,0.347596,0.366996,0.293636,0.3109,0.312656,0.319808
58,0.318878,0.337184,0.351858,0.3691239999999999,0.297256,0.3144,0.314988,0.3228
59,0.32096,0.3398,0.35768,0.37212,0.2999,0.31764,0.3184,0.3254999999999999
60,0.325086,0.342436,0.363564,0.373732,0.3054,0.3210369999999999,0.3233,0.328093
61,0.331204,0.3461799999999999,0.3682,0.3755,0.3082,0.325654,0.3258,0.330206
62,0.335546,0.349,0.372,0.3781,0.312092,0.328357,0.328648,0.332319
63,0.340376,0.352396,0.3754679999999999,0.38,0.316988,0.3306,0.331836,0.3341639999999999
64,0.34373,0.35628,0.380015,0.3817,0.3219,0.33447,0.33498,0.335845
65,0.347616,0.362208,0.3843,0.385168,0.326876,0.337122,0.338312,0.3378
66,0.3523400000000001,0.36783,0.3863,0.388004,0.330514,0.3400520000000001,0.341288,0.34
67,0.357012,0.37362,0.3882,0.391516,0.3352,0.342952,0.344652,0.342668
68,0.361598,0.3805659999999999,0.392478,0.3948279999999999,0.3379,0.3484,0.3488159999999999,0.3454939999999999
69,0.36544,0.3842199999999999,0.39707,0.3975999999999999,0.3413999999999999,0.3523,0.3513599999999999,0.34931
70,0.3701819999999999,0.3882,0.402001,0.402252,0.345564,0.355469,0.3553,0.352523
71,0.375948,0.39308,0.408296,0.4083919999999999,0.350948,0.3597,0.357908,0.354336
72,0.380532,0.397274,0.4123149999999999,0.4115,0.3543979999999999,0.362447,0.3621439999999999,0.3562
73,0.3844,0.402412,0.415688,0.416,0.3602,0.365386,0.3644,0.358224
74,0.3901,0.40935,0.420025,0.4207,0.36375,0.368975,0.3663,0.360275
75,0.3974440000000001,0.4137,0.423656,0.422112,0.3688,0.371492,0.3684,0.362
76,0.405834,0.421678,0.426748,0.4254,0.373234,0.374,0.370764,0.365901
77,0.409528,0.429764,0.431454,0.4283,0.3770759999999999,0.3776,0.373388,0.369314
78,0.415718,0.437304,0.435049,0.4313,0.381436,0.380443,0.376412,0.374027
79,0.42132,0.44166,0.43886,0.43462,0.3854,0.3839,0.3793,0.37718
80,0.4266180000000001,0.448378,0.446144,0.437372,0.3894100000000001,0.386818,0.382092,0.3813650000000001
81,0.4326879999999999,0.4564319999999999,0.453142,0.4458519999999999,0.3936759999999999,0.3902959999999999,0.38732,0.385466
82,0.4407439999999999,0.4612,0.457773,0.454496,0.4012459999999999,0.3932,0.391724,0.3882
83,0.4522839999999999,0.4687759999999999,0.466804,0.4609319999999999,0.40784,0.396428,0.396588,0.391692
84,0.46465,0.47563,0.4728699999999999,0.4685000000000001,0.41485,0.40053,0.40202,0.3968799999999999
85,0.4812199999999999,0.485248,0.48203,0.479,0.423212,0.4075399999999999,0.40886,0.4060600000000001
86,0.498224,0.5008,0.488185,0.484,0.42837,0.414679,0.419552,0.414731
87,0.5174799999999999,0.505444,0.4944,0.489856,0.438264,0.4216279999999999,0.4316,0.424344
88,0.532228,0.517446,0.500818,0.493736,0.4459,0.430455,0.444196,0.4309139999999999
89,0.55384,0.52776,0.5090600000000001,0.4961799999999999,0.45478,0.45074,0.4572799999999999,0.4432
90,0.5686,0.544316,0.5197210000000001,0.4982,0.467222,0.466747,0.468912,0.471283
91,0.58952,0.556192,0.5412319999999999,0.5047360000000002,0.4756,0.485016,0.483544,0.4809
92,0.602342,0.569834,0.5770810000000002,0.5220320000000002,0.496218,0.5107890000000002,0.5063759999999999,0.490909
93,0.6273479999999999,0.5836159999999999,0.5950279999999993,0.532268,0.5335359999999982,0.5248639999999999,0.535108,0.4992099999999999
94,0.6502699999999998,0.60151,0.6142449999999996,0.5378799999999999,0.5629899999999998,0.5559249999999999,0.5499399999999999,0.5505649999999999
95,0.6773159999999999,0.652596,0.6344759999999999,0.547952,0.6239039999999998,0.6078839999999999,0.5702800000000002,0.575824
96,0.7328760000000001,0.6912899999999998,0.642284,0.5578279999999999,0.657114,0.6407259999999998,0.656708,0.596088
97,0.7985839999999993,0.7592800000000001,0.6531419999999999,0.573408,0.7156239999999998,0.69091,0.6831879999999999,0.646716
98,1.0331699999999993,0.7887,0.7859120000000047,0.646188,0.7915119999999999,0.740483,0.707636,0.6779959999999999
