percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
37,0.463602,0.6348280000000001,0.659404,0.665314,0.503906,0.533912,0.583304,0.609208,0.68273,0.6403099999999999,0.67705,0.67181,0.66881,0.68243,0.6579200000000001,0.68242,0.65331,0.68094,0.6403,0.67751,0.5145019999999999,0.590506,0.596404,0.607304,0.550302,0.569508,0.600502,0.5966
38,0.469062,0.648062,0.6700429999999999,0.678581,0.511181,0.539224,0.588,0.615981,0.6894100000000001,0.643305,0.6813100000000001,0.6770200000000001,0.6731,0.6894100000000001,0.66382,0.6881300000000001,0.6569250000000001,0.686505,0.6433,0.684505,0.522343,0.596543,0.6046239999999999,0.614991,0.5566049999999999,0.576,0.603,0.599781
39,0.4778,0.6671800000000001,0.6743800000000001,0.68488,0.5161,0.54576,0.5947600000000001,0.62238,0.6934,0.6464,0.6871,0.6816,0.6789,0.6934,0.6691,0.6933,0.6616,0.6911,0.6463,0.6896,0.5276,0.6032,0.6143800000000001,0.6300000000000001,0.56496,0.58152,0.6072,0.6033
40,0.4834389999999999,0.6782,0.6865509999999999,0.692339,0.524039,0.5515,0.600278,0.629239,0.698985,0.6504949999999999,0.69148,0.68706,0.6837749999999999,0.698985,0.6722899999999999,0.6986899999999999,0.666395,0.694685,0.6504,0.694385,0.5352169999999999,0.610317,0.623039,0.643339,0.571639,0.587339,0.6125,0.6087
41,0.495,0.684554,0.6953360000000001,0.698018,0.538054,0.558836,0.606654,0.6357720000000001,0.70542,0.6552,0.69699,0.6917,0.6881900000000001,0.70542,0.67579,0.70465,0.6706,0.6997,0.65517,0.69956,0.544736,0.621436,0.627018,0.650954,0.579908,0.593818,0.6165360000000001,0.6152
42,0.5036820000000001,0.694894,0.7038909999999999,0.7031970000000001,0.543594,0.567897,0.614194,0.645594,0.710555,0.658585,0.70097,0.697685,0.69327,0.7103,0.681755,0.7102550000000001,0.6738700000000001,0.704785,0.6585,0.704125,0.5509940000000001,0.6315970000000001,0.641297,0.6582790000000001,0.5861,0.602788,0.620394,0.621385
43,0.5097,0.7039759999999999,0.710376,0.706476,0.55058,0.575552,0.625776,0.6544519999999999,0.71476,0.6638,0.7071,0.7036,0.69734,0.71476,0.6871,0.7141799999999999,0.68104,0.7106399999999999,0.6637799999999999,0.7098399999999999,0.557252,0.6365,0.657476,0.663852,0.591452,0.6099559999999999,0.6243519999999999,0.625676
44,0.51833,0.71531,0.7181099999999999,0.7098,0.557585,0.5845,0.644255,0.66114,0.71795,0.668875,0.712,0.7086749999999999,0.7028749999999999,0.71835,0.68955,0.7176,0.685125,0.7141,0.66875,0.715475,0.5622550000000001,0.6431399999999999,0.665855,0.66974,0.59702,0.617355,0.627455,0.630465
45,0.5258680000000001,0.7243,0.7224,0.713934,0.564102,0.5913,0.654034,0.674838,0.7225100000000001,0.6725,0.7163,0.71273,0.70745,0.7228,0.69394,0.72221,0.68804,0.71858,0.6725,0.71978,0.5697,0.6528360000000001,0.670034,0.680434,0.602902,0.622168,0.6322700000000001,0.6388680000000001
46,0.5336259999999999,0.731,0.726913,0.7194130000000001,0.5744039999999999,0.6004,0.6618130000000001,0.6919,0.7309499999999999,0.67765,0.721965,0.716365,0.71243,0.7300599999999999,0.697965,0.725865,0.69283,0.723165,0.67813,0.724255,0.5757909999999999,0.6597209999999998,0.6772,0.694239,0.6093,0.628039,0.639726,0.645939
