percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.079587,0.175443,0.183372,0.194901,0.110716,0.133543,0.159673,0.1761,0.230216,0.1779639999999999,0.237988,0.23762,0.23542,0.230216,0.223032,0.231188,0.212944,0.23452,0.182644,0.23762,0.252892,0.275124,0.2764439999999999,0.280072,0.280692,0.252892,0.2846,0.254224,0.283672,0.268568,0.275124,0.273092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0922019999999999,0.187586,0.200186,0.201886,0.125688,0.141,0.1703019999999999,0.180458,0.243064,0.184076,0.24938,0.2475879999999999,0.244388,0.243064,0.232076,0.243452,0.2191,0.24658,0.188488,0.248928,0.27074,0.278648,0.285784,0.286748,0.288048,0.27074,0.289496,0.27074,0.287344,0.280348,0.278596,0.28314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1014,0.194087,0.203616,0.205029,0.135029,0.149145,0.175287,0.189029,0.2526319999999999,0.189232,0.255364,0.253932,0.249996,0.2526319999999999,0.23626,0.2526319999999999,0.225364,0.25566,0.1923,0.256328,0.279136,0.283844,0.28986,0.290788,0.2919,0.279136,0.2926,0.279136,0.29116,0.284944,0.284488,0.28886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.107932,0.200644,0.206572,0.2092,0.141872,0.156944,0.182072,0.194,0.256952,0.191876,0.2601,0.258952,0.2556279999999999,0.256952,0.241476,0.257152,0.2295559999999999,0.261304,0.1976,0.260552,0.285868,0.28868,0.293592,0.2950839999999999,0.294996,0.285868,0.2954,0.285868,0.2959799999999999,0.290492,0.288192,0.2923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1163,0.20773,0.20823,0.21239,0.146915,0.163545,0.187415,0.1986,0.26154,0.1952,0.26354,0.26106,0.25878,0.26154,0.248,0.2618,0.23684,0.26402,0.20142,0.26426,0.29094,0.29308,0.29692,0.29766,0.29832,0.29094,0.2986399999999999,0.29094,0.29842,0.2927,0.29272,0.29572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.122874,0.2114,0.2107899999999999,0.220274,0.150958,0.170874,0.1942,0.204816,0.264164,0.1981,0.265928,0.264164,0.261564,0.264164,0.253,0.2642,0.240592,0.267064,0.205264,0.267364,0.293244,0.296688,0.299532,0.300744,0.3015,0.293244,0.3012,0.293244,0.300744,0.2959,0.296844,0.298144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.130202,0.215,0.2169,0.2245,0.157801,0.179702,0.1979,0.207401,0.267616,0.202308,0.2685,0.266216,0.263508,0.267616,0.255408,0.267616,0.245656,0.268808,0.208816,0.269308,0.296068,0.300572,0.301968,0.303104,0.303268,0.296068,0.3041,0.296068,0.303468,0.298568,0.300968,0.3009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.136976,0.218088,0.220188,0.225844,0.162888,0.184444,0.20272,0.210744,0.269352,0.206652,0.271052,0.2678,0.265756,0.269352,0.257504,0.269352,0.2495,0.270652,0.2136,0.271904,0.298792,0.305092,0.3051,0.306,0.306,0.298792,0.3056,0.298792,0.305792,0.301,0.305992,0.303892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1417,0.2203,0.224644,0.2293,0.171,0.189587,0.210948,0.215487,0.272096,0.2101,0.273792,0.2702,0.267492,0.272096,0.259396,0.272096,0.251996,0.2733,0.218696,0.274796,0.3023,0.307132,0.307516,0.3083,0.307716,0.3023,0.307616,0.3023,0.308032,0.3037,0.308632,0.306932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.147,0.22253,0.22883,0.23146,0.17815,0.19566,0.21716,0.22091,0.27474,0.22114,0.2752,0.27194,0.26914,0.27474,0.2612399999999999,0.27474,0.2535,0.27542,0.2262,0.2769,0.3051,0.31132,0.31,0.31024,0.31038,0.3051,0.3091399999999999,0.3051,0.3103,0.306,0.31214,0.30902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
