percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
51,0.2662,0.333704,0.3347,0.3407,0.292352,0.303104,0.3228,0.332652,0.4901,0.464996,0.475396,0.471196,0.468796,0.490096,0.464996,0.489696,0.464996,0.483896,0.464996,0.4801,0.492668,0.464168,0.477468,0.470484,0.466784,0.492668,0.464168,0.4912,0.464168,0.4882520000000001,0.464168,0.486168,0.315,0.3378,0.3424,0.3411,0.322304,0.329352,0.334352,0.335456
52,0.2700180000000001,0.337553,0.3372,0.344653,0.295853,0.307506,0.3265060000000001,0.336653,0.49362,0.469376,0.478688,0.474844,0.4714,0.493344,0.469376,0.492544,0.469376,0.48682,0.469376,0.482944,0.496852,0.468,0.481804,0.4742,0.471952,0.4968,0.468,0.49563,0.468,0.492126,0.468,0.489752,0.3194120000000001,0.3397,0.345153,0.342353,0.325,0.332859,0.336953,0.338253
53,0.274462,0.340954,0.342862,0.347554,0.300908,0.312154,0.331854,0.3401620000000001,0.497392,0.472976,0.482192,0.479192,0.475376,0.497276,0.472976,0.4961919999999999,0.472976,0.489884,0.472976,0.485,0.5004,0.472936,0.4862,0.4779,0.475536,0.5003679999999999,0.472936,0.499668,0.472936,0.495768,0.472936,0.493036,0.323408,0.3412,0.347054,0.3447,0.328554,0.3361,0.3388,0.341554
54,0.27942,0.34401,0.351155,0.352155,0.3053,0.31651,0.337,0.343,0.49924,0.47758,0.48424,0.48434,0.48192,0.49908,0.47758,0.49894,0.47758,0.49254,0.47758,0.4881,0.5032000000000001,0.47824,0.48911,0.4825,0.48081,0.5031,0.47824,0.50282,0.47824,0.4986,0.47824,0.49652,0.3272,0.3435,0.349355,0.34691,0.3329,0.341455,0.34171,0.3444
55,0.2842,0.350568,0.354156,0.3537,0.3096,0.3226,0.340956,0.3466,0.501888,0.483276,0.489328,0.489264,0.484788,0.501688,0.483276,0.5013,0.483276,0.4971879999999999,0.483276,0.491264,0.5069520000000001,0.482852,0.4925,0.487104,0.4848640000000001,0.5064600000000001,0.482852,0.506152,0.482852,0.501452,0.482852,0.4991560000000001,0.330368,0.3455,0.351756,0.3501,0.336712,0.3458,0.344312,0.3474
56,0.2891,0.358757,0.3581,0.355357,0.313357,0.326014,0.3459,0.349057,0.5048360000000001,0.4879,0.493336,0.493108,0.490708,0.504372,0.4879,0.5039720000000001,0.4879,0.499916,0.4879,0.494,0.5093,0.487876,0.496094,0.491294,0.490946,0.508788,0.487876,0.508494,0.487876,0.504688,0.487876,0.5013,0.333357,0.348457,0.354057,0.352914,0.3394,0.350314,0.348357,0.35
57,0.2949159999999999,0.362,0.363858,0.3618059999999999,0.3175479999999999,0.330758,0.349258,0.3546319999999999,0.5082519999999999,0.493436,0.4968,0.4958519999999999,0.49522,0.5078,0.493436,0.507184,0.493436,0.5025,0.493436,0.4988,0.512,0.492436,0.4986,0.496,0.4957,0.5116,0.492436,0.511336,0.492436,0.507536,0.492436,0.505408,0.337758,0.352574,0.355958,0.355358,0.344058,0.354458,0.3511,0.352358
58,0.2995359999999999,0.367959,0.368718,0.365859,0.3216,0.333959,0.353659,0.3605,0.5124599999999999,0.497164,0.4995,0.4994,0.499532,0.5124599999999999,0.497164,0.5123,0.497164,0.5051,0.497164,0.501232,0.515578,0.4964,0.501756,0.500246,0.499556,0.5152,0.4964,0.514956,0.4964,0.5106,0.4964,0.508178,0.3419,0.356,0.358659,0.3586,0.3486949999999999,0.357859,0.3542,0.354059
59,0.305,0.3724,0.3741,0.3693399999999999,0.3254,0.3367,0.3579799999999999,0.36356,0.5164,0.5003,0.5022599999999999,0.5024799999999999,0.5031599999999999,0.5164,0.5003,0.51574,0.5003,0.5087,0.5003,0.50384,0.5188,0.49946,0.5057200000000001,0.5045,0.5012,0.5188,0.49946,0.51832,0.49946,0.5136,0.49946,0.5107200000000001,0.3458,0.35926,0.3617,0.367,0.35372,0.36136,0.35706,0.35786
60,0.309922,0.3811489999999999,0.3775,0.3739439999999999,0.331461,0.3388,0.3611,0.3670609999999999,0.519628,0.504012,0.505784,0.5061,0.506656,0.5197,0.504012,0.518884,0.504012,0.513028,0.504012,0.508412,0.5212859999999999,0.50241,0.508862,0.5077240000000001,0.5051,0.521662,0.50241,0.520962,0.50241,0.5178719999999999,0.50241,0.5137719999999999,0.3493,0.3637,0.370361,0.3759,0.3585609999999999,0.3640219999999999,0.3602,0.361261
61,0.314362,0.386424,0.381,0.3773,0.3355,0.3443859999999999,0.365162,0.373662,0.5221,0.507952,0.510728,0.5112,0.5105,0.5222519999999999,0.507952,0.5217,0.507952,0.517176,0.507952,0.512176,0.5247080000000001,0.505604,0.512212,0.5096080000000001,0.5076120000000001,0.524604,0.505604,0.524912,0.505604,0.521016,0.505604,0.516808,0.3539239999999999,0.366,0.3729,0.3782,0.3622859999999999,0.367762,0.3640239999999999,0.365224
62,0.319226,0.390163,0.383652,0.3799,0.3406,0.348689,0.3696629999999999,0.3784,0.5264,0.5117200000000001,0.5146,0.5154,0.514124,0.5264,0.5117200000000001,0.52512,0.5117200000000001,0.520348,0.5117200000000001,0.516424,0.527938,0.5084,0.515246,0.513584,0.510592,0.527938,0.5084,0.5281,0.5084,0.5245,0.5084,0.520338,0.3580629999999999,0.370926,0.376563,0.3802,0.369726,0.3701629999999999,0.367963,0.3687
63,0.322828,0.392856,0.387028,0.3828,0.345564,0.3537559999999999,0.3715639999999999,0.3817639999999999,0.5296719999999999,0.515772,0.517672,0.5184,0.518172,0.529288,0.515772,0.5288,0.515772,0.523288,0.515772,0.519916,0.531788,0.5125680000000001,0.518128,0.5177520000000001,0.5154759999999999,0.531888,0.5125680000000001,0.5319,0.5125680000000001,0.5275759999999999,0.5125680000000001,0.523916,0.3620279999999999,0.3758199999999999,0.3819639999999999,0.3827639999999999,0.3749,0.372428,0.3711639999999999,0.3721639999999999
64,0.32706,0.3954,0.38873,0.3862900000000001,0.350665,0.358095,0.37383,0.3862649999999999,0.53272,0.5192,0.52154,0.5217600000000001,0.5217200000000001,0.5327,0.5192,0.53232,0.5192,0.5273,0.5192,0.5228400000000001,0.53542,0.5176299999999999,0.51983,0.5202,0.51859,0.5357,0.5176299999999999,0.53499,0.5176299999999999,0.53213,0.5176299999999999,0.5267,0.367495,0.38113,0.3857649999999999,0.3881,0.378665,0.376765,0.3759,0.3752
65,0.333166,0.3985,0.392066,0.390066,0.3558,0.361566,0.377398,0.3966980000000001,0.537204,0.522236,0.524868,0.5249,0.5249,0.536604,0.522236,0.5353720000000001,0.522236,0.531104,0.522236,0.5276,0.538372,0.521272,0.523272,0.523872,0.522444,0.5384,0.521272,0.538072,0.521272,0.535516,0.521272,0.529072,0.3721,0.3864,0.390966,0.390366,0.382,0.3806640000000001,0.380666,0.3808280000000003
