percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.069114,0.1375,0.139542,0.145628,0.097484,0.112714,0.122114,0.1316419999999999,0.111124,0.106534,0.111124,0.110296,0.1090339999999999,0.111124,0.106534,0.111124,0.106534,0.111124,0.106534,0.111124,0.165376,0.166857,0.169976,0.1721089999999999,0.169819,0.165376,0.166857,0.165376,0.166857,0.165814,0.166857,0.1689189999999999,0.116614,0.1598,0.1598139999999999,0.1601,0.1331,0.137314,0.145642,0.1563419999999999
1,0.075856,0.152208,0.153756,0.1547,0.1041,0.120656,0.1305,0.1435,0.118216,0.111248,0.118,0.1171,0.114896,0.118216,0.111248,0.118216,0.111248,0.118216,0.111248,0.118216,0.174518,0.177614,0.1784379999999999,0.179252,0.178742,0.174518,0.177614,0.174518,0.177614,0.173914,0.177614,0.177614,0.124084,0.163328,0.163728,0.1664,0.1375,0.14534,0.153728,0.159028
2,0.0816,0.157342,0.157184,0.158442,0.1099,0.123942,0.137084,0.150642,0.123586,0.1153,0.122416,0.121018,0.118774,0.123586,0.1153,0.123586,0.1153,0.123586,0.1153,0.123458,0.180571,0.184228,0.183685,0.184057,0.183957,0.180571,0.184228,0.180571,0.184228,0.180757,0.184228,0.182099,0.129542,0.1669,0.170042,0.171384,0.140442,0.149442,0.158642,0.1628
3,0.087436,0.1586,0.160956,0.1621,0.114612,0.127124,0.140768,0.153456,0.127844,0.118996,0.125648,0.124044,0.1227,0.127844,0.118996,0.127844,0.118996,0.127844,0.118996,0.126996,0.184,0.187576,0.1877,0.187852,0.188028,0.184,0.187576,0.184304,0.187576,0.183928,0.187576,0.1867,0.1325,0.1691,0.1721,0.174056,0.143856,0.1516,0.1618,0.166156
4,0.09124,0.1605,0.1644,0.1641,0.1182,0.1298699999999999,0.14557,0.1566,0.13204,0.1227,0.13031,0.12791,0.1257,0.13204,0.1227,0.13204,0.1227,0.13243,0.1227,0.13161,0.1878,0.190485,0.18999,0.19129,0.191085,0.1878,0.190485,0.188085,0.190485,0.187795,0.190485,0.1893,0.13597,0.1724,0.17367,0.175,0.1472699999999999,0.15367,0.1646,0.16817
5,0.0946,0.1624,0.1656,0.166484,0.120684,0.132952,0.1482,0.158184,0.135588,0.126044,0.1337,0.131972,0.128972,0.135588,0.126044,0.135588,0.126044,0.136044,0.126044,0.134572,0.1911,0.194128,0.194014,0.194228,0.1941,0.1911,0.194128,0.1911,0.194128,0.191014,0.194128,0.192328,0.138952,0.1739,0.1752,0.176584,0.150368,0.155984,0.166384,0.170184
6,0.097096,0.164098,0.167098,0.1684,0.1242,0.1356979999999999,0.1498,0.161,0.138502,0.1295,0.136468,0.134534,0.1322,0.138502,0.1295,0.138502,0.1295,0.138734,0.1295,0.138202,0.195233,0.196499,0.198333,0.197366,0.196733,0.195233,0.196499,0.195233,0.196499,0.194732,0.196499,0.195733,0.141896,0.1751,0.177098,0.178498,0.1529,0.1590939999999999,0.1677,0.171798
7,0.099936,0.166512,0.1681,0.1694,0.126948,0.137912,0.152812,0.162212,0.141592,0.1319,0.139488,0.1375,0.133796,0.141592,0.1319,0.141696,0.1319,0.141696,0.1319,0.140592,0.198,0.1993,0.2014,0.199104,0.199604,0.198,0.1993,0.198,0.1993,0.198,0.1993,0.198952,0.1449,0.1763,0.1787,0.180112,0.155324,0.161012,0.1691,0.173324
8,0.1041779999999999,0.167926,0.169226,0.1701,0.130404,0.140126,0.156526,0.163326,0.144,0.1343,0.141858,0.1397,0.136358,0.144,0.1343,0.144358,0.1343,0.144174,0.1343,0.1434899999999999,0.200271,0.202142,0.202813,0.201671,0.2022,0.200271,0.202142,0.200271,0.202142,0.200042,0.202142,0.201971,0.147626,0.1769,0.1794,0.1813,0.157326,0.163826,0.1709,0.174826
9,0.1079,0.16914,0.17024,0.1708,0.13364,0.142,0.15894,0.1642,0.1468,0.13702,0.14414,0.14162,0.1392,0.1468,0.13702,0.14688,0.13702,0.14724,0.13702,0.14572,0.2022,0.2045,0.2045,0.20359,0.2044,0.2022,0.2045,0.2022,0.2045,0.20239,0.2045,0.20327,0.14944,0.17794,0.18058,0.1825,0.1596,0.16604,0.1726,0.17624
10,0.1097,0.1704,0.1718,0.172,0.136054,0.1442,0.1607,0.165454,0.149282,0.139,0.146182,0.14361,0.141182,0.149282,0.139,0.1493,0.139,0.149382,0.139,0.1481,0.2042,0.206309,0.206,0.2055179999999999,0.206809,0.2042,0.206309,0.204209,0.206309,0.204309,0.206309,0.204627,0.1507,0.179,0.183154,0.1844,0.1614,0.167462,0.1747,0.1771
11,0.1131,0.1716,0.1729,0.172868,0.138568,0.145868,0.162268,0.166968,0.152244,0.140844,0.1479,0.145,0.142588,0.152244,0.140844,0.152344,0.140844,0.152532,0.140844,0.1504,0.205528,0.208528,0.2084,0.207428,0.208228,0.205528,0.208528,0.205628,0.208528,0.205728,0.208528,0.206628,0.153068,0.1807679999999999,0.184368,0.1862,0.1629,0.168868,0.1764,0.178068
