percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.194884,0.0,0.0,0.0,0.262488,0.3053,0.339128,0.353604,0.55126,0.5501419999999999,0.555279,0.55098,0.5522,0.55126,0.5501419999999999,0.55126,0.5501419999999999,0.5545,0.5501419999999999,0.55678,0.3145,0.0,0.0,0.0,0.353132,0.367952,0.3791759999999999,0.3807239999999999
1,0.2169039999999999,0.375204,0.367252,0.378552,0.286932,0.323804,0.353852,0.36876,0.581246,0.587608,0.58363,0.587488,0.589366,0.581246,0.587608,0.581246,0.587608,0.582604,0.587608,0.582604,0.339856,0.413856,0.411416,0.420212,0.379028,0.401252,0.418756,0.4238079999999999
2,0.2367,0.3949,0.392984,0.3938959999999999,0.307656,0.3399399999999999,0.368012,0.38724,0.603912,0.604799,0.6065710000000001,0.6052270000000001,0.607483,0.603912,0.604799,0.603912,0.604799,0.605284,0.604799,0.606985,0.3585399999999999,0.434056,0.433656,0.439084,0.398456,0.415784,0.436284,0.438656
3,0.251604,0.402704,0.4026,0.412104,0.325604,0.355308,0.392924,0.407304,0.61936,0.616452,0.618384,0.617576,0.6163519999999999,0.61936,0.616452,0.61936,0.616452,0.619752,0.616452,0.619952,0.372404,0.449436,0.453008,0.455124,0.409904,0.424812,0.448104,0.445008
4,0.26664,0.41638,0.4148,0.42078,0.3391,0.3657,0.40318,0.4208,0.6308400000000001,0.621995,0.628885,0.625285,0.623885,0.6308400000000001,0.621995,0.6309,0.621995,0.63387,0.621995,0.63168,0.38554,0.46194,0.4663799999999999,0.4647,0.41974,0.43266,0.45498,0.4577799999999999
5,0.27656,0.425768,0.429272,0.442092,0.34768,0.3752,0.422456,0.428356,0.640356,0.629114,0.637656,0.635914,0.631028,0.640356,0.629114,0.6407700000000001,0.629114,0.64227,0.629114,0.642128,0.394868,0.475,0.469956,0.469812,0.425848,0.443128,0.4621,0.4739
6,0.2862,0.444888,0.4543,0.4613319999999999,0.358564,0.384164,0.434332,0.436732,0.6491640000000001,0.634199,0.646099,0.6427660000000001,0.6382329999999999,0.6491640000000001,0.634199,0.6487660000000001,0.634199,0.649799,0.634199,0.649566,0.402964,0.4809,0.4764,0.479596,0.436364,0.452832,0.470464,0.482888
7,0.2965,0.461508,0.4839279999999999,0.487048,0.367308,0.393016,0.4435,0.446108,0.65696,0.641716,0.6504559999999999,0.648852,0.644952,0.65696,0.641716,0.656076,0.641716,0.655,0.641716,0.6574519999999999,0.4119,0.486116,0.489756,0.496208,0.443008,0.459608,0.477408,0.4886
8,0.3063039999999999,0.475552,0.499284,0.508784,0.376568,0.399868,0.449984,0.456436,0.665284,0.649584,0.6598,0.657026,0.651371,0.665313,0.649584,0.665284,0.649584,0.665955,0.649584,0.6646259999999999,0.42,0.493068,0.4996839999999999,0.5082519999999999,0.4506,0.4669,0.483468,0.493184
9,0.31722,0.4924,0.50734,0.52524,0.38382,0.41106,0.4547,0.46742,0.6739700000000001,0.65426,0.66955,0.66429,0.65916,0.67364,0.65426,0.67453,0.65426,0.6722,0.65426,0.67177,0.42738,0.49966,0.50876,0.5135,0.45666,0.47356,0.49136,0.4977
10,0.326136,0.502008,0.517636,0.534136,0.392836,0.4217,0.4591,0.481036,0.682,0.663145,0.677099,0.671809,0.6677719999999999,0.682027,0.663145,0.682336,0.663145,0.6822,0.663145,0.680909,0.4336,0.508972,0.515572,0.52,0.464672,0.479236,0.497408,0.502236
11,0.334072,0.5079,0.525224,0.5415,0.403024,0.431712,0.466736,0.4946359999999999,0.694428,0.67294,0.68558,0.681284,0.677628,0.694428,0.67294,0.694428,0.67294,0.693184,0.67294,0.691384,0.4415,0.518924,0.521136,0.5256,0.472512,0.486124,0.505912,0.5087
12,0.3443,0.512276,0.535088,0.553176,0.4102,0.4396,0.473552,0.5024879999999999,0.705317,0.682141,0.6948700000000001,0.688547,0.683941,0.706041,0.682141,0.706041,0.682141,0.706041,0.682141,0.699423,0.4484,0.5249,0.5278,0.537964,0.477776,0.4939,0.5107,0.5143
13,0.350864,0.520856,0.5455639999999999,0.561828,0.416628,0.446764,0.480864,0.5084639999999999,0.7132660000000001,0.689566,0.7019639999999999,0.696366,0.69323,0.7134980000000001,0.689566,0.713798,0.689566,0.7132660000000001,0.689566,0.708966,0.454664,0.529912,0.5457,0.550164,0.484564,0.501828,0.515064,0.5219
14,0.35858,0.53046,0.553,0.5664,0.42228,0.4515,0.48794,0.514,0.7218,0.69667,0.71018,0.704285,0.701095,0.721885,0.69667,0.72275,0.69667,0.721355,0.69667,0.715685,0.46304,0.5380400000000001,0.551,0.5576,0.49124,0.5092,0.5195,0.52814
15,0.364116,0.5423,0.560516,0.569616,0.4282,0.4572,0.4930319999999999,0.521132,0.730028,0.705804,0.7183200000000001,0.712808,0.7102040000000001,0.730028,0.705804,0.730732,0.705804,0.728516,0.705804,0.723508,0.4691,0.544532,0.5565,0.567916,0.497116,0.5183639999999999,0.524916,0.5335
16,0.372,0.5521440000000001,0.566292,0.5760919999999999,0.434284,0.4628,0.501392,0.526,0.74199,0.712823,0.7282,0.721169,0.718438,0.74199,0.712823,0.74199,0.712823,0.739746,0.712823,0.730838,0.474284,0.5552360000000001,0.565576,0.573292,0.502,0.5244,0.531092,0.542284
17,0.379236,0.559068,0.572668,0.583768,0.441,0.468804,0.5081399999999999,0.530772,0.754242,0.721226,0.7338,0.7321259999999999,0.725942,0.754242,0.721226,0.7543,0.721226,0.751526,0.721226,0.7397,0.4796,0.5662,0.5733,0.5790679999999999,0.5088360000000001,0.5286,0.5368,0.546404
18,0.385232,0.564544,0.5792440000000001,0.58852,0.4456,0.475488,0.5161,0.5373,0.7615270000000001,0.7322609999999999,0.7338,0.738,0.734593,0.7615270000000001,0.7322609999999999,0.760983,0.7322609999999999,0.758605,0.7322609999999999,0.755705,0.485744,0.5707,0.5775,0.5838,0.515444,0.533244,0.5442440000000001,0.552444
19,0.39162,0.57062,0.58562,0.59372,0.45074,0.48152,0.52322,0.54272,0.7706200000000001,0.743,0.7338,0.738,0.7444,0.77028,0.743,0.7694,0.743,0.76688,0.743,0.76416,0.48978,0.576,0.5829,0.58772,0.52164,0.53878,0.5497,0.5609
20,0.3992,0.575496,0.592088,0.600892,0.4559,0.4872,0.5281,0.547592,0.778494,0.7512,0.7338,0.738,0.7444,0.7778980000000001,0.7512,0.7784989999999999,0.7512,0.7757970000000001,0.7512,0.772295,0.496,0.5802,0.5869,0.5915,0.5273,0.5439,0.5561,0.5689919999999999
21,0.407144,0.580044,0.599944,0.6058,0.4606,0.492972,0.5339,0.556644,0.7872,0.7512,0.7338,0.738,0.7444,0.786208,0.7512,0.78679,0.7512,0.784018,0.7512,0.7796719999999999,0.5009,0.5884440000000001,0.5910719999999999,0.5961,0.5329320000000001,0.5486,0.560716,0.576172
22,0.414348,0.5863480000000001,0.6046,0.616092,0.4666,0.499,0.5394,0.565848,0.793174,0.7512,0.7338,0.738,0.7444,0.793596,0.7512,0.793596,0.7512,0.7899,0.7512,0.788274,0.5066,0.5925,0.5953480000000001,0.5989,0.5406,0.5518,0.571,0.5815480000000001
23,0.4191959999999999,0.5906,0.6074240000000001,0.6226,0.4716,0.504124,0.5446,0.575944,0.801356,0.7512,0.7338,0.738,0.7444,0.8016559999999999,0.7512,0.801868,0.7512,0.797548,0.7512,0.7918,0.5115959999999999,0.5959,0.6006,0.601324,0.545224,0.5563480000000001,0.575424,0.5866
24,0.4275,0.5962,0.611,0.6262,0.4769,0.5088,0.5509,0.5825,0.81065,0.7512,0.7338,0.738,0.7444,0.812675,0.7512,0.8141,0.7512,0.8077,0.7512,0.7918,0.5167,0.6,0.6057,0.607,0.549,0.5611,0.5796,0.5922
25,0.4329759999999999,0.6022759999999999,0.6162519999999999,0.6307,0.483452,0.514776,0.5578759999999999,0.5873,0.82087,0.7512,0.7338,0.738,0.7444,0.8209,0.7512,0.822882,0.7512,0.8193,0.7512,0.7918,0.521404,0.6052759999999999,0.6101759999999999,0.613852,0.5538,0.565128,0.5854280000000001,0.5968
26,0.440256,0.6075,0.622504,0.635552,0.489652,0.521952,0.5635,0.5928,0.827678,0.7512,0.7338,0.738,0.7444,0.8291649999999999,0.7512,0.830956,0.7512,0.8245,0.7512,0.7918,0.5276519999999999,0.6095,0.6135,0.6168,0.557952,0.568352,0.5893039999999999,0.6020519999999999
