percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.055416,0.0,0.0,0.0,0.075879,0.079074,0.0,0.0,0.22417,0.23657,0.22417,0.22715,0.23231,0.22417,0.2355,0.22417,0.23632,0.22417,0.23657,0.22417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.064548,0.0,0.0,0.0,0.0835,0.0907,0.090058,0.0,0.23792,0.24266,0.23768,0.23768,0.23912,0.23792,0.24204,0.23792,0.24234,0.23792,0.24266,0.23742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.076037,0.0,0.0,0.0,0.0877,0.095974,0.107611,0.1023,0.24301,0.24511,0.24242,0.24291,0.24301,0.24301,0.24461,0.24301,0.24491,0.24301,0.24511,0.24241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.082016,0.107532,0.0,0.0,0.098012,0.101816,0.117232,0.112116,0.24538,0.24756,0.24528,0.24528,0.24548,0.24538,0.24668,0.24538,0.24714,0.24538,0.24756,0.2452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.086895,0.11816,0.1132,0.1071600000000003,0.102895,0.11099,0.1213949999999999,0.12058,0.2488,0.25115,0.2486,0.2485,0.24845,0.2488,0.25005,0.2488,0.2504,0.24875,0.25115,0.24845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0923,0.122074,0.1208,0.119748,0.106448,0.1151959999999999,0.125148,0.125148,0.25304,0.25804,0.2527399999999999,0.2529,0.2527399999999999,0.25304,0.25472,0.25304,0.25594,0.25282,0.25804,0.25246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.096153,0.127453,0.1228,0.122406,0.110353,0.118512,0.1274,0.1279,0.2573,0.26606,0.2572799999999999,0.25759,0.2577,0.2573,0.25917,0.2573,0.26109,0.2572899999999999,0.26606,0.2567899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.098364,0.1289,0.1258,0.1236,0.1151,0.122732,0.1299,0.13,0.25926,0.26966,0.2592,0.25932,0.2602,0.25926,0.2629599999999999,0.25926,0.26704,0.2592,0.26966,0.2592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1006,0.132911,0.130111,0.1253,0.1192329999999999,0.1261439999999999,0.1331,0.137011,0.2618499999999999,0.27376,0.2618499999999999,0.26243,0.26315,0.2618499999999999,0.2664,0.2618499999999999,0.26993,0.26163,0.27376,0.26163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.10409,0.13598,0.13409,0.13149,0.12229,0.1286,0.13952,0.13927,0.2654,0.2777,0.2654,0.2655,0.2666,0.2654,0.2692,0.2654,0.274,0.2654,0.2777,0.2654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.107269,0.142052,0.14,0.1348379999999999,0.125669,0.130669,0.143507,0.143276,0.2676,0.28579,0.26767,0.26767,0.2689,0.2676,0.27177,0.2676,0.27651,0.2676,0.28579,0.2676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.11,0.1465,0.144896,0.142448,0.128548,0.133548,0.1471,0.1483,0.2699,0.29138,0.2699,0.26994,0.2704,0.2699,0.27464,0.2699,0.27834,0.2699,0.2907,0.2699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
