percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.048538,0.0,0.0,0.0,0.066417,0.078996,0.0899,0.0,0.14072,0.144144,0.1471,0.14754,0.145588,0.14072,0.144144,0.141308,0.144144,0.145896,0.144144,0.145444,0.081434,0.0,0.0,0.0,0.092,0.0963,0.104015,0.0
1,0.055976,0.099448,0.0,0.0,0.078148,0.086496,0.098416,0.099932,0.151088,0.1514879999999999,0.154916,0.153276,0.152964,0.151088,0.1514879999999999,0.151088,0.1514879999999999,0.153252,0.1514879999999999,0.154252,0.087236,0.1068,0.0,0.0,0.0962,0.102,0.1092,0.1089
2,0.0604,0.1033,0.1066609999999999,0.108926,0.0831929999999999,0.093672,0.1033,0.102398,0.156496,0.1575,0.1601959999999999,0.158432,0.158332,0.156496,0.1575,0.156496,0.1575,0.157732,0.1575,0.158332,0.094402,0.110778,0.1099559999999999,0.11033,0.101484,0.107,0.113045,0.1112
3,0.064172,0.106748,0.1095,0.112,0.0872,0.097284,0.1044,0.1044,0.158676,0.162604,0.1648,0.163176,0.16348,0.158676,0.162604,0.158676,0.162604,0.160928,0.162604,0.163776,0.0991,0.1189,0.1212,0.118588,0.1063,0.11,0.115,0.11868
4,0.0692,0.109,0.112505,0.112905,0.090555,0.1007,0.106,0.10673,0.16384,0.1674,0.1692199999999999,0.16716,0.16774,0.16384,0.1674,0.1641,0.1674,0.1654,0.1674,0.16752,0.1025,0.121615,0.12251,0.1212,0.11,0.1121,0.1184,0.12152
5,0.074,0.1113,0.1147,0.1143,0.093872,0.102344,0.1076,0.1094,0.167564,0.1702199999999999,0.17362,0.17142,0.171864,0.167564,0.1702199999999999,0.167564,0.1702199999999999,0.1678639999999999,0.1702199999999999,0.171792,0.1054,0.1244,0.1249039999999999,0.124432,0.1125,0.11485,0.12136,0.1253
6,0.077776,0.1137,0.1155,0.115347,0.095985,0.104268,0.109728,0.1119,0.1722,0.174424,0.178016,0.176416,0.176416,0.1722,0.174424,0.1722,0.174424,0.171208,0.174424,0.1762,0.1077,0.127541,0.127394,0.127754,0.116796,0.1177,0.1245,0.127864
7,0.0803,0.116184,0.1165,0.1167,0.1004,0.105792,0.111532,0.1142,0.1776,0.178208,0.181952,0.1805,0.1801559999999999,0.1776,0.178208,0.1776,0.178208,0.175452,0.178208,0.1785,0.112272,0.130008,0.129,0.131452,0.119412,0.1205,0.1274,0.1294
8,0.083106,0.117358,0.1177,0.118689,0.1035789999999999,0.1082,0.113,0.115547,0.181996,0.182968,0.184996,0.186392,0.185168,0.181996,0.182968,0.182192,0.182968,0.179892,0.182968,0.182192,0.1149,0.133667,0.1357,0.136396,0.1219,0.124,0.13049,0.131256
9,0.08718,0.1192,0.11913,0.1207,0.1054,0.1094,0.1141399999999999,0.11776,0.18588,0.18882,0.18884,0.19094,0.19068,0.18588,0.18882,0.1860399999999999,0.18882,0.18418,0.18882,0.1856,0.11774,0.135,0.1372,0.13832,0.12414,0.12685,0.13315,0.1329
10,0.089574,0.1203,0.120251,0.1229,0.1079,0.111064,0.1157,0.119313,0.189968,0.193684,0.191384,0.193884,0.194668,0.189968,0.193684,0.189768,0.193684,0.1871,0.193684,0.188884,0.1202,0.1363,0.138462,0.139684,0.126652,0.130425,0.1352,0.1347239999999999
11,0.092516,0.1216,0.121784,0.1246,0.1097,0.112688,0.117348,0.120696,0.192928,0.1985,0.1942,0.1974,0.199284,0.192928,0.1985,0.192928,0.1985,0.190528,0.1985,0.1916,0.1224079999999999,0.1386,0.1403,0.141,0.128684,0.1331,0.1363599999999999,0.136808
12,0.0957,0.1225,0.1253,0.126846,0.1116,0.1149,0.1183,0.1219,0.194772,0.2018,0.1969,0.1999,0.202,0.194772,0.2018,0.1946,0.2018,0.1938,0.2018,0.1944,0.126042,0.1397,0.1412,0.1424,0.1306,0.1352249999999999,0.1377,0.1383
13,0.098176,0.1233,0.126374,0.1283939999999999,0.113834,0.1165,0.120612,0.122962,0.1972,0.204648,0.199,0.2017,0.204,0.197032,0.204648,0.1969,0.204648,0.1961,0.204648,0.196916,0.128276,0.1406,0.1424,0.1438,0.132696,0.1372,0.13907,0.139676
14,0.1008,0.12463,0.127515,0.1303,0.1152,0.1179,0.1226199999999999,0.1242,0.199,0.20792,0.2007,0.204,0.2061,0.199,0.20792,0.199,0.20792,0.19846,0.20792,0.199,0.13011,0.1422,0.1435,0.1449,0.1347,0.13855,0.140675,0.1419
15,0.103244,0.1279,0.1289,0.131036,0.1163,0.119184,0.124,0.1251,0.2012,0.2114,0.202608,0.2059,0.209704,0.2012,0.2114,0.200908,0.2114,0.200404,0.2114,0.200704,0.1317,0.143308,0.1446,0.145652,0.136348,0.1405,0.1424,0.1434
16,0.1055,0.129554,0.1313969999999999,0.1323,0.1176,0.1206,0.1255,0.1261,0.2045,0.2141,0.204948,0.208148,0.2125,0.2045,0.2141,0.204048,0.2141,0.2026,0.2141,0.202796,0.133,0.144842,0.1458,0.147274,0.1384,0.1425,0.144,0.1444
17,0.107412,0.130748,0.1329,0.1332,0.1192,0.1218,0.1273,0.1275,0.2064919999999999,0.2163,0.2079519999999999,0.2107,0.214392,0.2064,0.2163,0.206192,0.2163,0.205292,0.2163,0.2059839999999999,0.1345,0.1461,0.146612,0.149096,0.139976,0.14385,0.1455,0.145712
18,0.1096,0.132978,0.1338,0.1344,0.1208,0.123856,0.129,0.1296,0.209436,0.218272,0.210344,0.2135,0.216172,0.2094,0.218272,0.209336,0.218272,0.2083,0.218272,0.208336,0.1362,0.1475,0.1483,0.150018,0.141808,0.145675,0.146795,0.1468
19,0.11158,0.13474,0.13504,0.137,0.122,0.12648,0.1306,0.13312,0.2114,0.2208,0.2126,0.21578,0.21788,0.21138,0.2208,0.21138,0.2208,0.21088,0.2208,0.21068,0.1377,0.1483,0.15004,0.1512,0.1432,0.1471,0.1483,0.1481
20,0.113214,0.1366,0.1364,0.138841,0.123602,0.1279,0.1324,0.1358,0.2142,0.222548,0.214324,0.2176,0.2201,0.2142,0.222548,0.214124,0.222548,0.2138,0.222548,0.212724,0.1394,0.1504,0.1507819999999999,0.1521,0.1448,0.148625,0.149905,0.150092
21,0.1151,0.138228,0.1378,0.141662,0.1252,0.1297,0.1343639999999999,0.1381,0.2174,0.2245,0.2169,0.219368,0.2218,0.2174,0.2245,0.217136,0.2245,0.2160359999999999,0.2245,0.214868,0.1405,0.1524,0.152,0.1528,0.146,0.1503,0.15191,0.1518
22,0.116782,0.1399,0.139743,0.143366,0.126813,0.130852,0.1356,0.139309,0.2196,0.225812,0.21886,0.2215,0.2235,0.2196,0.225812,0.219312,0.225812,0.218412,0.225812,0.2174,0.1424,0.1543,0.1548,0.1537,0.1472,0.1518,0.1547,0.154964
23,0.119116,0.140788,0.1436519999999999,0.1444,0.1284439999999999,0.132576,0.1381,0.141092,0.223012,0.227424,0.221212,0.224,0.2252679999999999,0.223012,0.227424,0.222556,0.227424,0.221356,0.227424,0.2196,0.1437,0.155612,0.1573079999999999,0.155,0.1487,0.1532,0.1563,0.1569
24,0.1210499999999999,0.1421,0.1464,0.1458,0.129675,0.1344,0.1408,0.143975,0.2258,0.2297,0.2239,0.2258,0.2272,0.2258,0.2297,0.2254,0.2297,0.2249,0.2297,0.2225,0.14495,0.157875,0.1581,0.1563,0.1498,0.1544,0.158025,0.1588
25,0.122668,0.144812,0.149196,0.147738,0.131006,0.136324,0.1431,0.1462,0.229044,0.231344,0.226944,0.227588,0.2295,0.228944,0.231344,0.228532,0.231344,0.226844,0.231344,0.2254,0.146384,0.160538,0.159,0.157172,0.151764,0.15535,0.1594,0.1598
