percentiles,hv10,hv120,hv150,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv20,phv30,phv60,phv90
69,0.7085,0.79016,0.7865699999999999,0.7449,0.7485,0.7933,0.7944,0.6851,0.68553,0.68646,0.6849,0.6975,0.6904,0.6959
70,0.7188599999999995,0.7938980000000001,0.792628,0.7611199999999999,0.7691199999999999,0.81104,0.8024199999999997,0.69534,0.6904139999999999,0.692836,0.6931199999999998,0.70758,0.6968799999999999,0.69844
71,0.7301199999999999,0.799152,0.7969,0.77476,0.7874399999999998,0.8243,0.8115,0.70612,0.694608,0.699796,0.70202,0.7166,0.70458,0.70068
72,0.7414,0.804044,0.8003819999999999,0.78734,0.8087000000000001,0.8362200000000001,0.81698,0.7176600000000001,0.697735,0.7029279999999999,0.71288,0.72372,0.71442,0.7033600000000001
73,0.75592,0.809312,0.805558,0.7977799999999999,0.82214,0.8426199999999998,0.829,0.72582,0.702186,0.707832,0.7244399999999999,0.72872,0.72722,0.70688
74,0.7689,0.81445,0.814225,0.8147,0.8363,0.8543,0.8383,0.7392,0.7091999999999999,0.71455,0.7378,0.7362,0.7323,0.7126
75,0.786,0.823088,0.8202,0.83348,0.8474600000000001,0.8649800000000001,0.8425600000000001,0.7463200000000001,0.71682,0.719136,0.7563600000000001,0.744,0.73632,0.7175400000000001
76,0.79828,0.831578,0.8251269999999999,0.84648,0.86166,0.8722,0.8519,0.76022,0.724545,0.7340340000000002,0.76772,0.751,0.73996,0.72226
77,0.8152200000000001,0.83884,0.830656,0.8577400000000001,0.87572,0.8780600000000001,0.8599,0.77478,0.73851,0.737828,0.78138,0.7636999999999999,0.74492,0.72788
78,0.8284,0.85193,0.836087,0.8760000000000004,0.8901800000000001,0.8871,0.8659,0.78612,0.7452,0.7758600000000001,0.78922,0.7763000000000001,0.75016,0.7369800000000001
79,0.8573,0.86508,0.8460000000000003,0.8968,0.8956,0.8925,0.8723,0.8029,0.75654,0.80752,0.7999,0.7923,0.7602,0.7459
80,0.87658,0.8743120000000001,0.870577,0.91274,0.90854,0.89944,0.8808600000000001,0.8158200000000001,0.7756110000000005,0.840158,0.8208200000000001,0.8055400000000001,0.7762200000000002,0.75316
81,0.90218,0.882832,0.8929,0.93306,0.9283799999999998,0.91092,0.88656,0.82612,0.8316879999999999,0.850164,0.8392,0.8297999999999999,0.7872399999999999,0.7711999999999999
82,0.9286399999999992,0.897412,0.901322,0.94636,0.9400999999999998,0.92598,0.89796,0.8410399999999999,0.8887109999999999,0.865688,0.8573799999999999,0.8543399999999998,0.8033999999999999,0.8132999999999996
83,0.9667,0.9142359999999998,0.934768,0.96238,0.9715,0.935,0.91646,0.8633599999999998,0.904464,0.8875399999999996,0.8709399999999999,0.8706399999999999,0.82892,0.8902199999999997
84,0.9821,0.9422199999999998,0.971165,0.979,1.0009,0.9459,0.9273,0.8757,0.92323,0.90343,0.8833,0.8829,0.8845,0.9258
