percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.1085169999999999,0.243939,0.2492,0.2447129999999999,0.148465,0.186465,0.202682,0.217046,0.401027,0.391499,0.401,0.398263,0.39529,0.401027,0.391499,0.401027,0.391499,0.406254,0.391499,0.402472,0.158382,0.233252,0.242613,0.254913,0.185117,0.202739,0.220313,0.22673
1,0.128026,0.250034,0.2519,0.250452,0.161132,0.199226,0.212676,0.2368,0.410754,0.404726,0.413218,0.4120359999999999,0.4099359999999999,0.411954,0.404726,0.412308,0.404726,0.413318,0.404726,0.413318,0.172326,0.25043,0.251178,0.2638,0.2,0.20886,0.22616,0.244052
2,0.1391389999999999,0.2552,0.256639,0.2654,0.184512,0.2076339999999999,0.22339,0.245778,0.417808,0.410908,0.419381,0.417327,0.413535,0.417808,0.410908,0.419627,0.410908,0.421108,0.410908,0.419627,0.182234,0.262534,0.272039,0.269956,0.209634,0.216751,0.2316,0.253639
3,0.148224,0.258804,0.262852,0.270408,0.1979,0.216856,0.2363,0.251252,0.427972,0.417016,0.424336,0.42098,0.4196,0.427972,0.417016,0.428436,0.417016,0.428772,0.417016,0.427516,0.19266,0.277352,0.274804,0.289052,0.216908,0.228608,0.239776,0.263152
4,0.157795,0.262965,0.266365,0.27293,0.207585,0.224065,0.242965,0.2534,0.4334,0.4212,0.427035,0.42558,0.422615,0.432945,0.4212,0.433445,0.4212,0.43378,0.4212,0.431635,0.2016649999999999,0.279465,0.28149,0.290765,0.2226,0.23389,0.2534,0.26693
5,0.1661,0.264756,0.2691,0.276,0.214,0.228378,0.248378,0.258134,0.4379,0.425254,0.433,0.431,0.42907,0.4379,0.425254,0.438062,0.425254,0.438562,0.425254,0.435824,0.208478,0.2808779999999999,0.285956,0.2924779999999999,0.225456,0.240478,0.264482,0.276212
6,0.171764,0.266391,0.270682,0.280946,0.2238909999999999,0.231991,0.253082,0.262855,0.443915,0.4318,0.4374,0.437289,0.433789,0.443915,0.4318,0.4439889999999999,0.4318,0.444963,0.4318,0.440252,0.212482,0.283191,0.290264,0.293782,0.233147,0.244691,0.271091,0.280782
7,0.1794,0.2683,0.276008,0.300212,0.2297,0.2365,0.256204,0.268904,0.44716,0.435516,0.443372,0.44316,0.441132,0.44716,0.435516,0.4468,0.435516,0.448672,0.435516,0.444844,0.217604,0.285504,0.293212,0.2953,0.242408,0.2536,0.274904,0.284804
8,0.1868,0.270651,0.286268,0.309587,0.2345,0.2402169999999999,0.258668,0.273251,0.450162,0.441586,0.4473,0.447662,0.445981,0.450162,0.441586,0.449962,0.441586,0.452581,0.441586,0.447962,0.2231169999999999,0.287617,0.2958,0.297868,0.248468,0.2618,0.278751,0.288134
9,0.19406,0.2791,0.29992,0.31533,0.23713,0.24543,0.26342,0.2783299999999999,0.45367,0.44437,0.45076,0.4502899999999999,0.44946,0.45367,0.44437,0.4536799999999999,0.44437,0.45468,0.44437,0.45167,0.22732,0.29174,0.2985,0.3005,0.25539,0.26699,0.28276,0.28953
