percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
10,0.100498,0.1339,0.140198,0.1445,0.118449,0.123898,0.1315,0.132449,0.1502,0.161754,0.156177,0.1583,0.160577,0.15,0.161754,0.150177,0.161754,0.151,0.161754,0.153554,0.0319,0.054249,0.0552,0.0555,0.0387,0.040249,0.0448,0.0491
11,0.103708,0.134808,0.143708,0.1455,0.1211,0.1266159999999999,0.133008,0.133808,0.152468,0.1642,0.1568,0.159484,0.1618,0.1522,0.1642,0.1518,0.1642,0.153484,0.1642,0.154768,0.033008,0.055,0.0554,0.056,0.0396,0.0412,0.0455,0.050208
12,0.105634,0.137768,0.144867,0.1462,0.1228,0.1283669999999999,0.1341,0.1346,0.1543,0.1654,0.158391,0.161,0.163482,0.1543,0.1654,0.153891,0.1654,0.154482,0.1654,0.1560909999999999,0.034667,0.0564,0.0557,0.0568,0.0407,0.0418,0.045967,0.051067
13,0.107926,0.141,0.1462,0.147,0.125026,0.131678,0.1356,0.1356,0.1554,0.1666959999999999,0.1594,0.162298,0.164798,0.1556,0.1666959999999999,0.155398,0.1666959999999999,0.155796,0.1666959999999999,0.157698,0.0356,0.056926,0.056226,0.0572,0.0415,0.0429,0.0465,0.0522
14,0.1092549999999999,0.1446849999999999,0.1472849999999999,0.1477849999999999,0.12787,0.133285,0.1369,0.1373849999999999,0.156905,0.167805,0.160805,0.1638,0.166,0.157,0.167805,0.156705,0.167805,0.1568,0.167805,0.15891,0.0364,0.0576,0.056785,0.058185,0.0423699999999999,0.044,0.0476,0.0534
15,0.1115,0.147488,0.1484,0.1489,0.129544,0.1346,0.1388,0.139344,0.1578,0.1688,0.1622,0.164712,0.167012,0.158012,0.1688,0.1578,0.1688,0.1584,0.1688,0.1604,0.0374,0.058,0.0573,0.0592,0.0433,0.0458,0.0496,0.055244
16,0.113303,0.1484,0.1489,0.1496,0.131703,0.136,0.1401,0.142303,0.1597,0.1697,0.1638,0.166319,0.168,0.1598,0.1697,0.1598,0.1697,0.160019,0.1697,0.1621189999999999,0.0382,0.058203,0.0577,0.060206,0.044,0.0473,0.051106,0.0564
17,0.115424,0.150624,0.1495,0.150962,0.133162,0.1372,0.1412,0.144986,0.1604259999999999,0.170226,0.165052,0.167,0.168852,0.1608,0.170226,0.160526,0.170226,0.1618,0.170226,0.163252,0.039162,0.0587,0.0581,0.0616,0.0445,0.0478,0.052962,0.057462
18,0.118263,0.151721,0.1508209999999999,0.152721,0.134542,0.1387209999999999,0.1435209999999999,0.148005,0.1618,0.1714,0.166433,0.168066,0.17,0.161833,0.1714,0.1618,0.1714,0.1628,0.1714,0.164833,0.039821,0.0591,0.0593,0.0637,0.045421,0.0482419999999999,0.0539,0.0582
19,0.12038,0.1529,0.15276,0.1545,0.1357,0.1402,0.1452,0.15106,0.1629,0.1726,0.1678,0.1694,0.1709,0.1628,0.1726,0.16284,0.1726,0.164,0.1726,0.1662799999999999,0.0406,0.0592,0.06008,0.0646,0.04668,0.0493,0.0547,0.0593
20,0.1224389999999999,0.1538,0.155078,0.1574,0.1376,0.1423,0.1467,0.153378,0.163847,0.1740469999999999,0.169,0.170347,0.1723879999999999,0.1639469999999999,0.1740469999999999,0.1638,0.1740469999999999,0.1654,0.1740469999999999,0.1676,0.0416389999999999,0.0595,0.0606,0.0657,0.0474,0.050539,0.056339,0.059939
21,0.124198,0.154898,0.158298,0.1586,0.1389,0.1439959999999999,0.1488,0.156894,0.1652,0.174908,0.170154,0.172,0.174,0.165308,0.174908,0.165,0.174908,0.166854,0.174908,0.1688,0.0423,0.0598,0.0618,0.0666,0.0483,0.051798,0.057098,0.060898
22,0.126057,0.1569,0.159871,0.159871,0.140357,0.1456,0.150157,0.157957,0.1661,0.176222,0.172,0.1738,0.174822,0.166561,0.176222,0.166261,0.176222,0.1679,0.176222,0.170061,0.043157,0.060457,0.0625,0.067457,0.0495,0.052757,0.058,0.0618
23,0.128716,0.1608,0.1611,0.163,0.142,0.1466,0.151948,0.1593159999999999,0.167368,0.177368,0.1735,0.175,0.176336,0.1677,0.177368,0.1677,0.177368,0.169568,0.177368,0.171536,0.0440159999999999,0.0612,0.0633,0.068716,0.0506159999999999,0.0535159999999999,0.0595,0.0635
24,0.13075,0.1632,0.162575,0.1651,0.143275,0.1479,0.1544,0.160975,0.1686,0.1784,0.174275,0.17625,0.177775,0.1687,0.1784,0.1687,0.1784,0.1708,0.1784,0.1726,0.0447,0.061775,0.066475,0.069875,0.0515749999999999,0.055,0.0601,0.064375
25,0.1324,0.164234,0.1653,0.1662,0.145134,0.149,0.156634,0.161834,0.1698,0.179282,0.175582,0.177382,0.1787,0.169882,0.179282,0.1696,0.179282,0.171682,0.179282,0.173682,0.045334,0.062904,0.068434,0.0705,0.0527,0.0562,0.061,0.0648
26,0.134093,0.165,0.166,0.167093,0.1466,0.1509,0.157886,0.162893,0.170578,0.180089,0.176389,0.1781,0.1794,0.1707,0.180089,0.1703889999999999,0.180089,0.1726,0.180089,0.1746,0.0462,0.0653,0.069593,0.0713,0.0538,0.0572,0.0616,0.0651
27,0.135752,0.166452,0.1669,0.167752,0.148152,0.152,0.1593,0.1639,0.171596,0.1811,0.1774,0.1788,0.1802959999999999,0.171596,0.1811,0.171,0.1811,0.173392,0.1811,0.1754,0.047252,0.066852,0.0707,0.0719,0.0549,0.058152,0.0625,0.065252
28,0.1377109999999999,0.1674109999999999,0.167811,0.1687,0.1503,0.1533,0.162,0.1651,0.1724,0.182003,0.178003,0.1795,0.181003,0.1727,0.182003,0.172,0.182003,0.1742,0.182003,0.1758,0.0484109999999999,0.0678,0.0715,0.0727,0.0556219999999999,0.0592,0.0632,0.0655
29,0.1394,0.16827,0.169,0.1693,0.1516,0.1548,0.1634,0.16607,0.17361,0.1829,0.1786,0.18021,0.1818,0.1737,0.1829,0.1733,0.1829,0.17501,0.1829,0.17661,0.0497,0.0685,0.0717,0.07357,0.0563,0.0598,0.065,0.06577
30,0.140929,0.1687,0.1703,0.1699,0.152829,0.156858,0.1645,0.167029,0.1748,0.183417,0.1792,0.1808,0.1823,0.1746,0.183417,0.1741,0.183417,0.175917,0.183417,0.177634,0.050529,0.07,0.0723,0.0746,0.0571289999999999,0.0608,0.0665,0.0663
31,0.1424,0.1691879999999999,0.1714,0.1704,0.1537,0.1578,0.165188,0.168088,0.1758,0.1842,0.1798,0.1816,0.1828,0.1754,0.1842,0.1752,0.1842,0.1768,0.1842,0.1787,0.051388,0.0711,0.073288,0.0754,0.0579,0.0614,0.067776,0.067188
32,0.1445,0.169647,0.1718,0.171,0.1555,0.1591,0.166347,0.169047,0.176662,0.1846,0.1805,0.1821,0.1834,0.1764,0.1846,0.176,0.1846,0.177462,0.1846,0.1794,0.052147,0.0721,0.0738,0.0765,0.058847,0.0623,0.0687,0.0679
33,0.145906,0.1707,0.172406,0.171306,0.156612,0.1602,0.167806,0.170106,0.1778,0.1854,0.1813,0.1826,0.184,0.1771,0.1854,0.176738,0.1854,0.1782,0.1854,0.1799,0.053106,0.0727,0.0753,0.0779,0.0598,0.0629,0.0694,0.068712
34,0.1476,0.1719649999999999,0.1728,0.172,0.157865,0.1621,0.1692,0.1717,0.1785,0.186,0.182,0.183245,0.184545,0.1783,0.186,0.1778,0.186,0.1788449999999999,0.186,0.1805,0.054265,0.0732,0.0762,0.07903,0.0607,0.063765,0.069765,0.0706649999999999
35,0.149124,0.1727,0.1732,0.172724,0.1593,0.164224,0.1706,0.1725,0.1798519999999999,0.1864,0.1826,0.183852,0.185,0.179552,0.1864,0.178752,0.1864,0.1796,0.1864,0.1812,0.054924,0.0739,0.0775,0.0796,0.061924,0.0649,0.0702,0.0715
36,0.151383,0.1736,0.1739,0.1731,0.160183,0.166266,0.171966,0.1733,0.181118,0.187,0.1832,0.184459,0.1856,0.1806,0.187,0.1798,0.187,0.1806,0.187,0.181759,0.0558,0.0746,0.0781,0.0802,0.062866,0.0657,0.0706,0.0725
37,0.153284,0.1749,0.1744419999999999,0.1735,0.1618419999999999,0.168042,0.1732,0.1745,0.182,0.1876,0.183832,0.1852,0.1862,0.1819,0.1876,0.1808,0.1876,0.1814,0.1876,0.1826,0.0565,0.075442,0.0785,0.080442,0.063842,0.066542,0.0714419999999999,0.0732
38,0.154502,0.1757,0.1751,0.173901,0.163301,0.17,0.1743,0.1753,0.182973,0.188273,0.184373,0.185873,0.187073,0.182773,0.188273,0.1817,0.188273,0.1822,0.188273,0.1833,0.057701,0.077201,0.079401,0.0807,0.0652,0.0675,0.072303,0.074201
