percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.162537,0.323179,0.351716,0.357958,0.2231,0.256558,0.277601,0.308795,0.3216,0.3606999999999999,0.361375,0.367525,0.364175,0.321625,0.3606999999999999,0.324675,0.3606999999999999,0.3376,0.3606999999999999,0.35555,0.248858,0.318279,0.318379,0.319679,0.268895,0.286032,0.289016,0.3013949999999999
1,0.183232,0.34559,0.367832,0.365964,0.2405,0.271716,0.303758,0.323074,0.34145,0.37485,0.37805,0.37995,0.38265,0.34145,0.37485,0.34425,0.37485,0.35005,0.37485,0.3689,0.26349,0.3256,0.325948,0.326102,0.287448,0.29588,0.309648,0.323132
2,0.200237,0.3581,0.373374,0.375737,0.254133,0.283518,0.317385,0.331437,0.35285,0.38285,0.38695,0.38855,0.3894,0.35285,0.38285,0.3566,0.38285,0.36425,0.38285,0.378775,0.273937,0.330074,0.34,0.344511,0.295774,0.304074,0.324748,0.331511
3,0.213448,0.370164,0.3776,0.381016,0.264832,0.2916,0.33138,0.342964,0.3603,0.3894,0.3958,0.3956,0.3959,0.3615,0.3894,0.3627,0.3894,0.3784,0.3894,0.392,0.285432,0.341816,0.350832,0.350316,0.302516,0.309036,0.33454,0.3364
4,0.222995,0.374995,0.380595,0.38977,0.2772799999999999,0.296695,0.33769,0.352295,0.369025,0.397125,0.40175,0.40045,0.401175,0.369525,0.397125,0.3706,0.397125,0.390725,0.397125,0.398625,0.293365,0.349095,0.354195,0.36712,0.308995,0.32067,0.34329,0.3389
5,0.231074,0.3845739999999999,0.38537,0.3977739999999999,0.2857179999999999,0.302174,0.344496,0.3600219999999999,0.3787,0.4049,0.40585,0.4066999999999999,0.4077,0.38035,0.4049,0.3799,0.4049,0.40055,0.4049,0.4034999999999999,0.3008,0.359722,0.369096,0.372644,0.315822,0.3266,0.3494219999999999,0.3513739999999999
6,0.241006,0.3948,0.394053,0.4094,0.294406,0.308877,0.351059,0.3685,0.3939,0.410675,0.410625,0.41145,0.412875,0.393425,0.410675,0.3951,0.410675,0.407975,0.410675,0.409225,0.306124,0.365459,0.375753,0.384706,0.3222529999999999,0.3339,0.353653,0.357912
7,0.247696,0.397432,0.397564,0.415132,0.300132,0.3172,0.356132,0.382584,0.3996,0.4152,0.4154,0.4156,0.4171,0.3994,0.4152,0.4016,0.4152,0.4157,0.4152,0.4143,0.312896,0.3702,0.388496,0.390164,0.329,0.3414,0.3570319999999999,0.362132
8,0.254388,0.403222,0.400811,0.426675,0.308122,0.327133,0.362622,0.395622,0.4107,0.42085,0.4218,0.419975,0.422975,0.410525,0.42085,0.40935,0.42085,0.4212,0.42085,0.4205,0.321,0.3779,0.3923109999999999,0.393,0.3357,0.347966,0.3607,0.364811
9,0.26337,0.40888,0.41252,0.4362,0.31239,0.33723,0.36743,0.4008899999999999,0.4178,0.42605,0.42665,0.42495,0.427,0.41765,0.42605,0.41725,0.42605,0.42695,0.42605,0.427,0.32609,0.395,0.3942,0.3963899999999999,0.34227,0.35269,0.36578,0.37299
