percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.028094,0.0,0.0,0.0,0.031576,0.031328,0.0352,0.0313,0.324848,0.317892,0.324848,0.324796,0.3241839999999999,0.324848,0.325696,0.324848,0.325148,0.324848,0.317892,0.324848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.049476,0.261364,0.260824,0.0,0.054828,0.056908,0.221876,0.244484,0.3318,0.3237919999999999,0.3318,0.331796,0.331672,0.3318,0.329792,0.3318,0.328892,0.3318,0.323896,0.3318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.095528,0.272614,0.278828,0.278014,0.188592,0.2141,0.256426,0.269,0.3363,0.328744,0.3363,0.3363,0.336088,0.3363,0.333544,0.3363,0.333544,0.3363,0.328044,0.3363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.146396,0.281952,0.283004,0.2821559999999999,0.21578,0.232424,0.271328,0.280208,0.3428839999999999,0.33336,0.3429,0.342868,0.34108,0.3428839999999999,0.3388919999999999,0.3428839999999999,0.3378759999999999,0.3428839999999999,0.331584,0.3428839999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.17674,0.29057,0.29219,0.2899,0.22913,0.24916,0.28171,0.28446,0.34748,0.33792,0.34748,0.3471599999999999,0.3459,0.34748,0.34628,0.34748,0.34218,0.34748,0.33784,0.34748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.191356,0.295,0.295084,0.2961,0.243956,0.264528,0.289556,0.294356,0.3568679999999999,0.344764,0.355804,0.3544,0.354076,0.3568679999999999,0.351552,0.3568679999999999,0.3559,0.3568679999999999,0.348576,0.3568679999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.20333,0.302666,0.32433,0.332794,0.252732,0.273598,0.2957,0.302266,0.367932,0.353272,0.367932,0.367996,0.369708,0.367932,0.37162,0.367932,0.376616,0.368808,0.36098,0.369108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.213908,0.33302,0.344624,0.34826,0.258704,0.283632,0.304412,0.308204,0.377156,0.363384,0.380484,0.3805,0.381368,0.377156,0.3816879999999999,0.377156,0.3825719999999999,0.377384,0.370884,0.379256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.222942,0.356142,0.368426,0.36413,0.263642,0.292142,0.314684,0.320252,0.388364,0.371092,0.389332,0.3899519999999999,0.389132,0.388364,0.388464,0.388364,0.387496,0.3883959999999999,0.377032,0.388696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.23372,0.36506,0.37476,0.37524,0.26882,0.29788,0.3201799999999999,0.3568,0.3942799999999999,0.3775799999999999,0.3959,0.39474,0.39456,0.3942799999999999,0.39234,0.3942799999999999,0.39,0.3942799999999999,0.38138,0.39498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
