percentiles,hv10,hv120,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv20,phv30,phv60,phv90
0,0.0197,0.2371,0.021809,0.02286,0.203,0.230339,0.252438,0.292176,0.283856,0.288076,0.289852,0.252438,0.292176,0.25383,0.292176,0.268594,0.292176,0.275836,0.269961,0.299658,0.291545,0.294629,0.297929,0.270716,0.299658,0.271403,0.299658,0.280729,0.299658,0.287329,0.2633,0.302193,0.292662,0.295631,0.299493,0.264062,0.302193,0.268217,0.302193,0.2805,0.302193,0.2887,0.0172,0.259014,0.02404,0.0235,0.108601,0.2004
1,0.031838,0.251008,0.03251,0.16926,0.21316,0.236778,0.267428,0.298104,0.2911,0.293528,0.295956,0.270484,0.298104,0.271804,0.298104,0.280752,0.298104,0.286676,0.278058,0.303758,0.296132,0.2995,0.301816,0.278158,0.303758,0.279958,0.303758,0.288074,0.303758,0.292016,0.275754,0.307748,0.298424,0.3023,0.305758,0.2781099999999999,0.307748,0.2792099999999999,0.307748,0.289062,0.307748,0.2944,0.032836,0.265476,0.0359199999999999,0.1567259999999999,0.214286,0.2533
2,0.0920159999999999,0.253854,0.151566,0.18614,0.2191,0.2448169999999999,0.274914,0.3028,0.2955,0.29827,0.300928,0.276928,0.3028,0.280642,0.3028,0.286156,0.3028,0.291584,0.286674,0.310174,0.301696,0.304535,0.307587,0.287787,0.310174,0.289087,0.310174,0.293635,0.310174,0.2975609999999999,0.281593,0.314465,0.304765,0.307565,0.310886,0.2829859999999999,0.314465,0.287779,0.314465,0.2948719999999999,0.314465,0.299079,0.1701,0.2709,0.198628,0.204643,0.230983,0.2618999999999999
3,0.117912,0.2562439999999999,0.165796,0.19778,0.22562,0.251992,0.281764,0.3083599999999999,0.302616,0.3052,0.3069759999999999,0.282804,0.3083599999999999,0.285852,0.3083599999999999,0.292,0.3083599999999999,0.297456,0.290716,0.315876,0.309832,0.312416,0.314564,0.291416,0.315876,0.29468,0.315876,0.299044,0.315876,0.307016,0.286824,0.32012,0.311972,0.314672,0.317724,0.289948,0.32012,0.294472,0.32012,0.299968,0.32012,0.3081959999999999,0.184812,0.2741,0.209268,0.212448,0.2488199999999999,0.2646
4,0.125145,0.2592899999999999,0.174505,0.2061,0.2322,0.25569,0.2862,0.32069,0.3114,0.31527,0.31779,0.2869899999999999,0.32069,0.2899,0.32069,0.29807,0.32069,0.30466,0.29429,0.33129,0.32227,0.328245,0.33079,0.29429,0.33129,0.297845,0.33129,0.306235,0.33129,0.31386,0.293465,0.3299,0.3196549999999999,0.325655,0.328875,0.294975,0.3299,0.29891,0.3299,0.306865,0.3299,0.31312,0.19357,0.27649,0.21394,0.22003,0.2552049999999999,0.2668
5,0.13497,0.262816,0.182622,0.2109599999999999,0.23506,0.257968,0.2887,0.3247279999999999,0.3167399999999999,0.319528,0.322428,0.290056,0.3247279999999999,0.292084,0.3247279999999999,0.301328,0.3247279999999999,0.3102,0.297874,0.3346,0.32897,0.332074,0.333748,0.298774,0.3346,0.300974,0.3346,0.3103,0.3346,0.321174,0.296672,0.336,0.329,0.333644,0.3347,0.297786,0.336,0.301572,0.336,0.310472,0.336,0.321172,0.202536,0.280842,0.218128,0.2292,0.258332,0.27168
6,0.1425229999999999,0.265726,0.189518,0.21672,0.2415199999999999,0.2595,0.291398,0.328228,0.32193,0.325498,0.3272319999999999,0.292,0.328228,0.2955,0.328228,0.304866,0.328228,0.314866,0.300903,0.3369029999999999,0.3329,0.3344029999999999,0.335612,0.301406,0.3369029999999999,0.303706,0.3369029999999999,0.3132,0.3369029999999999,0.324006,0.299534,0.340217,0.334485,0.3369169999999999,0.339317,0.3006169999999999,0.340217,0.303817,0.340217,0.313702,0.340217,0.326651,0.207892,0.2858,0.222016,0.238267,0.263327,0.27508
7,0.14706,0.269744,0.1957,0.2224799999999999,0.24438,0.2614,0.293808,0.3317,0.3269,0.330004,0.332,0.29482,0.3317,0.298708,0.3317,0.308908,0.3317,0.318512,0.303932,0.3385,0.3348319999999999,0.337,0.338132,0.3046,0.3385,0.306064,0.3385,0.316232,0.3385,0.326864,0.302096,0.3428,0.3374,0.34044,0.3419,0.3026,0.3428,0.306748,0.3428,0.317736,0.3428,0.3298,0.211612,0.2896559999999999,0.2256,0.246192,0.2666,0.27866
8,0.1516,0.2751,0.2008319999999999,0.22502,0.24678,0.263351,0.2979259999999999,0.334342,0.330442,0.333542,0.3342259999999999,0.298868,0.334342,0.300826,0.334342,0.311984,0.334342,0.323942,0.306161,0.3405,0.3361,0.3388609999999999,0.340144,0.306961,0.3405,0.309322,0.3405,0.3182,0.3405,0.331183,0.305658,0.344979,0.339679,0.342879,0.3441,0.306632,0.344979,0.308979,0.344979,0.321279,0.344979,0.332916,0.2156,0.292071,0.231592,0.252619,0.268949,0.28042
9,0.15586,0.27908,0.20548,0.2294,0.2513,0.26509,0.30062,0.3366,0.33308,0.3355,0.3366,0.3007,0.3366,0.30428,0.3366,0.31448,0.3366,0.3267,0.3091899999999999,0.34249,0.3376,0.3408,0.3418899999999999,0.30979,0.34249,0.31209,0.34249,0.32097,0.34249,0.333,0.3087,0.3477,0.34271,0.3449,0.34643,0.30891,0.3477,0.3106,0.3477,0.32301,0.3477,0.33591,0.21899,0.29368,0.23682,0.25731,0.2709,0.2835
