percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0018,0.0,0.0,0.0,0.0024,0.0026,0.0026,0.0026,0.0162,0.019519,0.0171,0.017219,0.017919,0.0162,0.0188,0.016219,0.0193,0.0165,0.019519,0.016619,0.0021,0.0,0.0,0.0,0.0022,0.0023,0.0025,0.0025
1,0.0024,0.0028,0.0029,0.0029,0.002692,0.0028,0.002792,0.0028,0.0171,0.0207,0.0177,0.0181,0.0187,0.0171,0.0198,0.0171,0.0204,0.0171,0.0207,0.017338,0.0023,0.0026,0.0027,0.0027,0.0024,0.0025,0.0026,0.0026
2,0.0026,0.003,0.003,0.0032,0.0029,0.0029,0.003,0.003,0.0176,0.021557,0.018157,0.0186,0.0191569999999999,0.0176,0.0203,0.017657,0.0211,0.0178,0.0216,0.0179,0.0024,0.0028,0.0028,0.0028,0.0026,0.0026,0.0027,0.0027
3,0.0028,0.0033,0.0035,0.003584,0.0031,0.0031,0.0032,0.0032,0.0182,0.0223,0.0186,0.0191,0.0196,0.0182,0.020676,0.0182,0.0219,0.0183,0.0223,0.0184,0.0026,0.0029,0.0029,0.0029,0.0027,0.0028,0.0028,0.0028
4,0.0029,0.00373,0.0038,0.0039,0.0033,0.0033,0.0034,0.0036,0.018695,0.0228,0.0191,0.0194,0.0201,0.018695,0.0209,0.0187,0.022495,0.0189,0.0228,0.0189,0.0027,0.003,0.003,0.003,0.0029,0.003,0.0029,0.0029
5,0.0032,0.004,0.0041,0.004,0.0035,0.0035,0.0039,0.0039,0.019114,0.0233,0.0194,0.0197,0.020414,0.019114,0.0213,0.0192,0.0228,0.0193,0.023314,0.0193,0.0029,0.0032,0.0031,0.0031,0.0030759999999999,0.0031,0.0031,0.0032
6,0.0033,0.0042,0.0042,0.0042,0.0037,0.0037,0.004,0.0041,0.0195,0.0237,0.019733,0.020133,0.0208,0.0195,0.0216,0.0195,0.023,0.0196,0.0238,0.0197,0.0031,0.003222,0.0033,0.0033,0.0032,0.0032,0.0033,0.0033
7,0.0035,0.0045,0.0044,0.0043,0.0038,0.0039,0.0041,0.004268,0.0198,0.0242,0.0201,0.0205,0.021,0.0198,0.021952,0.0198,0.0233,0.0198,0.0243,0.02,0.0032,0.0033,0.0034,0.0034,0.0033,0.0033,0.0035,0.0034
8,0.0036,0.0047,0.0046,0.0048,0.004,0.0042,0.0043,0.0046,0.0202,0.024671,0.020571,0.020971,0.0214,0.0202,0.0223,0.0202,0.0236,0.0203,0.0247,0.0204,0.0033,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
9,0.0038,0.0048,0.0049,0.0049,0.0043,0.0044,0.00456,0.005,0.0206,0.0252,0.021,0.0214,0.0216,0.0206,0.0226,0.0206,0.0238,0.02079,0.02529,0.0209,0.0035,0.0037,0.0036,0.0037,0.0037,0.0037,0.0037,0.0036
10,0.004,0.0051,0.0051,0.005,0.0045,0.0046,0.0049,0.0051,0.0209089999999999,0.0256,0.0215,0.0216,0.0219089999999999,0.021,0.0228,0.021,0.0242,0.021009,0.0257,0.0213,0.0036,0.0038,0.0038,0.0039,0.0038,0.0038,0.0039,0.0039
11,0.0042,0.0053,0.0052,0.0051,0.0046,0.0048,0.0052,0.0052,0.0213,0.026,0.0219,0.022,0.0223,0.0213279999999999,0.0231,0.0213279999999999,0.0244,0.0214,0.026,0.0215,0.0038,0.0043,0.0044,0.0045,0.0039,0.004,0.004,0.0041
12,0.0044,0.0054,0.0052,0.0053,0.0048,0.005,0.0054,0.005498,0.021547,0.026547,0.0222,0.0224,0.022647,0.0216,0.0235,0.0216,0.024647,0.021647,0.0266,0.0219,0.004,0.0045,0.0048,0.0049,0.0041,0.0042,0.0042,0.0044
