percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.06191,0.0,0.0,0.0,0.090895,0.09407,0.0,0.0,0.154444,0.175136,0.158284,0.165388,0.177056,0.1569,0.176376,0.159492,0.175136,0.164052,0.175136,0.16642,0.108068,0.0,0.0,0.0,0.11712,0.1168,0.0,0.0
1,0.074336,0.0,0.0,0.0,0.102434,0.1068279999999999,0.091548,0.0,0.162104,0.186768,0.179172,0.18304,0.185436,0.164408,0.186768,0.166304,0.186768,0.177668,0.186768,0.179444,0.1163,0.0,0.0,0.0,0.1248799999999999,0.129528,0.116458,0.0
2,0.0818299999999999,0.0,0.0,0.0,0.107519,0.1158,0.1127,0.0953079999999999,0.166852,0.191252,0.186104,0.188052,0.1924519999999999,0.168456,0.191252,0.171952,0.191252,0.183252,0.191252,0.1872039999999999,0.123352,0.0,0.0,0.0,0.1344,0.137556,0.133677,0.121324
3,0.0866,0.0,0.0,0.0,0.112256,0.122304,0.129496,0.128472,0.172136,0.198588,0.190772,0.195708,0.2005,0.174416,0.199436,0.177836,0.198588,0.1873,0.198588,0.193144,0.1265679999999999,0.0,0.0,0.0,0.13882,0.143,0.1436,0.133688
4,0.0909099999999999,0.127785,0.0,0.0,0.11579,0.1268,0.133305,0.1383,0.1779,0.20194,0.19648,0.2001,0.2039,0.17858,0.20252,0.1825,0.20194,0.19096,0.20194,0.19848,0.12931,0.1389,0.0,0.0,0.1423,0.1471,0.145885,0.14828
5,0.094252,0.138572,0.1328,0.13227,0.1194,0.130328,0.140822,0.142616,0.1815159999999999,0.2061,0.2006,0.203016,0.208,0.183808,0.206604,0.1855,0.2061,0.1959159999999999,0.2061,0.202408,0.132852,0.1524839999999999,0.145296,0.144628,0.14534,0.149856,0.148522,0.151116
6,0.0982,0.144168,0.13911,0.1361,0.123019,0.132966,0.144459,0.1459,0.1855,0.209976,0.205376,0.206688,0.210076,0.187088,0.209976,0.188288,0.209976,0.1992,0.209976,0.204488,0.1356,0.155424,0.150912,0.1468,0.1478,0.153298,0.150495,0.1532
7,0.101108,0.148544,0.14592,0.146,0.126112,0.135304,0.146192,0.1473,0.188832,0.212872,0.209244,0.210772,0.212272,0.190072,0.212872,0.193244,0.212872,0.201644,0.212872,0.2073,0.138436,0.158656,0.158556,0.157064,0.15012,0.1554,0.1541,0.1575879999999999
8,0.103478,0.1501579999999999,0.15067,0.148,0.1286,0.1375,0.148133,0.149024,0.192756,0.215068,0.2122,0.2144,0.215256,0.1933,0.215424,0.196856,0.215068,0.204356,0.215068,0.2092,0.140878,0.1600879999999999,0.1612,0.162164,0.15226,0.1571,0.160833,0.1606
9,0.1067,0.1518,0.15295,0.1532,0.13099,0.1405,0.1492699999999999,0.1513,0.19598,0.2189,0.21384,0.21614,0.21774,0.19704,0.21878,0.1993,0.2189,0.20654,0.2189,0.21108,0.14312,0.16134,0.16246,0.16376,0.1542,0.1583,0.1629,0.16268
10,0.109062,0.1550409999999999,0.156,0.15969,0.133029,0.1424,0.1512,0.153492,0.1982479999999999,0.221072,0.2165,0.219024,0.221,0.2005,0.221024,0.202572,0.221072,0.208624,0.221072,0.2133239999999999,0.1448,0.1624519999999999,0.163976,0.164656,0.1557,0.1596,0.165307,0.165192
11,0.1124,0.1583,0.15938,0.1639,0.1356,0.144756,0.153644,0.156832,0.202532,0.2246159999999999,0.2184,0.221808,0.2242,0.203824,0.2246,0.206508,0.2246159999999999,0.210508,0.2246159999999999,0.215908,0.148104,0.1641,0.1651,0.165852,0.15718,0.1609,0.167244,0.1675
12,0.1143,0.1606,0.1653899999999999,0.164905,0.137514,0.1471879999999999,0.1561,0.1588,0.205384,0.227592,0.2196,0.224384,0.2263919999999999,0.2066,0.2275,0.208892,0.227592,0.2117919999999999,0.227592,0.2177,0.15,0.1652,0.166108,0.1672,0.15822,0.163082,0.1688,0.1694
13,0.116588,0.1636,0.16861,0.16769,0.1398,0.149232,0.158636,0.1615,0.2076,0.229676,0.2218,0.226176,0.228452,0.209404,0.229652,0.211304,0.229676,0.214704,0.229676,0.2199,0.151588,0.167948,0.1671,0.1678,0.15936,0.164432,0.17,0.170304
14,0.11913,0.165695,0.17,0.1703,0.1414,0.15107,0.160855,0.1629,0.21032,0.23076,0.2239,0.22782,0.2297,0.21182,0.23096,0.2132,0.23076,0.2173,0.23076,0.22146,0.1531,0.16958,0.16794,0.1687,0.1608,0.1655,0.1714,0.1714
15,0.121272,0.1675,0.17184,0.17152,0.142848,0.152408,0.1629,0.164476,0.2128,0.2329,0.2255,0.229244,0.2314,0.214144,0.233144,0.2154,0.2329,0.2193,0.2329,0.2231,0.1549,0.170912,0.169156,0.170336,0.1625,0.166408,0.172392,0.1723
16,0.123114,0.1723,0.1733,0.173015,0.144363,0.1549,0.1643,0.1661,0.2153,0.234484,0.226984,0.231128,0.2335,0.216384,0.234928,0.218,0.234484,0.221084,0.234484,0.225,0.156914,0.1719,0.171272,0.171432,0.1636,0.167746,0.1731,0.1732
17,0.126112,0.174058,0.1742,0.17553,0.145902,0.1567,0.1663,0.1672,0.218012,0.2370239999999999,0.2295,0.2326,0.234812,0.219012,0.2370239999999999,0.22,0.2370239999999999,0.222936,0.2370239999999999,0.226412,0.158156,0.1726,0.173088,0.1725,0.16482,0.1689,0.1741,0.174
18,0.128198,0.1761,0.176055,0.177,0.147541,0.1577,0.1673,0.1682,0.220196,0.238396,0.230996,0.234092,0.236788,0.221692,0.2383,0.222696,0.238396,0.2253919999999999,0.238396,0.2278,0.159698,0.1732,0.174004,0.1743,0.1657,0.170022,0.174803,0.1749
19,0.13,0.1775,0.1769,0.178,0.14938,0.1592,0.169,0.16974,0.22298,0.24038,0.23238,0.2357,0.23818,0.2241,0.2398,0.2245,0.24038,0.2273,0.24038,0.22966,0.1611,0.1739399999999999,0.17492,0.17572,0.1669,0.1712,0.17554,0.1758
20,0.1314,0.1794,0.1785149999999999,0.1788,0.150719,0.160098,0.1701,0.171856,0.224964,0.2421,0.2336,0.237264,0.2393,0.2256,0.2417639999999999,0.2260279999999999,0.2421,0.228764,0.2421,0.231564,0.1623,0.1749,0.175636,0.1766,0.1683,0.1721,0.1762,0.1765
21,0.133824,0.1801,0.1795,0.1799,0.1523,0.161036,0.171214,0.1737,0.226448,0.243648,0.235348,0.238848,0.241196,0.227092,0.243148,0.228248,0.243648,0.230648,0.243648,0.2335,0.1641,0.175804,0.1765,0.177512,0.16938,0.1735,0.177014,0.177392
22,0.136632,0.181,0.1805,0.1814,0.1539,0.162448,0.1726,0.1755,0.228232,0.2451,0.236832,0.240764,0.2433,0.229,0.244432,0.23,0.2451,0.2319,0.2451,0.2343,0.1656,0.1779,0.1776,0.1789,0.1704,0.174874,0.1779,0.1781
23,0.1389159999999999,0.1823,0.18126,0.1819,0.1558,0.1638,0.1736,0.177028,0.2299159999999999,0.2467,0.238316,0.2422,0.244716,0.2308,0.246,0.2312159999999999,0.2467,0.2337,0.2467,0.235916,0.1671079999999999,0.178868,0.1785,0.1809,0.172,0.176012,0.1787879999999999,0.1795
24,0.1411,0.183475,0.182,0.1825,0.1574,0.1653,0.1749,0.1792,0.2314,0.2481,0.2403,0.2432,0.246,0.232,0.2473,0.2328,0.2481,0.2354,0.2481,0.2379,0.1687,0.1799,0.1796,0.1839,0.1732,0.1768,0.179725,0.1807
25,0.143676,0.1849,0.1827899999999999,0.18337,0.1588,0.1663879999999999,0.176262,0.1807,0.233384,0.249,0.2415,0.244568,0.247784,0.2336,0.248684,0.234184,0.249,0.2367,0.249,0.239684,0.1698,0.1819,0.182916,0.185696,0.1749,0.177788,0.1806,0.1819
26,0.146068,0.1855,0.183605,0.1842,0.16,0.167426,0.177998,0.181672,0.235168,0.2502,0.2429,0.245968,0.249,0.235368,0.249668,0.235836,0.2502,0.2385,0.2502,0.241568,0.1708,0.183164,0.185432,0.187,0.17596,0.1787,0.1819,0.182972
27,0.148376,0.186368,0.18452,0.18516,0.1626,0.168664,0.179036,0.183008,0.2369,0.251352,0.2442,0.2477,0.249852,0.2371,0.251,0.2369,0.251352,0.2409,0.251352,0.2434,0.172276,0.1845,0.1863,0.1887,0.1772,0.1796,0.183136,0.1844
28,0.1506,0.187099,0.1857,0.1864,0.164,0.170102,0.1802,0.1845,0.239936,0.252372,0.246836,0.249136,0.251236,0.24,0.2519,0.2393,0.252372,0.2421,0.252372,0.245436,0.1735,0.186928,0.1870639999999999,0.1893,0.1785,0.1804,0.1841,0.1852
29,0.15296,0.1877,0.18655,0.18735,0.1654,0.1718,0.1819,0.1856799999999999,0.2416,0.2536199999999999,0.249,0.25092,0.2521,0.2416599999999999,0.2529,0.2413,0.2536,0.2436,0.2536199999999999,0.2472799999999999,0.1746,0.1887,0.1881,0.1905,0.1797,0.1811,0.1852,0.1861799999999999
30,0.1549,0.1885,0.1874,0.188445,0.167209,0.1737,0.183194,0.1865,0.2436,0.2551,0.250704,0.2524,0.254,0.243604,0.2544,0.242804,0.2551,0.245004,0.2551,0.2484,0.175702,0.189792,0.1897,0.1913,0.1805,0.1819,0.1861,0.1878
31,0.157344,0.1889,0.1881,0.18934,0.169148,0.175132,0.1845,0.1876,0.2452879999999999,0.256376,0.252,0.253888,0.2551,0.245388,0.255788,0.244688,0.2562,0.246388,0.256376,0.249388,0.177144,0.1907,0.1909,0.191872,0.1817,0.1825,0.187,0.1887
32,0.158672,0.189423,0.1887,0.1903,0.1706,0.1768,0.186321,0.189,0.248216,0.2578,0.253372,0.255516,0.2561,0.247972,0.257672,0.2464,0.2578,0.2483,0.2578,0.251972,0.178386,0.191656,0.192928,0.1929,0.18262,0.183454,0.1882,0.1899
33,0.1605,0.19,0.1898,0.1909,0.1723,0.1784,0.187,0.1905,0.249856,0.259056,0.2546,0.257556,0.258056,0.249612,0.258656,0.2486,0.258956,0.249556,0.259056,0.2529,0.1796,0.192988,0.193844,0.194128,0.1837,0.1843,0.189358,0.1909
34,0.1627,0.1906,0.190725,0.191525,0.1737,0.18003,0.1881,0.1913,0.2516,0.2602,0.25592,0.2587,0.25938,0.25154,0.2599,0.2507,0.2602,0.25154,0.2602,0.2545,0.18047,0.1944,0.1949199999999999,0.1963,0.1851,0.18536,0.1904,0.1921
