percentiles,hv10,hv20,hv30,hv60,phv10,phv20,phv30,phv60,phv90
0,0.0158,0.0195,0.0196,0.0203719999999999,0.0239,0.02322,0.0242,0.029738,0.113473
1,0.0259,0.02278,0.02444,0.104408,0.0334,0.03508,0.0378,0.129666,0.138598
2,0.0414,0.0865,0.09997,0.114354,0.09444,0.10514,0.1224,0.135,0.140885
3,0.06066,0.09292,0.1055,0.118816,0.1038,0.12172,0.1297,0.137376,0.142396
4,0.06945,0.0972,0.1091,0.12219,0.10975,0.1255,0.1323,0.139095,0.143195
5,0.0771999999999999,0.1018,0.1118,0.124,0.11662,0.1285,0.1353599999999999,0.1404,0.1446
6,0.08188,0.1040099999999999,0.11536,0.125926,0.11913,0.13131,0.1378,0.1415,0.146593
7,0.0859,0.10674,0.1184,0.128532,0.1226,0.1336,0.1404,0.1423,0.148484
8,0.0877,0.10987,0.12027,0.1305,0.12497,0.1351,0.14157,0.1444,0.1493
9,0.0929,0.1122,0.1228,0.1328,0.1267,0.1372,0.1432,0.14679,0.15057
10,0.09487,0.1135,0.12463,0.134798,0.12832,0.1388,0.1441,0.1482,0.1522
11,0.09734,0.11556,0.1271,0.1369,0.1299,0.13966,0.14496,0.149128,0.1543
12,0.09987,0.11852,0.1283,0.138168,0.13089,0.1407,0.14639,0.151247,0.155387
13,0.1019,0.12162,0.1296,0.139852,0.1329,0.14202,0.14784,0.1528,0.1568
14,0.10375,0.12355,0.1312,0.142,0.1342,0.1437,0.14875,0.1541,0.1580849999999999
15,0.10558,0.1253,0.1328,0.1436,0.1356,0.1452,0.15018,0.1552,0.159
16,0.1067,0.1269,0.13431,0.145906,0.13711,0.14671,0.151,0.155923,0.1595
17,0.1083399999999999,0.12854,0.13644,0.1478,0.13804,0.1477399999999999,0.15204,0.1567,0.16
18,0.11017,0.1303699999999999,0.1389,0.1488,0.13957,0.14937,0.15317,0.1579,0.1605
19,0.1121,0.1319,0.142,0.15096,0.1409,0.1506,0.1542,0.15878,0.1612
