percentiles,hv10,hv20,hv30,phv10,phv20,phv30
0,0.017208,0.016558,0.029801,0.0283,0.026936,0.030102
1,0.0487,0.0459,0.046202,0.042304,0.049108,0.050204
2,0.1012599999999999,0.195878,0.228603,0.195296,0.2096279999999999,0.218612
3,0.154332,0.214212,0.248712,0.219264,0.226232,0.25226
4,0.1696,0.226835,0.25642,0.23102,0.24804,0.264935
5,0.179844,0.23501,0.264812,0.2406,0.268136,0.290554
6,0.189208,0.243094,0.271228,0.248212,0.280148,0.303028
7,0.197428,0.254892,0.280872,0.2570199999999999,0.291228,0.311696
8,0.202972,0.265326,0.292281,0.267916,0.303132,0.321009
9,0.21058,0.27257,0.3032,0.27416,0.31162,0.32675
10,0.2161,0.279877,0.307622,0.282464,0.317364,0.333755
11,0.223268,0.2854,0.315936,0.2927639999999999,0.3251799999999999,0.338212
12,0.229704,0.291055,0.319226,0.2994,0.329704,0.342026
13,0.235324,0.294294,0.3232,0.304012,0.333472,0.346028
14,0.24162,0.298725,0.325745,0.31034,0.33866,0.3482449999999999
15,0.249856,0.30256,0.328048,0.3154,0.343512,0.3518
16,0.254144,0.308038,0.331,0.319136,0.347016,0.355936
17,0.261364,0.313452,0.333718,0.322388,0.3493,0.3601
18,0.267212,0.317266,0.338619,0.326252,0.352956,0.364
19,0.27202,0.32302,0.3436,0.33076,0.35636,0.36732
20,0.27904,0.329847,0.3482,0.335468,0.3595,0.3709
21,0.2839279999999999,0.335816,0.350466,0.340232,0.3627,0.3726
22,0.287684,0.340644,0.355023,0.344284,0.365784,0.3772459999999999
23,0.2933,0.343568,0.359824,0.347684,0.368892,0.380024
24,0.2983,0.3488,0.362825,0.3512,0.3717,0.3828249999999999
25,0.302808,0.3522,0.367078,0.354024,0.374508,0.3862259999999999
26,0.308016,0.355989,0.371754,0.357632,0.377616,0.388981
27,0.312472,0.360376,0.375828,0.3616,0.380124,0.392628
28,0.315896,0.363,0.379929,0.365396,0.382764,0.396829
29,0.3216,0.3666399999999999,0.38469,0.36868,0.3852,0.40065
30,0.326036,0.37,0.389393,0.372092,0.388348,0.404931
31,0.33138,0.373924,0.39316,0.3741,0.3914,0.408028
32,0.336764,0.378055,0.397633,0.378664,0.3949,0.409833
33,0.340916,0.381938,0.40077,0.3815,0.398472,0.4125
34,0.3463799999999999,0.386945,0.40567,0.38586,0.4023799999999999,0.41497
35,0.3529879999999999,0.390408,0.412108,0.388964,0.406188,0.417472
36,0.35768,0.395459,0.417548,0.392792,0.409596,0.420137
37,0.361308,0.401064,0.426438,0.3971,0.4133,0.423376
38,0.365748,0.404846,0.432151,0.4009479999999999,0.4171,0.4262
39,0.3709,0.41286,0.4412400000000001,0.40406,0.42002,0.43058
40,0.374328,0.417774,0.448282,0.408612,0.423328,0.436023
41,0.378044,0.4235,0.451742,0.412736,0.4273,0.439668
42,0.3833439999999999,0.426701,0.458243,0.416644,0.4316879999999999,0.443243
43,0.38936,0.431908,0.46582,0.421052,0.433904,0.44682
44,0.39436,0.4347,0.4691,0.42642,0.43766,0.450925
45,0.4018,0.43941,0.472584,0.4309480000000001,0.4403,0.454746
46,0.408276,0.4440739999999999,0.4782579999999999,0.434876,0.44438,0.4578
47,0.4132719999999999,0.451636,0.4828,0.4384679999999999,0.448384,0.461548
48,0.417684,0.456129,0.4874,0.441892,0.454,0.465598
49,0.4265,0.4604,0.4917,0.447,0.4618,0.4683
50,0.4346399999999999,0.466485,0.494351,0.450608,0.467016,0.4713
51,0.441464,0.4723,0.498604,0.4534,0.4706,0.474552
52,0.451048,0.476671,0.5011059999999999,0.459172,0.474324,0.478259
53,0.459432,0.483378,0.503154,0.464332,0.4779,0.481554
54,0.4667200000000002,0.4928,0.5059100000000001,0.47088,0.48084,0.4844
55,0.473548,0.4986919999999999,0.509556,0.47578,0.48494,0.4873800000000001
56,0.4808680000000001,0.508897,0.5132140000000001,0.4802800000000001,0.4898480000000001,0.494157
57,0.4861399999999998,0.515048,0.5174639999999999,0.485264,0.4963639999999999,0.498358
58,0.494444,0.5242299999999999,0.5242309999999999,0.490388,0.500572,0.503813
59,0.49998,0.5310400000000001,0.52788,0.49548,0.505,0.51
60,0.504,0.538081,0.5344,0.5039959999999998,0.511588,0.514
61,0.510992,0.5446739999999999,0.542724,0.509692,0.516392,0.5194859999999999
62,0.518312,0.553123,0.5484,0.516004,0.522304,0.5269410000000001
63,0.525224,0.5612480000000001,0.5585960000000002,0.521424,0.526,0.531264
64,0.52976,0.56712,0.5689649999999999,0.52812,0.53324,0.535265
65,0.538828,0.5729100000000001,0.580866,0.534484,0.5410079999999999,0.540066
66,0.545408,0.577638,0.5881339999999999,0.540608,0.5472720000000001,0.5450010000000001
67,0.556444,0.5822,0.5948760000000001,0.546088,0.5523,0.548468
68,0.5645519999999999,0.5899319999999999,0.6079489999999996,0.549304,0.5584,0.5539829999999999
69,0.5733199999999999,0.5938899999999999,0.62408,0.55582,0.56318,0.55924
70,0.5807439999999998,0.601297,0.632142,0.562068,0.5686,0.563342
71,0.588608,0.607228,0.639516,0.5675319999999999,0.572076,0.567844
72,0.597104,0.6181549999999999,0.652073,0.572268,0.576368,0.5726
73,0.6092480000000002,0.634018,0.6597740000000001,0.577576,0.583044,0.5782700000000001
74,0.6275,0.6449,0.667825,0.5878,0.5872,0.5847
75,0.645916,0.664964,0.6788519999999999,0.5938559999999999,0.5943,0.590928
76,0.6590440000000001,0.6822,0.685724,0.601928,0.601316,0.597739
77,0.6681,0.695538,0.693256,0.608924,0.608348,0.6072559999999999
78,0.677628,0.704959,0.7035,0.6140920000000001,0.6166560000000001,0.615574
79,0.69682,0.7128800000000001,0.7143800000000002,0.6235200000000001,0.6257600000000001,0.62424
80,0.711636,0.7283710000000001,0.7253430000000001,0.633796,0.630292,0.628
81,0.730356,0.7413,0.736592,0.643756,0.6391279999999999,0.636992
82,0.74432,0.757686,0.7491089999999999,0.6480319999999998,0.6486,0.643883
83,0.771404,0.7700679999999999,0.768,0.656216,0.6568,0.648652
84,0.7896599999999999,0.790585,0.782055,0.6763599999999999,0.66916,0.6555549999999999
85,0.8036,0.808118,0.801972,0.686676,0.680052,0.665686
86,0.8153680000000001,0.8327979999999998,0.833661,0.697096,0.6899,0.6867309999999999
87,0.8379639999999999,0.852232,0.861576,0.707304,0.70002,0.698756
88,0.8604320000000001,0.86876,0.8930580000000002,0.715912,0.7112120000000001,0.7091450000000001
89,0.8840600000000001,0.8884099999999998,0.9157600000000002,0.72762,0.7194200000000001,0.7241800000000002
90,0.911036,0.9146680000000008,0.938037,0.752308,0.733912,0.741046
91,0.935932,0.947992,0.967056,0.7682160000000001,0.7436720000000001,0.7586040000000002
92,0.9717,0.988118,0.999793,0.7904880000000002,0.765088,0.777486
93,1.0172759999999998,1.0216039999999995,1.0757079999999994,0.817304,0.8079,0.8040619999999996
94,1.05214,1.0914149999999996,1.1033749999999996,0.8515999999999994,0.8309399999999999,0.8270899999999999
95,1.105368,1.185272,1.1364400000000003,0.9063719999999996,0.86474,0.857092
96,1.2718079999999998,1.284379,1.1722789999999998,0.948104,0.91936,0.887485
97,1.569967999999998,1.31699,1.222382,0.9971039999999995,0.955128,0.92739
98,1.7533920000000005,1.3923700000000006,1.301578,1.1072040000000007,1.050160000000001,1.017359
