percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0455,0.0,0.0,0.0,0.0587,0.063914,0.072942,0.0,0.155968,0.15242,0.157896,0.158296,0.155296,0.155968,0.1528479999999999,0.156524,0.15242,0.157896,0.15242,0.158224,0.074157,0.0,0.0,0.0,0.0792,0.082314,0.0840569999999999,0.0
1,0.050342,0.077184,0.0,0.0,0.061356,0.071114,0.0782,0.0786,0.161696,0.159292,0.162848,0.163096,0.1611,0.161696,0.159548,0.161848,0.159292,0.162144,0.159292,0.162248,0.0792,0.086114,0.0,0.0,0.084128,0.0865,0.086814,0.0862
2,0.0555,0.0825,0.0831,0.084,0.067342,0.0753,0.0829,0.0814,0.1663,0.164572,0.167872,0.1674,0.165372,0.1663,0.164816,0.16666,0.164572,0.1677,0.164572,0.167372,0.082442,0.0882,0.0907,0.0919,0.088371,0.0898419999999999,0.090071,0.089771
3,0.058528,0.0844,0.0859,0.088528,0.071456,0.079628,0.087,0.0869,0.1693,0.167796,0.1701919999999999,0.1699,0.168488,0.1693,0.167796,0.1693,0.167796,0.169996,0.167796,0.169996,0.085128,0.095256,0.0942,0.095428,0.091228,0.093356,0.09614,0.096328
4,0.060785,0.091285,0.0934,0.0996,0.07527,0.08367,0.0886,0.0896,0.17232,0.1701,0.1732,0.1723,0.17142,0.17232,0.1701,0.17232,0.1701,0.1729,0.1701,0.17304,0.0874549999999999,0.1000549999999999,0.1082699999999999,0.1082399999999999,0.0931,0.0962,0.1009,0.09977
5,0.063742,0.094468,0.0986,0.1023,0.078342,0.0861,0.0909,0.093742,0.1739,0.173744,0.1745,0.174088,0.173844,0.1739,0.173744,0.1739,0.173744,0.174044,0.173744,0.1742,0.0895,0.107842,0.111242,0.1171,0.094742,0.0979,0.1026,0.104884
6,0.0658,0.097,0.104698,0.1042,0.082098,0.0885,0.094398,0.0978,0.1764,0.176104,0.176268,0.176368,0.176872,0.1764,0.176104,0.1764,0.176104,0.176536,0.176104,0.1764679999999999,0.090699,0.111899,0.116199,0.1186,0.096499,0.100399,0.106493,0.112099
7,0.0679,0.103456,0.106156,0.108056,0.0849,0.089556,0.097156,0.101,0.179068,0.179584,0.1785,0.179384,0.1791,0.179068,0.179584,0.179068,0.179584,0.179068,0.179584,0.179192,0.092956,0.114812,0.117556,0.1191,0.098356,0.102956,0.1094,0.1138
8,0.0701,0.106313,0.1081,0.110013,0.087113,0.092013,0.0999,0.1032,0.1835,0.1828,0.1824279999999999,0.1835,0.182616,0.1835,0.1828,0.183516,0.1828,0.1835,0.1828,0.183116,0.0949,0.1164,0.1185,0.119513,0.1004,0.104813,0.111813,0.115113
9,0.0722,0.10897,0.1102699999999999,0.1136,0.0891,0.09487,0.10231,0.10577,0.1866,0.18508,0.1861,0.1862599999999999,0.18514,0.1866,0.18508,0.1866799999999999,0.18508,0.18716,0.18508,0.1862599999999999,0.0969,0.11757,0.11937,0.1203699999999999,0.1023,0.1072,0.11377,0.11677
10,0.0743,0.109854,0.1125,0.115,0.0923539999999999,0.097254,0.104054,0.107127,0.189692,0.188364,0.189464,0.189864,0.1885,0.189692,0.188364,0.189692,0.188364,0.190592,0.188364,0.1896,0.0984,0.1189,0.120227,0.1211,0.104027,0.108927,0.115927,0.1178
11,0.0767,0.110784,0.1133,0.1160839999999999,0.094,0.0995519999999999,0.1062,0.1084,0.1924,0.190688,0.192164,0.1922,0.1907879999999999,0.1924,0.1907879999999999,0.1924,0.1907879999999999,0.1925,0.190688,0.192164,0.1000839999999999,0.1197,0.1213839999999999,0.1244,0.106284,0.1109,0.1176,0.1188
12,0.078541,0.1121,0.1148,0.117,0.095641,0.101541,0.1077,0.110441,0.1962,0.1925,0.195012,0.194612,0.193,0.1962,0.192524,0.1962,0.192524,0.195936,0.1925,0.195,0.101782,0.121,0.122582,0.1257,0.108,0.1131,0.118641,0.1197
13,0.080798,0.113898,0.1155979999999999,0.1179,0.0979,0.104398,0.109498,0.111398,0.199236,0.194836,0.1989,0.196308,0.196036,0.199236,0.195,0.199236,0.194936,0.198972,0.194836,0.197936,0.1039,0.1218979999999999,0.1246,0.1279,0.1101,0.115096,0.119898,0.120498
14,0.08311,0.115455,0.117255,0.1185,0.09901,0.1061,0.1111,0.112955,0.20292,0.198,0.2009,0.19976,0.1991,0.20272,0.19826,0.20292,0.19812,0.20206,0.198,0.2008599999999999,0.105755,0.123255,0.1263,0.129655,0.112655,0.1175,0.1212,0.1215
15,0.085,0.1164,0.118812,0.1189,0.1002,0.1077,0.1125,0.1154,0.2056,0.203084,0.203684,0.203084,0.203052,0.2056,0.203084,0.205852,0.203084,0.204784,0.203084,0.203684,0.1078,0.1252,0.128712,0.1308,0.114424,0.119512,0.1223,0.1229
