percentiles,hv10,hv20,hv30,hv60,phv10,phv20,phv30,phv60
0,0.035741,0.0411,0.0478,0.0613429999999999,0.046674,0.049039,0.050766,0.06987
1,0.048522,0.055352,0.070862,0.094626,0.05481,0.05879,0.0851659999999999,0.116512
2,0.063707,0.085956,0.084698,0.102217,0.078746,0.1085019999999999,0.113383,0.1268939999999999
3,0.085408,0.118604,0.115364,0.158104,0.118812,0.1248799999999999,0.140832,0.137684
4,0.10223,0.1321,0.129265,0.172045,0.1357249999999999,0.15727,0.1509299999999999,0.1571499999999999
5,0.131546,0.151276,0.174554,0.2108,0.1799279999999999,0.166934,0.174894,0.2411599999999999
6,0.151335,0.174494,0.197031,0.229755,0.215531,0.240449,0.264531,0.2991000000000001
7,0.169212,0.193608,0.211928,0.2412,0.234496,0.26658,0.2787,0.307412
8,0.182745,0.215884,0.232288,0.2806039999999999,0.2557,0.2846,0.292746,0.311808
9,0.1939199999999999,0.2336,0.25055,0.29902,0.2708,0.29519,0.3037,0.31886
10,0.204351,0.243326,0.268782,0.329086,0.284059,0.3034,0.311963,0.327262
11,0.216976,0.265348,0.280588,0.349892,0.294244,0.314576,0.3197879999999999,0.3326039999999999
12,0.2287979999999999,0.284516,0.296396,0.360969,0.302033,0.322407,0.328116,0.3444819999999999
13,0.242366,0.300452,0.314572,0.369766,0.31187,0.33333,0.337124,0.354392
14,0.253775,0.3106,0.33005,0.383495,0.31943,0.34351,0.34258,0.36177
15,0.266756,0.320808,0.345468,0.392008,0.325024,0.349724,0.350824,0.375948
16,0.275988,0.3289,0.362727,0.4008940000000001,0.332191,0.354989,0.358922,0.40027
17,0.2849379999999999,0.336784,0.372394,0.4133799999999999,0.339338,0.3616,0.364482,0.407612
18,0.2902,0.3425,0.384616,0.4346390000000001,0.345974,0.364764,0.373427,0.413962
19,0.29676,0.3528,0.3912,0.45446,0.35134,0.37226,0.3834,0.42016
20,0.3058,0.363888,0.399872,0.472392,0.3568269999999999,0.379,0.391158,0.427982
21,0.313012,0.3740200000000001,0.4033259999999999,0.479586,0.363804,0.383932,0.398752,0.435904
22,0.32,0.388962,0.407218,0.492497,0.3703289999999999,0.389994,0.403659,0.440698
23,0.3269,0.399624,0.4114,0.503936,0.376,0.3973319999999999,0.406892,0.447372
24,0.3335749999999999,0.4065,0.41585,0.514575,0.3828,0.404,0.41115,0.4546
