percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0158,0.197025,0.197175,0.19655,0.01745,0.027325,0.0457,0.17055,0.2388799999999999,0.247768,0.243596,0.245612,0.246948,0.2388799999999999,0.247768,0.2388799999999999,0.247768,0.243396,0.247768,0.243496,0.2597,0.261181,0.262248,0.262248,0.262286,0.2597,0.261181,0.260024,0.261181,0.260186,0.261181,0.262248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0456,0.2004,0.2014,0.2043,0.0637,0.0943,0.15665,0.1878,0.250376,0.2576839999999999,0.257012,0.257192,0.2577759999999999,0.250376,0.2576839999999999,0.250376,0.2576839999999999,0.252752,0.2576839999999999,0.255284,0.266962,0.267548,0.268762,0.2682,0.267548,0.266962,0.267548,0.266962,0.267548,0.266962,0.267548,0.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.071225,0.2018,0.208075,0.210075,0.1099,0.12815,0.177525,0.198075,0.258964,0.2632759999999999,0.262664,0.2627,0.263388,0.258964,0.2632759999999999,0.258964,0.2632759999999999,0.259688,0.2632759999999999,0.2623,0.270343,0.271243,0.2716,0.2716,0.2713,0.270343,0.271243,0.270343,0.271243,0.270943,0.271243,0.271343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.082,0.2061,0.2124,0.2137,0.1245,0.1485,0.1854,0.2039,0.263584,0.268152,0.268152,0.2687839999999999,0.2687,0.263584,0.268152,0.263584,0.268152,0.26432,0.268152,0.266984,0.272524,0.2744479999999999,0.2745,0.274372,0.274324,0.272524,0.2744479999999999,0.272624,0.2744479999999999,0.272924,0.2744479999999999,0.273624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.094025,0.214,0.2181499999999999,0.217425,0.13695,0.1616999999999999,0.190025,0.2095,0.27008,0.27316,0.27368,0.27442,0.27444,0.27024,0.27316,0.27024,0.27316,0.2707799999999999,0.27316,0.27208,0.27521,0.27871,0.2787,0.279315,0.27871,0.27521,0.27871,0.275105,0.27871,0.2758,0.27871,0.2773049999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.10535,0.2184,0.22265,0.22335,0.14675,0.17075,0.1953,0.21205,0.275076,0.2769,0.276952,0.277028,0.277052,0.275252,0.2769,0.2753759999999999,0.2769,0.275252,0.2769,0.2762,0.279558,0.2838,0.2824,0.283172,0.283902,0.279772,0.2838,0.279558,0.2838,0.280144,0.2838,0.281586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.115775,0.2206,0.2251,0.22775,0.152525,0.17585,0.199575,0.215475,0.277316,0.280716,0.280316,0.2805,0.280872,0.277544,0.280716,0.277016,0.280716,0.2779,0.280716,0.279216,0.283367,0.2869669999999999,0.2859669999999999,0.286567,0.2869669999999999,0.283367,0.2869669999999999,0.2834669999999999,0.2869669999999999,0.284767,0.2869669999999999,0.285367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1249,0.2244,0.2272,0.2311,0.1603,0.1796,0.2025,0.2175,0.280936,0.2853,0.283,0.282904,0.2851,0.280936,0.2853,0.2808,0.2853,0.281068,0.2853,0.282136,0.286196,0.2897,0.288548,0.289296,0.289948,0.286196,0.2897,0.286196,0.2897,0.287196,0.2897,0.2884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.12905,0.2268,0.229325,0.233025,0.1653,0.184325,0.205825,0.21945,0.283664,0.2894,0.286,0.287164,0.2886,0.283664,0.2894,0.2843279999999999,0.2894,0.284964,0.2894,0.286128,0.288958,0.2917,0.291058,0.2917,0.292229,0.288958,0.2917,0.288958,0.2917,0.289758,0.2917,0.2909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1333,0.2295,0.2308,0.2367,0.17035,0.18885,0.20935,0.2212,0.28776,0.2917,0.2903,0.29096,0.29122,0.28776,0.2917,0.28776,0.2917,0.28892,0.2917,0.29014,0.2909,0.29401,0.29371,0.29391,0.2943,0.2909,0.29401,0.2909,0.29401,0.2917,0.29401,0.29302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
