percentiles,hv10,hv20,hv30,hv60,hv90,phv10,phv20,phv30,phv60,phv90
50,0.3490600000000001,0.373072,0.3871,0.3880949999999999,0.3882,0.333472,0.333936,0.348416,0.3544,0.35293
51,0.3583,0.377944,0.3926,0.40214,0.3957,0.336872,0.336944,0.351572,0.366676,0.3565799999999999
52,0.3639400000000001,0.3849,0.398608,0.41292,0.404926,0.342908,0.341124,0.356124,0.372824,0.358695
53,0.37182,0.390488,0.4012,0.42105,0.4116,0.3482,0.345788,0.360488,0.378,0.366
54,0.37838,0.39634,0.40628,0.42605,0.41652,0.35274,0.3502200000000001,0.36608,0.38094,0.3749
55,0.383532,0.405196,0.4116,0.43016,0.423684,0.357764,0.357948,0.373016,0.383316,0.3812
56,0.3904680000000002,0.415052,0.4187040000000001,0.432485,0.4292,0.363152,0.366452,0.378952,0.385604,0.387855
57,0.400988,0.4252119999999997,0.4245759999999999,0.4372399999999999,0.4397479999999999,0.3666,0.3735519999999999,0.3892199999999998,0.3877759999999999,0.3925499999999999
58,0.409272,0.432948,0.428848,0.4429949999999999,0.443652,0.370648,0.381172,0.3987,0.390824,0.3962
59,0.4156,0.44014,0.43328,0.4452,0.45198,0.3753,0.3926199999999999,0.40646,0.3932,0.3991
60,0.424176,0.445692,0.439496,0.4486,0.4606479999999999,0.379992,0.40178,0.4098,0.3978,0.4025
61,0.4333279999999999,0.450596,0.446192,0.45517,0.4637,0.3879279999999999,0.4123639999999999,0.414332,0.403132,0.4054899999999999
62,0.445404,0.456612,0.453412,0.46161,0.4683819999999999,0.394536,0.418972,0.4172,0.409512,0.409745
63,0.452804,0.462204,0.463504,0.46578,0.4727,0.3996159999999999,0.4271199999999999,0.4205199999999999,0.414112,0.41618
64,0.4612,0.47178,0.4742,0.473775,0.47906,0.4054,0.43636,0.4245,0.4202,0.422425
65,0.469204,0.479756,0.4828759999999999,0.49371,0.4844,0.413804,0.4426759999999999,0.4283,0.4321,0.427
66,0.481124,0.486612,0.4914200000000001,0.50687,0.491652,0.42586,0.447912,0.43196,0.4414960000000001,0.434605
67,0.491896,0.49404,0.5009440000000001,0.5164799999999999,0.496956,0.434188,0.452596,0.437288,0.451244,0.43976
68,0.4995039999999999,0.5014,0.508384,0.5202,0.504366,0.4421839999999999,0.457084,0.442,0.4597679999999999,0.4443449999999999
69,0.5074799999999999,0.5106799999999998,0.5225799999999996,0.528,0.5103199999999999,0.4596799999999999,0.4641199999999999,0.4499199999999999,0.4675399999999998,0.4502
70,0.5145919999999999,0.520768,0.542136,0.5364549999999999,0.5265219999999997,0.469556,0.469212,0.4588479999999999,0.475624,0.4582149999999999
71,0.520392,0.5352,0.551084,0.54352,0.544624,0.4822959999999998,0.474892,0.4701439999999999,0.4804,0.46592
72,0.530712,0.557124,0.5582280000000001,0.5526249999999999,0.564566,0.493148,0.483896,0.4830959999999999,0.4837,0.47729
73,0.5411,0.5664879999999998,0.568364,0.56882,0.57888,0.5061479999999999,0.4918639999999999,0.4956399999999998,0.4877,0.4893799999999999
74,0.5584,0.5762,0.5778,0.5830249999999999,0.5947,0.5198,0.4973,0.505,0.4974,0.5113
75,0.5737560000000003,0.5877720000000001,0.586972,0.5923999999999998,0.604712,0.527736,0.5088160000000002,0.51968,0.511308,0.53174
76,0.589188,0.5942320000000001,0.594944,0.60399,0.621668,0.537488,0.520748,0.529688,0.5222600000000001,0.54064
77,0.59894,0.603932,0.6018720000000002,0.6237,0.6358520000000001,0.54464,0.5313,0.54184,0.545524,0.5546200000000001
78,0.606944,0.6151080000000001,0.612932,0.639865,0.645518,0.553408,0.5467,0.550764,0.5593720000000001,0.5661700000000001
