percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.008391,0.0158,0.0158,0.0216,0.008373,0.0084,0.0085,0.0116,0.15854,0.16475,0.16475,0.16475,0.16475,0.15854,0.16475,0.15854,0.16475,0.16197,0.16475,0.16407,0.0120369999999999,0.033491,0.036573,0.0432549999999999,0.016455,0.0238,0.031673,0.0342909999999999
1,0.0108,0.0241919999999999,0.0247,0.032728,0.010746,0.0151,0.016582,0.0186,0.16712,0.1692,0.16952,0.1696,0.1693,0.16724,0.1692,0.16724,0.1692,0.16842,0.1692,0.16934,0.0201,0.0387,0.04731,0.048682,0.0283,0.03241,0.0352,0.0362
2,0.015246,0.0269,0.0376,0.138646,0.018573,0.018173,0.021073,0.027473,0.17053,0.17173,0.1722,0.1718,0.17192,0.17066,0.17173,0.17066,0.17173,0.17113,0.17173,0.1718,0.027573,0.050411,0.0515,0.114357,0.037211,0.040746,0.0414,0.040673
3,0.0216,0.123268,0.1366,0.1436,0.023792,0.0244,0.0302,0.039868,0.1744399999999999,0.1762,0.1771,0.17678,0.17684,0.1744399999999999,0.1762,0.17454,0.1762,0.17556,0.1762,0.1759399999999999,0.0396,0.058256,0.1327199999999999,0.133576,0.047164,0.0471,0.047436,0.0568
4,0.02786,0.135755,0.1398,0.1558,0.02823,0.038255,0.047965,0.1244099999999999,0.1775499999999999,0.18035,0.18005,0.1805,0.1805,0.1780499999999999,0.18035,0.17845,0.18035,0.1787,0.18035,0.1789,0.049475,0.14991,0.15141,0.148355,0.056115,0.066465,0.069,0.1294800000000004
5,0.038792,0.138738,0.153038,0.159846,0.05096,0.065022,0.115846,0.128246,0.18106,0.18332,0.18256,0.18348,0.18344,0.18106,0.18332,0.1814,0.18332,0.182,0.18332,0.182,0.068968,0.158392,0.166984,0.16353,0.084042,0.094,0.1434,0.1515
6,0.054548,0.1423,0.158137,0.1625,0.073974,0.0919,0.119311,0.1322,0.18311,0.18828,0.18707,0.1879,0.18828,0.1832,0.18828,0.18428,0.18828,0.18694,0.18828,0.18707,0.115066,0.166137,0.1711,0.1813,0.1285,0.140985,0.151574,0.159011
7,0.061728,0.145528,0.160156,0.1646,0.083796,0.103812,0.128128,0.134628,0.18696,0.19298,0.1917599999999999,0.1925,0.19304,0.187,0.19298,0.1876,0.19298,0.18996,0.19298,0.1916,0.124528,0.1696,0.1744,0.182728,0.137056,0.1459,0.1571,0.163084
8,0.068357,0.149838,0.1623,0.1661,0.0948379999999999,0.1089,0.130819,0.1372,0.18958,0.1953,0.19429,0.195,0.1953,0.18978,0.1953,0.1901,0.1953,0.19269,0.1953,0.1942,0.1291,0.173438,0.178119,0.184,0.1412,0.15,0.1593,0.1685
9,0.07442,0.15356,0.1656,0.1672,0.1,0.1127099999999999,0.13341,0.14001,0.1925,0.1974,0.1956,0.1966,0.1974,0.1929,0.1974,0.193,0.1974,0.195,0.1974,0.1958,0.1341,0.17561,0.1811,0.18541,0.14501,0.15311,0.16191,0.17141
