percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.132991,0.221473,0.237791,0.263328,0.178482,0.176555,0.18684,0.208,0.253049,0.304716,0.29141,0.28973,0.301224,0.253049,0.304716,0.253354,0.304716,0.264421,0.304716,0.277939,0.158746,0.196982,0.1983639999999999,0.2101,0.173591,0.1741909999999999,0.153858,0.187673
1,0.155346,0.239682,0.2713,0.276782,0.195064,0.205264,0.213892,0.223746,0.28071,0.322104,0.312,0.316502,0.318908,0.281218,0.322104,0.281218,0.322104,0.293738,0.322104,0.304812,0.172474,0.204428,0.217648,0.225428,0.185412,0.1918639999999999,0.194446,0.1969
2,0.167465,0.269546,0.282746,0.283119,0.2068,0.230238,0.2226,0.2443,0.2966,0.3303089999999999,0.3216,0.3262029999999999,0.328218,0.2966209999999999,0.3303089999999999,0.297303,0.3303089999999999,0.305112,0.3303089999999999,0.3136029999999999,0.180592,0.22213,0.232292,0.234492,0.1984,0.199073,0.200373,0.2035
3,0.1742,0.282628,0.289476,0.2894,0.216428,0.241064,0.23662,0.2528,0.304008,0.336008,0.328008,0.332408,0.335008,0.305148,0.336204,0.306344,0.336204,0.316204,0.336204,0.322804,0.1905639999999999,0.232128,0.2378,0.2364639999999999,0.204828,0.209248,0.206364,0.2184
4,0.184165,0.288375,0.29371,0.29531,0.23342,0.2473,0.26132,0.26811,0.312405,0.341615,0.33412,0.337505,0.3399,0.31327,0.3419149999999999,0.3166,0.3419149999999999,0.322515,0.341615,0.330605,0.194875,0.2349,0.239255,0.2387,0.209365,0.213655,0.21643,0.22431
5,0.191146,0.293746,0.297384,0.299,0.242482,0.2558,0.272468,0.2775,0.3206299999999999,0.344806,0.338424,0.3412,0.343506,0.322518,0.344906,0.324212,0.344906,0.331,0.344806,0.3358,0.200246,0.238438,0.2404,0.241446,0.216892,0.217146,0.225438,0.2319
6,0.197211,0.298837,0.300511,0.302937,0.250337,0.2614849999999999,0.2795,0.290485,0.3256,0.3499069999999999,0.343007,0.345414,0.3475209999999999,0.328049,0.3500069999999999,0.329949,0.3500069999999999,0.334707,0.3499069999999999,0.339921,0.205874,0.242774,0.2462,0.242937,0.2213,0.2231739999999999,0.233122,0.2420739999999999
7,0.2038,0.301056,0.304128,0.306428,0.2547,0.267556,0.2839279999999999,0.2975,0.331324,0.3528,0.347908,0.349824,0.351032,0.334008,0.352816,0.335216,0.352816,0.339808,0.3528,0.342908,0.2114,0.246928,0.247928,0.246884,0.2244,0.230768,0.241512,0.245256
8,0.209533,0.3041379999999999,0.306819,0.309838,0.2615,0.2715,0.2875379999999999,0.3011379999999999,0.3358089999999999,0.355409,0.350809,0.3524,0.354527,0.3378089999999999,0.355527,0.3394,0.355527,0.343818,0.3555,0.3468,0.2168189999999999,0.2528,0.249719,0.251838,0.229514,0.2403,0.249214,0.249933
9,0.21851,0.30652,0.31091,0.3138,0.26664,0.2755,0.2922,0.30441,0.33941,0.35823,0.3526,0.35542,0.35742,0.3416,0.35862,0.34231,0.35862,0.34781,0.35851,0.35,0.22021,0.25422,0.2521,0.25716,0.23281,0.24441,0.25367,0.25412
10,0.226901,0.3116,0.314001,0.3167009999999999,0.270602,0.2788,0.296902,0.308301,0.342211,0.362933,0.355133,0.358266,0.361377,0.3445109999999999,0.3635,0.3456,0.3635,0.350411,0.363233,0.353611,0.224502,0.2565,0.257102,0.259403,0.238101,0.249502,0.2573,0.2578029999999999
11,0.234768,0.313992,0.3163,0.318276,0.274292,0.281892,0.300476,0.311592,0.3458,0.365336,0.3601,0.363712,0.364836,0.3487,0.366748,0.3496,0.366748,0.353424,0.3656959999999999,0.357024,0.228076,0.258192,0.2596839999999999,0.2616,0.2412919999999999,0.253,0.259192,0.2605
12,0.239883,0.3153,0.318881,0.321983,0.277783,0.284883,0.3039,0.314166,0.3495129999999999,0.373039,0.365426,0.368213,0.370426,0.351426,0.373365,0.352226,0.3747129999999999,0.3575129999999999,0.3742649999999999,0.361091,0.2308,0.260283,0.261449,0.265383,0.245883,0.255383,0.2617,0.2619
13,0.245822,0.317074,0.321274,0.324474,0.282874,0.290122,0.307322,0.3165,0.352642,0.380456,0.369428,0.373442,0.3766,0.354714,0.3788,0.356056,0.3808,0.361514,0.381814,0.3655,0.234674,0.262074,0.2636,0.2675,0.2487,0.256848,0.2639,0.263574
