percentiles,hv10,hv20,hv30,phv10,phv20,phv30
0,0.021414,0.025477,0.038229,0.03624,0.040312,0.053177
1,0.029812,0.0546399999999999,0.057942,0.0461,0.0628,0.0584
2,0.053484,0.070066,0.066005,0.078526,0.0897159999999999,0.098988
3,0.065848,0.079344,0.089884,0.103804,0.1124,0.118896
4,0.07891,0.088775,0.10168,0.11177,0.12458,0.12718
5,0.0876039999999999,0.10073,0.109952,0.1175679999999999,0.1279,0.13523
6,0.0921,0.106039,0.120849,0.1248,0.132872,0.142441
7,0.097636,0.119328,0.14038,0.129512,0.136996,0.147156
8,0.102426,0.1288979999999999,0.14936,0.133852,0.145208,0.152315
9,0.10576,0.13385,0.1546,0.13816,0.15106,0.1582
10,0.109916,0.140226,0.161331,0.1415539999999999,0.154196,0.161077
11,0.1171359999999999,0.1453,0.1663,0.1445,0.1585,0.163084
12,0.1216,0.1511289999999999,0.1695,0.146828,0.1645,0.1668
13,0.1260959999999999,0.156332,0.1717,0.152572,0.168004,0.170696
14,0.1303099999999999,0.16046,0.174105,0.15781,0.17178,0.174205
15,0.1349479999999999,0.165852,0.1763,0.1614239999999999,0.1736,0.178212
16,0.1384,0.169235,0.178719,0.164876,0.175708,0.180957
17,0.143152,0.172796,0.180326,0.169652,0.179116,0.184878
18,0.149366,0.176418,0.183799,0.172332,0.182984,0.187199
19,0.15228,0.17902,0.18874,0.175,0.18728,0.18944
20,0.1560879999999999,0.182331,0.1924469999999999,0.179194,0.190804,0.191047
21,0.159608,0.1847,0.195,0.1830399999999999,0.1954199999999999,0.193716
22,0.1631,0.1874,0.198322,0.185422,0.1986,0.1986
23,0.1659719999999999,0.190264,0.2021,0.1889,0.2022,0.204768
24,0.16905,0.193275,0.206875,0.1918,0.2047,0.210275
25,0.171692,0.196286,0.209882,0.195664,0.208,0.213446
26,0.176078,0.1995,0.2115,0.198312,0.2103239999999999,0.216
27,0.179252,0.2012,0.216184,0.2008,0.2123,0.218876
28,0.183306,0.2029,0.2209,0.203006,0.2148479999999999,0.224706
29,0.18524,0.2062,0.2244,0.2053,0.21768,0.22751
30,0.188068,0.208541,0.227,0.207434,0.2202,0.232317
31,0.190648,0.2109,0.2302239999999999,0.2095,0.222484,0.236124
32,0.193124,0.213489,0.232931,0.2111,0.2238,0.238831
33,0.195952,0.216048,0.2358,0.212376,0.225716,0.241676
34,0.19978,0.2201249999999999,0.2387449999999999,0.21488,0.2282,0.2443449999999999
35,0.2043,0.223696,0.241252,0.2171,0.2311,0.2486
36,0.206336,0.226014,0.245877,0.2196179999999999,0.2350439999999999,0.250459
37,0.2081,0.2296,0.248866,0.2224,0.2386,0.252566
38,0.209746,0.232229,0.252273,0.225546,0.241068,0.254673
39,0.2124,0.2345,0.25744,0.2281,0.24538,0.25728
40,0.2143479999999999,0.238151,0.2613,0.2301,0.2487919999999999,0.2595
41,0.2164879999999999,0.2402,0.2641,0.231988,0.252012,0.260994
42,0.219504,0.243873,0.266501,0.234106,0.255116,0.2625
43,0.222432,0.246952,0.271924,0.2375479999999999,0.2579,0.2651
44,0.22559,0.2504,0.2756,0.24003,0.261,0.26663
45,0.230144,0.256112,0.2784,0.243244,0.263756,0.26871
46,0.2345,0.2612339999999999,0.2806,0.2468,0.266128,0.270729
47,0.2369159999999999,0.2647279999999999,0.283072,0.2501879999999999,0.268052,0.272536
48,0.240586,0.268517,0.285543,0.252758,0.27,0.275
49,0.2442,0.27295,0.2884,0.2559,0.2722,0.2772
50,0.249042,0.2769660000000001,0.292157,0.2582,0.274724,0.279257
51,0.2528,0.280704,0.295828,0.261356,0.277124,0.281664
52,0.2554,0.284566,0.299371,0.265084,0.279572,0.284642
53,0.258456,0.2881,0.3020779999999999,0.268868,0.2811,0.2871
54,0.26261,0.29331,0.30484,0.27499,0.28314,0.2897
55,0.265884,0.297732,0.3078,0.278284,0.286572,0.2916
56,0.2698979999999999,0.301527,0.309799,0.2829879999999999,0.288968,0.294199
57,0.274912,0.3053,0.3128,0.2860239999999999,0.2925,0.296306
58,0.279726,0.308249,0.3156,0.2909259999999999,0.2954239999999999,0.2998519999999999
59,0.2855799999999999,0.3113,0.31734,0.29324,0.2986,0.3031
60,0.289354,0.314913,0.321662,0.296862,0.3011,0.305154
61,0.2933760000000001,0.3194099999999999,0.3276,0.299668,0.304344,0.307834
62,0.298764,0.323472,0.331,0.302764,0.3065,0.309623
63,0.303288,0.327812,0.334448,0.305896,0.3092,0.3118
64,0.30635,0.334615,0.3393,0.30952,0.3115199999999999,0.3149
65,0.311368,0.340008,0.344962,0.3129,0.314084,0.317362
66,0.317638,0.3476590000000001,0.350838,0.316814,0.317512,0.320907
67,0.323104,0.350696,0.358352,0.3194,0.322016,0.323476
68,0.3294319999999999,0.354259,0.3629979999999999,0.323532,0.328012,0.328983
69,0.33386,0.3583099999999999,0.36678,0.32744,0.3332799999999999,0.3339399999999999
70,0.340288,0.3638,0.371894,0.332594,0.338152,0.340597
71,0.347124,0.368992,0.3777,0.3378159999999999,0.342064,0.343808
72,0.352966,0.374512,0.3829,0.342222,0.346152,0.3496
73,0.3602,0.384642,0.386118,0.3471159999999999,0.3493759999999999,0.3537
74,0.3696,0.390575,0.388425,0.35235,0.3534,0.3586749999999999
75,0.377464,0.3967800000000001,0.393196,0.356664,0.360112,0.362
76,0.3897779999999999,0.402394,0.398995,0.3630779999999999,0.364924,0.365039
77,0.39586,0.4121800000000001,0.407492,0.369568,0.371736,0.369484
78,0.4062,0.418545,0.413653,0.373712,0.377848,0.3777709999999999
79,0.41362,0.4259,0.4257600000000001,0.3785,0.3849000000000001,0.38376
80,0.427302,0.430264,0.434067,0.3915100000000002,0.39226,0.389067
81,0.4343,0.437106,0.442848,0.3995879999999998,0.403084,0.3935
82,0.4453859999999999,0.4444519999999999,0.450962,0.4065439999999998,0.4133799999999999,0.4086719999999999
83,0.45528,0.456788,0.4537879999999999,0.415652,0.4225319999999999,0.4223519999999999
84,0.46818,0.4706849999999999,0.460745,0.4257899999999998,0.43356,0.434995
85,0.4869599999999999,0.488074,0.474006,0.435612,0.4443199999999997,0.4418
86,0.5068440000000001,0.501327,0.4938419999999996,0.447218,0.459044,0.4480719999999999
