percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.031445,0.158575,0.168615,0.17559,0.084335,0.10693,0.144715,0.150115,0.260927,0.255818,0.263036,0.264027,0.265136,0.260927,0.265009,0.260927,0.2639,0.260927,0.255818,0.261427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08349,0.17249,0.1783,0.19836,0.12309,0.14308,0.1571,0.16307,0.2682,0.2599,0.269854,0.269854,0.270208,0.2682,0.270918,0.2682,0.269518,0.2682,0.26,0.2695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.10498,0.17768,0.202345,0.20739,0.15038,0.15379,0.1669,0.1719,0.2737,0.2635,0.2745,0.2746,0.274427,0.2737,0.275727,0.2737,0.275308,0.2737,0.2642,0.2737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.12388,0.20744,0.2164,0.21424,0.15876,0.16988,0.18324,0.1924,0.277,0.267272,0.277608,0.277936,0.278436,0.277,0.2786,0.277,0.278436,0.277,0.27036,0.277108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1359749999999999,0.224175,0.219625,0.218875,0.166375,0.17705,0.195875,0.20875,0.28036,0.274045,0.280945,0.281535,0.28189,0.28036,0.2832249999999999,0.28036,0.283115,0.2808,0.276145,0.2808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.14528,0.22874,0.2235599999999999,0.2223599999999999,0.1716599999999999,0.18159,0.20736,0.2119599999999999,0.2865,0.278054,0.2865,0.287308,0.2883,0.2865,0.288008,0.2865,0.28787,0.2865,0.278354,0.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.15233,0.2331,0.2333,0.2334,0.176105,0.19,0.211355,0.23501,0.29073,0.281989,0.292289,0.2924,0.2924,0.29073,0.291526,0.29073,0.2914,0.29073,0.2824,0.2914629999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1579,0.2397,0.23584,0.2360199999999999,0.18112,0.19708,0.21698,0.23912,0.296116,0.285204,0.2965,0.2976,0.297888,0.296116,0.296804,0.296116,0.295844,0.296116,0.28676,0.296416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16334,0.2475,0.242475,0.2376,0.18617,0.2008,0.226475,0.241575,0.3039,0.288581,0.303762,0.303981,0.303481,0.3039,0.3018,0.3039,0.3005,0.3039,0.291262,0.3039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1699,0.2491499999999999,0.24645,0.2401,0.19195,0.20905,0.23585,0.244,0.30689,0.29378,0.30789,0.3079,0.30767,0.30689,0.3042,0.30689,0.3043,0.30736,0.29779,0.30779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1734,0.251265,0.24903,0.244,0.19663,0.21453,0.242365,0.246665,0.309799,0.297399,0.311197,0.310999,0.310698,0.309799,0.307798,0.309799,0.306999,0.3098,0.3004,0.3101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1789599999999999,0.25288,0.2505,0.25188,0.20248,0.2185399999999999,0.2451,0.25438,0.312408,0.299708,0.315008,0.314708,0.313316,0.312408,0.3104,0.312408,0.309108,0.313332,0.3032,0.314008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.182495,0.25599,0.25239,0.254185,0.207695,0.224185,0.247495,0.25949,0.316317,0.3019,0.3179,0.318534,0.316368,0.316317,0.313734,0.316317,0.312234,0.317117,0.3057,0.317734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.18701,0.25752,0.25711,0.2578,0.21281,0.23031,0.2545,0.261,0.320426,0.303704,0.320826,0.321426,0.320652,0.320426,0.3184,0.320426,0.315126,0.320526,0.306778,0.3208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.190325,0.26,0.2618499999999999,0.26335,0.219325,0.234125,0.2569,0.2635,0.3229,0.305835,0.323635,0.3235699999999999,0.32327,0.3229,0.3205,0.3229,0.318205,0.3232,0.3086,0.3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.193,0.26254,0.26558,0.28378,0.2242,0.23814,0.25918,0.26534,0.325588,0.307488,0.32642,0.325544,0.325444,0.325588,0.323044,0.325588,0.320444,0.3258,0.31,0.326032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.196965,0.267455,0.275055,0.292075,0.22802,0.2431,0.2616549999999999,0.2679,0.3281,0.3087,0.329206,0.3286,0.3282529999999999,0.3281,0.3244,0.3281,0.3227,0.3283,0.3121529999999999,0.328806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.20154,0.27319,0.29287,0.29968,0.23088,0.2479199999999999,0.2642,0.27097,0.329924,0.3104,0.331362,0.330962,0.3301,0.329924,0.326762,0.329924,0.323862,0.330624,0.3129,0.3312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.2064,0.2841,0.30137,0.30717,0.23337,0.25324,0.2681,0.2737,0.3327,0.312171,0.333871,0.333271,0.332542,0.3327,0.329142,0.3327,0.325542,0.3332,0.3143,0.333871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.21,0.2899,0.3118,0.3114,0.2376,0.2584,0.272,0.2801,0.335,0.3138,0.33608,0.33526,0.33444,0.335,0.33196,0.335,0.32776,0.3352799999999999,0.3156799999999999,0.336,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2154,0.297135,0.3156,0.3155,0.24173,0.2637,0.2784149999999999,0.2827549999999999,0.336789,0.315489,0.3382,0.3373779999999999,0.3365,0.336789,0.333289,0.336789,0.3297779999999999,0.337489,0.317689,0.338578,0.0773399999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.21975,0.30616,0.31843,0.32225,0.24566,0.26953,0.28606,0.29053,0.339598,0.318596,0.340296,0.3395,0.3382,0.339598,0.335298,0.339598,0.3328979999999999,0.339698,0.320698,0.341796,0.15853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.2254,0.31659,0.321145,0.3256,0.252795,0.275845,0.290605,0.2951,0.343214,0.322714,0.343414,0.341507,0.340214,0.343214,0.337714,0.343214,0.3357,0.343607,0.323907,0.3440069999999999,0.16788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.2306599999999999,0.32106,0.32306,0.3271199999999999,0.2584,0.28058,0.29858,0.30022,0.347816,0.327348,0.345732,0.3434319999999999,0.342416,0.347816,0.341116,0.347816,0.3379,0.348416,0.329316,0.348416,0.1729599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.2343,0.327475,0.3255,0.3286,0.264875,0.28605,0.3044,0.3058,0.351925,0.3369499999999999,0.3480999999999999,0.3461,0.344725,0.351925,0.34415,0.351925,0.341875,0.35175,0.338025,0.351825,0.178025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
