percentiles,hv10,hv120,hv20,hv30,hv60,hv90,phv10,phv120,phv20,phv30,phv60,phv90
0,0.0909,0.226152,0.1346959999999999,0.162355,0.189522,0.204534,0.151056,0.263409,0.16206,0.187564,0.239276,0.244257
1,0.122552,0.238848,0.157096,0.180528,0.200848,0.219934,0.197444,0.2731,0.21241,0.231044,0.243676,0.2597
2,0.132026,0.251524,0.17562,0.188371,0.207888,0.228555,0.21298,0.278054,0.230365,0.239344,0.249914,0.267712
3,0.139968,0.255932,0.184556,0.1975,0.214048,0.24212,0.219676,0.283836,0.23746,0.246564,0.264708,0.277268
4,0.148565,0.26422,0.18956,0.20677,0.22107,0.2562549999999999,0.22716,0.286825,0.24205,0.25139,0.2707799999999999,0.2823549999999999
5,0.157582,0.269944,0.197884,0.2107,0.229066,0.261102,0.2323,0.292254,0.24638,0.261288,0.273756,0.285502
6,0.167673,0.2773,0.203848,0.2137,0.2432,0.265976,0.238808,0.2936,0.251965,0.266512,0.2768,0.289276
7,0.174112,0.282092,0.207796,0.216756,0.254852,0.268832,0.242752,0.296072,0.25652,0.2707279999999999,0.279408,0.2914
8,0.181678,0.285116,0.212976,0.221665,0.263833,0.2743529999999999,0.247444,0.2988,0.2617,0.273344,0.2831,0.2938
9,0.18611,0.2894,0.217,0.22761,0.26947,0.2778,0.2523,0.3000899999999999,0.2686,0.27856,0.28728,0.29597
10,0.191248,0.293388,0.2206,0.232154,0.277542,0.281987,0.25566,0.302199,0.273515,0.2816,0.292518,0.298387
11,0.197552,0.2950959999999999,0.225712,0.2399359999999999,0.286132,0.2834,0.258792,0.3051,0.2767199999999999,0.2852,0.295356,0.2996
12,0.203846,0.296916,0.2310279999999999,0.248205,0.291,0.285742,0.263,0.3061,0.280045,0.288,0.297694,0.300921
13,0.207394,0.300012,0.236396,0.258196,0.295518,0.289214,0.267432,0.307126,0.28482,0.2909,0.2998,0.303238
14,0.2127649999999999,0.3026399999999999,0.24232,0.264375,0.3012,0.294965,0.2709,0.30867,0.2876,0.29577,0.30177,0.3047
15,0.215636,0.3053,0.2479,0.270212,0.304384,0.302116,0.2746,0.3101,0.29154,0.298628,0.3045,0.3059
16,0.221949,0.312,0.2542,0.275097,0.308629,0.3061,0.278248,0.3112,0.2951049999999999,0.3014,0.3069,0.307178
17,0.226078,0.317764,0.260664,0.279226,0.312,0.316006,0.2818,0.3136,0.2983,0.303044,0.3095,0.309524
18,0.231794,0.3219039999999999,0.265864,0.285749,0.3146,0.320246,0.285372,0.315271,0.301235,0.305804,0.311844,0.312
19,0.23502,0.3278,0.27174,0.29056,0.31764,0.32292,0.29004,0.31808,0.305,0.3083,0.3144,0.31608
20,0.2403549999999999,0.3337,0.282644,0.2997,0.321631,0.327171,0.295424,0.321067,0.30833,0.3121,0.316996,0.3191
21,0.2439,0.336652,0.289124,0.304754,0.3271,0.330274,0.298784,0.324398,0.311,0.3147,0.3197,0.3217
22,0.248265,0.342036,0.2935,0.310122,0.3319,0.335982,0.301956,0.328,0.315095,0.316968,0.322674,0.3241819999999999
23,0.253908,0.362484,0.298108,0.314204,0.335476,0.345296,0.3052,0.331,0.3185,0.3189,0.324748,0.326616
24,0.262625,0.3701,0.3055,0.320925,0.3393,0.35325,0.3098,0.3379,0.320725,0.3211,0.32745,0.3303999999999999
25,0.2668,0.372716,0.3116,0.3267,0.344148,0.3574,0.312272,0.3431,0.32398,0.323608,0.329188,0.335984
26,0.2717,0.375016,0.3151,0.330812,0.347999,0.3642,0.315444,0.346343,0.32731,0.3269,0.3319519999999999,0.3427
27,0.275976,0.3766,0.317784,0.3353959999999999,0.357844,0.366776,0.319716,0.348352,0.3297,0.3299,0.3354,0.346604
28,0.280418,0.3815639999999999,0.3247919999999999,0.340306,0.3617189999999999,0.373679,0.32244,0.349361,0.3318,0.333482,0.338802,0.3502
29,0.28452,0.3868,0.3283799999999999,0.34652,0.36802,0.38411,0.3253,0.3502,0.3342,0.33658,0.34264,0.35251
30,0.289806,0.393848,0.332484,0.351334,0.374847,0.393735,0.328132,0.3517,0.3365,0.3397,0.347278,0.355027
31,0.29346,0.395156,0.338896,0.356324,0.383584,0.402232,0.330804,0.3534,0.33928,0.3411,0.352864,0.357944
32,0.2991,0.4000399999999999,0.341712,0.362424,0.388863,0.404661,0.33398,0.355197,0.341545,0.3432,0.360554,0.360861
33,0.303728,0.4028,0.344576,0.3676,0.3914,0.409478,0.3373,0.3591,0.34341,0.3452,0.363492,0.364278
34,0.3085249999999999,0.42068,0.3485,0.3730799999999999,0.3935,0.4138599999999999,0.3397,0.3650049999999999,0.3465,0.34879,0.36566,0.36769
35,0.312624,0.4357,0.354,0.377108,0.397464,0.418024,0.343784,0.373924,0.35078,0.3514879999999999,0.368068,0.369512
36,0.317781,0.44,0.360836,0.381018,0.406645,0.4256,0.3471,0.376833,0.354825,0.35533,0.371506,0.371929
37,0.322696,0.4460199999999999,0.3644,0.385632,0.41153,0.429784,0.350672,0.380684,0.35897,0.3596159999999999,0.375144,0.377546
38,0.327638,0.452524,0.3691959999999999,0.3899,0.415243,0.4375,0.354224,0.387657,0.3633,0.366148,0.380256,0.381926
39,0.3319,0.45812,0.37436,0.3927,0.42128,0.44828,0.35686,0.39478,0.3677,0.37054,0.38426,0.38658
40,0.337611,0.464528,0.3782,0.395185,0.4252,0.453494,0.3606,0.3976,0.3705,0.37869,0.3886,0.3905
41,0.3417,0.468436,0.381488,0.399182,0.429854,0.457428,0.3646479999999999,0.40249,0.3748,0.38548,0.3923,0.394014
42,0.348053,0.476744,0.384952,0.4036059999999999,0.436691,0.463162,0.369996,0.407587,0.3803749999999999,0.39,0.3955,0.3976
43,0.352724,0.4814,0.389816,0.407616,0.446828,0.4677,0.3746359999999999,0.415,0.3841,0.394152,0.4011,0.402896
44,0.3575,0.48676,0.395,0.41379,0.455265,0.4709,0.37948,0.42281,0.388525,0.40017,0.40415,0.409995
45,0.362066,0.492368,0.399744,0.418388,0.460702,0.476446,0.384548,0.427714,0.39697,0.403704,0.412648,0.422464
46,0.368237,0.496052,0.404516,0.422737,0.4654,0.4833939999999999,0.388368,0.4332689999999999,0.4038,0.40773,0.416086,0.426299
47,0.37414,0.5084679999999999,0.408616,0.428408,0.470432,0.49238,0.393012,0.438432,0.40936,0.4119,0.4190959999999999,0.43
48,0.380216,0.514384,0.413172,0.434093,0.478365,0.499133,0.396084,0.441282,0.41537,0.416352,0.423824,0.4341
49,0.38405,0.5202,0.4197,0.44005,0.4836,0.5086,0.4013,0.44465,0.4187,0.4244,0.4289,0.43925
50,0.3897,0.5254879999999998,0.424564,0.4472279999999999,0.4874090000000001,0.514236,0.405816,0.4465,0.42303,0.4297,0.4319,0.443967
51,0.3939,0.529316,0.429012,0.4537,0.494492,0.5213,0.410732,0.451768,0.4274799999999999,0.433548,0.4389,0.450584
52,0.400741,0.532648,0.4357,0.463105,0.5008220000000001,0.5305,0.414148,0.454177,0.4309,0.438744,0.444042,0.4589009999999999
53,0.4096780000000002,0.53676,0.441768,0.468834,0.505986,0.5342720000000001,0.419688,0.456572,0.43333,0.4431920000000001,0.450408,0.465054
54,0.42121,0.5452400000000001,0.44876,0.4754,0.51374,0.54157,0.42406,0.46159,0.4367,0.44636,0.45618,0.468335
55,0.425876,0.552,0.45822,0.4809,0.5189440000000001,0.5500520000000001,0.429696,0.467308,0.44084,0.450844,0.461028,0.4709
56,0.432123,0.5580560000000001,0.463388,0.487698,0.521636,0.5563,0.433408,0.470313,0.4435450000000002,0.4557360000000001,0.465366,0.473069
57,0.436918,0.5628639999999999,0.469172,0.4942,0.525646,0.5595,0.4386759999999999,0.472944,0.4485799999999999,0.4614919999999999,0.470404,0.475272
58,0.4426,0.5738719999999999,0.474404,0.4987,0.529183,0.563203,0.446644,0.4749,0.4528399999999999,0.4677,0.474284,0.478303
59,0.44798,0.58516,0.4794199999999999,0.5036600000000001,0.5341,0.56862,0.45282,0.4775399999999999,0.4585,0.4732999999999999,0.4785,0.482
60,0.4549549999999999,0.5938679999999998,0.485508,0.509239,0.5399849999999999,0.5731479999999999,0.4562,0.4798,0.4662199999999999,0.476738,0.4849,0.484837
61,0.461402,0.609696,0.490276,0.513234,0.5462520000000001,0.576854,0.461364,0.482658,0.47006,0.4804,0.490512,0.487054
62,0.466246,0.613404,0.4979639999999999,0.5195909999999999,0.557431,0.580671,0.4665799999999999,0.486667,0.476075,0.485062,0.495394,0.489071
63,0.4723200000000001,0.6163,0.503888,0.524836,0.5664440000000001,0.583788,0.4708239999999999,0.490276,0.48,0.487936,0.49816,0.490688
64,0.479775,0.62032,0.5109,0.530405,0.575605,0.5876,0.47486,0.4962,0.485425,0.4904,0.50224,0.4935
65,0.4897180000000001,0.6274,0.517296,0.5378620000000001,0.584584,0.594922,0.482052,0.5075,0.4900899999999999,0.493512,0.505016,0.496566
66,0.4990420000000001,0.6323,0.523328,0.5452,0.593137,0.6107970000000003,0.486548,0.514415,0.496555,0.497672,0.507792,0.499639
67,0.507028,0.6374,0.5302600000000001,0.550476,0.5993320000000001,0.6209560000000001,0.491688,0.5219,0.50322,0.5032,0.511784,0.501268
68,0.5129969999999999,0.646004,0.539132,0.5550309999999999,0.605853,0.6269189999999999,0.495368,0.524921,0.5117700000000001,0.507006,0.5165539999999998,0.5055189999999999
69,0.52138,0.64842,0.54988,0.56639,0.61039,0.64369,0.5,0.5275599999999999,0.51695,0.51238,0.52106,0.51338
70,0.529964,0.651036,0.5601199999999998,0.572582,0.617654,0.655007,0.5056,0.5344679999999998,0.522515,0.5176619999999998,0.5248,0.5266839999999999
71,0.5373,0.654476,0.5727399999999999,0.5805,0.623656,0.663464,0.5123719999999999,0.5399,0.52948,0.528184,0.529408,0.533096
72,0.5449660000000001,0.6585,0.58126,0.592661,0.631602,0.671182,0.5192559999999999,0.542414,0.534235,0.5366,0.5326,0.538241
73,0.554908,0.6630280000000001,0.5879,0.6046360000000001,0.6369,0.673758,0.5312399999999999,0.55073,0.5416199999999999,0.544484,0.536472,0.541658
74,0.56145,0.6676,0.5954,0.6151,0.64705,0.67775,0.5389,0.556175,0.54915,0.55905,0.5407,0.547625
75,0.5762400000000001,0.674316,0.605028,0.6264599999999999,0.652424,0.6830680000000001,0.5468160000000001,0.5606199999999999,0.55298,0.567908,0.545088,0.5534600000000001
76,0.5913010000000001,0.6773,0.616456,0.6384910000000003,0.662496,0.690636,0.5541,0.5654790000000001,0.5567,0.572798,0.550056,0.5574
77,0.602214,0.680448,0.6239,0.646238,0.673772,0.6950259999999999,0.5605,0.569202,0.56265,0.5799,0.5635,0.562104
78,0.6128630000000002,0.684832,0.6381800000000001,0.6626359999999999,0.694646,0.6982860000000001,0.565764,0.5711770000000002,0.570105,0.5861460000000001,0.575502,0.566
79,0.6250000000000001,0.68742,0.653,0.6858800000000003,0.71912,0.7021,0.5715800000000001,0.57402,0.5805,0.5927600000000001,0.58404,0.5730400000000001
80,0.6456,0.6922480000000001,0.6706880000000001,0.702017,0.7265940000000001,0.705077,0.579096,0.578858,0.5903900000000001,0.5993980000000001,0.5925240000000002,0.5812930000000002
81,0.6568,0.699768,0.687348,0.726866,0.741804,0.7096579999999999,0.587712,0.586338,0.5969,0.603912,0.6002,0.5985459999999999
82,0.6723859999999999,0.7099559999999999,0.7118359999999999,0.739531,0.7530969999999999,0.7161099999999999,0.59728,0.5899409999999999,0.6041399999999998,0.6130699999999999,0.6058,0.606633
83,0.6935119999999996,0.721972,0.733512,0.7461279999999999,0.763016,0.7261559999999999,0.6035480000000001,0.596812,0.6175,0.626316,0.615584,0.610828
84,0.715505,0.72808,0.7532399999999999,0.7627750000000001,0.77237,0.7396050000000001,0.6158,0.6063,0.628075,0.63063,0.6226499999999998,0.6173500000000001
