percentiles,hv10,hv120,hv150,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv20,phv30,phv60,phv90
0,0.064906,0.15253,0.152145,0.094195,0.117992,0.140624,0.147302,0.162196,0.1608419999999999,0.162498,0.163996,0.161986,0.162196,0.1608419999999999,0.162196,0.1608419999999999,0.161998,0.1608419999999999,0.161998,0.16888,0.1705799999999999,0.169,0.169752,0.170704,0.168428,0.1705799999999999,0.168428,0.1705799999999999,0.165976,0.1705799999999999,0.167244,0.169143,0.172362,0.169762,0.170867,0.1728479999999999,0.169143,0.172362,0.169143,0.172362,0.169386,0.172362,0.1689,0.095807,0.139131,0.13927,0.1111,0.117686,0.1331,0.136212
1,0.078112,0.15666,0.16109,0.111494,0.13,0.149444,0.15201,0.180688,0.17188,0.1749679999999999,0.173596,0.172744,0.180688,0.17188,0.180592,0.17188,0.176364,0.17188,0.17354,0.194512,0.180308,0.189296,0.186572,0.18466,0.194512,0.180308,0.194512,0.180308,0.191888,0.180308,0.190504,0.180162,0.1801,0.180162,0.180162,0.180162,0.180162,0.1801,0.180162,0.1801,0.180162,0.1801,0.180162,0.112028,0.143362,0.15056,0.1217,0.129744,0.1379,0.143012
2,0.0895359999999999,0.15908,0.224408,0.120191,0.1344,0.153832,0.1614529999999999,0.202094,0.180194,0.188364,0.18307,0.180194,0.202982,0.180194,0.2026639999999999,0.180194,0.201982,0.180194,0.192964,0.216304,0.198312,0.211536,0.204964,0.201312,0.217656,0.198312,0.217656,0.198312,0.216708,0.198312,0.214592,0.206358,0.198373,0.207787,0.205429,0.2019149999999999,0.206358,0.198373,0.206358,0.198373,0.206358,0.198373,0.206358,0.1254,0.1496859999999999,0.2233899999999999,0.1348,0.1409,0.141338,0.1456
3,0.095848,0.17744,0.243472,0.124692,0.140576,0.1556,0.1648,0.216768,0.1905919999999999,0.20582,0.199544,0.1923919999999999,0.217368,0.1905919999999999,0.218932,0.1905919999999999,0.216336,0.1905919999999999,0.210384,0.23914,0.214816,0.229864,0.221448,0.218012,0.239524,0.214816,0.242568,0.214816,0.238688,0.214816,0.23462,0.2422,0.2122119999999999,0.231928,0.224484,0.2176,0.2428479999999999,0.2122119999999999,0.2428479999999999,0.2122119999999999,0.242968,0.2122119999999999,0.23896,0.138996,0.2111,0.2303,0.1461,0.1542,0.153652,0.149424
4,0.10253,0.21345,0.249745,0.1299,0.14858,0.1602799999999999,0.167765,0.2414899999999999,0.20559,0.22634,0.21515,0.21029,0.2414899999999999,0.20559,0.24608,0.20559,0.24321,0.20559,0.2371899999999999,0.26086,0.23914,0.2719,0.25808,0.24564,0.26,0.23914,0.26208,0.23914,0.27156,0.23914,0.27584,0.253515,0.25373,0.278695,0.277935,0.270105,0.254055,0.25373,0.2573049999999999,0.25373,0.270335,0.25373,0.28145,0.146905,0.218955,0.23595,0.1559,0.1617249999999999,0.160515,0.19232
5,0.1097,0.22622,0.254916,0.139034,0.154452,0.166932,0.182606,0.256604,0.238652,0.248164,0.2396879999999999,0.238336,0.257988,0.238652,0.259588,0.238652,0.2671759999999999,0.238652,0.2675,0.2661,0.308828,0.312992,0.315116,0.311056,0.265468,0.308828,0.2672,0.308828,0.279624,0.308828,0.298624,0.262772,0.294934,0.30873,0.306216,0.300332,0.263488,0.294934,0.264572,0.294934,0.280186,0.294934,0.297386,0.1527,0.227902,0.2417,0.166,0.167058,0.185114,0.216024
6,0.1167,0.23635,0.260163,0.1443,0.1588,0.175308,0.204857,0.263902,0.292988,0.302944,0.300372,0.292988,0.266858,0.292988,0.267458,0.292988,0.2803859999999999,0.292988,0.296658,0.274296,0.319064,0.3184,0.319028,0.3197,0.272392,0.319064,0.271656,0.319064,0.288196,0.319064,0.307164,0.269902,0.308336,0.3131,0.313734,0.311734,0.270468,0.308336,0.2713669999999999,0.308336,0.286167,0.308336,0.305134,0.156892,0.234568,0.24614,0.1708,0.1755,0.195632,0.2197
7,0.122496,0.25326,0.263,0.1469,0.165736,0.1825,0.217896,0.269368,0.3105,0.314252,0.3136,0.311936,0.270168,0.3105,0.2731,0.3105,0.287772,0.3105,0.303268,0.2782,0.322016,0.320808,0.3227,0.322408,0.2782,0.322016,0.278924,0.322016,0.292608,0.322016,0.313008,0.273748,0.314348,0.316848,0.317548,0.315988,0.274344,0.314348,0.275548,0.314348,0.290348,0.314348,0.310396,0.1624,0.2386,0.248,0.1766,0.182844,0.205352,0.2223
8,0.127562,0.25947,0.264881,0.150191,0.1717,0.191584,0.230336,0.2732819999999999,0.316928,0.319428,0.318764,0.3181819999999999,0.274846,0.316928,0.2768819999999999,0.316928,0.2916,0.316928,0.3096819999999999,0.284,0.3243,0.3231,0.3248,0.324968,0.283684,0.3243,0.283768,0.3243,0.296768,0.3243,0.317152,0.278887,0.318529,0.320687,0.320358,0.3193,0.2791,0.318529,0.279858,0.318529,0.294729,0.318529,0.314087,0.167463,0.2413,0.2493,0.1798,0.188781,0.2101,0.226004
9,0.13212,0.2618,0.26608,0.15369,0.17572,0.20032,0.23391,0.27906,0.32096,0.3216799999999999,0.32188,0.32256,0.2814399999999999,0.32096,0.2833199999999999,0.32096,0.2959,0.32096,0.3138,0.28712,0.32638,0.32632,0.3264,0.32746,0.28776,0.32638,0.28856,0.32638,0.3006,0.32638,0.31942,0.2826,0.32081,0.32411,0.32341,0.32261,0.28262,0.32081,0.28412,0.32081,0.29791,0.32081,0.31721,0.17157,0.2433,0.2503,0.1827,0.1931,0.2136,0.22974
